name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Snorlax,2014-12,Illuminate,100.000,,,,
Raikou,2014-12,Illuminate,100.000,,,,
Skarmory,2014-12,Illuminate,100.000,,,,
Umbreon,2014-12,Illuminate,100.000,,,,
Forretress,2014-12,Illuminate,100.000,,,,
Cloyster,2014-12,Illuminate,100.000,,,,
Suicune,2014-12,Illuminate,100.000,,,,
Machamp,2014-12,Illuminate,100.000,,,,
Blissey,2014-12,Illuminate,100.000,,,,
Donphan,2014-12,Illuminate,100.000,,,,
Zapdos,2014-12,Illuminate,100.000,,,,
Exeggutor,2014-12,Illuminate,100.000,,,,
Gengar,2014-12,Illuminate,100.000,,,,
Starmie,2014-12,Illuminate,100.000,,,,
Marowak,2014-12,Illuminate,100.000,,,,
Tyranitar,2014-12,Illuminate,100.000,,,,
Nidoking,2014-12,Illuminate,100.000,,,,
Vaporeon,2014-12,Illuminate,100.000,,,,
Jolteon,2014-12,Illuminate,100.000,,,,
Espeon,2014-12,Illuminate,100.000,,,,
Muk,2014-12,Illuminate,100.000,,,,
Dragonite,2014-12,Illuminate,100.000,,,,
Misdreavus,2014-12,Illuminate,100.000,,,,
Aerodactyl,2014-12,Illuminate,100.000,,,,
Charizard,2014-12,Illuminate,100.000,,,,
Gyarados,2014-12,Illuminate,100.000,,,,
Kingdra,2014-12,Illuminate,100.000,,,,
Quagsire,2014-12,Illuminate,100.000,,,,
Smeargle,2014-12,Illuminate,100.000,,,,
Tauros,2014-12,Illuminate,100.000,,,,
Lanturn,2014-12,Illuminate,100.000,,,,
Eevee,2014-12,Illuminate,100.000,,,,
Flareon,2014-12,Illuminate,100.000,,,,
Steelix,2014-12,Illuminate,100.000,,,,
Venusaur,2014-12,Illuminate,100.000,,,,
Alakazam,2014-12,Illuminate,100.000,,,,
Scizor,2014-12,Illuminate,100.000,,,,
Miltank,2014-12,Illuminate,100.000,,,,
Slowbro,2014-12,Illuminate,100.000,,,,
Heracross,2014-12,Illuminate,100.000,,,,
Lapras,2014-12,Illuminate,100.000,,,,
Rhydon,2014-12,Illuminate,100.000,,,,
Raikou,2015-01,Illuminate,100.000,,,,
Snorlax,2015-01,Illuminate,100.000,,,,
Machamp,2015-01,Illuminate,100.000,,,,
Cloyster,2015-01,Illuminate,100.000,,,,
Zapdos,2015-01,Illuminate,100.000,,,,
Exeggutor,2015-01,Illuminate,100.000,,,,
Vaporeon,2015-01,Illuminate,100.000,,,,
Forretress,2015-01,Illuminate,100.000,,,,
Blissey,2015-01,Illuminate,100.000,,,,
Skarmory,2015-01,Illuminate,100.000,,,,
Marowak,2015-01,Illuminate,100.000,,,,
Steelix,2015-01,Illuminate,100.000,,,,
Suicune,2015-01,Illuminate,100.000,,,,
Tyranitar,2015-01,Illuminate,100.000,,,,
Misdreavus,2015-01,Illuminate,100.000,,,,
Quagsire,2015-01,Illuminate,100.000,,,,
Jolteon,2015-01,Illuminate,100.000,,,,
Nidoking,2015-01,Illuminate,100.000,,,,
Smeargle,2015-01,Illuminate,100.000,,,,
Ampharos,2015-01,Illuminate,100.000,,,,
Typhlosion,2015-01,Illuminate,100.000,,,,
Blastoise,2015-01,Illuminate,100.000,,,,
Jynx,2015-01,Illuminate,100.000,,,,
Lanturn,2015-01,Illuminate,100.000,,,,
Jumpluff,2015-01,Illuminate,100.000,,,,
Muk,2015-01,Illuminate,100.000,,,,
Girafarig,2015-01,Illuminate,100.000,,,,
Miltank,2015-01,Illuminate,100.000,,,,
Clefable,2015-01,Illuminate,100.000,,,,
Gengar,2015-01,Illuminate,100.000,,,,
Heracross,2015-01,Illuminate,100.000,,,,
Espeon,2015-01,Illuminate,100.000,,,,
Gyarados,2015-01,Illuminate,100.000,,,,
Xatu,2015-01,Illuminate,100.000,,,,
Charizard,2015-01,Illuminate,100.000,,,,
Alakazam,2015-01,Illuminate,100.000,,,,
Houndoom,2015-01,Illuminate,100.000,,,,
Scizor,2015-01,Illuminate,100.000,,,,
Umbreon,2015-01,Illuminate,100.000,,,,
Dragonite,2015-01,Illuminate,100.000,,,,
Slowbro,2015-01,Illuminate,100.000,,,,
Tentacruel,2015-01,Illuminate,100.000,,,,
Starmie,2015-01,Illuminate,100.000,,,,
Rhydon,2015-01,Illuminate,100.000,,,,
Eevee,2015-01,Illuminate,100.000,,,,
Flareon,2015-01,Illuminate,100.000,,,,
Feraligatr,2015-01,Illuminate,100.000,,,,
Golem,2015-01,Illuminate,100.000,,,,
Kingdra,2015-01,Illuminate,100.000,,,,
Gligar,2015-01,Illuminate,100.000,,,,
Slowking,2015-01,Illuminate,100.000,,,,
Dewgong,2015-01,Illuminate,100.000,,,,
Aerodactyl,2015-01,Illuminate,100.000,,,,
Noctowl,2015-01,Illuminate,100.000,,,,
Meganium,2015-01,Illuminate,100.000,,,,
Victreebel,2015-01,Illuminate,100.000,,,,
Arbok,2015-01,Illuminate,100.000,,,,
Shuckle,2015-01,Illuminate,100.000,,,,
Entei,2015-01,Illuminate,100.000,,,,
Raichu,2015-01,Illuminate,100.000,,,,
Vileplume,2015-01,Illuminate,100.000,,,,
Poliwrath,2015-01,Illuminate,100.000,,,,
Arcanine,2015-01,Illuminate,100.000,,,,
Porygon2,2015-01,Illuminate,100.000,,,,
Lanturn,2015-02,Illuminate,100.000,,,,
Quagsire,2015-02,Illuminate,100.000,,,,
Clefable,2015-02,Illuminate,100.000,,,,
Jumpluff,2015-02,Illuminate,100.000,,,,
