name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Roaring Moon,2022-11,Protosynthesis,100.000,,,,
Garganacl,2022-11,Purifying Salt,98.181,Sturdy,1.235,Clear Body,0.584
Chi-Yu,2022-11,Beads of Ruin,100.000,,,,
Great Tusk,2022-11,Protosynthesis,100.000,,,,
Brute Bonnet,2022-11,Protosynthesis,100.000,,,,
Iron Hands,2022-11,Quark Drive,100.000,,,,
Gholdengo,2022-11,Good as Gold,100.000,,,,
Chien-Pao,2022-11,Sword of Ruin,100.000,,,,
Magnezone,2022-11,Sturdy,92.069,Analytic,7.195,Magnet Pull,0.736
Maushold,2022-11,Technician,99.974,Friend Guard,0.026,Cheek Pouch,0.000
Flutter Mane,2022-11,Protosynthesis,100.000,,,,
Dragapult,2022-11,Infiltrator,51.063,Clear Body,32.703,Cursed Body,16.234
Iron Valiant,2022-11,Quark Drive,100.000,,,,
Iron Bundle,2022-11,Quark Drive,100.000,,,,
Mimikyu,2022-11,Disguise,100.000,,,,
Ting-Lu,2022-11,Vessel of Ruin,100.000,,,,
Baxcalibur,2022-11,Thermal Exchange,93.999,Ice Body,6.001,,
Scream Tail,2022-11,Protosynthesis,100.000,,,,
Tinkaton,2022-11,Mold Breaker,98.598,Own Tempo,1.011,Pickpocket,0.391
Skeledirge,2022-11,Unaware,66.317,Blaze,33.683,,
Iron Moth,2022-11,Quark Drive,100.000,,,,
Garchomp,2022-11,Rough Skin,94.514,Sand Veil,5.486,,
Sableye,2022-11,Prankster,98.029,Stall,1.971,Keen Eye,0.000
Dragonite,2022-11,Multiscale,100.000,Inner Focus,0.000,,
Sylveon,2022-11,Pixilate,100.000,Cute Charm,0.000,,
Dondozo,2022-11,Unaware,99.999,Oblivious,0.001,Water Veil,0.000
Breloom,2022-11,Poison Heal,49.044,Technician,48.134,Effect Spore,2.822
Annihilape,2022-11,Defiant,63.083,Inner Focus,28.060,Vital Spirit,8.857
Dudunsparce,2022-11,Serene Grace,99.992,Rattled,0.008,Run Away,0.000
Ceruledge,2022-11,Weak Armor,84.957,Flash Fire,15.043,,
Grafaiai,2022-11,Prankster,100.000,Unburden,0.000,Poison Touch,0.000
Wo-Chien,2022-11,Tablets of Ruin,100.000,,,,
Meowscarada,2022-11,Protean,80.984,Overgrow,19.016,,
Corviknight,2022-11,Pressure,93.066,Unnerve,6.552,Mirror Armor,0.383
Armarouge,2022-11,Flash Fire,54.678,Weak Armor,45.322,,
Orthworm,2022-11,Earth Eater,100.000,Sand Veil,0.000,,
Cetitan,2022-11,Sheer Force,61.157,Thick Fat,38.843,Slush Rush,0.000
Gallade,2022-11,Sharpness,98.805,Justified,1.161,Steadfast,0.033
Bombirdier,2022-11,Rocky Payload,100.000,Big Pecks,0.000,Keen Eye,0.000
Kingambit,2022-11,Defiant,87.375,Supreme Overlord,12.304,Pressure,0.321
Espathra,2022-11,Opportunist,51.182,Speed Boost,48.818,Frisk,0.000
