name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Equilibra,2022-12,Bulletproof,98.798,Levitate,1.202,Justified,0.000
Venomicon-Epilogue,2022-12,Tinted Lens,100.000,,,,
Arghonaut,2022-12,Unaware,92.209,Technician,7.791,,
Snaelstrom,2022-12,Poison Heal,100.000,Torrent,0.000,,
Pyroak,2022-12,Contrary,98.004,Rock Head,1.996,Battle Armor,0.000
Chi-Yu,2022-12,Beads of Ruin,100.000,,,,
Glimmora,2022-12,Corrosion,85.097,Toxic Debris,14.903,,
Revenankh,2022-12,Triage,100.000,Shed Skin,0.000,Air Lock,0.000
Hatterene,2022-12,Magic Bounce,100.000,Healer,0.000,,
Dragapult,2022-12,Infiltrator,72.978,Clear Body,27.022,Cursed Body,0.000
Jumbao,2022-12,Drought,100.000,Overcoat,0.000,Trace,0.000
Grimmsnarl,2022-12,Prankster,100.000,Pickpocket,0.000,Frisk,0.000
Great Tusk,2022-12,Protosynthesis,100.000,,,,
Roaring Moon,2022-12,Protosynthesis,100.000,,,,
Dondozo,2022-12,Unaware,100.000,Oblivious,0.000,Water Veil,0.000
Venomicon,2022-12,Stamina,100.000,Power of Alchemy,0.000,,
Tomohawk,2022-12,Prankster,98.794,Intimidate,1.206,Justified,0.000
Caribolt,2022-12,Galvanize,100.000,Overgrow,0.000,,
Annihilape,2022-12,Defiant,100.000,Vital Spirit,0.000,Inner Focus,0.000
Iron Valiant,2022-12,Quark Drive,100.000,,,,
Garchomp,2022-12,Rough Skin,100.000,,,,
Breloom,2022-12,Technician,100.000,Effect Spore,0.000,Poison Heal,0.000
Slowking,2022-12,Regenerator,100.000,,,,
Chromera,2022-12,Color Change,100.000,,,,
Baxcalibur,2022-12,Thermal Exchange,100.000,Ice Body,0.000,,
Saharaja,2022-12,Water Absorb,100.000,Sand Spit,0.000,Serene Grace,0.000
Scovillain,2022-12,Chlorophyll,100.000,Insomnia,0.000,,
Syclant,2022-12,Mountaineer,100.000,Ice Body,0.000,Compound Eyes,0.000
Gholdengo,2022-12,Good as Gold,100.000,,,,
Stratagem,2022-12,Levitate,83.591,Technician,16.409,Sniper,0.000
Skeledirge,2022-12,Unaware,100.000,Blaze,0.000,,
Mollux,2022-12,Dry Skin,100.000,Illuminate,0.000,,
Kerfluffle,2022-12,Natural Cure,100.000,Aroma Veil,0.000,Friend Guard,0.000
Fidgit,2022-12,Persistent,100.000,Vital Spirit,0.000,Frisk,0.000
Kingambit,2022-12,Supreme Overlord,100.000,Defiant,0.000,,
Iron Hands,2022-12,Quark Drive,100.000,,,,
Sandy Shocks,2022-12,Protosynthesis,100.000,,,,
Krilowatt,2022-12,Magic Guard,92.473,Trace,7.527,Minus,0.000
Cawmodore,2022-12,Volt Absorb,100.000,Intimidate,0.000,Big Pecks,0.000
Aurumoth,2022-12,No Guard,98.120,Weak Armor,1.880,Light Metal,0.000
Dragonite,2022-12,Multiscale,100.000,Inner Focus,0.000,,
Cyclizar,2022-12,Regenerator,100.000,Shed Skin,0.000,,
Torkoal,2022-12,Drought,100.000,White Smoke,0.000,,
Quaquaval,2022-12,Moxie,100.000,Torrent,0.000,,
Pawmot,2022-12,Volt Absorb,100.000,Iron Fist,0.000,Natural Cure,0.000
Garganacl,2022-12,Purifying Salt,100.000,Clear Body,0.000,Sturdy,0.000
Astrolotl,2022-12,Regenerator,52.322,Magician,47.678,Vital Spirit,0.000
Smokomodo,2022-12,Technician,56.628,Blaze,43.372,,
Haxorus,2022-12,Mold Breaker,100.000,,,,
Blissey,2022-12,Natural Cure,100.000,Serene Grace,0.000,,
Volkraken,2022-12,Analytic,97.071,Infiltrator,2.929,Pressure,0.000
Colossoil,2022-12,Rebound,76.506,Guts,23.494,Unnerve,0.000
Cyclohm,2022-12,Shield Dust,94.786,Damp,5.214,Static,0.000
Crucibelle,2022-12,Regenerator,100.000,Liquid Ooze,0.000,Mold Breaker,0.000
Plasmanta,2022-12,Storm Drain,100.000,Vital Spirit,0.000,Telepathy,0.000
Kitsunoh,2022-12,Iron Fist,88.398,Frisk,11.602,Limber,0.000
Necturna,2022-12,Forewarn,100.000,Telepathy,0.000,,
Pajantom,2022-12,Comatose,100.000,,,,
Naviathan,2022-12,Guts,100.000,Heatproof,0.000,Light Metal,0.000
Malaconda,2022-12,Harvest,73.927,Drought,26.073,Infiltrator,0.000
Voodoom,2022-12,Lightning Rod,100.000,Volt Absorb,0.000,Cursed Body,0.000
Miasmaw,2022-12,Compound Eyes,66.342,Neutralizing Gas,33.658,Hyper Cutter,0.000
Volcarona,2022-12,Flame Body,100.000,Swarm,0.000,,
Amoonguss,2022-12,Regenerator,100.000,Effect Spore,0.000,,
Arghonaut,2023-01,Unaware,94.909,Technician,5.091,,
Great Tusk,2023-01,Protosynthesis,100.000,,,,
Equilibra,2023-01,Levitate,57.479,Bulletproof,42.521,Justified,0.000
Roaring Moon,2023-01,Protosynthesis,100.000,,,,
Chien-Pao,2023-01,Sword of Ruin,100.000,,,,
Gholdengo,2023-01,Good as Gold,100.000,,,,
Torkoal,2023-01,Drought,100.000,White Smoke,0.000,Shell Armor,0.000
Venomicon,2023-01,Stamina,95.821,Power of Alchemy,4.179,,
Jumbao,2023-01,Drought,84.649,Trace,15.351,Overcoat,0.000
Venomicon-Epilogue,2023-01,Tinted Lens,100.000,,,,
Dragapult,2023-01,Infiltrator,97.978,Clear Body,2.022,Cursed Body,0.000
Pyroak,2023-01,Contrary,95.433,Rock Head,4.567,Battle Armor,0.000
Espathra,2023-01,Speed Boost,88.344,Opportunist,11.656,Frisk,0.000
Skeledirge,2023-01,Unaware,100.000,Blaze,0.000,,
Fidgit,2023-01,Persistent,93.721,Frisk,6.279,Vital Spirit,0.000
Revenankh,2023-01,Triage,100.000,Shed Skin,0.000,Air Lock,0.000
Snaelstrom,2023-01,Poison Heal,100.000,Torrent,0.000,,
Iron Valiant,2023-01,Quark Drive,100.000,,,,
Justyke,2023-01,Levitate,100.000,Bulletproof,0.000,,
Hatterene,2023-01,Magic Bounce,100.000,Healer,0.000,,
Cyclohm,2023-01,Static,69.831,Shield Dust,30.169,Damp,0.000
Astrolotl,2023-01,Regenerator,100.000,Vital Spirit,0.000,Magician,0.000
Chi-Yu,2023-01,Beads of Ruin,100.000,,,,
Stratagem,2023-01,Levitate,82.731,Technician,17.269,Sniper,0.000
Pajantom,2023-01,Comatose,100.000,,,,
Smokomodo,2023-01,Technician,99.832,Blaze,0.168,,
Iron Moth,2023-01,Quark Drive,100.000,,,,
Syclant,2023-01,Compound Eyes,99.632,Mountaineer,0.368,Ice Body,0.000
Slither Wing,2023-01,Protosynthesis,100.000,,,,
Tomohawk,2023-01,Prankster,57.381,Intimidate,42.619,Justified,0.000
Mollux,2023-01,Dry Skin,100.000,Illuminate,0.000,,
Ceruledge,2023-01,Weak Armor,87.531,Flash Fire,12.469,,
Krilowatt,2023-01,Magic Guard,100.000,Minus,0.000,Trace,0.000
Corviknight,2023-01,Pressure,100.000,Unnerve,0.000,Mirror Armor,0.000
Saharaja,2023-01,Water Absorb,100.000,Sand Spit,0.000,Serene Grace,0.000
Kitsunoh,2023-01,Iron Fist,100.000,Limber,0.000,Frisk,0.000
Glimmora,2023-01,Toxic Debris,74.752,Corrosion,25.248,,
Volcarona,2023-01,Flame Body,100.000,Swarm,0.000,,
Dragonite,2023-01,Multiscale,100.000,Inner Focus,0.000,,
Rotom-Wash,2023-01,Levitate,100.000,,,,
Colossoil,2023-01,Guts,98.856,Rebound,1.144,Unnerve,0.000
Ting-Lu,2023-01,Vessel of Ruin,100.000,,,,
Cyclizar,2023-01,Regenerator,100.000,Shed Skin,0.000,,
Aurumoth,2023-01,Weak Armor,63.269,No Guard,36.731,Light Metal,0.000
Miasmaw,2023-01,Neutralizing Gas,95.334,Compound Eyes,4.666,Hyper Cutter,0.000
Caribolt,2023-01,Galvanize,100.000,Overgrow,0.000,,
Cawmodore,2023-01,Volt Absorb,100.000,Intimidate,0.000,Big Pecks,0.000
Frosmoth,2023-01,Ice Scales,100.000,Shield Dust,0.000,,
Masquerain,2023-01,Intimidate,100.000,Unnerve,0.000,,
Pawmot,2023-01,Natural Cure,100.000,Volt Absorb,0.000,Iron Fist,0.000
Staraptor,2023-01,Reckless,100.000,Intimidate,0.000,,
Naviathan,2023-01,Guts,100.000,Heatproof,0.000,Light Metal,0.000
Volkraken,2023-01,Analytic,67.688,Infiltrator,32.312,Pressure,0.000
Iron Hands,2023-01,Quark Drive,100.000,,,,
Malaconda,2023-01,Drought,68.287,Harvest,31.713,Infiltrator,0.000
Amoonguss,2023-01,Regenerator,100.000,Effect Spore,0.000,,
Brute Bonnet,2023-01,Protosynthesis,100.000,,,,
Maushold,2023-01,Technician,100.000,Cheek Pouch,0.000,Friend Guard,0.000
Dachsbun,2023-01,Well-Baked Body,100.000,,,,
Grimmsnarl,2023-01,Prankster,100.000,Pickpocket,0.000,Frisk,0.000
Hippowdon,2023-01,Sand Stream,100.000,,,,
Orthworm,2023-01,Earth Eater,100.000,,,,
Lycanroc,2023-01,Sand Rush,100.000,,,,
Clodsire,2023-01,Unaware,100.000,Water Absorb,0.000,Poison Point,0.000
Kerfluffle,2023-01,Natural Cure,98.733,Aroma Veil,1.267,Friend Guard,0.000
Meowscarada,2023-01,Protean,100.000,Overgrow,0.000,,
Tyranitar,2023-01,Sand Stream,100.000,Unnerve,0.000,,
Azumarill,2023-01,Huge Power,100.000,Thick Fat,0.000,Sap Sipper,0.000
Magnezone,2023-01,Magnet Pull,100.000,Analytic,0.000,Sturdy,0.000
Brambleghast,2023-01,Wind Rider,100.000,Infiltrator,0.000,,
Greninja,2023-01,Protean,100.000,Torrent,0.000,,
Gallade,2023-01,Sharpness,100.000,Justified,0.000,Steadfast,0.000
Kingambit,2023-01,Supreme Overlord,100.000,Defiant,0.000,,
Garganacl,2023-01,Purifying Salt,100.000,Clear Body,0.000,Sturdy,0.000
Annihilape,2023-01,Vital Spirit,100.000,Inner Focus,0.000,Defiant,0.000
Arboliva,2023-01,Seed Sower,98.162,Harvest,1.838,,
Hawlucha,2023-01,Unburden,100.000,Mold Breaker,0.000,Limber,0.000
Pelipper,2023-01,Drizzle,100.000,Rain Dish,0.000,,
Iron Treads,2023-01,Quark Drive,100.000,,,,
Floatzel,2023-01,Swift Swim,100.000,,,,
Dondozo,2023-01,Unaware,100.000,Oblivious,0.000,Water Veil,0.000
Chromera,2023-01,Color Change,100.000,,,,
Voodoom,2023-01,Lightning Rod,100.000,Cursed Body,0.000,Volt Absorb,0.000
Breezi,2023-01,Frisk,100.000,Own Tempo,0.000,Unburden,0.000
Baxcalibur,2023-01,Thermal Exchange,100.000,Ice Body,0.000,,
Plasmanta,2023-01,Storm Drain,100.000,Vital Spirit,0.000,Telepathy,0.000
Armarouge,2023-01,Flash Fire,100.000,Weak Armor,0.000,,
Toxapex,2023-01,Regenerator,100.000,Merciless,0.000,,
Quaquaval,2023-01,Moxie,100.000,Torrent,0.000,,
Equilibra,2023-02,Levitate,79.089,Bulletproof,20.911,Justified,0.000
Venomicon,2023-02,Stamina,99.996,Power of Alchemy,0.004,,
Arghonaut,2023-02,Unaware,91.948,Technician,8.052,,
Jumbao,2023-02,Drought,89.202,Trace,10.444,Overcoat,0.354
Snaelstrom,2023-02,Poison Heal,91.409,Torrent,8.591,,
Stratagem,2023-02,Levitate,95.016,Technician,4.780,Sniper,0.204
Tomohawk,2023-02,Prankster,67.528,Intimidate,32.472,Justified,0.000
Syclant,2023-02,Mountaineer,63.797,Compound Eyes,36.182,Ice Body,0.021
Miasmaw,2023-02,Neutralizing Gas,88.111,Compound Eyes,11.634,Hyper Cutter,0.255
Revenankh,2023-02,Triage,97.536,Shed Skin,2.240,Air Lock,0.224
Caribolt,2023-02,Galvanize,97.642,Overgrow,2.358,,
Roaring Moon,2023-02,Protosynthesis,100.000,,,,
Krilowatt,2023-02,Magic Guard,99.496,Trace,0.504,Minus,0.000
Astrolotl,2023-02,Regenerator,99.615,Vital Spirit,0.355,Magician,0.030
Dragapult,2023-02,Infiltrator,54.758,Clear Body,45.239,Cursed Body,0.003
Cyclohm,2023-02,Static,69.822,Shield Dust,30.177,Damp,0.001
Great Tusk,2023-02,Protosynthesis,100.000,,,,
Kitsunoh,2023-02,Iron Fist,53.865,Frisk,44.658,Limber,1.478
Crucibelle,2023-02,Regenerator,98.577,Mold Breaker,1.299,Liquid Ooze,0.124
Mollux,2023-02,Dry Skin,99.259,Illuminate,0.741,,
Garganacl,2023-02,Purifying Salt,100.000,Clear Body,0.000,Sturdy,0.000
Iron Moth,2023-02,Quark Drive,100.000,,,,
Corviknight,2023-02,Pressure,98.753,Mirror Armor,1.247,Unnerve,0.000
Cawmodore,2023-02,Volt Absorb,94.108,Intimidate,5.891,Big Pecks,0.001
Fidgit,2023-02,Persistent,95.812,Frisk,3.728,Vital Spirit,0.461
Gholdengo,2023-02,Good as Gold,100.000,,,,
Smokomodo,2023-02,Technician,98.956,Blaze,1.044,,
Volkraken,2023-02,Analytic,77.857,Infiltrator,17.594,Pressure,4.550
Aurumoth,2023-02,No Guard,70.128,Weak Armor,29.872,Light Metal,0.000
Voodoom,2023-02,Lightning Rod,87.456,Volt Absorb,7.277,Cursed Body,5.267
Colossoil,2023-02,Guts,87.817,Rebound,12.183,Unnerve,0.000
Cinderace,2023-02,Libero,100.000,Blaze,0.000,,
Saharaja,2023-02,Water Absorb,70.196,Serene Grace,29.804,Sand Spit,0.000
Iron Valiant,2023-02,Quark Drive,100.000,,,,
Naviathan,2023-02,Guts,88.251,Heatproof,11.749,Light Metal,0.000
Plasmanta,2023-02,Storm Drain,98.786,Vital Spirit,1.214,Telepathy,0.000
Clodsire,2023-02,Unaware,74.228,Water Absorb,25.737,Poison Point,0.035
Pelipper,2023-02,Drizzle,100.000,Keen Eye,0.000,,
Hatterene,2023-02,Magic Bounce,80.035,Healer,19.965,,
Venomicon-Epilogue,2023-02,Tinted Lens,100.000,,,,
Rotom-Wash,2023-02,Levitate,100.000,,,,
Ting-Lu,2023-02,Vessel of Ruin,100.000,,,,
Necturna,2023-02,Forewarn,100.000,Telepathy,0.000,,
Pajantom,2023-02,Comatose,100.000,,,,
Hydreigon,2023-02,Levitate,100.000,,,,
Polteageist,2023-02,Weak Armor,100.000,Cursed Body,0.000,,
Blissey,2023-02,Natural Cure,100.000,Serene Grace,0.000,,
Chien-Pao,2023-02,Sword of Ruin,100.000,,,,
Chromera,2023-02,Color Change,100.000,,,,
Malaconda,2023-02,Harvest,60.306,Drought,34.913,Infiltrator,4.781
Flarelm,2023-02,White Smoke,99.833,Rock Head,0.158,Battle Armor,0.008
Skeledirge,2023-02,Unaware,100.000,Blaze,0.000,,
Kerfluffle,2023-02,Natural Cure,89.036,Aroma Veil,10.964,Friend Guard,0.000
Meowscarada,2023-02,Protean,100.000,Overgrow,0.000,,
Hippowdon,2023-02,Sand Stream,100.000,Sand Force,0.000,,
Pyroak,2023-02,Contrary,83.149,Rock Head,16.851,Battle Armor,0.000
Indeedee,2023-02,Psychic Surge,100.000,Inner Focus,0.000,,
Orthworm,2023-02,Earth Eater,100.000,,,,
Arboliva,2023-02,Seed Sower,99.976,Harvest,0.024,,
Walking Wake,2023-02,Protosynthesis,100.000,,,,
Armarouge,2023-02,Weak Armor,100.000,Flash Fire,0.000,,
