name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Flutter Mane,2022-11,Protosynthesis,100.000,,,,
Torkoal,2022-11,Drought,98.997,White Smoke,0.979,Shell Armor,0.024
Roaring Moon,2022-11,Protosynthesis,100.000,,,,
Chi-Yu,2022-11,Beads of Ruin,100.000,,,,
Amoonguss,2022-11,Regenerator,96.505,Effect Spore,3.495,,
Grimmsnarl,2022-11,Prankster,100.000,Frisk,0.000,Pickpocket,0.000
Iron Hands,2022-11,Quark Drive,100.000,,,,
Tatsugiri,2022-11,Commander,93.711,Storm Drain,6.289,,
Arcanine,2022-11,Intimidate,97.176,Flash Fire,2.565,Justified,0.259
Chien-Pao,2022-11,Sword of Ruin,100.000,,,,
Dondozo,2022-11,Unaware,60.785,Oblivious,35.185,Water Veil,4.031
Great Tusk,2022-11,Protosynthesis,100.000,,,,
Indeedee-F,2022-11,Psychic Surge,98.684,Own Tempo,1.108,Synchronize,0.207
Brute Bonnet,2022-11,Protosynthesis,100.000,,,,
Palafin,2022-11,Zero to Hero,100.000,,,,
Gyarados,2022-11,Intimidate,98.903,Moxie,1.097,,
Lilligant,2022-11,Chlorophyll,96.240,Own Tempo,3.760,Leaf Guard,0.000
Talonflame,2022-11,Gale Wings,98.646,Flame Body,1.354,,
Ting-Lu,2022-11,Vessel of Ruin,100.000,,,,
Garganacl,2022-11,Purifying Salt,93.020,Clear Body,6.515,Sturdy,0.465
Maushold,2022-11,Friend Guard,70.912,Technician,28.931,Cheek Pouch,0.157
Armarouge,2022-11,Flash Fire,88.809,Weak Armor,11.191,,
Dragapult,2022-11,Clear Body,68.287,Infiltrator,29.662,Cursed Body,2.051
Tyranitar,2022-11,Sand Stream,97.569,Unnerve,2.431,,
Iron Bundle,2022-11,Quark Drive,100.000,,,,
Iron Moth,2022-11,Quark Drive,100.000,,,,
Baxcalibur,2022-11,Thermal Exchange,91.612,Ice Body,8.388,,
Tinkaton,2022-11,Mold Breaker,49.621,Own Tempo,48.519,Pickpocket,1.860
Kingambit,2022-11,Defiant,76.678,Supreme Overlord,23.114,Pressure,0.208
Garchomp,2022-11,Rough Skin,80.639,Sand Veil,19.361,,
Gholdengo,2022-11,Good as Gold,100.000,,,,
Flamigo,2022-11,Costar,98.028,Scrappy,1.972,Tangled Feet,0.000
Hatterene,2022-11,Magic Bounce,98.643,Healer,1.352,Anticipation,0.005
Farigiraf,2022-11,Armor Tail,93.355,Cud Chew,4.599,Sap Sipper,2.046
Rotom-Wash,2022-11,Levitate,100.000,,,,
Glimmora,2022-11,Toxic Debris,93.646,Corrosion,6.354,,
Kilowattrel,2022-11,Wind Power,64.566,Competitive,24.916,Volt Absorb,10.518
Abomasnow,2022-11,Snow Warning,100.000,Soundproof,0.000,,
Bronzong,2022-11,Levitate,89.437,Heatproof,10.563,Heavy Metal,0.000
Murkrow,2022-11,Prankster,97.158,Insomnia,2.842,Super Luck,0.000
Volcarona,2022-11,Flame Body,98.214,Swarm,1.786,,
Mimikyu,2022-11,Disguise,100.000,,,,
Dragonite,2022-11,Inner Focus,86.505,Multiscale,13.495,,
Iron Valiant,2022-11,Quark Drive,100.000,,,,
Scizor,2022-11,Technician,92.219,Swarm,7.780,Light Metal,0.000
Sylveon,2022-11,Pixilate,99.087,Cute Charm,0.913,,
Sandy Shocks,2022-11,Protosynthesis,100.000,,,,
Wo-Chien,2022-11,Tablets of Ruin,100.000,,,,
Salamence,2022-11,Intimidate,99.660,Moxie,0.340,,
Meowscarada,2022-11,Protean,78.454,Overgrow,21.546,,
Houndstone,2022-11,Sand Rush,82.525,Fluffy,17.475,,
Gothitelle,2022-11,Shadow Tag,91.178,Competitive,6.287,Frisk,2.535
Skeledirge,2022-11,Unaware,94.549,Blaze,5.451,,
Cyclizar,2022-11,Regenerator,92.199,Shed Skin,7.801,,
Ceruledge,2022-11,Flash Fire,63.690,Weak Armor,36.310,,
Gastrodon,2022-11,Storm Drain,98.548,Sticky Hold,1.452,Sand Force,0.000
Scream Tail,2022-11,Protosynthesis,100.000,,,,
Bruxish,2022-11,Dazzling,99.975,Strong Jaw,0.025,Wonder Skin,0.000
Breloom,2022-11,Technician,95.190,Poison Heal,4.490,Effect Spore,0.320
Pelipper,2022-11,Drizzle,99.869,Rain Dish,0.131,Keen Eye,0.000
Staraptor,2022-11,Intimidate,97.777,Reckless,2.223,,
Scovillain,2022-11,Chlorophyll,91.489,Moody,8.511,Insomnia,0.000
Annihilape,2022-11,Defiant,82.826,Inner Focus,13.548,Vital Spirit,3.627
Cetitan,2022-11,Slush Rush,92.747,Sheer Force,4.112,Thick Fat,3.142
Clodsire,2022-11,Water Absorb,58.160,Unaware,38.798,Poison Point,3.041
Pincurchin,2022-11,Electric Surge,98.940,Lightning Rod,1.060,,
Orthworm,2022-11,Earth Eater,100.000,Sand Veil,0.000,,
Brambleghast,2022-11,Wind Rider,92.632,Infiltrator,7.368,,
Quaquaval,2022-11,Moxie,99.737,Torrent,0.263,,
