name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Dragonite,2022-12,Multiscale,70.994,Inner Focus,29.006,,
Annihilape,2022-12,Defiant,95.163,Inner Focus,4.121,Vital Spirit,0.715
Gardevoir,2022-12,Telepathy,67.666,Trace,28.783,Synchronize,3.551
Meowscarada,2022-12,Protean,82.582,Overgrow,17.418,,
Iron Jugulis,2022-12,Quark Drive,100.000,,,,
Iron Valiant,2022-12,Quark Drive,100.000,,,,
Pincurchin,2022-12,Electric Surge,100.000,Lightning Rod,0.000,,
Volcarona,2022-12,Flame Body,96.337,Swarm,3.663,,
Sableye,2022-12,Prankster,99.963,Keen Eye,0.037,,
Quaquaval,2022-12,Moxie,99.854,Torrent,0.146,,
Iron Thorns,2022-12,Quark Drive,100.000,,,,
Ceruledge,2022-12,Flash Fire,70.499,Weak Armor,29.501,,
Skeledirge,2022-12,Unaware,98.393,Blaze,1.607,,
Vivillon,2022-12,Compound Eyes,95.950,Shield Dust,4.050,Friend Guard,0.000
Grafaiai,2022-12,Prankster,99.748,Poison Touch,0.249,Unburden,0.003
Sylveon,2022-12,Pixilate,98.236,Cute Charm,1.764,,
Ampharos,2022-12,Static,99.393,Plus,0.607,,
Oranguru,2022-12,Symbiosis,38.803,Telepathy,33.472,Inner Focus,27.725
Krookodile,2022-12,Intimidate,95.008,Moxie,2.670,Anger Point,2.322
Iron Treads,2022-12,Quark Drive,100.000,,,,
Toxicroak,2022-12,Dry Skin,99.353,Poison Touch,0.647,Anticipation,0.000
Mimikyu,2022-12,Disguise,100.000,,,,
Corviknight,2022-12,Pressure,89.821,Mirror Armor,10.133,Unnerve,0.046
Oricorio-Pom-Pom,2022-12,Dancer,100.000,,,,
Hariyama,2022-12,Guts,96.852,Thick Fat,3.148,Sheer Force,0.000
Slaking,2022-12,Truant,100.000,,,,
Gallade,2022-12,Sharpness,98.743,Justified,1.257,Steadfast,0.000
Hawlucha,2022-12,Unburden,100.000,Limber,0.000,Mold Breaker,0.000
Cyclizar,2022-12,Regenerator,100.000,Shed Skin,0.000,,
Dudunsparce,2022-12,Rattled,53.308,Serene Grace,46.692,,
Orthworm,2022-12,Earth Eater,100.000,Sand Veil,0.000,,
Salamence,2022-12,Intimidate,99.215,Moxie,0.785,,
Clawitzer,2022-12,Mega Launcher,100.000,,,,
Houndstone,2022-12,Sand Rush,91.360,Fluffy,8.640,,
Hippowdon,2022-12,Sand Stream,100.000,Sand Force,0.000,,
Scizor,2022-12,Technician,100.000,Swarm,0.000,Light Metal,0.000
Azumarill,2022-12,Huge Power,77.795,Thick Fat,18.761,Sap Sipper,3.444
Pawmot,2022-12,Iron Fist,92.087,Volt Absorb,7.913,Natural Cure,0.000
Pachirisu,2022-12,Volt Absorb,97.247,Pickup,1.886,Run Away,0.867
Hydreigon,2022-12,Levitate,100.000,,,,
Coalossal,2022-12,Steam Engine,100.000,Flame Body,0.000,Flash Fire,0.000
Arboliva,2022-12,Seed Sower,84.211,Harvest,15.789,,
Vaporeon,2022-12,Water Absorb,100.000,Hydration,0.000,,
Bellibolt,2022-12,Electromorphosis,100.000,Static,0.000,Damp,0.000
Clodsire,2022-12,Unaware,63.376,Water Absorb,36.624,Poison Point,0.000
Slither Wing,2022-12,Protosynthesis,100.000,,,,
Forretress,2022-12,Sturdy,99.874,Overcoat,0.126,,
Cetitan,2022-12,Slush Rush,60.486,Sheer Force,38.005,Thick Fat,1.509
Tauros-Paldea-Water,2022-12,Intimidate,91.181,Anger Point,8.819,Cud Chew,0.000
Lucario,2022-12,Inner Focus,90.557,Justified,9.443,Steadfast,0.000
Breloom,2022-12,Technician,79.208,Poison Heal,20.792,Effect Spore,0.000
Bisharp,2022-12,Defiant,84.516,Inner Focus,15.484,Pressure,0.000
Pelipper,2022-12,Drizzle,100.000,Rain Dish,0.000,Keen Eye,0.000
Goodra,2022-12,Sap Sipper,97.047,Hydration,2.544,Gooey,0.409
Weavile,2022-12,Pressure,54.263,Pickpocket,45.737,,
Slowking,2022-12,Regenerator,95.255,Oblivious,4.738,Own Tempo,0.007
Spiritomb,2022-12,Infiltrator,100.000,Pressure,0.000,,
Jolteon,2022-12,Volt Absorb,99.499,Quick Feet,0.501,,
Gengar,2022-12,Cursed Body,100.000,,,,
Raichu,2022-12,Lightning Rod,73.456,Static,26.544,,
Scream Tail,2022-12,Protosynthesis,100.000,,,,
Medicham,2022-12,Pure Power,100.000,Telepathy,0.000,,
