name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Misdreavus,2022-11,Levitate,100.000,,,,
Girafarig,2022-11,Sap Sipper,60.403,Inner Focus,30.481,Early Bird,9.116
Pawniard,2022-11,Defiant,99.916,Inner Focus,0.084,Pressure,0.000
Dunsparce,2022-11,Serene Grace,94.767,Rattled,5.233,,
Toedscool,2022-11,Mycelium Might,100.000,,,,
Glimmet,2022-11,Toxic Debris,99.509,Corrosion,0.491,,
Diglett,2022-11,Arena Trap,99.971,Sand Veil,0.029,Sand Force,0.000
Cetoddle,2022-11,Slush Rush,52.158,Thick Fat,39.043,Sheer Force,8.798
Flittle,2022-11,Speed Boost,100.000,Anticipation,0.000,Frisk,0.000
Rufflet,2022-11,Hustle,92.395,Keen Eye,3.904,Sheer Force,3.701
Maschiff,2022-11,Stakeout,55.517,Intimidate,44.483,,
Meditite,2022-11,Pure Power,100.000,,,,
Croagunk,2022-11,Poison Touch,63.621,Dry Skin,35.974,Anticipation,0.406
Snover,2022-11,Snow Warning,100.000,Soundproof,0.000,,
Surskit,2022-11,Swift Swim,100.000,Rain Dish,0.000,,
Quaxly,2022-11,Moxie,94.500,Torrent,5.500,,
Gastly,2022-11,Levitate,100.000,,,,
Shroodle,2022-11,Prankster,87.949,Unburden,11.843,Pickpocket,0.208
Impidimp,2022-11,Prankster,99.741,Frisk,0.259,Pickpocket,0.000
Murkrow,2022-11,Super Luck,71.491,Prankster,25.384,Insomnia,3.125
Magnemite,2022-11,Sturdy,49.685,Analytic,39.375,Magnet Pull,10.939
Mankey,2022-11,Vital Spirit,50.645,Defiant,46.849,Anger Point,2.506
Tinkatink,2022-11,Mold Breaker,81.887,Pickpocket,18.113,Own Tempo,0.000
Larvesta,2022-11,Flame Body,99.194,Swarm,0.806,,
Mudbray,2022-11,Stamina,72.327,Inner Focus,27.673,Own Tempo,0.000
Greavard,2022-11,Fluffy,100.000,Pickup,0.000,,
Crabrawler,2022-11,Iron Fist,100.000,Hyper Cutter,0.000,Anger Point,0.000
Bramblin,2022-11,Wind Rider,65.711,Infiltrator,34.289,,
Houndour,2022-11,Flash Fire,100.000,Unnerve,0.000,Early Bird,0.000
Foongus,2022-11,Regenerator,89.617,Effect Spore,10.383,,
Shellder,2022-11,Skill Link,90.307,Shell Armor,9.226,Overcoat,0.467
Azurill,2022-11,Huge Power,100.000,Thick Fat,0.000,Sap Sipper,0.000
Tarountula,2022-11,Insomnia,99.884,Stakeout,0.116,,
Mareanie,2022-11,Regenerator,97.728,Merciless,2.272,Limber,0.000
Zorua,2022-11,Illusion,100.000,,,,
Nymble,2022-11,Tinted Lens,100.000,Swarm,0.000,,
Sandile,2022-11,Intimidate,74.013,Moxie,25.987,Anger Point,0.000
Wingull,2022-11,Hydration,66.681,Keen Eye,33.319,Rain Dish,0.000
Axew,2022-11,Mold Breaker,100.000,Unnerve,0.000,Rivalry,0.000
Yungoos,2022-11,Adaptability,100.000,Stakeout,0.000,Strong Jaw,0.000
Gothita,2022-11,Shadow Tag,97.011,Frisk,2.989,Competitive,0.000
Varoom,2022-11,Overcoat,100.000,Slow Start,0.000,,
Deerling,2022-11,Chlorophyll,96.542,Serene Grace,3.458,Sap Sipper,0.000
Numel,2022-11,Simple,100.000,Oblivious,0.000,Own Tempo,0.000
Smoliv,2022-11,Harvest,100.000,Early Bird,0.000,,
Slowpoke,2022-11,Regenerator,97.056,Oblivious,2.944,Own Tempo,0.000
Hatenna,2022-11,Magic Bounce,100.000,Healer,0.000,,
Sprigatito,2022-11,Protean,88.820,Overgrow,11.180,,
Meowth-Galar,2022-11,Tough Claws,100.000,Pickup,0.000,Unnerve,0.000
Makuhita,2022-11,Guts,95.112,Thick Fat,4.888,Sheer Force,0.000
Pineco,2022-11,Sturdy,100.000,Overcoat,0.000,,
Fomantis,2022-11,Contrary,100.000,Leaf Guard,0.000,,
Riolu,2022-11,Prankster,100.000,Inner Focus,0.000,Steadfast,0.000
Bagon,2022-11,Sheer Force,99.577,Rock Head,0.423,,
Skwovet,2022-11,Gluttony,99.969,Cheek Pouch,0.031,,
Wattrel,2022-11,Volt Absorb,66.692,Competitive,24.092,Wind Power,9.215
Shellos,2022-11,Sticky Hold,87.394,Storm Drain,12.606,Sand Force,0.000
Nacli,2022-11,Purifying Salt,99.408,Sturdy,0.592,Clear Body,0.000
Teddiursa,2022-11,Quick Feet,100.000,Pickup,0.000,Honey Gather,0.000
Larvitar,2022-11,Guts,92.657,Sand Veil,7.343,,
Dratini,2022-11,Shed Skin,99.711,Marvel Scale,0.289,,
Drifloon,2022-11,Unburden,49.982,Flare Boost,47.614,Aftermath,2.404
Fuecoco,2022-11,Unaware,100.000,Blaze,0.000,,
Silicobra,2022-11,Sand Spit,100.000,Sand Veil,0.000,Shed Skin,0.000
Voltorb,2022-11,Static,97.126,Soundproof,1.946,Aftermath,0.928
Frigibax,2022-11,Thermal Exchange,98.854,Ice Body,1.146,,
Buizel,2022-11,Swift Swim,89.387,Water Veil,10.613,,
Arrokuda,2022-11,Swift Swim,100.000,Propeller Tail,0.000,,
Grimer,2022-11,Sticky Hold,100.000,Poison Touch,0.000,Stench,0.000
Finizen,2022-11,Water Veil,100.000,,,,
Bonsly,2022-11,Sturdy,100.000,Rattled,0.000,Rock Head,0.000
Skiddo,2022-11,Sap Sipper,100.000,Grass Pelt,0.000,,
Gimmighoul,2022-11,Rattled,100.000,,,,
Psyduck,2022-11,Swift Swim,99.978,Damp,0.022,Cloud Nine,0.000
Chewtle,2022-11,Strong Jaw,100.000,Swift Swim,0.000,Shell Armor,0.000
Clauncher,2022-11,Mega Launcher,100.000,,,,
Meowth,2022-11,Technician,100.000,Pickup,0.000,Unnerve,0.000
Hippopotas,2022-11,Sand Stream,100.000,Sand Force,0.000,,
Bergmite,2022-11,Sturdy,100.000,Own Tempo,0.000,Ice Body,0.000
Fidough,2022-11,Own Tempo,100.000,Klutz,0.000,,
Sandygast,2022-11,Water Compaction,100.000,Sand Veil,0.000,,
Litleo,2022-11,Moxie,86.396,Rivalry,13.604,Unnerve,0.000
Pawmi,2022-11,Iron Fist,100.000,Static,0.000,Natural Cure,0.000
Cacnea,2022-11,Water Absorb,100.000,Sand Veil,0.000,,
Ralts,2022-11,Trace,100.000,Synchronize,0.000,,
Charcadet,2022-11,Flame Body,100.000,Flash Fire,0.000,,
Wiglett,2022-11,Gooey,94.215,Sand Veil,5.785,Rattled,0.000
Bronzor,2022-11,Heatproof,62.579,Levitate,37.421,Heavy Metal,0.000
Cufant,2022-11,Sheer Force,100.000,Heavy Metal,0.000,,
Eevee,2022-11,Adaptability,100.000,Anticipation,0.000,Run Away,0.000
Wooper-Paldea,2022-11,Water Absorb,87.985,Unaware,12.015,Poison Point,0.000
Wooper,2022-11,Unaware,100.000,Water Absorb,0.000,Damp,0.000
Stunky,2022-11,Stench,80.862,Aftermath,19.138,Keen Eye,0.000
Shroomish,2022-11,Poison Heal,100.000,Quick Feet,0.000,Effect Spore,0.000
Goomy,2022-11,Gooey,51.808,Sap Sipper,43.956,Hydration,4.236
Growlithe,2022-11,Intimidate,100.000,Justified,0.000,Flash Fire,0.000
Salandit,2022-11,Corrosion,100.000,Oblivious,0.000,,
Cubchoo,2022-11,Slush Rush,100.000,Rattled,0.000,Snow Cloak,0.000
Swablu,2022-11,Natural Cure,100.000,Cloud Nine,0.000,,
Lechonk,2022-11,Gluttony,100.000,Thick Fat,0.000,Aroma Veil,0.000
Barboach,2022-11,Hydration,100.000,Oblivious,0.000,Anticipation,0.000
Combee,2022-11,Hustle,100.000,Honey Gather,0.000,,
Fletchling,2022-11,Gale Wings,100.000,Big Pecks,0.000,,
Girafarig,2022-12,Sap Sipper,84.832,Early Bird,13.011,Inner Focus,2.157
Pawniard,2022-12,Defiant,99.667,Inner Focus,0.333,Pressure,0.000
Toedscool,2022-12,Mycelium Might,100.000,,,,
Glimmet,2022-12,Toxic Debris,99.987,Corrosion,0.013,,
Quaxly,2022-12,Moxie,99.977,Torrent,0.023,,
Nymble,2022-12,Tinted Lens,100.000,Swarm,0.000,,
Diglett,2022-12,Arena Trap,98.688,Sand Force,1.312,Sand Veil,0.000
Gastly,2022-12,Levitate,100.000,,,,
Crabrawler,2022-12,Iron Fist,99.549,Hyper Cutter,0.284,Anger Point,0.166
Magnemite,2022-12,Analytic,65.902,Sturdy,26.641,Magnet Pull,7.457
Mareanie,2022-12,Regenerator,77.359,Merciless,22.641,Limber,0.000
Drifloon,2022-12,Unburden,79.793,Aftermath,17.732,Flare Boost,2.475
Surskit,2022-12,Swift Swim,99.779,Rain Dish,0.221,,
Tinkatink,2022-12,Pickpocket,79.784,Mold Breaker,17.650,Own Tempo,2.567
Larvesta,2022-12,Flame Body,99.999,Swarm,0.001,,
Mankey,2022-12,Vital Spirit,52.579,Defiant,47.421,Anger Point,0.000
Mudbray,2022-12,Stamina,99.677,Own Tempo,0.323,Inner Focus,0.000
Greavard,2022-12,Fluffy,99.815,Pickup,0.185,,
Snover,2022-12,Snow Warning,100.000,Soundproof,0.000,,
Meowth,2022-12,Technician,99.862,Unnerve,0.138,Pickup,0.000
Houndour,2022-12,Flash Fire,55.510,Early Bird,41.342,Unnerve,3.148
Zorua,2022-12,Illusion,100.000,,,,
Voltorb,2022-12,Aftermath,55.660,Static,39.468,Soundproof,4.872
Bramblin,2022-12,Infiltrator,83.874,Wind Rider,16.126,,
Meowth-Galar,2022-12,Tough Claws,100.000,Pickup,0.000,Unnerve,0.000
Buizel,2022-12,Swift Swim,69.174,Water Veil,30.826,,
