name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Flutter Mane,2022-11,Protosynthesis,100.000,,,,
Iron Bundle,2022-11,Quark Drive,100.000,,,,
Dragapult,2022-11,Infiltrator,50.561,Clear Body,48.985,Cursed Body,0.454
Mimikyu,2022-11,Disguise,100.000,,,,
Iron Valiant,2022-11,Quark Drive,100.000,,,,
Froslass,2022-11,Cursed Body,92.626,Snow Cloak,7.374,,
Pelipper,2022-11,Drizzle,100.000,Rain Dish,0.000,Keen Eye,0.000
Annihilape,2022-11,Defiant,72.204,Vital Spirit,21.197,Inner Focus,6.600
Klefki,2022-11,Prankster,100.000,Magician,0.000,,
Gholdengo,2022-11,Good as Gold,100.000,,,,
Ceruledge,2022-11,Weak Armor,82.959,Flash Fire,17.041,,
Quaquaval,2022-11,Moxie,99.204,Torrent,0.796,,
Azumarill,2022-11,Huge Power,98.348,Sap Sipper,1.652,Thick Fat,0.000
Barraskewda,2022-11,Swift Swim,100.000,Propeller Tail,0.000,,
Palafin,2022-11,Zero to Hero,100.000,,,,
Chien-Pao,2022-11,Sword of Ruin,100.000,,,,
Kingambit,2022-11,Supreme Overlord,89.724,Defiant,10.276,Pressure,0.000
Scizor,2022-11,Technician,100.000,Light Metal,0.000,Swarm,0.000
Gengar,2022-11,Cursed Body,100.000,,,,
Houndstone,2022-11,Fluffy,87.069,Sand Rush,12.931,,
Forretress,2022-11,Sturdy,54.165,Overcoat,45.835,,
Grimmsnarl,2022-11,Prankster,100.000,Pickpocket,0.000,Frisk,0.000
Volcarona,2022-11,Flame Body,90.220,Swarm,9.780,,
Baxcalibur,2022-11,Thermal Exchange,89.574,Ice Body,10.426,,
Great Tusk,2022-11,Protosynthesis,100.000,,,,
Toxapex,2022-11,Regenerator,100.000,Merciless,0.000,Limber,0.000
Corviknight,2022-11,Mirror Armor,72.926,Pressure,27.074,Unnerve,0.000
Skeledirge,2022-11,Unaware,96.730,Blaze,3.270,,
Gastrodon,2022-11,Storm Drain,57.933,Sticky Hold,41.358,Sand Force,0.709
Tinkaton,2022-11,Mold Breaker,99.083,Own Tempo,0.915,Pickpocket,0.002
Slither Wing,2022-11,Protosynthesis,100.000,,,,
Chi-Yu,2022-11,Beads of Ruin,100.000,,,,
Meowscarada,2022-11,Protean,95.200,Overgrow,4.800,,
Iron Treads,2022-11,Quark Drive,100.000,,,,
Abomasnow,2022-11,Snow Warning,99.998,Soundproof,0.002,,
Clodsire,2022-11,Water Absorb,53.207,Unaware,46.793,Poison Point,0.000
Breloom,2022-11,Technician,97.143,Poison Heal,2.325,Effect Spore,0.532
Lokix,2022-11,Tinted Lens,98.164,Swarm,1.836,,
Avalugg,2022-11,Sturdy,82.471,Ice Body,17.529,Own Tempo,0.000
Amoonguss,2022-11,Regenerator,98.474,Effect Spore,1.526,,
Roaring Moon,2022-11,Protosynthesis,100.000,,,,
Sandy Shocks,2022-11,Protosynthesis,100.000,,,,
Garchomp,2022-11,Rough Skin,69.574,Sand Veil,30.426,,
Scovillain,2022-11,Moody,54.630,Chlorophyll,45.360,Insomnia,0.011
Glimmora,2022-11,Toxic Debris,97.712,Corrosion,2.288,,
Iron Moth,2022-11,Quark Drive,100.000,,,,
Pawmot,2022-11,Iron Fist,74.190,Volt Absorb,23.819,Natural Cure,1.991
Hatterene,2022-11,Magic Bounce,100.000,Healer,0.000,Anticipation,0.000
Quagsire,2022-11,Unaware,99.691,Water Absorb,0.309,Damp,0.000
Ting-Lu,2022-11,Vessel of Ruin,100.000,,,,
Iron Hands,2022-11,Quark Drive,100.000,,,,
Cloyster,2022-11,Skill Link,100.000,Shell Armor,0.000,Overcoat,0.000
Gardevoir,2022-11,Trace,97.755,Synchronize,2.245,Telepathy,0.000
Revavroom,2022-11,Filter,99.805,Overcoat,0.195,,
Iron Jugulis,2022-11,Quark Drive,100.000,,,,
Toedscruel,2022-11,Mycelium Might,100.000,,,,
Heracross,2022-11,Moxie,99.944,Guts,0.056,Swarm,0.000
Tauros-Paldea-Fire,2022-11,Intimidate,77.200,Cud Chew,22.558,Anger Point,0.242
