name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Cyclizar,2022-11,Regenerator,93.917,Shed Skin,6.083,,
Shedinja,2022-11,Wonder Guard,100.000,,,,
Flutter Mane,2022-11,Protosynthesis,100.000,,,,
Kyurem-Black,2022-11,Teravolt,100.000,,,,
Chien-Pao,2022-11,Sword of Ruin,100.000,,,,
Roaring Moon,2022-11,Protosynthesis,100.000,,,,
Zamazenta-Crowned,2022-11,Dauntless Shield,100.000,,,,
Palafin,2022-11,Zero to Hero,100.000,,,,
Landorus-Therian,2022-11,Intimidate,100.000,,,,
Blaziken-Mega,2022-11,Speed Boost,100.000,,,,
Toxapex,2022-11,Regenerator,98.763,Merciless,1.168,Limber,0.070
Great Tusk,2022-11,Protosynthesis,100.000,,,,
Clodsire,2022-11,Unaware,66.718,Water Absorb,30.876,Poison Point,2.406
Houndstone,2022-11,Sand Rush,95.165,Fluffy,4.835,,
Tyranitar,2022-11,Sand Stream,99.399,Unnerve,0.601,,
Genesect,2022-11,Download,100.000,,,,
Corviknight,2022-11,Pressure,89.822,Mirror Armor,10.178,Unnerve,0.000
Excadrill,2022-11,Sand Rush,64.665,Mold Breaker,34.034,Sand Force,1.301
Kingambit,2022-11,Supreme Overlord,90.150,Defiant,9.850,Pressure,0.000
Magearna,2022-11,Soul-Heart,100.000,,,,
Dragapult,2022-11,Infiltrator,62.002,Clear Body,36.696,Cursed Body,1.302
Tapu Koko,2022-11,Electric Surge,100.000,Telepathy,0.000,,
Grimmsnarl,2022-11,Prankster,100.000,Pickpocket,0.000,Frisk,0.000
Glimmora,2022-11,Toxic Debris,89.757,Corrosion,10.243,,
Ditto,2022-11,Imposter,99.273,Limber,0.727,,
Diancie-Mega,2022-11,Magic Bounce,100.000,,,,
Blissey,2022-11,Natural Cure,95.792,Healer,4.208,Serene Grace,0.000
Deoxys-Speed,2022-11,Pressure,100.000,,,,
Ferrothorn,2022-11,Iron Barbs,95.760,Anticipation,4.240,,
Heatran,2022-11,Flash Fire,100.000,Flame Body,0.000,,
Garchomp,2022-11,Rough Skin,100.000,,,,
Scizor-Mega,2022-11,Technician,100.000,,,,
Zapdos,2022-11,Static,92.009,Pressure,7.991,,
Lopunny-Mega,2022-11,Scrappy,100.000,,,,
Gholdengo,2022-11,Good as Gold,100.000,,,,
Iron Treads,2022-11,Quark Drive,100.000,,,,
Gliscor,2022-11,Poison Heal,98.991,Hyper Cutter,1.009,,
Chansey,2022-11,Natural Cure,97.346,Healer,1.976,Serene Grace,0.678
Skeledirge,2022-11,Unaware,96.157,Blaze,3.843,,
Regieleki,2022-11,Transistor,100.000,,,,
Baxcalibur,2022-11,Thermal Exchange,98.038,Ice Body,1.962,,
Hippowdon,2022-11,Sand Stream,100.000,Sand Force,0.000,,
Pelipper,2022-11,Drizzle,99.997,Keen Eye,0.003,Rain Dish,0.000
Mawile-Mega,2022-11,Huge Power,100.000,,,,
Chi-Yu,2022-11,Beads of Ruin,100.000,,,,
Charizard-Mega-Y,2022-11,Drought,100.000,,,,
Iron Bundle,2022-11,Quark Drive,100.000,,,,
Clefable,2022-11,Unaware,68.434,Magic Guard,30.851,Cute Charm,0.715
Naganadel,2022-11,Beast Boost,100.000,,,,
Iron Valiant,2022-11,Quark Drive,100.000,,,,
Tornadus-Therian,2022-11,Regenerator,100.000,,,,
Sableye-Mega,2022-11,Magic Bounce,100.000,,,,
Maushold,2022-11,Technician,89.400,Friend Guard,10.600,Cheek Pouch,0.000
Ceruledge,2022-11,Weak Armor,56.407,Flash Fire,43.593,,
Orthworm,2022-11,Earth Eater,100.000,,,,
Melmetal,2022-11,Iron Fist,100.000,,,,
Dracozolt,2022-11,Sand Rush,96.211,Volt Absorb,3.787,Hustle,0.002
Breloom,2022-11,Technician,94.418,Poison Heal,5.566,Effect Spore,0.016
Swampert-Mega,2022-11,Swift Swim,100.000,,,,
Greninja-Ash,2022-11,Battle Bond,100.000,,,,
Rillaboom,2022-11,Grassy Surge,99.333,Overgrow,0.667,,
Volcarona,2022-11,Flame Body,99.351,Swarm,0.649,,
Quaquaval,2022-11,Moxie,99.916,Torrent,0.084,,
Dondozo,2022-11,Unaware,100.000,Oblivious,0.000,Water Veil,0.000
Meowscarada,2022-11,Protean,99.491,Overgrow,0.509,,
Armarouge,2022-11,Weak Armor,70.768,Flash Fire,29.232,,
Torkoal,2022-11,Drought,99.518,White Smoke,0.482,Shell Armor,0.000
Avalugg,2022-11,Sturdy,94.136,Ice Body,4.511,Own Tempo,1.353
Skarmory,2022-11,Sturdy,96.606,Keen Eye,2.504,Weak Armor,0.891
Tapu Fini,2022-11,Misty Surge,100.000,Telepathy,0.000,,
Ninetales-Alola,2022-11,Snow Warning,100.000,,,,
Tyranitar-Mega,2022-11,Sand Stream,100.000,,,,
Charizard-Mega-X,2022-11,Tough Claws,100.000,,,,
Urshifu-Rapid-Strike,2022-11,Unseen Fist,100.000,,,,
Cinderace,2022-11,Libero,98.291,Blaze,1.709,,
Iron Moth,2022-11,Quark Drive,100.000,,,,
Gyarados-Mega,2022-11,Mold Breaker,100.000,,,,
Slowbro,2022-11,Regenerator,95.922,Oblivious,4.078,Own Tempo,0.000
Serperior,2022-11,Contrary,99.526,Overgrow,0.474,,
Dragonite,2022-11,Multiscale,92.881,Inner Focus,7.119,,
Lokix,2022-11,Tinted Lens,99.998,Swarm,0.002,,
Medicham-Mega,2022-11,Pure Power,100.000,,,,
Zamazenta,2022-11,Dauntless Shield,100.000,,,,
Aegislash,2022-11,Stance Change,100.000,,,,
Volcanion,2022-11,Water Absorb,100.000,,,,
Magnezone,2022-11,Magnet Pull,96.071,Sturdy,3.929,Analytic,0.000
Annihilape,2022-11,Defiant,66.006,Inner Focus,18.852,Vital Spirit,15.142
Cetitan,2022-11,Slush Rush,85.839,Thick Fat,11.114,Sheer Force,3.047
Venusaur,2022-11,Chlorophyll,95.214,Overgrow,4.786,,
Galvantula,2022-11,Compound Eyes,99.429,Unnerve,0.529,Swarm,0.042
Pinsir-Mega,2022-11,Aerilate,100.000,,,,
Tinkaton,2022-11,Mold Breaker,95.759,Own Tempo,4.196,Pickpocket,0.045
Latios,2022-11,Levitate,100.000,,,,
Iron Hands,2022-11,Quark Drive,100.000,,,,
Beedrill-Mega,2022-11,Adaptability,100.000,,,,
Ting-Lu,2022-11,Vessel of Ruin,100.000,,,,
Garganacl,2022-11,Purifying Salt,98.308,Sturdy,1.692,Clear Body,0.000
Kartana,2022-11,Beast Boost,100.000,,,,
Araquanid,2022-11,Water Bubble,78.484,Water Absorb,21.516,,
Manectric-Mega,2022-11,Intimidate,100.000,,,,
Rotom-Wash,2022-11,Levitate,100.000,,,,
Venusaur-Mega,2022-11,Thick Fat,100.000,,,,
Cloyster,2022-11,Skill Link,97.618,Overcoat,2.329,Shell Armor,0.053
Victini,2022-11,Victory Star,100.000,,,,
Amoonguss,2022-11,Regenerator,84.122,Effect Spore,15.878,,
Celesteela,2022-11,Beast Boost,100.000,,,,
Weavile,2022-11,Pressure,93.974,Pickpocket,6.026,,
Slowking,2022-11,Regenerator,98.242,Oblivious,1.758,Own Tempo,0.000
Kommo-o,2022-11,Bulletproof,54.462,Soundproof,32.500,Overcoat,13.038
Hydreigon,2022-11,Levitate,100.000,,,,
Mimikyu,2022-11,Disguise,100.000,,,,
Arctozolt,2022-11,Slush Rush,99.927,Volt Absorb,0.073,Static,0.000
Tapu Lele,2022-11,Psychic Surge,100.000,Telepathy,0.000,,
Latias-Mega,2022-11,Levitate,100.000,,,,
Zygarde-10%,2022-11,Aura Break,100.000,,,,
Kingdra,2022-11,Swift Swim,90.275,Sniper,9.725,Damp,0.000
Hawlucha,2022-11,Unburden,94.195,Mold Breaker,5.801,Limber,0.004
Scizor,2022-11,Technician,99.804,Light Metal,0.162,Swarm,0.033
Espathra,2022-11,Speed Boost,83.879,Opportunist,16.121,Frisk,0.000
Gastrodon,2022-11,Storm Drain,99.976,Sand Force,0.024,Sticky Hold,0.000
Slither Wing,2022-11,Protosynthesis,100.000,,,,
Garchomp-Mega,2022-11,Sand Force,100.000,,,,
Slowking-Galar,2022-11,Regenerator,100.000,Own Tempo,0.000,Curious Medicine,0.000
Pawmot,2022-11,Iron Fist,94.501,Volt Absorb,2.793,Natural Cure,2.706
Brute Bonnet,2022-11,Protosynthesis,100.000,,,,
Gengar,2022-11,Cursed Body,100.000,,,,
Haxorus,2022-11,Mold Breaker,87.512,Rivalry,12.488,Unnerve,0.000
Aggron-Mega,2022-11,Filter,100.000,,,,
Reuniclus,2022-11,Magic Guard,97.560,Regenerator,2.440,Overcoat,0.000
Zeraora,2022-11,Volt Absorb,100.000,,,,
Aerodactyl-Mega,2022-11,Tough Claws,100.000,,,,
Shuckle,2022-11,Sturdy,88.308,Contrary,9.653,Gluttony,2.039
Jirachi,2022-11,Serene Grace,100.000,,,,
Salamence,2022-11,Moxie,93.022,Intimidate,6.978,,
Keldeo,2022-11,Justified,100.000,,,,
Klawf,2022-11,Anger Shell,87.112,Regenerator,12.888,Shell Armor,0.000
Tapu Bulu,2022-11,Grassy Surge,100.000,,,,
Jellicent,2022-11,Water Absorb,87.335,Cursed Body,12.665,,
Cresselia,2022-11,Levitate,100.000,,,,
Pidgeot-Mega,2022-11,No Guard,100.000,,,,
Kilowattrel,2022-11,Wind Power,56.685,Volt Absorb,33.792,Competitive,9.522
Grafaiai,2022-11,Prankster,86.643,Poison Touch,10.963,Unburden,2.395
