name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Cyclizar,2022-11,Regenerator,86.794,Shed Skin,13.206,,
Dracovish,2022-11,Strong Jaw,100.000,Water Absorb,0.000,Sand Rush,0.000
Flutter Mane,2022-11,Protosynthesis,100.000,,,,
Ditto,2022-11,Imposter,100.000,Limber,0.000,,
Iron Bundle,2022-11,Quark Drive,100.000,,,,
Lopunny-Mega,2022-11,Scrappy,100.000,,,,
Dragapult,2022-11,Infiltrator,66.619,Clear Body,33.026,Cursed Body,0.354
Chansey,2022-11,Natural Cure,100.000,Healer,0.000,Serene Grace,0.000
Bewear,2022-11,Fluffy,100.000,Klutz,0.000,Unnerve,0.000
Meloetta,2022-11,Serene Grace,100.000,,,,
Blastoise-Mega,2022-11,Mega Launcher,100.000,,,,
Mimikyu,2022-11,Disguise,100.000,,,,
Zygarde,2022-11,Power Construct,100.000,Aura Break,0.000,,
Pelipper,2022-11,Drizzle,100.000,Rain Dish,0.000,Keen Eye,0.000
Salamence-Mega,2022-11,Aerilate,100.000,,,,
Araquanid,2022-11,Water Bubble,100.000,Water Absorb,0.000,,
Chien-Pao,2022-11,Sword of Ruin,100.000,,,,
Palafin,2022-11,Zero to Hero,100.000,,,,
Iron Valiant,2022-11,Quark Drive,100.000,,,,
Cloyster,2022-11,Skill Link,100.000,Shell Armor,0.000,Overcoat,0.000
Gengar-Mega,2022-11,Shadow Tag,100.000,,,,
Kyurem-Black,2022-11,Teravolt,100.000,,,,
Naganadel,2022-11,Beast Boost,100.000,,,,
Urshifu-Rapid-Strike,2022-11,Unseen Fist,100.000,,,,
Barraskewda,2022-11,Swift Swim,100.000,Propeller Tail,0.000,,
Roaring Moon,2022-11,Protosynthesis,100.000,,,,
Ninetales-Alola,2022-11,Snow Warning,100.000,Snow Cloak,0.000,,
Tapu Lele,2022-11,Psychic Surge,100.000,,,,
Annihilape,2022-11,Defiant,99.650,Vital Spirit,0.350,Inner Focus,0.000
Iron Hands,2022-11,Quark Drive,100.000,,,,
Tapu Koko,2022-11,Electric Surge,100.000,,,,
Skeledirge,2022-11,Unaware,100.000,Blaze,0.000,,
Diancie-Mega,2022-11,Magic Bounce,100.000,,,,
Toxapex,2022-11,Regenerator,96.748,Limber,3.252,Merciless,0.000
Rotom-Wash,2022-11,Levitate,100.000,,,,
Raichu-Alola,2022-11,Surge Surfer,100.000,,,,
Houndstone,2022-11,Sand Rush,61.307,Fluffy,38.693,,
Swampert-Mega,2022-11,Swift Swim,100.000,,,,
Regieleki,2022-11,Transistor,100.000,,,,
Thundurus,2022-11,Prankster,100.000,Defiant,0.000,,
Breloom,2022-11,Technician,100.000,Effect Spore,0.000,Poison Heal,0.000
Ribombee,2022-11,Shield Dust,98.346,Sweet Veil,1.654,Honey Gather,0.000
Tapu Bulu,2022-11,Grassy Surge,100.000,Telepathy,0.000,,
Avalugg,2022-11,Sturdy,91.482,Ice Body,8.518,Own Tempo,0.000
Sableye-Mega,2022-11,Magic Bounce,100.000,,,,
Pheromosa,2022-11,Beast Boost,100.000,,,,
Kyurem,2022-11,Pressure,100.000,,,,
Latias,2022-11,Levitate,100.000,,,,
Volcarona,2022-11,Flame Body,95.497,Swarm,4.503,,
Kingdra,2022-11,Swift Swim,100.000,Sniper,0.000,,
Zamazenta-Crowned,2022-11,Dauntless Shield,100.000,,,,
Slither Wing,2022-11,Protosynthesis,100.000,,,,
Aegislash,2022-11,Stance Change,100.000,,,,
Gholdengo,2022-11,Good as Gold,100.000,,,,
Ceruledge,2022-11,Weak Armor,81.797,Flash Fire,18.203,,
Blaziken-Mega,2022-11,Speed Boost,100.000,,,,
Quaquaval,2022-11,Moxie,100.000,Torrent,0.000,,
Venusaur-Mega,2022-11,Thick Fat,100.000,,,,
Great Tusk,2022-11,Protosynthesis,100.000,,,,
Kommo-o,2022-11,Soundproof,89.824,Bulletproof,10.176,Overcoat,0.000
Spectrier,2022-11,Grim Neigh,100.000,,,,
Shuckle,2022-11,Sturdy,89.738,Gluttony,10.262,Contrary,0.000
Greninja,2022-11,Protean,100.000,Torrent,0.000,,
Kartana,2022-11,Beast Boost,100.000,,,,
Bisharp,2022-11,Defiant,100.000,Inner Focus,0.000,,
Lucario-Mega,2022-11,Adaptability,100.000,,,,
Meowscarada,2022-11,Protean,100.000,Overgrow,0.000,,
Charizard-Mega-Y,2022-11,Drought,100.000,,,,
Ferrothorn,2022-11,Iron Barbs,100.000,Anticipation,0.000,,
Darmanitan-Galar,2022-11,Gorilla Tactics,100.000,Zen Mode,0.000,,
Pinsir-Mega,2022-11,Aerilate,100.000,,,,
Maushold,2022-11,Technician,100.000,Cheek Pouch,0.000,Friend Guard,0.000
Klefki,2022-11,Prankster,100.000,Magician,0.000,,
Incineroar,2022-11,Intimidate,100.000,Blaze,0.000,,
Zamazenta,2022-11,Dauntless Shield,100.000,,,,
Blacephalon,2022-11,Beast Boost,100.000,,,,
Glimmora,2022-11,Toxic Debris,100.000,Corrosion,0.000,,
Cinderace,2022-11,Libero,100.000,Blaze,0.000,,
Mamoswine,2022-11,Thick Fat,98.970,Oblivious,1.030,Snow Cloak,0.000
Iron Treads,2022-11,Quark Drive,100.000,,,,
Scizor,2022-11,Technician,100.000,Swarm,0.000,Light Metal,0.000
Marowak-Alola,2022-11,Rock Head,100.000,Cursed Body,0.000,Lightning Rod,0.000
Azumarill,2022-11,Huge Power,93.854,Sap Sipper,6.146,Thick Fat,0.000
Nidoking,2022-11,Sheer Force,97.596,Poison Point,2.404,Rivalry,0.000
Lokix,2022-11,Tinted Lens,100.000,Swarm,0.000,,
Froslass,2022-11,Cursed Body,100.000,Snow Cloak,0.000,,
Spiritomb,2022-11,Infiltrator,100.000,Pressure,0.000,,
Iron Moth,2022-11,Quark Drive,100.000,,,,
Chi-Yu,2022-11,Beads of Ruin,100.000,,,,
Cradily,2022-11,Storm Drain,96.552,Suction Cups,3.448,,
Gengar,2022-11,Cursed Body,100.000,,,,
Baxcalibur,2022-11,Thermal Exchange,100.000,Ice Body,0.000,,
Scizor-Mega,2022-11,Technician,100.000,,,,
Weezing-Galar,2022-11,Levitate,68.597,Neutralizing Gas,16.938,Misty Surge,14.465
Banette-Mega,2022-11,Prankster,100.000,,,,
Cofagrigus,2022-11,Mummy,100.000,,,,
Delphox,2022-11,Blaze,100.000,Magician,0.000,,
Whimsicott,2022-11,Prankster,100.000,Infiltrator,0.000,Chlorophyll,0.000
Kangaskhan-Mega,2022-11,Parental Bond,100.000,,,,
Blaziken,2022-11,Speed Boost,100.000,Blaze,0.000,,
Heatran,2022-11,Flash Fire,100.000,Flame Body,0.000,,
Heracross,2022-11,Moxie,83.179,Guts,16.821,Swarm,0.000
Muk-Alola,2022-11,Poison Touch,94.961,Gluttony,5.039,Power of Alchemy,0.000
Excadrill,2022-11,Mold Breaker,71.197,Sand Rush,28.803,Sand Force,0.000
Starmie,2022-11,Natural Cure,100.000,Analytic,0.000,Illuminate,0.000
Primarina,2022-11,Torrent,99.446,Liquid Voice,0.554,,
Sandy Shocks,2022-11,Protosynthesis,100.000,,,,
Rillaboom,2022-11,Grassy Surge,100.000,Overgrow,0.000,,
Blissey,2022-11,Natural Cure,89.915,Serene Grace,10.085,Healer,0.000
Kingambit,2022-11,Supreme Overlord,82.118,Defiant,17.882,Pressure,0.000
Landorus-Therian,2022-11,Intimidate,100.000,,,,
Iron Thorns,2022-11,Quark Drive,100.000,,,,
Arboliva,2022-11,Seed Sower,100.000,Harvest,0.000,,
Tapu Fini,2022-11,Misty Surge,100.000,Telepathy,0.000,,
Urshifu,2022-11,Unseen Fist,100.000,,,,
Mawile-Mega,2022-11,Huge Power,100.000,,,,
Abomasnow-Mega,2022-11,Snow Warning,100.000,,,,
Cetitan,2022-11,Slush Rush,100.000,Thick Fat,0.000,Sheer Force,0.000
Clodsire,2022-11,Water Absorb,96.276,Unaware,3.724,Poison Point,0.000
Staraptor,2022-11,Intimidate,100.000,Reckless,0.000,,
Metagross-Mega,2022-11,Tough Claws,100.000,,,,
Scolipede,2022-11,Speed Boost,100.000,Poison Point,0.000,,
Scovillain,2022-11,Chlorophyll,67.328,Insomnia,32.672,,
Greninja-Ash,2022-11,Battle Bond,100.000,,,,
Omastar,2022-11,Weak Armor,73.646,Swift Swim,26.354,Shell Armor,0.000
Chesnaught,2022-11,Bulletproof,100.000,Overgrow,0.000,,
Medicham-Mega,2022-11,Pure Power,100.000,,,,
Zapdos-Galar,2022-11,Defiant,100.000,,,,
Gastrodon,2022-11,Storm Drain,100.000,Sand Force,0.000,Sticky Hold,0.000
Revavroom,2022-11,Filter,100.000,Overcoat,0.000,,
Garchomp-Mega,2022-11,Sand Force,100.000,,,,
Brute Bonnet,2022-11,Protosynthesis,100.000,,,,
Swellow,2022-11,Scrappy,100.000,Guts,0.000,,
Smeargle,2022-11,Own Tempo,100.000,Technician,0.000,,
Porygon-Z,2022-11,Adaptability,100.000,Download,0.000,Analytic,0.000
Obstagoon,2022-11,Guts,100.000,Defiant,0.000,Reckless,0.000
Buzzwole,2022-11,Beast Boost,100.000,,,,
Slowking,2022-11,Regenerator,100.000,Own Tempo,0.000,Oblivious,0.000
Manaphy,2022-11,Hydration,100.000,,,,
Corviknight,2022-11,Pressure,75.713,Mirror Armor,24.287,Unnerve,0.000
Landorus,2022-11,Sheer Force,100.000,Sand Force,0.000,,
Beedrill-Mega,2022-11,Adaptability,100.000,,,,
Torkoal,2022-11,Drought,100.000,White Smoke,0.000,Shell Armor,0.000
Volcanion,2022-11,Water Absorb,100.000,,,,
Grimmsnarl,2022-11,Prankster,67.206,Frisk,32.794,Pickpocket,0.000
Tyranitar,2022-11,Sand Stream,100.000,Unnerve,0.000,,
Melmetal,2022-11,Iron Fist,100.000,,,,
Celesteela,2022-11,Beast Boost,100.000,,,,
Toedscruel,2022-11,Mycelium Might,100.000,,,,
Togekiss,2022-11,Serene Grace,100.000,Super Luck,0.000,Hustle,0.000
Galvantula,2022-11,Compound Eyes,100.000,Swarm,0.000,Unnerve,0.000
Hippowdon,2022-11,Sand Stream,100.000,,,,
Jirachi,2022-11,Serene Grace,100.000,,,,
Infernape,2022-11,Iron Fist,56.587,Blaze,43.413,,
Iron Jugulis,2022-11,Quark Drive,100.000,,,,
Crustle,2022-11,Sturdy,100.000,Shell Armor,0.000,Weak Armor,0.000
Latios,2022-11,Levitate,100.000,,,,
Mew,2022-11,Synchronize,100.000,,,,
Appletun,2022-11,Thick Fat,100.000,Gluttony,0.000,Ripen,0.000
Flygon,2022-11,Levitate,100.000,,,,
Quagsire,2022-11,Unaware,100.000,Water Absorb,0.000,Damp,0.000
Golurk,2022-11,No Guard,99.638,Iron Fist,0.362,Klutz,0.000
Dugtrio,2022-11,Arena Trap,100.000,Sand Force,0.000,Sand Veil,0.000
Dachsbun,2022-11,Well-Baked Body,100.000,,,,
