name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Sandaconda,2023-02,Shed Skin,95.899,Sand Spit,4.101,,
Passimian,2023-02,Defiant,97.966,Receiver,2.034,,
Goodra,2023-02,Sap Sipper,82.857,Gooey,15.523,Hydration,1.620
Jolteon,2023-02,Volt Absorb,98.071,Quick Feet,1.929,,
Braviary,2023-02,Defiant,89.698,Sheer Force,8.728,Keen Eye,1.575
Copperajah,2023-02,Sheer Force,53.333,Heavy Metal,46.667,,
Medicham,2023-02,Pure Power,100.000,Telepathy,0.000,,
Bruxish,2023-02,Strong Jaw,93.258,Dazzling,6.725,Wonder Skin,0.017
Oricorio-Pom-Pom,2023-02,Dancer,100.000,,,,
Dudunsparce,2023-02,Serene Grace,61.136,Rattled,38.786,Run Away,0.078
Lycanroc,2023-02,Steadfast,58.082,Sand Rush,23.801,Keen Eye,18.117
Frosmoth,2023-02,Ice Scales,97.333,Shield Dust,2.667,,
Zoroark,2023-02,Illusion,100.000,,,,
Vaporeon,2023-02,Water Absorb,99.680,Hydration,0.320,,
Oricorio-Sensu,2023-02,Dancer,100.000,,,,
Tauros-Paldea-Combat,2023-02,Intimidate,93.849,Cud Chew,6.120,Anger Point,0.030
Drifblim,2023-02,Aftermath,66.850,Unburden,25.261,Flare Boost,7.889
Mabosstiff,2023-02,Stakeout,92.207,Intimidate,5.084,Guard Dog,2.709
Veluza,2023-02,Sharpness,93.021,Mold Breaker,6.979,,
Muk,2023-02,Poison Touch,76.633,Sticky Hold,21.701,Stench,1.666
Honchkrow,2023-02,Moxie,96.219,Super Luck,2.352,Insomnia,1.429
Toxicroak,2023-02,Dry Skin,94.531,Poison Touch,5.189,Anticipation,0.280
Umbreon,2023-02,Synchronize,94.696,Inner Focus,5.304,,
Chansey,2023-02,Natural Cure,99.418,Serene Grace,0.567,Healer,0.015
Qwilfish,2023-02,Intimidate,78.286,Poison Point,13.506,Swift Swim,8.209
Venomoth,2023-02,Tinted Lens,99.540,Shield Dust,0.392,Wonder Skin,0.068
Ursaring,2023-02,Guts,92.690,Quick Feet,7.183,Unnerve,0.127
Eelektross,2023-02,Levitate,100.000,,,,
Clawitzer,2023-02,Mega Launcher,100.000,,,,
Rotom,2023-02,Levitate,100.000,,,,
Spiritomb,2023-02,Pressure,64.750,Infiltrator,35.250,,
Klawf,2023-02,Regenerator,60.620,Anger Shell,39.328,Shell Armor,0.052
Vespiquen,2023-02,Pressure,96.687,Unnerve,3.313,,
Zangoose,2023-02,Toxic Boost,94.926,Immunity,5.074,,
Appletun,2023-02,Thick Fat,93.672,Ripen,6.072,Gluttony,0.256
Lurantis,2023-02,Contrary,99.026,Leaf Guard,0.974,,
Crocalor,2023-02,Unaware,99.568,Blaze,0.432,,
Scyther,2023-02,Technician,95.820,Swarm,4.083,Steadfast,0.097
Whiscash,2023-02,Oblivious,98.013,Hydration,1.369,Anticipation,0.618
Masquerain,2023-02,Intimidate,100.000,Unnerve,0.000,,
Basculin,2023-02,Adaptability,70.730,Rock Head,19.634,Reckless,7.547
Spidops,2023-02,Insomnia,53.331,Stakeout,46.669,,
Farigiraf,2023-02,Armor Tail,68.873,Cud Chew,18.787,Sap Sipper,12.340
Hattrem,2023-02,Magic Bounce,99.634,Healer,0.366,Anticipation,0.000
Rabsca,2023-02,Synchronize,99.790,Telepathy,0.210,,
Carkol,2023-02,Flame Body,85.582,Flash Fire,9.237,Steam Engine,5.181
Haunter,2023-02,Levitate,100.000,,,,
Glimmet,2023-02,Toxic Debris,99.997,Corrosion,0.003,,
Houndoom,2023-02,Flash Fire,96.381,Unnerve,2.856,Early Bird,0.763
Camerupt,2023-02,Solid Rock,98.220,Magma Armor,1.490,Anger Point,0.290
Morgrem,2023-02,Prankster,99.972,Pickpocket,0.028,,
Cacturne,2023-02,Water Absorb,100.000,,,,
Crabominable,2023-02,Iron Fist,97.716,Hyper Cutter,2.252,Anger Point,0.031
