name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Quaxwell,2023-03,Moxie,90.375,Torrent,9.625,,
Magneton,2023-03,Analytic,68.296,Sturdy,16.461,Magnet Pull,15.243
Skuntank,2023-03,Aftermath,97.268,Stench,2.647,Keen Eye,0.085
Houndoom,2023-03,Flash Fire,96.509,Early Bird,2.967,Unnerve,0.524
Gabite,2023-03,Rough Skin,100.000,,,,
Lycanroc-Midnight,2023-03,No Guard,96.469,Vital Spirit,3.282,Keen Eye,0.249
Perrserker,2023-03,Tough Claws,82.036,Steely Spirit,15.479,Battle Armor,2.485
Crabominable,2023-03,Iron Fist,97.906,Hyper Cutter,1.889,Anger Point,0.204
Misdreavus,2023-03,Levitate,100.000,,,,
Haunter,2023-03,Levitate,100.000,,,,
Pyroar,2023-03,Unnerve,91.480,Rivalry,5.585,Moxie,2.934
Dugtrio,2023-03,Sand Force,100.000,,,,
Cacturne,2023-03,Water Absorb,100.000,,,,
Camerupt,2023-03,Solid Rock,87.770,Magma Armor,11.875,Anger Point,0.355
Squawkabilly,2023-03,Guts,74.391,Hustle,16.936,Intimidate,8.064
Vivillon,2023-03,Compound Eyes,99.339,Shield Dust,0.661,Friend Guard,0.000
Oricorio-Pa'u,2023-03,Dancer,100.000,,,,
Falinks,2023-03,Defiant,90.072,Battle Armor,9.928,,
Gogoat,2023-03,Sap Sipper,99.354,Grass Pelt,0.646,,
Raichu,2023-03,Lightning Rod,96.189,Static,3.811,,
Hattrem,2023-03,Magic Bounce,99.522,Healer,0.478,,
Rotom-Frost,2023-03,Levitate,100.000,,,,
Lilligant,2023-03,Chlorophyll,60.719,Own Tempo,37.558,Leaf Guard,1.723
Tinkatuff,2023-03,Mold Breaker,97.083,Own Tempo,1.727,Pickpocket,1.190
Rotom-Fan,2023-03,Levitate,100.000,,,,
Indeedee-F,2023-03,Psychic Surge,97.764,Synchronize,1.961,Own Tempo,0.275
Carkol,2023-03,Flame Body,80.639,Flash Fire,14.272,Steam Engine,5.089
Glimmet,2023-03,Toxic Debris,99.635,Corrosion,0.365,,
Frogadier,2023-03,Protean,84.180,Torrent,15.820,,
Golduck,2023-03,Swift Swim,58.288,Cloud Nine,36.704,Damp,5.008
Dartrix,2023-03,Long Reach,89.290,Overgrow,10.710,,
Sawsbuck,2023-03,Serene Grace,76.825,Sap Sipper,15.354,Chlorophyll,7.821
Flapple,2023-03,Hustle,61.437,Ripen,33.875,Gluttony,4.688
Dragonair,2023-03,Shed Skin,93.238,Marvel Scale,6.762,,
Drakloak,2023-03,Infiltrator,45.812,Cursed Body,33.699,Clear Body,20.488
Rabsca,2023-03,Synchronize,99.898,Telepathy,0.102,,
Wugtrio,2023-03,Gooey,92.734,Rattled,7.266,,
Raboot,2023-03,Libero,98.737,Blaze,1.263,,
Oricorio,2023-03,Dancer,100.000,,,,
Grumpig,2023-03,Thick Fat,98.567,Gluttony,1.432,Own Tempo,0.001
Ampharos,2023-03,Static,97.852,Plus,2.148,,
