name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Haxorus,2023-01,Mold Breaker,98.768,Unnerve,0.985,Rivalry,0.246
Lycanroc-Dusk,2023-01,Tough Claws,100.000,,,,
Espeon,2023-01,Magic Bounce,99.373,Synchronize,0.627,,
Slowbro,2023-01,Regenerator,99.841,Oblivious,0.159,Own Tempo,0.000
Magnezone,2023-01,Analytic,56.259,Magnet Pull,39.135,Sturdy,4.606
Tauros-Paldea-Blaze,2023-01,Intimidate,86.466,Cud Chew,13.488,Anger Point,0.046
Toxtricity,2023-01,Punk Rock,99.907,Technician,0.092,Plus,0.001
Gardevoir,2023-01,Trace,96.749,Synchronize,3.251,Telepathy,0.000
Tatsugiri,2023-01,Storm Drain,72.704,Commander,27.296,,
Krookodile,2023-01,Moxie,53.205,Intimidate,46.758,Anger Point,0.037
Flamigo,2023-01,Scrappy,99.640,Costar,0.224,Tangled Feet,0.136
Weavile,2023-01,Pressure,88.260,Pickpocket,11.740,,
Cloyster,2023-01,Skill Link,98.182,Shell Armor,1.606,Overcoat,0.211
Mudsdale,2023-01,Stamina,99.150,Own Tempo,0.834,Inner Focus,0.016
Heracross,2023-01,Guts,51.586,Moxie,48.285,Swarm,0.129
Bellibolt,2023-01,Electromorphosis,95.290,Static,4.710,Damp,0.000
Altaria,2023-01,Natural Cure,99.938,Cloud Nine,0.062,,
Arcanine,2023-01,Intimidate,83.726,Flash Fire,15.584,Justified,0.690
Palossand,2023-01,Water Compaction,100.000,,,,
Sableye,2023-01,Prankster,99.486,Keen Eye,0.514,Stall,0.000
Primeape,2023-01,Defiant,92.978,Vital Spirit,6.768,Anger Point,0.254
Rotom-Heat,2023-01,Levitate,100.000,,,,
Abomasnow,2023-01,Snow Warning,98.457,Soundproof,1.543,,
Revavroom,2023-01,Filter,59.916,Overcoat,40.084,,
Bronzong,2023-01,Levitate,87.935,Heatproof,12.010,Heavy Metal,0.054
Avalugg,2023-01,Sturdy,80.297,Ice Body,12.667,Own Tempo,7.037
Sylveon,2023-01,Pixilate,93.789,Cute Charm,6.211,,
Mismagius,2023-01,Levitate,100.000,,,,
Blissey,2023-01,Natural Cure,92.918,Serene Grace,6.994,Healer,0.088
Hariyama,2023-01,Guts,69.047,Thick Fat,28.538,Sheer Force,2.415
Arboliva,2023-01,Seed Sower,94.441,Harvest,5.559,,
Florges,2023-01,Flower Veil,98.248,Symbiosis,1.752,,
Drednaw,2023-01,Strong Jaw,91.571,Shell Armor,6.852,Swift Swim,1.577
Coalossal,2023-01,Flame Body,81.219,Steam Engine,10.010,Flash Fire,8.772
Cetitan,2023-01,Slush Rush,81.316,Thick Fat,14.617,Sheer Force,4.067
Rotom-Mow,2023-01,Levitate,100.000,,,,
Dachsbun,2023-01,Well-Baked Body,99.322,Aroma Veil,0.678,,
Dragalge,2023-01,Adaptability,97.790,Poison Touch,2.086,Poison Point,0.124
Froslass,2023-01,Cursed Body,100.000,,,,
