name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Miraidon,2022-11,Hadron Engine,100.000,,,,
Koraidon,2022-11,Orichalcum Pulse,100.000,,,,
Flutter Mane,2022-11,Protosynthesis,100.000,,,,
Great Tusk,2022-11,Protosynthesis,100.000,,,,
Iron Treads,2022-11,Quark Drive,100.000,,,,
Chien-Pao,2022-11,Sword of Ruin,100.000,,,,
Iron Bundle,2022-11,Quark Drive,100.000,,,,
Corviknight,2022-11,Pressure,79.749,Mirror Armor,20.251,Unnerve,0.000
Clodsire,2022-11,Unaware,69.874,Water Absorb,25.450,Poison Point,4.676
Roaring Moon,2022-11,Protosynthesis,100.000,,,,
Ting-Lu,2022-11,Vessel of Ruin,100.000,,,,
Skeledirge,2022-11,Unaware,99.752,Blaze,0.248,,
Iron Valiant,2022-11,Quark Drive,100.000,,,,
Ditto,2022-11,Imposter,99.891,Limber,0.109,,
Palafin,2022-11,Zero to Hero,100.000,,,,
Grimmsnarl,2022-11,Prankster,100.000,Pickpocket,0.000,Frisk,0.000
Blissey,2022-11,Natural Cure,99.976,Serene Grace,0.024,Healer,0.000
Scream Tail,2022-11,Protosynthesis,100.000,,,,
Toxapex,2022-11,Regenerator,99.995,Merciless,0.005,Limber,0.000
Chi-Yu,2022-11,Beads of Ruin,100.000,,,,
Cyclizar,2022-11,Regenerator,83.167,Shed Skin,16.833,,
Iron Moth,2022-11,Quark Drive,100.000,,,,
Ceruledge,2022-11,Weak Armor,65.095,Flash Fire,34.905,,
Glimmora,2022-11,Toxic Debris,99.760,Corrosion,0.240,,
Houndstone,2022-11,Sand Rush,68.585,Fluffy,31.415,,
Gholdengo,2022-11,Good as Gold,100.000,,,,
Kingambit,2022-11,Supreme Overlord,83.345,Defiant,16.655,Pressure,0.000
Iron Hands,2022-11,Quark Drive,100.000,,,,
Dugtrio,2022-11,Arena Trap,98.742,Sand Force,1.258,Sand Veil,0.000
Alomomola,2022-11,Regenerator,100.000,Hydration,0.000,Healer,0.000
Dragapult,2022-11,Infiltrator,74.991,Clear Body,22.410,Cursed Body,2.599
Garganacl,2022-11,Purifying Salt,99.018,Clear Body,0.631,Sturdy,0.350
