name,snapshot,ability1,usage1,ability2,usage2,ability3,usage3
Tinkaton,2022-12,Mold Breaker,96.860,Own Tempo,2.120,Pickpocket,1.020
Hydreigon,2022-12,Levitate,100.000,,,,
Azumarill,2022-12,Huge Power,99.837,Thick Fat,0.135,Sap Sipper,0.029
Armarouge,2022-12,Weak Armor,81.960,Flash Fire,18.040,,
Sandy Shocks,2022-12,Protosynthesis,100.000,,,,
Slither Wing,2022-12,Protosynthesis,100.000,,,,
Espathra,2022-12,Speed Boost,99.543,Opportunist,0.457,Frisk,0.000
Grafaiai,2022-12,Prankster,51.493,Unburden,48.379,Poison Touch,0.128
Mimikyu,2022-12,Disguise,100.000,,,,
Gengar,2022-12,Cursed Body,100.000,,,,
Talonflame,2022-12,Flame Body,86.608,Gale Wings,13.392,,
Hatterene,2022-12,Magic Bounce,99.991,Healer,0.009,Anticipation,0.000
Donphan,2022-12,Sturdy,100.000,,,,
Bisharp,2022-12,Defiant,99.522,Inner Focus,0.417,Pressure,0.060
Iron Jugulis,2022-12,Quark Drive,100.000,,,,
Rotom-Wash,2022-12,Levitate,100.000,,,,
Salamence,2022-12,Moxie,65.652,Intimidate,34.348,,
Quagsire,2022-12,Unaware,82.906,Water Absorb,17.090,Damp,0.005
Pelipper,2022-12,Drizzle,100.000,Rain Dish,0.000,Keen Eye,0.000
Gallade,2022-12,Sharpness,98.410,Steadfast,1.526,Justified,0.064
Forretress,2022-12,Sturdy,82.628,Overcoat,17.372,,
Slowking,2022-12,Regenerator,98.968,Oblivious,1.032,Own Tempo,0.000
Pawmot,2022-12,Iron Fist,50.226,Volt Absorb,44.143,Natural Cure,5.632
Kilowattrel,2022-12,Volt Absorb,91.121,Competitive,6.109,Wind Power,2.769
Lucario,2022-12,Inner Focus,53.667,Justified,42.404,Steadfast,3.930
Scream Tail,2022-12,Protosynthesis,100.000,,,,
Wo-Chien,2022-12,Tablets of Ruin,100.000,,,,
Staraptor,2022-12,Reckless,89.678,Intimidate,10.322,,
Brambleghast,2022-12,Wind Rider,68.679,Infiltrator,31.321,,
Tsareena,2022-12,Queenly Majesty,98.812,Leaf Guard,1.178,Sweet Veil,0.010
Hawlucha,2022-12,Unburden,96.507,Mold Breaker,3.446,Limber,0.048
Gastrodon,2022-12,Storm Drain,95.734,Sticky Hold,4.178,Sand Force,0.088
Hippowdon,2022-12,Sand Stream,99.350,Sand Force,0.650,,
