name,snapshot,counterName1,usageErrors1,errors1,koUsage1,switchUsage1,counterName2,usageErrors2,errors2,koUsage2,switchUsage2,counterName3,usageErrors3,errors3,koUsage3,switchUsage3,counterName4,usageErrors4,errors4,koUsage4,switchUsage4,counterName5,usageErrors5,errors5,koUsage5,switchUsage5,counterName6,usageErrors6,errors6,koUsage6,switchUsage6,counterName7,usageErrors7,errors7,koUsage7,switchUsage7,counterName8,usageErrors8,errors8,koUsage8,switchUsage8,counterName9,usageErrors9,errors9,koUsage9,switchUsage9,counterName10,usageErrors10,errors10,koUsage10,switchUsage10,counterName11,usageErrors11,errors11,koUsage11,switchUsage11,counterName12,usageErrors12,errors12,koUsage12,switchUsage12
Landorus-Therian,2022-11,Hawlucha,88.71,3.02,32.3,56.4,Weavile,82.62,1.66,32.2,50.5,Cloyster,92.11,4.11,43.5,48.6,Ninetales-Alola,85.18,2.96,21.1,64.1,Skarmory,83.4,2.71,3.9,79.5,Mew,82.16,2.91,14.1,68,Crawdaunt,84.93,4.03,46.2,38.8,Kingdra,91.33,5.99,72.9,18.4,Keldeo,85.85,4.74,30.3,55.6,Mamoswine,83.94,4.27,24.4,59.5,Buzzwole,75.57,2.26,23.3,52.3,Celesteela,83.1,4.3,21.7,61.4
Dragapult,2022-11,Grimmsnarl,84.91,6.41,15,70,Clefable,69.74,2.75,19.8,50,Weavile,64.2,2.36,19,45.2,Bisharp,72.34,4.66,16.7,55.6,Melmetal,59.47,2.17,23.4,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melmetal,2022-11,Volcarona,78.6,3.34,28.9,49.7,Skarmory,78.93,3.56,7.7,71.3,Volcanion,76.56,3.48,26.3,50.3,Blaziken,74.89,4.07,41.1,33.8,Urshifu-Rapid-Strike,67.67,2.54,27.1,40.6,Blacephalon,70.46,3.61,35.2,35.3,Heatran,65.79,2.46,20.2,45.6,Victini,69.71,3.67,21.1,48.6,Buzzwole,68.06,3.55,19,49.1,Marowak-Alola,74.26,5.22,18.2,56,,,,,,,,,,
Garchomp,2022-11,Cloyster,93.94,4.68,53.5,40.4,Weavile,81.32,2.14,30.2,51.2,Kingdra,85.48,7.16,46.4,39,Celesteela,76.23,5.58,21.4,54.8,Buzzwole,67.4,3.39,26.5,40.9,Clefable,63.65,2.59,12.6,51.1,Kartana,64.57,3.16,34.3,30.3,Mamoswine,78.26,6.62,25.3,52.9,Dragapult,61.65,2.56,29.7,31.9,Ninetales-Alola,71.19,5.28,29.6,41.6,,,,,,,,,,
Ferrothorn,2022-11,Celesteela,97.53,2.81,25.7,71.8,Heatran,86.38,1.54,12.5,73.9,Blaziken,87.51,3.13,26.3,61.2,Nidoking,87.1,3.61,23.3,63.8,Volcanion,79.64,2.97,21.6,58,Victini,79.64,3.14,23.9,55.8,Hawlucha,87.36,5.23,45.4,41.9,Volcarona,79.78,3.49,12.6,67.2,Slowking-Galar,75.65,2.99,17.5,58.2,Zapdos,70.64,2.14,12.1,58.5,Kommo-o,85.53,6.05,20.6,64.9,Buzzwole,73.96,3.49,16.7,57.3
Heatran,2022-11,Gastrodon,87.26,2.89,11,76.2,Garchomp,77.07,1.75,14.3,62.8,Keldeo,90.32,5.16,16.3,74,Crawdaunt,86.11,4.31,20.1,66,Suicune,85.26,4.44,12.5,72.7,Dragonite,81,3.39,24.3,56.7,Hydreigon,83.39,4.06,16.3,67.1,Blaziken,82.91,4.11,41.2,41.7,Quagsire,87.89,5.67,7.5,80.4,Seismitoad,86.58,5.36,28,58.5,Hawlucha,87.28,5.55,51.7,35.6,Tapu Fini,76.63,2.97,16.5,60.1
Zapdos,2022-11,Weavile,85.53,2.18,34.8,50.7,Tapu Lele,82.91,2.36,31.5,51.5,Tyranitar,80.02,2.34,10.9,69.1,Dragapult,77.86,2.06,30.5,47.3,Heatran,78.07,2.15,15.9,62.2,Blacephalon,83.79,3.66,28.3,55.5,Slowking-Galar,75.12,3.01,9.6,65.5,Nidoking,73.44,4.48,27.8,45.7,Volcarona,78.51,6,30.3,48.3,Nihilego,81.65,6.97,23.8,57.9,Ninetales-Alola,74.1,5.09,25.2,48.9,Garchomp,62.19,2.12,11.7,50.5
Weavile,2022-11,Blaziken,79.78,4.02,31.8,48,Buzzwole,74.81,3.25,19.1,55.7,Melmetal,70.74,2.29,25.7,45,Azumarill,85.16,6.69,29.7,55.4,Kartana,68.56,3.04,28.7,39.8,Cloyster,79.89,6.19,29.2,50.7,Tapu Fini,68.98,3.8,19.7,49.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kartana,2022-11,Hawlucha,80.67,5.67,36.3,44.4,Skarmory,75.26,5.16,25.2,50.1,Buzzwole,68.38,3.52,17.9,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Lele,2022-11,Kartana,67.73,2.9,25.5,42.2,Blacephalon,71.7,3.93,28,43.7,Excadrill,73.61,4.69,19.2,54.4,Aegislash,69.57,4.35,14.5,55,Melmetal,59.87,2.19,15.9,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
