Pokemon,Usage,Snapshot
Dragapult,34.77819,2019-11
Darmanitan-Galar,34.63651,2019-11
Ditto,33.01591,2019-11
Excadrill,32.75617,2019-11
Corviknight,32.13087,2019-11
Ferrothorn,28.40382,2019-11
Rotom-Wash,19.5166,2019-11
Gyarados,18.54957,2019-11
Hydreigon,17.63615,2019-11
Toxapex,17.42956,2019-11
Aegislash,15.62743,2019-11
Hatterene,15.49125,2019-11
Clefable,15.28517,2019-11
Grimmsnarl,13.8013,2019-11
Cinderace,13.63177,2019-11
Seismitoad,13.20005,2019-11
Corsola-Galar,12.69631,2019-11
Dracovish,12.43686,2019-11
Toxtricity,11.96126,2019-11
Tyranitar,9.94552,2019-11
Mandibuzz,9.4203,2019-11
Pelipper,7.76577,2019-11
Barraskewda,7.05556,2019-11
Conkeldurr,6.58137,2019-11
Hawlucha,6.27095,2019-11
Rotom-Heat,5.75952,2019-11
Dracozolt,5.66516,2019-11
Mimikyu,5.54591,2019-11
Dugtrio,5.43636,2019-11
Bisharp,5.33964,2019-11
Togekiss,5.29094,2019-11
Kommo-o,4.42069,2019-11
Polteageist,4.24977,2019-11
Gengar,4.12702,2019-11
Hippowdon,3.85437,2019-11
Ribombee,3.57403,2019-11
Mew,3.52669,2019-11
Jellicent,3.36213,2019-11
Drednaw,3.26477,2019-11
Crawdaunt,3.2029,2019-11
Charizard,3.14445,2019-11
Reuniclus,2.5598,2019-11
Arcanine,2.33187,2019-11
Obstagoon,2.20474,2019-11
Centiskorch,2.20196,2019-11
Weezing-Galar,2.11238,2019-11
Mamoswine,2.06788,2019-11
Sirfetch'd,1.90875,2019-11
Duraludon,1.85789,2019-11
Chandelure,1.81516,2019-11
Runerigus,1.79513,2019-11
Araquanid,1.74006,2019-11
Copperajah,1.73367,2019-11
Eldegoss,1.71145,2019-11
Milotic,1.6852,2019-11
Eiscue,1.63739,2019-11
Pincurchin,1.59848,2019-11
Appletun,1.58546,2019-11
Indeedee,1.55844,2019-11
Gastrodon,1.49998,2019-11
Coalossal,1.48349,2019-11
Cloyster,1.44218,2019-11
Frosmoth,1.35864,2019-11
Sylveon,1.34948,2019-11
Diggersby,1.31331,2019-11
Inteleon,1.20803,2019-11
Galvantula,1.17684,2019-11
Morpeko,1.16259,2019-11
Heliolisk,1.11463,2019-11
Durant,1.10338,2019-11
Alcremie,1.10161,2019-11
Torkoal,1.00818,2019-11
Quagsire,0.98978,2019-11
Gardevoir,0.98879,2019-11
Golisopod,0.94819,2019-11
Pyukumuku,0.89717,2019-11
Avalugg,0.88014,2019-11
Snorlax,0.86298,2019-11
Cursola,0.83291,2019-11
Mantine,0.79874,2019-11
Whimsicott,0.78372,2019-11
Salazzle,0.78283,2019-11
Lucario,0.76691,2019-11
Umbreon,0.74946,2019-11
Shuckle,0.74893,2019-11
Orbeetle,0.71616,2019-11
Sandaconda,0.70714,2019-11
Goodra,0.70323,2019-11
Haxorus,0.70316,2019-11
Rillaboom,0.68785,2019-11
Bronzong,0.66249,2019-11
Falinks,0.64856,2019-11
Flapple,0.63225,2019-11
Vanilluxe,0.62162,2019-11
Boltund,0.62002,2019-11
Tsareena,0.60857,2019-11
Xatu,0.60455,2019-11
Rotom-Mow,0.58575,2019-11
Rhyperior,0.57659,2019-11
Machamp,0.56776,2019-11
Jolteon,0.54441,2019-11
Braviary,0.53534,2019-11
Ludicolo,0.52837,2019-11
Espeon,0.52746,2019-11
Sigilyph,0.52144,2019-11
Vaporeon,0.49203,2019-11
Flygon,0.47928,2019-11
Vikavolt,0.47674,2019-11
Shiftry,0.43335,2019-11
Noivern,0.41849,2019-11
Steelix,0.38948,2019-11
Lapras,0.37887,2019-11
Weavile,0.3703,2019-11
Mr. Rime,0.36563,2019-11
Rotom-Fan,0.35256,2019-11
Shedinja,0.34712,2019-11
Claydol,0.33502,2019-11
Rapidash-Galar,0.32454,2019-11
Dhelmise,0.31996,2019-11
Accelgor,0.29765,2019-11
Bewear,0.29502,2019-11
Hitmontop,0.27413,2019-11
Toxicroak,0.26792,2019-11
Grapploct,0.26462,2019-11
Roserade,0.26133,2019-11
Butterfree,0.25709,2019-11
Ninetales,0.24824,2019-11
Type: Null,0.24767,2019-11
Drapion,0.23786,2019-11
Malamar,0.23668,2019-11
Froslass,0.22765,2019-11
Cramorant,0.2264,2019-11
Sableye,0.22184,2019-11
Cofagrigus,0.21197,2019-11
Scrafty,0.21085,2019-11
Arctozolt,0.20765,2019-11
Indeedee-F,0.20067,2019-11
Abomasnow,0.19871,2019-11
Dubwool,0.19354,2019-11
Glalie,0.18787,2019-11
Hitmonlee,0.18631,2019-11
Stonjourner,0.18498,2019-11
Barbaracle,0.17997,2019-11
Perrserker,0.16396,2019-11
Cinccino,0.15373,2019-11
Dusclops,0.14728,2019-11
Thievul,0.14549,2019-11
Gallade,0.14393,2019-11
Musharna,0.13852,2019-11
Greedent,0.1344,2019-11
Drifblim,0.12917,2019-11
Togedemaru,0.11928,2019-11
Arctovish,0.11364,2019-11
Mudsdale,0.10882,2019-11
Escavalier,0.10823,2019-11
Kingler,0.09965,2019-11
Leafeon,0.09907,2019-11
Garbodor,0.09582,2019-11
Pangoro,0.09449,2019-11
Sawk,0.09233,2019-11
Drampa,0.08796,2019-11
Lanturn,0.08677,2019-11
Gigalith,0.08625,2019-11
Gourgeist-Super,0.08571,2019-11
Silvally-Fairy,0.08549,2019-11
Flareon,0.08224,2019-11
Turtonator,0.07753,2019-11
Swoobat,0.07602,2019-11
Silvally-Ghost,0.07429,2019-11
Trevenant,0.07312,2019-11
Beartic,0.07183,2019-11
Slurpuff,0.0715,2019-11
Dusknoir,0.07064,2019-11
Doublade,0.06995,2019-11
Manectric,0.06828,2019-11
Golurk,0.06827,2019-11
Ninetales-Alola,0.06806,2019-11
Aromatisse,0.06798,2019-11
Qwilfish,0.06586,2019-11
Mr. Mime-Galar,0.06543,2019-11
Hitmonchan,0.06265,2019-11
Shiinotic,0.06265,2019-11
Crustle,0.06008,2019-11
Maractus,0.05719,2019-11
Meowstic,0.05697,2019-11
Vileplume,0.05688,2019-11
Silvally-Ground,0.05285,2019-11
Stunfisk-Galar,0.05253,2019-11
Silvally,0.05142,2019-11
Wishiwashi,0.05132,2019-11
Gothitelle,0.05083,2019-11
Noctowl,0.04857,2019-11
Rhydon,0.04825,2019-11
Passimian,0.04591,2019-11
Klinklang,0.04549,2019-11
Piloswine,0.04512,2019-11
Silvally-Electric,0.04482,2019-11
Pikachu,0.04192,2019-11
Bellossom,0.04131,2019-11
Glaceon,0.04108,2019-11
Ninjask,0.04008,2019-11
Duosion,0.03893,2019-11
Silvally-Flying,0.03656,2019-11
Silvally-Steel,0.03566,2019-11
Silvally-Grass,0.03533,2019-11
Silvally-Water,0.03419,2019-11
Solrock,0.03305,2019-11
Octillery,0.03202,2019-11
Diglett,0.02462,2019-11
Raichu,0.02281,2019-11
Rotom-Frost,0.0208,2019-11
Unfezant,0.02004,2019-11
Silvally-Fire,0.01721,2019-11
Hattrem,0.01661,2019-11
Mawile,0.01578,2019-11
Basculin,0.01512,2019-11
Skuntank,0.01509,2019-11
Rotom,0.01503,2019-11
Liepard,0.01478,2019-11
Carkol,0.01425,2019-11
Silvally-Fighting,0.01424,2019-11
Oranguru,0.01265,2019-11
Wailord,0.01205,2019-11
Onix,0.01113,2019-11
Sudowoodo,0.00978,2019-11
Gourgeist-Small,0.00799,2019-11
Wobbuffet,0.00784,2019-11
Lunatone,0.00779,2019-11
Gourgeist,0.00747,2019-11
Gurdurr,0.00689,2019-11
Raichu-Alola,0.00675,2019-11
Gourgeist-Large,0.00609,2019-11
Persian-Alola,0.00605,2019-11
Beheeyem,0.00553,2019-11
Silvally-Dark,0.00538,2019-11
Trapinch,0.0047,2019-11
Persian,0.00461,2019-11
Dottler,0.00461,2019-11
Seaking,0.0043,2019-11
Whiscash,0.00424,2019-11
Munchlax,0.00417,2019-11
Rufflet,0.00402,2019-11
Throh,0.00359,2019-11
Cottonee,0.00303,2019-11
Silvally-Poison,0.00299,2019-11
Silvally-Dragon,0.00298,2019-11
Clefairy,0.00288,2019-11
Swirlix,0.00286,2019-11
Delibird,0.00283,2019-11
Linoone-Galar,0.00273,2019-11
Farfetch'd-Galar,0.00249,2019-11
Haunter,0.00241,2019-11
Heatmor,0.00236,2019-11
Solosis,0.00236,2019-11
Dugtrio-Alola,0.00226,2019-11
Wooloo,0.00223,2019-11
Cutiefly,0.00204,2019-11
Shelmet,0.00201,2019-11
Silvally-Bug,0.00186,2019-11
Mr. Mime,0.00174,2019-11
Morgrem,0.00152,2019-11
Spritzee,0.00151,2019-11
Vespiquen,0.0015,2019-11
Pumpkaboo-Large,0.00143,2019-11
Meowth,0.0013,2019-11
Charjabug,0.00122,2019-11
Cherrim,0.00119,2019-11
Gloom,0.00114,2019-11
Zweilous,0.00104,2019-11
Thwackey,0.00103,2019-11
Sneasel,0.00096,2019-11
Silvally-Rock,0.00095,2019-11
Sinistea,0.00093,2019-11
Silvally-Psychic,0.00087,2019-11
Snorunt,0.00082,2019-11
Remoraid,0.00082,2019-11
Roselia,0.00079,2019-11
Raboot,0.00079,2019-11
Scraggy,0.00077,2019-11
Sizzlipede,0.00075,2019-11
Togetic,0.00074,2019-11
Machoke,0.00074,2019-11
Cufant,0.00068,2019-11
Drakloak,0.00068,2019-11
Yamask-Galar,0.00067,2019-11
Corvisquire,0.00059,2019-11
Snom,0.00058,2019-11
Gothorita,0.00056,2019-11
Koffing,0.00055,2019-11
Ferroseed,0.00045,2019-11
Inkay,0.00044,2019-11
Baltoy,0.0004,2019-11
Eevee,0.00038,2019-11
Fraxure,0.00035,2019-11
Woobat,0.00033,2019-11
Sliggoo,0.00033,2019-11
Litwick,0.00028,2019-11
Rolycoly,0.00028,2019-11
Riolu,0.00027,2019-11
Scorbunny,0.00026,2019-11
Pumpkaboo,0.00025,2019-11
Lampent,0.00025,2019-11
Dewpider,0.0002,2019-11
Klang,0.00019,2019-11
Drizzile,0.00017,2019-11
Silvally-Ice,0.00017,2019-11
Drifloon,0.00017,2019-11
Ponyta-Galar,0.00016,2019-11
Corphish,0.00016,2019-11
Pichu,0.00016,2019-11
Wooper,0.00015,2019-11
Caterpie,0.00013,2019-11
Wailmer,0.00013,2019-11
Yamper,0.00013,2019-11
Hakamo-o,0.00012,2019-11
Vullaby,0.00012,2019-11
Stufful,0.00011,2019-11
Dreepy,0.0001,2019-11
Blipbug,0.00008,2019-11
Ralts,0.00008,2019-11
Roggenrola,0.00008,2019-11
Drilbur,0.00007,2019-11
Growlithe,0.00007,2019-11
Skorupi,0.00007,2019-11
Hippopotas,0.00007,2019-11
Sobble,0.00006,2019-11
Palpitoad,0.00005,2019-11
Gossifleur,0.00005,2019-11
Boldore,0.00004,2019-11
Natu,0.00004,2019-11
Salandit,0.00004,2019-11
Mareanie,0.00004,2019-11
Milcery,0.00004,2019-11
Pupitar,0.00004,2019-11
Trubbish,0.00004,2019-11
Dwebble,0.00004,2019-11
Kirlia,0.00004,2019-11
Mudbray,0.00003,2019-11
Grookey,0.00003,2019-11
Pancham,0.00003,2019-11
Phantump,0.00003,2019-11
Zigzagoon-Galar,0.00002,2019-11
Darumaka-Galar,0.00002,2019-11
Mantyke,0.00002,2019-11
Magikarp,0.00002,2019-11
Metapod,0.00002,2019-11
Bergmite,0.00002,2019-11
Frillish,0.00002,2019-11
Oddish,0.00002,2019-11
Charmander,0.00002,2019-11
Tranquill,0.00002,2019-11
Rookidee,0.00002,2019-11
Gothita,0.00002,2019-11
Shellder,0.00001,2019-11
Togepi,0.00001,2019-11
Gastly,0.00001,2019-11
Vibrava,0.00001,2019-11
Axew,0.00001,2019-11
Honedge,0.00001,2019-11
Skwovet,0.00001,2019-11
Pawniard,0.00001,2019-11
Swinub,0.00001,2019-11
Charmeleon,0.00001,2019-11
Silicobra,0.00001,2019-11
Impidimp,0.00001,2019-11
Shellos,0.00001,2019-11
Vanillish,0.00001,2019-11
Clobbopus,0.00001,2019-11
Snover,0.00001,2019-11
Applin,0,2019-11
Grubbin,0,2019-11
Bronzor,0,2019-11
Meowth-Galar,0,2019-11
Goldeen,0,2019-11
Cherubi,0,2019-11
Wynaut,0,2019-11
Lombre,0,2019-11
Vulpix,0,2019-11
Krabby,0,2019-11
Wingull,0,2019-11
Arrokuda,0,2019-11
Chinchou,0,2019-11
Pumpkaboo-Super,0,2019-11
Rhyhorn,0,2019-11
Bounsweet,0,2019-11
Purrloin,0,2019-11
Joltik,0,2019-11
Bonsly,0,2019-11
Deino,0,2019-11
Pidove,0,2019-11
Toxel,0,2019-11
Yamask,0,2019-11
Cleffa,0,2019-11
Mime Jr.,0,2019-11
Combee,0,2019-11
Bunnelby,0,2019-11
Croagunk,0,2019-11
Hatenna,0,2019-11
Munna,0,2019-11
Budew,0,2019-11
Duskull,0,2019-11
Hoothoot,0,2019-11
Nuzleaf,0,2019-11
Steenee,0,2019-11
Vanillite,0,2019-11
Nickit,0,2019-11
Tyrogue,0,2019-11
Lotad,0,2019-11
Seedot,0,2019-11
Noibat,0,2019-11
Larvitar,0,2019-11
Barboach,0,2019-11
Binacle,0,2019-11
Electrike,0,2019-11
Chewtle,0,2019-11
Goomy,0,2019-11
Nincada,0,2019-11
Wimpod,0,2019-11
Vulpix-Alola,0,2019-11
Minccino,0,2019-11
Espurr,0,2019-11
Diglett-Alola,0,2019-11
Jangmo-o,0,2019-11
Tympole,0,2019-11
Klink,0,2019-11
Cubchoo,0,2019-11
Elgyem,0,2019-11
Stunky,0,2019-11
Karrablast,0,2019-11
Morelull,0,2019-11
Helioptile,0,2019-11
Feebas,0,2019-11
Machop,0,2019-11
Timburr,0,2019-11
Bulbasaur,0,2019-11
Ivysaur,0,2019-11
Venusaur,0,2019-11
Venusaur-Mega,0,2019-11
Charizard-Mega-X,0,2019-11
Charizard-Mega-Y,0,2019-11
Squirtle,0,2019-11
Wartortle,0,2019-11
Blastoise,0,2019-11
Blastoise-Mega,0,2019-11
Weedle,0,2019-11
Kakuna,0,2019-11
Beedrill,0,2019-11
Beedrill-Mega,0,2019-11
Pidgey,0,2019-11
Pidgeotto,0,2019-11
Pidgeot,0,2019-11
Pidgeot-Mega,0,2019-11
