Pokemon,Usage,Snapshot
Roaring Moon,17.3795,2022-11
Garganacl,16.53872,2022-11
Chi-Yu,16.01061,2022-11
Great Tusk,12.14607,2022-11
Brute Bonnet,12.07996,2022-11
Iron Hands,11.98252,2022-11
Gholdengo,11.87952,2022-11
Chien-Pao,11.55634,2022-11
Magnezone,10.36649,2022-11
Maushold,10.20254,2022-11
Flutter Mane,7.85367,2022-11
Dragapult,7.43985,2022-11
Iron Valiant,7.2853,2022-11
Iron Bundle,6.85365,2022-11
Mimikyu,5.74429,2022-11
Ting-Lu,5.65444,2022-11
Baxcalibur,5.47038,2022-11
Scream Tail,5.24911,2022-11
Tinkaton,5.07556,2022-11
Skeledirge,4.95437,2022-11
Iron Moth,4.517,2022-11
Garchomp,3.73879,2022-11
Sableye,3.73497,2022-11
Dragonite,3.67213,2022-11
Sylveon,3.49434,2022-11
Dondozo,3.46072,2022-11
Breloom,3.21788,2022-11
Annihilape,3.04018,2022-11
Dudunsparce,2.74029,2022-11
Ceruledge,2.73628,2022-11
Grafaiai,2.7022,2022-11
Wo-Chien,2.50696,2022-11
Meowscarada,2.42368,2022-11
Corviknight,2.25073,2022-11
Armarouge,2.22719,2022-11
Orthworm,2.14257,2022-11
Cetitan,2.11031,2022-11
Gallade,2.00461,2022-11
Bombirdier,1.9175,2022-11
Kingambit,1.816,2022-11
Espathra,1.78104,2022-11
Cloyster,1.70989,2022-11
Tauros-Paldea-Fire,1.68337,2022-11
Bellibolt,1.55294,2022-11
Quaquaval,1.48964,2022-11
Eiscue,1.47155,2022-11
Iron Treads,1.4138,2022-11
Iron Jugulis,1.39634,2022-11
Arboliva,1.29222,2022-11
Appletun,1.24067,2022-11
Tauros-Paldea-Water,1.21478,2022-11
Azumarill,1.17898,2022-11
Sandy Shocks,1.1087,2022-11
Toxapex,1.08671,2022-11
Glimmora,1.05125,2022-11
Slaking,0.89859,2022-11
Noivern,0.88604,2022-11
Gengar,0.88353,2022-11
Gyarados,0.87055,2022-11
Veluza,0.84832,2022-11
Torkoal,0.83351,2022-11
Avalugg,0.7816,2022-11
Dragalge,0.73592,2022-11
Ditto,0.72889,2022-11
Flareon,0.70752,2022-11
Bisharp,0.69929,2022-11
Haxorus,0.67009,2022-11
Hydreigon,0.6638,2022-11
Amoonguss,0.65016,2022-11
Revavroom,0.64948,2022-11
Houndstone,0.64434,2022-11
Hatterene,0.64267,2022-11
Goodra,0.62066,2022-11
Blissey,0.60948,2022-11
Lokix,0.60599,2022-11
Tatsugiri,0.59448,2022-11
Dolliv,0.50428,2022-11
Lilligant,0.50428,2022-11
Pawmot,0.44698,2022-11
Toxtricity,0.42037,2022-11
Donphan,0.41835,2022-11
Clodsire,0.37399,2022-11
Tropius,0.3351,2022-11
Drifblim,0.33304,2022-11
Vivillon,0.3054,2022-11
Flamigo,0.2961,2022-11
Toxicroak,0.27117,2022-11
Dachsbun,0.26787,2022-11
Clawitzer,0.26705,2022-11
Scizor,0.26536,2022-11
Arcanine,0.26154,2022-11
Zangoose,0.25841,2022-11
Flapple,0.21383,2022-11
Iron Thorns,0.20883,2022-11
Luxray,0.18732,2022-11
Palafin,0.18467,2022-11
Weavile,0.17544,2022-11
Staraptor,0.16533,2022-11
Kilowattrel,0.163,2022-11
Electrode,0.14746,2022-11
Dunsparce,0.1399,2022-11
Espeon,0.13585,2022-11
Rotom-Mow,0.1121,2022-11
Lucario,0.11195,2022-11
Scovillain,0.10596,2022-11
Tyranitar,0.10026,2022-11
Farigiraf,0.09996,2022-11
Barraskewda,0.09931,2022-11
Hawlucha,0.08466,2022-11
Bronzong,0.07645,2022-11
Klawf,0.0757,2022-11
Quagsire,0.07255,2022-11
Gogoat,0.06523,2022-11
Slither Wing,0.06326,2022-11
Florges,0.05402,2022-11
Altaria,0.05271,2022-11
Polteageist,0.05207,2022-11
Toedscruel,0.0501,2022-11
Brambleghast,0.03875,2022-11
Eelektross,0.03866,2022-11
Basculin,0.03815,2022-11
Pawniard,0.03458,2022-11
Sawsbuck,0.03309,2022-11
Gardevoir,0.03202,2022-11
Volcarona,0.02946,2022-11
Umbreon,0.02781,2022-11
Crabominable,0.02766,2022-11
Alomomola,0.02488,2022-11
Cyclizar,0.02396,2022-11
Forretress,0.02323,2022-11
Froslass,0.02214,2022-11
Falinks,0.02214,2022-11
Abomasnow,0.02079,2022-11
Ampharos,0.0192,2022-11
Mabosstiff,0.01656,2022-11
Grimmsnarl,0.01323,2022-11
Lycanroc-Dusk,0.01272,2022-11
Wigglytuff,0.01086,2022-11
Salamence,0.01057,2022-11
Slowbro,0.01031,2022-11
Zoroark,0.00895,2022-11
Spidops,0.00861,2022-11
Seviper,0.00859,2022-11
Kricketune,0.0079,2022-11
Naclstack,0.00731,2022-11
Venomoth,0.00542,2022-11
Gumshoos,0.00542,2022-11
Rellor,0.00459,2022-11
Banette,0.00421,2022-11
Jolteon,0.00334,2022-11
Coalossal,0.00319,2022-11
Talonflame,0.00239,2022-11
Greedent,0.00236,2022-11
Dugtrio,0.00199,2022-11
Jumpluff,0.00165,2022-11
Lycanroc-Midnight,0.00159,2022-11
Cryogonal,0.00158,2022-11
Mudsdale,0.00153,2022-11
Scyther,0.00102,2022-11
Spewpa,0.00073,2022-11
Slowking,0.00072,2022-11
Vaporeon,0.00067,2022-11
Bonsly,0.00056,2022-11
Leafeon,0.00041,2022-11
Floatzel,0.00033,2022-11
Honchkrow,0.00028,2022-11
Riolu,0.00026,2022-11
Persian,0.00014,2022-11
Tinkatink,0.00014,2022-11
Tinkatuff,0.00014,2022-11
Ursaring,0.00014,2022-11
Pincurchin,0.00012,2022-11
Krookodile,0.00009,2022-11
Eevee,0.00009,2022-11
Pikachu,0.00008,2022-11
Rotom-Heat,0.00008,2022-11
Medicham,0.00003,2022-11
Klefki,0.00001,2022-11
Gastrodon,0,2022-11
Drednaw,0,2022-11
Spiritomb,0,2022-11
Swalot,0,2022-11
Applin,0,2022-11
Mismagius,0,2022-11
Indeedee,0,2022-11
Fletchinder,0,2022-11
Deino,0,2022-11
Oricorio,0,2022-11
Cufant,0,2022-11
Azurill,0,2022-11
Silicobra,0,2022-11
Magnemite,0,2022-11
Bergmite,0,2022-11
Fidough,0,2022-11
Gothorita,0,2022-11
Frosmoth,0,2022-11
Psyduck,0,2022-11
Lurantis,0,2022-11
Surskit,0,2022-11
Skrelp,0,2022-11
Zorua,0,2022-11
Carkol,0,2022-11
Girafarig,0,2022-11
Wattrel,0,2022-11
Rufflet,0,2022-11
Gabite,0,2022-11
Skuntank,0,2022-11
Gothitelle,0,2022-11
Wooper,0,2022-11
Rolycoly,0,2022-11
Snorunt,0,2022-11
Kirlia,0,2022-11
Skiddo,0,2022-11
Lechonk,0,2022-11
Wooper-Paldea,0,2022-11
Vespiquen,0,2022-11
Salandit,0,2022-11
Copperajah,0,2022-11
Maschiff,0,2022-11
Varoom,0,2022-11
Diglett,0,2022-11
Venonat,0,2022-11
Fletchling,0,2022-11
Oinkologne-F,0,2022-11
Oricorio-Pom-Pom,0,2022-11
Frigibax,0,2022-11
Rockruff,0,2022-11
Sudowoodo,0,2022-11
Phanpy,0,2022-11
Glalie,0,2022-11
Wingull,0,2022-11
Mankey,0,2022-11
Slowpoke,0,2022-11
Barboach,0,2022-11
Delibird,0,2022-11
Fuecoco,0,2022-11
Shroodle,0,2022-11
Qwilfish,0,2022-11
Oranguru,0,2022-11
Cubchoo,0,2022-11
Pachirisu,0,2022-11
Drakloak,0,2022-11
Jigglypuff,0,2022-11
Ralts,0,2022-11
Muk,0,2022-11
Magikarp,0,2022-11
Smoliv,0,2022-11
Quaxly,0,2022-11
Dedenne,0,2022-11
Stonjourner,0,2022-11
Rabsca,0,2022-11
Vigoroth,0,2022-11
Palossand,0,2022-11
Corvisquire,0,2022-11
Arctibax,0,2022-11
Masquerain,0,2022-11
Luvdisc,0,2022-11
Axew,0,2022-11
Oricorio-Pa'u,0,2022-11
Hariyama,0,2022-11
Tauros-Paldea,0,2022-11
Lycanroc,0,2022-11
Whiscash,0,2022-11
Braviary,0,2022-11
Shroomish,0,2022-11
Spoink,0,2022-11
Hattrem,0,2022-11
Rotom-Frost,0,2022-11
Pyroar,0,2022-11
Lumineon,0,2022-11
Pichu,0,2022-11
Rotom-Fan,0,2022-11
Quaxwell,0,2022-11
Gimmighoul,0,2022-11
Bruxish,0,2022-11
Floette,0,2022-11
Rotom,0,2022-11
Buizel,0,2022-11
Bounsweet,0,2022-11
Staravia,0,2022-11
Sprigatito,0,2022-11
Tsareena,0,2022-11
Sunflora,0,2022-11
Wugtrio,0,2022-11
Cacturne,0,2022-11
Raichu,0,2022-11
Komala,0,2022-11
Sunkern,0,2022-11
Cetoddle,0,2022-11
Chewtle,0,2022-11
Starly,0,2022-11
Pineco,0,2022-11
Shellos,0,2022-11
Oricorio-Sensu,0,2022-11
Hippopotas,0,2022-11
Igglybuff,0,2022-11
Tauros,0,2022-11
Shelgon,0,2022-11
Toxel,0,2022-11
Chansey,0,2022-11
Croagunk,0,2022-11
Primeape,0,2022-11
Squawkabilly,0,2022-11
Golduck,0,2022-11
Rotom-Wash,0,2022-11
Sandile,0,2022-11
Finizen,0,2022-11
Flaaffy,0,2022-11
Heracross,0,2022-11
Voltorb,0,2022-11
Tandemaus,0,2022-11
Snom,0,2022-11
Perrserker,0,2022-11
Gastly,0,2022-11
Teddiursa,0,2022-11
Hypno,0,2022-11
Charcadet,0,2022-11
Grumpig,0,2022-11
Pawmo,0,2022-11
Crabrawler,0,2022-11
Pawmi,0,2022-11
Fraxure,0,2022-11
Stantler,0,2022-11
Camerupt,0,2022-11
Salazzle,0,2022-11
Snover,0,2022-11
Sliggoo,0,2022-11
Sandaconda,0,2022-11
Houndoom,0,2022-11
Shinx,0,2022-11
Grimer,0,2022-11
Bagon,0,2022-11
Magneton,0,2022-11
Goomy,0,2022-11
Toedscool,0,2022-11
Growlithe,0,2022-11
Dragonair,0,2022-11
Flittle,0,2022-11
Tadbulb,0,2022-11
Floragato,0,2022-11
Oinkologne,0,2022-11
Glaceon,0,2022-11
Litleo,0,2022-11
Hippowdon,0,2022-11
Greavard,0,2022-11
Misdreavus,0,2022-11
Nacli,0,2022-11
Zweilous,0,2022-11
Meowth,0,2022-11
Pelipper,0,2022-11
Drowzee,0,2022-11
Meowth-Galar,0,2022-11
Glimmet,0,2022-11
Haunter,0,2022-11
Krokorok,0,2022-11
