Pokemon,Usage,Snapshot
Equilibra,44.95081,2022-12
Venomicon-Epilogue,43.24834,2022-12
Arghonaut,40.62263,2022-12
Snaelstrom,27.65461,2022-12
Pyroak,25.261,2022-12
Chi-Yu,24.36495,2022-12
Glimmora,18.77506,2022-12
Revenankh,18.0602,2022-12
Hatterene,16.19121,2022-12
Dragapult,15.56507,2022-12
Jumbao,15.53864,2022-12
Grimmsnarl,15.20761,2022-12
Great Tusk,14.99821,2022-12
Roaring Moon,13.79374,2022-12
Dondozo,12.12249,2022-12
Venomicon,11.76895,2022-12
Tomohawk,11.49785,2022-12
Caribolt,11.49774,2022-12
Annihilape,11.35904,2022-12
Iron Valiant,10.93751,2022-12
Garchomp,10.93751,2022-12
Breloom,10.93751,2022-12
Slowking,10.93751,2022-12
Chromera,10.67962,2022-12
Baxcalibur,10.54092,2022-12
Saharaja,10.12668,2022-12
Scovillain,9.68071,2022-12
Syclant,8.45776,2022-12
Gholdengo,8.4446,2022-12
Stratagem,7.59707,2022-12
Skeledirge,7.4052,2022-12
Mollux,6.64189,2022-12
Kerfluffle,6.52701,2022-12
Fidgit,6.19072,2022-12
Kingambit,5.6503,2022-12
Iron Hands,5.6503,2022-12
Sandy Shocks,5.3175,2022-12
Krilowatt,4.86587,2022-12
Cawmodore,4.5454,2022-12
Aurumoth,4.45065,2022-12
Dragonite,4.44504,2022-12
Cyclizar,4.14213,2022-12
Torkoal,4.11303,2022-12
Quaquaval,3.84857,2022-12
Pawmot,3.84857,2022-12
Garganacl,3.67488,2022-12
Astrolotl,3.03205,2022-12
Smokomodo,1.68264,2022-12
Haxorus,1.58158,2022-12
Blissey,1.58158,2022-12
Volkraken,1.36433,2022-12
Colossoil,1.13704,2022-12
Cyclohm,0.92204,2022-12
Crucibelle,0.87397,2022-12
Plasmanta,0.54043,2022-12
Kitsunoh,0.41435,2022-12
Necturna,0.36639,2022-12
Naviathan,0.36628,2022-12
Pajantom,0.36628,2022-12
Malaconda,0.35771,2022-12
Voodoom,0.29269,2022-12
Miasmaw,0.14282,2022-12
Volcarona,0.09475,2022-12
Amoonguss,0.09475,2022-12
Fletchinder,0,2022-12
Floette,0,2022-12
Toxicroak,0,2022-12
Spiritomb,0,2022-12
Eevee,0,2022-12
Barraskewda,0,2022-12
