Pokemon,Usage,Snapshot
Flutter Mane,34.22614,2022-11
Torkoal,27.78396,2022-11
Roaring Moon,24.65912,2022-11
Chi-Yu,24.04278,2022-11
Amoonguss,22.32957,2022-11
Grimmsnarl,17.97075,2022-11
Iron Hands,16.43407,2022-11
Tatsugiri,14.27776,2022-11
Arcanine,14.08592,2022-11
Chien-Pao,13.67631,2022-11
Dondozo,13.52498,2022-11
Great Tusk,11.37101,2022-11
Indeedee-F,11.35836,2022-11
Brute Bonnet,10.78395,2022-11
Palafin,10.61083,2022-11
Gyarados,9.45744,2022-11
Lilligant,9.05023,2022-11
Talonflame,8.75133,2022-11
Ting-Lu,8.69552,2022-11
Garganacl,8.39595,2022-11
Maushold,8.0671,2022-11
Armarouge,7.82144,2022-11
Dragapult,7.7839,2022-11
Tyranitar,7.65098,2022-11
Iron Bundle,7.15848,2022-11
Iron Moth,6.22678,2022-11
Baxcalibur,6.17419,2022-11
Tinkaton,6.11467,2022-11
Kingambit,6.10492,2022-11
Garchomp,6.05423,2022-11
Gholdengo,5.81711,2022-11
Flamigo,5.70646,2022-11
Hatterene,5.69041,2022-11
Farigiraf,5.607,2022-11
Rotom-Wash,5.58245,2022-11
Glimmora,5.43891,2022-11
Kilowattrel,5.43408,2022-11
Abomasnow,4.96438,2022-11
Bronzong,4.89466,2022-11
Murkrow,4.56104,2022-11
Volcarona,4.49409,2022-11
Mimikyu,4.47431,2022-11
Dragonite,4.40309,2022-11
Iron Valiant,4.39458,2022-11
Scizor,4.36241,2022-11
Sylveon,4.30081,2022-11
Sandy Shocks,4.29817,2022-11
Wo-Chien,4.22992,2022-11
Salamence,3.82145,2022-11
Meowscarada,3.79587,2022-11
Houndstone,3.4022,2022-11
Gothitelle,3.38472,2022-11
Skeledirge,3.3471,2022-11
Cyclizar,3.27634,2022-11
Ceruledge,3.1463,2022-11
Gastrodon,3.10678,2022-11
Scream Tail,2.94802,2022-11
Bruxish,2.81861,2022-11
Breloom,2.79196,2022-11
Pelipper,2.7894,2022-11
Staraptor,2.74922,2022-11
Scovillain,2.74597,2022-11
Annihilape,2.70428,2022-11
Cetitan,2.653,2022-11
Clodsire,2.61523,2022-11
Pincurchin,2.45134,2022-11
Orthworm,2.37794,2022-11
Brambleghast,2.14183,2022-11
Quaquaval,2.09267,2022-11
Tauros-Paldea-Fire,2.05632,2022-11
Iron Treads,2.04064,2022-11
Pawmot,2.00149,2022-11
Toedscruel,1.87119,2022-11
Tauros-Paldea-Water,1.81179,2022-11
Corviknight,1.80132,2022-11
Slither Wing,1.79306,2022-11
Oranguru,1.7213,2022-11
Grafaiai,1.69447,2022-11
Drifblim,1.69074,2022-11
Arboliva,1.63662,2022-11
Azumarill,1.53008,2022-11
Iron Jugulis,1.46641,2022-11
Jumpluff,1.46592,2022-11
Hariyama,1.45029,2022-11
Bellibolt,1.42894,2022-11
Iron Thorns,1.3811,2022-11
Dachsbun,1.27891,2022-11
Espathra,1.21326,2022-11
Rotom-Heat,1.19259,2022-11
Gardevoir,1.14335,2022-11
Bombirdier,1.10785,2022-11
Hydreigon,1.10129,2022-11
Coalossal,1.0403,2022-11
Masquerain,0.98827,2022-11
Dudunsparce,0.97525,2022-11
Tsareena,0.84998,2022-11
Golduck,0.84948,2022-11
Slowbro,0.83055,2022-11
Mabosstiff,0.81436,2022-11
Raichu,0.7885,2022-11
Lycanroc,0.76742,2022-11
Ditto,0.74358,2022-11
Veluza,0.72124,2022-11
Indeedee,0.7161,2022-11
Umbreon,0.7024,2022-11
Revavroom,0.68025,2022-11
Florges,0.68003,2022-11
Toxtricity,0.63503,2022-11
Pachirisu,0.62624,2022-11
Klefki,0.62084,2022-11
Gallade,0.61449,2022-11
Rabsca,0.60249,2022-11
Sableye,0.58492,2022-11
Lucario,0.57469,2022-11
Goodra,0.57008,2022-11
Espeon,0.55961,2022-11
Oricorio-Pom-Pom,0.5553,2022-11
Chansey,0.55277,2022-11
Frosmoth,0.5355,2022-11
Noivern,0.53017,2022-11
Drednaw,0.52165,2022-11
Slowking,0.50649,2022-11
Toxapex,0.49998,2022-11
Spiritomb,0.46663,2022-11
Gengar,0.43693,2022-11
Krookodile,0.42747,2022-11
Braviary,0.421,2022-11
Magnezone,0.38794,2022-11
Barraskewda,0.38653,2022-11
Appletun,0.36053,2022-11
