Pokemon,Usage,Snapshot
Dragonite,31.16314,2022-12
Annihilape,23.71563,2022-12
Gardevoir,21.11662,2022-12
Meowscarada,19.63272,2022-12
Iron Jugulis,18.14309,2022-12
Iron Valiant,17.02895,2022-12
Pincurchin,15.29957,2022-12
Volcarona,14.96048,2022-12
Sableye,14.03234,2022-12
Quaquaval,13.90622,2022-12
Iron Thorns,13.80677,2022-12
Ceruledge,12.04165,2022-12
Skeledirge,10.12616,2022-12
Vivillon,9.72121,2022-12
Grafaiai,9.35561,2022-12
Sylveon,9.19313,2022-12
Ampharos,8.50507,2022-12
Oranguru,8.43204,2022-12
Krookodile,8.2282,2022-12
Iron Treads,8.20514,2022-12
Toxicroak,7.89234,2022-12
Mimikyu,7.53698,2022-12
Corviknight,7.27036,2022-12
Oricorio-Pom-Pom,7.12209,2022-12
Hariyama,7.01854,2022-12
Slaking,6.88599,2022-12
Gallade,6.72702,2022-12
Hawlucha,6.36971,2022-12
Cyclizar,6.30217,2022-12
Dudunsparce,6.27157,2022-12
Orthworm,6.14772,2022-12
Salamence,6.07998,2022-12
Clawitzer,5.88841,2022-12
Houndstone,5.77695,2022-12
Hippowdon,5.63144,2022-12
Scizor,5.56138,2022-12
Azumarill,5.35513,2022-12
Pawmot,5.28622,2022-12
Pachirisu,5.01294,2022-12
Hydreigon,4.96608,2022-12
Coalossal,4.90759,2022-12
Arboliva,4.88947,2022-12
Vaporeon,4.75199,2022-12
Bellibolt,4.73569,2022-12
Clodsire,4.32828,2022-12
Slither Wing,4.2213,2022-12
Forretress,4.1895,2022-12
Cetitan,4.10217,2022-12
Tauros-Paldea-Water,3.94897,2022-12
Lucario,3.81036,2022-12
Breloom,3.77036,2022-12
Bisharp,3.74932,2022-12
Pelipper,3.60864,2022-12
Goodra,3.57381,2022-12
Weavile,3.53708,2022-12
Slowking,3.53477,2022-12
Spiritomb,3.51582,2022-12
Jolteon,3.5076,2022-12
Gengar,3.49104,2022-12
Raichu,3.46896,2022-12
Scream Tail,3.35656,2022-12
Medicham,3.13069,2022-12
Scovillain,3.10142,2022-12
Frosmoth,2.89826,2022-12
Tauros-Paldea-Fire,2.87788,2022-12
