Pokemon,Usage,Snapshot
Misdreavus,66.07544,2022-11
Girafarig,52.91878,2022-11
Pawniard,51.36521,2022-11
Dunsparce,39.68942,2022-11
Toedscool,35.79624,2022-11
Glimmet,32.70043,2022-11
Diglett,27.30591,2022-11
Cetoddle,20.40646,2022-11
Flittle,20.17901,2022-11
Rufflet,19.88374,2022-11
Maschiff,16.60011,2022-11
Meditite,13.7065,2022-11
Croagunk,11.15698,2022-11
Snover,10.93976,2022-11
Surskit,10.74312,2022-11
Quaxly,10.3589,2022-11
Gastly,9.37088,2022-11
Shroodle,8.74609,2022-11
Impidimp,8.00315,2022-11
Murkrow,7.68104,2022-11
Magnemite,6.90173,2022-11
Mankey,6.83706,2022-11
Tinkatink,5.62759,2022-11
Larvesta,5.49544,2022-11
Mudbray,5.04192,2022-11
Greavard,4.79682,2022-11
Crabrawler,4.78629,2022-11
Bramblin,4.59406,2022-11
Houndour,4.52705,2022-11
Foongus,4.37154,2022-11
Shellder,3.87352,2022-11
Azurill,3.68906,2022-11
Tarountula,2.95852,2022-11
Mareanie,2.79773,2022-11
Zorua,2.74054,2022-11
Nymble,2.71884,2022-11
Sandile,2.55384,2022-11
Wingull,2.49143,2022-11
Axew,2.48627,2022-11
Yungoos,2.43963,2022-11
Gothita,2.37627,2022-11
Varoom,2.25511,2022-11
Deerling,2.1869,2022-11
Numel,2.12876,2022-11
Smoliv,2.11128,2022-11
Slowpoke,2.05867,2022-11
Hatenna,1.89367,2022-11
Sprigatito,1.86234,2022-11
Meowth-Galar,1.46836,2022-11
Makuhita,1.39533,2022-11
Pineco,1.23273,2022-11
Fomantis,1.15173,2022-11
Riolu,1.13252,2022-11
Bagon,1.09009,2022-11
Skwovet,1.01484,2022-11
Wattrel,0.99953,2022-11
Shellos,0.98598,2022-11
Nacli,0.92132,2022-11
Teddiursa,0.90106,2022-11
Larvitar,0.83883,2022-11
Dratini,0.83202,2022-11
Drifloon,0.82887,2022-11
Fuecoco,0.77363,2022-11
Silicobra,0.74593,2022-11
Voltorb,0.71533,2022-11
Frigibax,0.69453,2022-11
Buizel,0.63024,2022-11
Arrokuda,0.61023,2022-11
Grimer,0.57221,2022-11
Finizen,0.56516,2022-11
Bonsly,0.55746,2022-11
Skiddo,0.54837,2022-11
