Pokemon,Usage,Snapshot
Flutter Mane,25.85093,2022-11
Iron Bundle,18.86002,2022-11
Dragapult,16.8645,2022-11
Mimikyu,15.9895,2022-11
Iron Valiant,14.01447,2022-11
Froslass,13.62497,2022-11
Pelipper,13.60939,2022-11
Annihilape,13.18595,2022-11
Klefki,13.17502,2022-11
Gholdengo,13.07974,2022-11
Ceruledge,12.67867,2022-11
Quaquaval,12.65066,2022-11
Azumarill,11.82914,2022-11
Barraskewda,11.75328,2022-11
Palafin,11.74866,2022-11
Chien-Pao,11.38171,2022-11
Kingambit,11.33448,2022-11
Scizor,11.04726,2022-11
Gengar,10.97409,2022-11
Houndstone,8.79399,2022-11
Forretress,8.592,2022-11
Grimmsnarl,8.52222,2022-11
Volcarona,8.3716,2022-11
Baxcalibur,8.34485,2022-11
Great Tusk,7.44139,2022-11
Toxapex,7.36897,2022-11
Corviknight,7.27474,2022-11
Skeledirge,7.23763,2022-11
Gastrodon,7.07963,2022-11
Tinkaton,7.01178,2022-11
Slither Wing,6.90836,2022-11
Chi-Yu,6.49394,2022-11
Meowscarada,6.42587,2022-11
Iron Treads,6.3229,2022-11
Abomasnow,5.99751,2022-11
Clodsire,5.95723,2022-11
Breloom,5.70088,2022-11
Lokix,5.6639,2022-11
Avalugg,5.55812,2022-11
Amoonguss,5.2545,2022-11
Roaring Moon,5.02295,2022-11
Sandy Shocks,4.87187,2022-11
Garchomp,4.82129,2022-11
Scovillain,4.72911,2022-11
Glimmora,4.49774,2022-11
Iron Moth,4.47693,2022-11
Pawmot,4.32974,2022-11
Hatterene,4.26834,2022-11
Quagsire,4.09244,2022-11
Ting-Lu,4.08618,2022-11
Iron Hands,4.04728,2022-11
Cloyster,3.91287,2022-11
Gardevoir,3.84985,2022-11
Revavroom,3.82868,2022-11
Iron Jugulis,3.6416,2022-11
Toedscruel,3.54847,2022-11
Heracross,3.46198,2022-11
Tauros-Paldea-Fire,3.09716,2022-11
Rotom-Wash,2.92028,2022-11
Scream Tail,2.86594,2022-11
Sableye,2.77641,2022-11
Gallade,2.77304,2022-11
Spidops,2.74379,2022-11
Cetitan,2.69615,2022-11
Iron Thorns,2.67762,2022-11
Cyclizar,2.6722,2022-11
Tyranitar,2.64466,2022-11
Rotom-Mow,2.62772,2022-11
Brambleghast,2.61783,2022-11
Polteageist,2.57394,2022-11
Scyther,2.45968,2022-11
Gyarados,2.44634,2022-11
Dondozo,2.26055,2022-11
Kilowattrel,2.23043,2022-11
Dragonite,2.20726,2022-11
Torkoal,2.18567,2022-11
Frosmoth,2.13043,2022-11
Hippowdon,2.10532,2022-11
Rabsca,2.03939,2022-11
Tauros-Paldea-Water,2.0176,2022-11
Ditto,1.94094,2022-11
Blissey,1.86492,2022-11
Staraptor,1.66547,2022-11
Orthworm,1.64844,2022-11
Rotom-Heat,1.55648,2022-11
Pincurchin,1.5181,2022-11
Masquerain,1.44717,2022-11
Hawlucha,1.43197,2022-11
Wo-Chien,1.43092,2022-11
Braviary,1.42187,2022-11
Dugtrio,1.40312,2022-11
Palossand,1.38411,2022-11
Indeedee,1.36544,2022-11
Magnezone,1.34627,2022-11
Toxicroak,1.32532,2022-11
Krookodile,1.31655,2022-11
Coalossal,1.2483,2022-11
Lycanroc-Dusk,1.23314,2022-11
Dragalge,1.206,2022-11
Maushold,1.18127,2022-11
Rotom-Frost,1.16453,2022-11
Bronzong,1.1341,2022-11
Chansey,1.11028,2022-11
Slowking,1.10349,2022-11
Drednaw,1.08754,2022-11
Garganacl,1.02299,2022-11
Grafaiai,1.01831,2022-11
Flamigo,0.99563,2022-11
Skuntank,0.98496,2022-11
Oricorio-Sensu,0.92638,2022-11
Tatsugiri,0.89613,2022-11
Dachsbun,0.85842,2022-11
Lucario,0.80461,2022-11
Talonflame,0.79468,2022-11
Arboliva,0.76661,2022-11
Hydreigon,0.75897,2022-11
Bombirdier,0.68985,2022-11
Vivillon,0.66462,2022-11
Oricorio-Pom-Pom,0.65238,2022-11
Salamence,0.59921,2022-11
Bellibolt,0.58081,2022-11
Arcanine,0.55033,2022-11
Pyroar,0.54464,2022-11
Dudunsparce,0.52955,2022-11
Armarouge,0.52184,2022-11
Farigiraf,0.51612,2022-11
Klawf,0.51385,2022-11
Spiritomb,0.45759,2022-11
Appletun,0.40942,2022-11
Qwilfish,0.40469,2022-11
