Pokemon,Usage,Snapshot
Cyclizar,23.12565,2022-11
Shedinja,17.31695,2022-11
Flutter Mane,14.76243,2022-11
Kyurem-Black,13.07343,2022-11
Chien-Pao,11.89922,2022-11
Roaring Moon,11.25018,2022-11
Zamazenta-Crowned,10.84074,2022-11
Palafin,10.71296,2022-11
Landorus-Therian,10.63211,2022-11
Blaziken-Mega,10.54798,2022-11
Toxapex,9.74355,2022-11
Great Tusk,9.33919,2022-11
Clodsire,9.27828,2022-11
Houndstone,9.08216,2022-11
Tyranitar,8.54432,2022-11
Genesect,8.13231,2022-11
Corviknight,7.93298,2022-11
Excadrill,7.05407,2022-11
Kingambit,6.66599,2022-11
Magearna,6.47868,2022-11
Dragapult,6.46526,2022-11
Tapu Koko,6.25749,2022-11
Grimmsnarl,5.99932,2022-11
Glimmora,5.9975,2022-11
Ditto,5.8795,2022-11
Diancie-Mega,5.69965,2022-11
Blissey,5.6482,2022-11
Deoxys-Speed,5.43893,2022-11
Ferrothorn,5.41312,2022-11
Heatran,5.30042,2022-11
Garchomp,5.04702,2022-11
Scizor-Mega,4.77933,2022-11
Zapdos,4.75977,2022-11
Lopunny-Mega,4.69589,2022-11
Gholdengo,4.68886,2022-11
Iron Treads,4.68307,2022-11
Gliscor,4.62758,2022-11
Chansey,4.61993,2022-11
Skeledirge,4.6086,2022-11
Regieleki,4.54816,2022-11
Baxcalibur,4.48506,2022-11
Hippowdon,4.41408,2022-11
Pelipper,4.13459,2022-11
Mawile-Mega,4.1219,2022-11
Chi-Yu,4.0651,2022-11
Charizard-Mega-Y,4.06352,2022-11
Iron Bundle,4.05381,2022-11
Clefable,3.86807,2022-11
Naganadel,3.68349,2022-11
Iron Valiant,3.62875,2022-11
Tornadus-Therian,3.49752,2022-11
Sableye-Mega,3.47782,2022-11
Maushold,3.37834,2022-11
Ceruledge,3.3651,2022-11
Orthworm,3.35285,2022-11
Melmetal,3.34112,2022-11
Dracozolt,3.32431,2022-11
Breloom,3.30314,2022-11
Swampert-Mega,3.28325,2022-11
Greninja-Ash,3.26961,2022-11
Rillaboom,3.19385,2022-11
Volcarona,3.1866,2022-11
Quaquaval,3.17657,2022-11
Dondozo,3.15287,2022-11
Meowscarada,3.12945,2022-11
Armarouge,3.11923,2022-11
Torkoal,3.08436,2022-11
Avalugg,2.99942,2022-11
Skarmory,2.9445,2022-11
Tapu Fini,2.93748,2022-11
Ninetales-Alola,2.8288,2022-11
Tyranitar-Mega,2.75063,2022-11
Charizard-Mega-X,2.67349,2022-11
Urshifu-Rapid-Strike,2.61518,2022-11
Cinderace,2.60169,2022-11
Iron Moth,2.57524,2022-11
Gyarados-Mega,2.56277,2022-11
Slowbro,2.47411,2022-11
Serperior,2.28417,2022-11
Dragonite,2.25373,2022-11
Lokix,2.23943,2022-11
Medicham-Mega,2.10472,2022-11
Zamazenta,2.08542,2022-11
Aegislash,2.05868,2022-11
Volcanion,2.03426,2022-11
Magnezone,1.97102,2022-11
Annihilape,1.87641,2022-11
Cetitan,1.87071,2022-11
Venusaur,1.8495,2022-11
Galvantula,1.76198,2022-11
Pinsir-Mega,1.76137,2022-11
Tinkaton,1.71441,2022-11
Latios,1.68452,2022-11
Iron Hands,1.63672,2022-11
Beedrill-Mega,1.6296,2022-11
Ting-Lu,1.58313,2022-11
Garganacl,1.55599,2022-11
Kartana,1.43311,2022-11
Araquanid,1.40965,2022-11
Manectric-Mega,1.40462,2022-11
Rotom-Wash,1.38738,2022-11
Venusaur-Mega,1.34056,2022-11
Cloyster,1.31885,2022-11
Victini,1.30312,2022-11
Amoonguss,1.2722,2022-11
Celesteela,1.25858,2022-11
Weavile,1.21491,2022-11
Slowking,1.1983,2022-11
Kommo-o,1.17812,2022-11
Hydreigon,1.17121,2022-11
Mimikyu,1.16331,2022-11
Arctozolt,1.15128,2022-11
Tapu Lele,1.15117,2022-11
Latias-Mega,1.12176,2022-11
Zygarde-10%,1.12043,2022-11
Kingdra,1.10444,2022-11
Hawlucha,1.09698,2022-11
Scizor,1.08481,2022-11
Espathra,1.08153,2022-11
Gastrodon,1.03207,2022-11
Slither Wing,1.00308,2022-11
Garchomp-Mega,0.96098,2022-11
Slowking-Galar,0.95814,2022-11
Pawmot,0.95218,2022-11
Brute Bonnet,0.92573,2022-11
Gengar,0.92528,2022-11
Haxorus,0.89342,2022-11
Aggron-Mega,0.87267,2022-11
Reuniclus,0.86326,2022-11
Zeraora,0.85479,2022-11
Aerodactyl-Mega,0.85075,2022-11
Shuckle,0.84724,2022-11
Jirachi,0.84583,2022-11
Salamence,0.84045,2022-11
Keldeo,0.82738,2022-11
Klawf,0.80468,2022-11
Tapu Bulu,0.79609,2022-11
Jellicent,0.79275,2022-11
Cresselia,0.78936,2022-11
Pidgeot-Mega,0.78888,2022-11
Kilowattrel,0.78796,2022-11
Grafaiai,0.76123,2022-11
Kyurem,0.7536,2022-11
Iron Thorns,0.74562,2022-11
Infernape,0.73915,2022-11
Sandy Shocks,0.73752,2022-11
Gardevoir-Mega,0.7282,2022-11
Hatterene,0.72213,2022-11
Tangrowth,0.66734,2022-11
Bombirdier,0.6607,2022-11
Blacephalon,0.65756,2022-11
Arcanine,0.65716,2022-11
Gallade-Mega,0.65413,2022-11
Goodra,0.64067,2022-11
Zapdos-Galar,0.62321,2022-11
Pincurchin,0.6216,2022-11
Stakataka,0.61905,2022-11
Arboliva,0.61163,2022-11
Scovillain,0.60763,2022-11
Latios-Mega,0.60737,2022-11
Greninja,0.60416,2022-11
Azumarill,0.59785,2022-11
Manaphy,0.59769,2022-11
Runerigus,0.59504,2022-11
Barraskewda,0.59489,2022-11
Bellibolt,0.59217,2022-11
Corsola-Galar,0.58865,2022-11
Dachsbun,0.58534,2022-11
Banette-Mega,0.58518,2022-11
Bronzong,0.56841,2022-11
Chandelure,0.56078,2022-11
Heracross-Mega,0.55868,2022-11
Ampharos-Mega,0.5584,2022-11
Brambleghast,0.55591,2022-11
Deoxys-Defense,0.53494,2022-11
Crobat,0.53413,2022-11
Blaziken,0.52832,2022-11
Dudunsparce,0.50897,2022-11
Crawdaunt,0.50524,2022-11
Abomasnow-Mega,0.49877,2022-11
Porygon-Z,0.49755,2022-11
Gyarados,0.495,2022-11
Quagsire,0.47727,2022-11
Ribombee,0.47631,2022-11
Toedscruel,0.47405,2022-11
Bisharp,0.47212,2022-11
Alakazam,0.46734,2022-11
Froslass,0.46499,2022-11
Cofagrigus,0.46371,2022-11
Barbaracle,0.45989,2022-11
Alomomola,0.45622,2022-11
Azelf,0.43069,2022-11
Donphan,0.41898,2022-11
Blastoise,0.41749,2022-11
Klefki,0.41117,2022-11
Mamoswine,0.4087,2022-11
Necrozma,0.40154,2022-11
Mabosstiff,0.40115,2022-11
Ninetales,0.39946,2022-11
Gigalith,0.39933,2022-11
Espeon,0.39358,2022-11
Starmie,0.39002,2022-11
Scrafty,0.38998,2022-11
Cinccino,0.38594,2022-11
Audino,0.38483,2022-11
Chesnaught,0.38322,2022-11
Porygon2,0.37987,2022-11
Swampert,0.37422,2022-11
Altaria-Mega,0.36691,2022-11
Golisopod,0.36609,2022-11
Houndoom-Mega,0.36359,2022-11
Spidops,0.36308,2022-11
Iron Jugulis,0.36267,2022-11
Xurkitree,0.3615,2022-11
Regidrago,0.35327,2022-11
Primarina,0.3505,2022-11
Umbreon,0.34367,2022-11
Snorlax,0.33935,2022-11
Mew,0.33864,2022-11
Latias,0.33833,2022-11
Whimsicott,0.33261,2022-11
Incineroar,0.33128,2022-11
Flamigo,0.32891,2022-11
Sylveon,0.32455,2022-11
Smeargle,0.32134,2022-11
Scream Tail,0.32048,2022-11
Druddigon,0.30961,2022-11
Sceptile-Mega,0.30343,2022-11
Mismagius,0.301,2022-11
Wo-Chien,0.30077,2022-11
Inteleon,0.29264,2022-11
Marowak-Alola,0.28273,2022-11
Togedemaru,0.28233,2022-11
Dusclops,0.2806,2022-11
Lycanroc-Dusk,0.279,2022-11
Coalossal,0.27667,2022-11
Hoopa-Unbound,0.27624,2022-11
Corsola,0.27377,2022-11
Raichu-Alola,0.27221,2022-11
Milotic,0.26945,2022-11
Roserade,0.26364,2022-11
Togekiss,0.26076,2022-11
Dunsparce,0.25905,2022-11
Rotom-Heat,0.25464,2022-11
Heliolisk,0.24943,2022-11
Weezing-Galar,0.24313,2022-11
Thundurus-Therian,0.24194,2022-11
Nihilego,0.2401,2022-11
Cursola,0.22875,2022-11
Slurpuff,0.22229,2022-11
Buzzwole,0.21508,2022-11
Crustle,0.2129,2022-11
Rotom-Mow,0.2124,2022-11
Gallade,0.19867,2022-11
Archeops,0.19804,2022-11
Clawitzer,0.1919,2022-11
Veluza,0.19146,2022-11
Linoone,0.1914,2022-11
Staraptor,0.18853,2022-11
Eldegoss,0.18499,2022-11
Moltres,0.18169,2022-11
Pyukumuku,0.17603,2022-11
Feraligatr,0.17582,2022-11
Palossand,0.17555,2022-11
Simisage,0.17555,2022-11
Pangoro,0.17542,2022-11
Darmanitan,0.17401,2022-11
Probopass,0.17345,2022-11
Tatsugiri,0.173,2022-11
Delphox,0.17278,2022-11
Uxie,0.17236,2022-11
Pikachu,0.16992,2022-11
Toxtricity,0.16809,2022-11
Mandibuzz,0.16792,2022-11
Seismitoad,0.16497,2022-11
Ambipom,0.15998,2022-11
Thundurus,0.1599,2022-11
Conkeldurr,0.15579,2022-11
Polteageist,0.15493,2022-11
Lopunny,0.15437,2022-11
Florges,0.15087,2022-11
Absol-Mega,0.15034,2022-11
Sharpedo-Mega,0.14373,2022-11
Eelektross,0.14357,2022-11
Absol,0.14186,2022-11
Forretress,0.14154,2022-11
Empoleon,0.13667,2022-11
Kabutops,0.13551,2022-11
Vaporeon,0.13434,2022-11
Ursaring,0.13401,2022-11
Illumise,0.1334,2022-11
Krookodile,0.13302,2022-11
Emboar,0.13249,2022-11
Guzzlord,0.13161,2022-11
Bewear,0.13157,2022-11
Spiritomb,0.13114,2022-11
Heracross,0.12933,2022-11
Diggersby,0.12499,2022-11
Cradily,0.12047,2022-11
Rhydon,0.11789,2022-11
Audino-Mega,0.11624,2022-11
Aggron,0.11351,2022-11
Steelix-Mega,0.11076,2022-11
Comfey,0.11047,2022-11
Mienshao,0.10928,2022-11
Trevenant,0.10336,2022-11
Mantine,0.10318,2022-11
Typhlosion,0.10303,2022-11
Suicune,0.10251,2022-11
Swoobat,0.10238,2022-11
Wugtrio,0.10208,2022-11
Aerodactyl,0.10204,2022-11
Metagross,0.10202,2022-11
Aron,0.10111,2022-11
Nidoqueen,0.10069,2022-11
Machamp,0.09948,2022-11
Zoroark,0.0981,2022-11
Tauros-Paldea-Water,0.0965,2022-11
Bibarel,0.09407,2022-11
Arctovish,0.09383,2022-11
Charizard,0.09097,2022-11
Regice,0.09059,2022-11
Abomasnow,0.09023,2022-11
Meloetta,0.08972,2022-11
Flygon,0.08969,2022-11
Salazzle,0.08909,2022-11
Beautifly,0.08878,2022-11
Steelix,0.08756,2022-11
Politoed,0.08714,2022-11
Oinkologne,0.08593,2022-11
Meowstic,0.08577,2022-11
Toxicroak,0.08571,2022-11
Flareon,0.0851,2022-11
Moltres-Galar,0.08261,2022-11
Vivillon,0.0807,2022-11
Gogoat,0.08064,2022-11
Jolteon,0.08049,2022-11
Nidoking,0.07832,2022-11
Malamar,0.07814,2022-11
Tauros-Paldea-Fire,0.07521,2022-11
Shaymin,0.07465,2022-11
Doublade,0.07098,2022-11
Walrein,0.06992,2022-11
Durant,0.06972,2022-11
Cramorant,0.06815,2022-11
Dhelmise,0.06541,2022-11
Alcremie,0.06399,2022-11
Scolipede,0.06237,2022-11
Obstagoon,0.06125,2022-11
Rhyperior,0.0611,2022-11
Exploud,0.05786,2022-11
Talonflame,0.05717,2022-11
Cobalion,0.05706,2022-11
Xatu,0.05665,2022-11
Oricorio-Sensu,0.05574,2022-11
Muk-Alola,0.05546,2022-11
Bellossom,0.0553,2022-11
Magcargo,0.0544,2022-11
Dubwool,0.05362,2022-11
Dewgong,0.05306,2022-11
Fearow,0.05233,2022-11
