Pokemon,Usage,Snapshot
Cyclizar,16.29598,2022-11
Dracovish,14.40728,2022-11
Flutter Mane,13.47129,2022-11
Ditto,13.00435,2022-11
Iron Bundle,12.70729,2022-11
Lopunny-Mega,12.2502,2022-11
Dragapult,12.1194,2022-11
Chansey,11.62741,2022-11
Bewear,11.41676,2022-11
Meloetta,11.17497,2022-11
Blastoise-Mega,10.47306,2022-11
Mimikyu,9.89636,2022-11
Zygarde,9.59894,2022-11
Pelipper,9.56305,2022-11
Salamence-Mega,8.96915,2022-11
Araquanid,8.9476,2022-11
Chien-Pao,8.79487,2022-11
Palafin,8.70284,2022-11
Iron Valiant,8.56827,2022-11
Cloyster,8.51752,2022-11
Gengar-Mega,8.15711,2022-11
Kyurem-Black,8.1125,2022-11
Naganadel,8.10862,2022-11
Urshifu-Rapid-Strike,7.48304,2022-11
Barraskewda,7.4109,2022-11
Roaring Moon,6.79834,2022-11
Ninetales-Alola,6.62604,2022-11
Tapu Lele,6.45174,2022-11
Annihilape,6.34657,2022-11
Iron Hands,6.34162,2022-11
Tapu Koko,6.00231,2022-11
Skeledirge,5.99143,2022-11
Diancie-Mega,5.95493,2022-11
Toxapex,5.90619,2022-11
Rotom-Wash,5.69396,2022-11
Raichu-Alola,5.63084,2022-11
Houndstone,5.57872,2022-11
Swampert-Mega,5.48694,2022-11
Regieleki,5.41456,2022-11
Thundurus,5.34824,2022-11
Breloom,5.19459,2022-11
Ribombee,5.06585,2022-11
Tapu Bulu,4.92001,2022-11
Avalugg,4.83055,2022-11
Sableye-Mega,4.24991,2022-11
Pheromosa,4.17169,2022-11
Kyurem,4.11952,2022-11
Latias,3.94395,2022-11
Volcarona,3.88208,2022-11
Kingdra,3.84651,2022-11
Zamazenta-Crowned,3.65534,2022-11
Slither Wing,3.55997,2022-11
Aegislash,3.32508,2022-11
Gholdengo,3.23957,2022-11
Ceruledge,3.12316,2022-11
Blaziken-Mega,3.01265,2022-11
