Pokemon,Usage,Snapshot
Sandaconda,31.80226,2023-02
Passimian,29.6347,2023-02
Goodra,24.85286,2023-02
Jolteon,19.66701,2023-02
Braviary,18.8325,2023-02
Copperajah,16.78697,2023-02
Medicham,16.15152,2023-02
Bruxish,15.77449,2023-02
Oricorio-Pom-Pom,15.73091,2023-02
Dudunsparce,15.55634,2023-02
Lycanroc,15.20435,2023-02
Frosmoth,14.6135,2023-02
Zoroark,13.91636,2023-02
Vaporeon,12.7662,2023-02
Oricorio-Sensu,12.31031,2023-02
Tauros-Paldea-Combat,11.52498,2023-02
Drifblim,10.52859,2023-02
Mabosstiff,10.49257,2023-02
Veluza,9.28812,2023-02
Muk,9.1476,2023-02
Honchkrow,8.9969,2023-02
Toxicroak,8.62081,2023-02
Umbreon,8.45292,2023-02
Chansey,8.18062,2023-02
Qwilfish,7.61728,2023-02
Venomoth,7.50699,2023-02
Ursaring,7.14631,2023-02
Eelektross,6.9919,2023-02
Clawitzer,6.8334,2023-02
Rotom,6.80777,2023-02
Spiritomb,6.33974,2023-02
Klawf,6.12879,2023-02
Vespiquen,6.09812,2023-02
Zangoose,5.95674,2023-02
Appletun,5.95016,2023-02
Lurantis,5.69103,2023-02
Crocalor,5.55826,2023-02
Scyther,5.16323,2023-02
Whiscash,5.09112,2023-02
Masquerain,5.06559,2023-02
Basculin,4.99699,2023-02
Spidops,4.87665,2023-02
Farigiraf,4.52716,2023-02
Hattrem,4.50925,2023-02
Rabsca,4.46311,2023-02
Carkol,4.24356,2023-02
Haunter,4.23261,2023-02
Glimmet,3.99782,2023-02
Houndoom,3.89194,2023-02
Camerupt,3.84423,2023-02
Morgrem,3.80477,2023-02
Cacturne,3.76212,2023-02
Crabominable,3.5556,2023-02
Perrserker,3.50637,2023-02
Oricorio,3.46698,2023-02
Rotom-Frost,3.46061,2023-02
Magneton,3.45703,2023-02
Skuntank,3.42337,2023-02
Pyroar,3.15346,2023-02
Indeedee-F,3.14739,2023-02
Sawsbuck,3.01278,2023-02
Quaxwell,2.9102,2023-02
Tinkatuff,2.83588,2023-02
Jumpluff,2.70395,2023-02
Eiscue,2.51536,2023-02
Squawkabilly,2.2222,2023-02
Flapple,1.94052,2023-02
Dugtrio,1.81112,2023-02
Gogoat,1.80136,2023-02
Leafeon,1.57581,2023-02
Ampharos,1.5453,2023-02
Vivillon,1.53177,2023-02
Lilligant,1.51588,2023-02
Toedscool,1.43792,2023-02
Falinks,1.30261,2023-02
Scovillain,1.26409,2023-02
Rotom-Fan,1.22063,2023-02
Electrode,1.19165,2023-02
Raichu,1.17787,2023-02
Flareon,1.17476,2023-02
Dedenne,1.14172,2023-02
Banette,1.12775,2023-02
Luxray,1.0618,2023-02
Fraxure,1.06141,2023-02
Murkrow,1.05241,2023-02
Misdreavus,0.98173,2023-02
Glaceon,0.95506,2023-02
Lycanroc-Midnight,0.90073,2023-02
Persian,0.89253,2023-02
Tropius,0.88545,2023-02
Sudowoodo,0.7742,2023-02
Frogadier,0.7603,2023-02
Wugtrio,0.69695,2023-02
Sneasel,0.67411,2023-02
Golduck,0.66032,2023-02
Pikachu,0.65628,2023-02
Wigglytuff,0.64961,2023-02
Delibird,0.64257,2023-02
Oricorio-Pa'u,0.58881,2023-02
Mareanie,0.55408,2023-02
Stonjourner,0.55093,2023-02
Dunsparce,0.51448,2023-02
Pincurchin,0.49582,2023-02
Swalot,0.48947,2023-02
Slaking,0.47321,2023-02
Beartic,0.4665,2023-02
Gabite,0.38028,2023-02
Raboot,0.37597,2023-02
Dragonair,0.36142,2023-02
Zweilous,0.3538,2023-02
Grumpig,0.30407,2023-02
Kricketune,0.29552,2023-02
Pachirisu,0.29283,2023-02
Gothitelle,0.28197,2023-02
Greedent,0.27351,2023-02
Seviper,0.26094,2023-02
Shroodle,0.21816,2023-02
Vigoroth,0.21623,2023-02
Pupitar,0.21599,2023-02
Oranguru,0.19876,2023-02
Hippopotas,0.19833,2023-02
Girafarig,0.19305,2023-02
Snover,0.17736,2023-02
Marill,0.15428,2023-02
Gumshoos,0.14302,2023-02
Flittle,0.14198,2023-02
Floragato,0.10754,2023-02
Charmeleon,0.09829,2023-02
Glalie,0.09827,2023-02
Oinkologne-F,0.09796,2023-02
Hypno,0.08352,2023-02
Sunflora,0.07738,2023-02
Drakloak,0.0605,2023-02
Greavard,0.05971,2023-02
Stantler,0.05708,2023-02
Pawniard,0.05631,2023-02
Lumineon,0.05568,2023-02
Fletchinder,0.05343,2023-02
Corvisquire,0.04799,2023-02
Oinkologne,0.04192,2023-02
Buizel,0.03423,2023-02
Krokorok,0.03056,2023-02
Bronzor,0.02809,2023-02
Sandygast,0.0276,2023-02
Sliggoo,0.02633,2023-02
Floette,0.02455,2023-02
Silicobra,0.02277,2023-02
Numel,0.02259,2023-02
Pineco,0.02052,2023-02
Shellos,0.01724,2023-02
Shelgon,0.01669,2023-02
Sinistea,0.01401,2023-02
Luvdisc,0.01345,2023-02
Wooper-Paldea,0.01148,2023-02
Makuhita,0.01115,2023-02
Arctibax,0.00959,2023-02
Riolu,0.00866,2023-02
Gastly,0.00857,2023-02
Skiploom,0.00744,2023-02
Slowpoke,0.00649,2023-02
Bramblin,0.00599,2023-02
Kirlia,0.00495,2023-02
Steenee,0.00491,2023-02
Salandit,0.00484,2023-02
Cetoddle,0.00429,2023-02
Psyduck,0.00416,2023-02
Bergmite,0.00356,2023-02
Tarountula,0.00279,2023-02
Cufant,0.00278,2023-02
Gothorita,0.00202,2023-02
Eevee,0.0017,2023-02
Eelektrik,0.00168,2023-02
Varoom,0.00156,2023-02
Wattrel,0.00139,2023-02
Pawmo,0.0012,2023-02
Foongus,0.00101,2023-02
Tandemaus,0.00093,2023-02
Wooper,0.00076,2023-02
Starly,0.00072,2023-02
Chewtle,0.00035,2023-02
Pichu,0.00015,2023-02
Rufflet,0.00014,2023-02
Dolliv,0.00006,2023-02
Nymble,0.00006,2023-02
Toxel,0.00003,2023-02
Jigglypuff,0.00003,2023-02
Diglett,0.00003,2023-02
Shroomish,0.00003,2023-02
Maschiff,0.00003,2023-02
Venonat,0.00001,2023-02
Deerling,0,2023-02
Ralts,0,2023-02
Meditite,0,2023-02
Gimmighoul,0,2023-02
Meowth,0,2023-02
Swablu,0,2023-02
Mudbray,0,2023-02
Nacli,0,2023-02
Lechonk,0,2023-02
Mareep,0,2023-02
Magikarp,0,2023-02
Fidough,0,2023-02
Growlithe,0,2023-02
Cacnea,0,2023-02
Azurill,0,2023-02
Barboach,0,2023-02
Magnemite,0,2023-02
Fuecoco,0,2023-02
Shellder,0,2023-02
Phanpy,0,2023-02
Mankey,0,2023-02
Dratini,0,2023-02
Houndour,0,2023-02
Bonsly,0,2023-02
Surskit,0,2023-02
Luxio,0,2023-02
Igglybuff,0,2023-02
Zorua,0,2023-02
Cubchoo,0,2023-02
Tinkatink,0,2023-02
Tadbulb,0,2023-02
Yungoos,0,2023-02
Litleo,0,2023-02
Applin,0,2023-02
Happiny,0,2023-02
Smoliv,0,2023-02
Skrelp,0,2023-02
Croagunk,0,2023-02
Sandile,0,2023-02
Quaxly,0,2023-02
Arrokuda,0,2023-02
Voltorb,0,2023-02
Axew,0,2023-02
Drifloon,0,2023-02
Fomantis,0,2023-02
Drowzee,0,2023-02
Bagon,0,2023-02
Rookidee,0,2023-02
Stunky,0,2023-02
Wiglett,0,2023-02
Sunkern,0,2023-02
Finneon,0,2023-02
Impidimp,0,2023-02
Hoppip,0,2023-02
Charmander,0,2023-02
Crabrawler,0,2023-02
Larvesta,0,2023-02
Gothita,0,2023-02
Pawmi,0,2023-02
Hatenna,0,2023-02
Flaaffy,0,2023-02
Froakie,0,2023-02
Rellor,0,2023-02
Scorbunny,0,2023-02
Bounsweet,0,2023-02
Staravia,0,2023-02
Sprigatito,0,2023-02
Gulpin,0,2023-02
Grimer,0,2023-02
Flabebe,0,2023-02
Spewpa,0,2023-02
Spoink,0,2023-02
Zorua-Hisui,0,2023-02
Wingull,0,2023-02
Skwovet,0,2023-02
Bulbasaur,0,2023-02
Ivysaur,0,2023-02
Venusaur,0,2023-02
Venusaur-Mega,0,2023-02
Charizard,0,2023-02
Charizard-Mega-X,0,2023-02
Charizard-Mega-Y,0,2023-02
Squirtle,0,2023-02
Wartortle,0,2023-02
Blastoise,0,2023-02
Blastoise-Mega,0,2023-02
Caterpie,0,2023-02
