Pokemon,Usage,Snapshot
Quaxwell,30.23687,2023-03
Magneton,28.11742,2023-03
Skuntank,25.05225,2023-03
Houndoom,21.92432,2023-03
Gabite,19.70259,2023-03
Lycanroc-Midnight,19.62699,2023-03
Perrserker,17.3195,2023-03
Crabominable,16.90271,2023-03
Misdreavus,16.43891,2023-03
Haunter,14.1555,2023-03
Pyroar,13.55392,2023-03
Dugtrio,13.5373,2023-03
Cacturne,13.22791,2023-03
Camerupt,12.97245,2023-03
Squawkabilly,11.69463,2023-03
Vivillon,11.61794,2023-03
Oricorio-Pa'u,11.07565,2023-03
Falinks,10.37187,2023-03
Gogoat,9.48058,2023-03
Raichu,9.03718,2023-03
Hattrem,8.99896,2023-03
Rotom-Frost,8.82642,2023-03
Lilligant,8.77445,2023-03
Tinkatuff,8.60137,2023-03
Rotom-Fan,8.46228,2023-03
Indeedee-F,7.89544,2023-03
Carkol,7.72356,2023-03
Glimmet,7.69918,2023-03
Frogadier,6.86067,2023-03
Golduck,6.81231,2023-03
Dartrix,6.57899,2023-03
Sawsbuck,6.53828,2023-03
Flapple,6.52398,2023-03
Dragonair,6.50519,2023-03
Drakloak,6.45778,2023-03
Rabsca,6.45266,2023-03
Wugtrio,6.36725,2023-03
Raboot,5.90862,2023-03
Oricorio,5.16162,2023-03
Grumpig,4.97182,2023-03
Ampharos,4.90471,2023-03
Electrode,4.8785,2023-03
Banette,4.72768,2023-03
Glaceon,4.57412,2023-03
Stonjourner,4.5419,2023-03
Leafeon,4.4272,2023-03
Slaking,4.22137,2023-03
Swalot,4.12161,2023-03
Flareon,3.81528,2023-03
Vigoroth,3.76016,2023-03
Eiscue,3.75106,2023-03
Persian,3.6096,2023-03
Scovillain,3.60815,2023-03
Sneasel,3.35238,2023-03
Fraxure,3.19631,2023-03
Pincurchin,3.05414,2023-03
Girafarig,2.90824,2023-03
Dunsparce,2.89671,2023-03
Luxray,2.82307,2023-03
Sudowoodo,2.79636,2023-03
Kricketune,2.75866,2023-03
Beartic,2.57838,2023-03
Wigglytuff,2.49031,2023-03
Toedscool,2.34395,2023-03
Murkrow,2.26236,2023-03
Tropius,2.26188,2023-03
Jumpluff,2.12395,2023-03
Delibird,1.87075,2023-03
Fletchinder,1.5404,2023-03
Lumineon,1.52079,2023-03
Greedent,1.35689,2023-03
Zweilous,1.35029,2023-03
Oinkologne-F,1.31689,2023-03
Seviper,1.28484,2023-03
Shroodle,1.26131,2023-03
Hypno,1.15386,2023-03
Gumshoos,1.14977,2023-03
Sliggoo,1.12877,2023-03
Meditite,1.12365,2023-03
Oranguru,1.09746,2023-03
Hippopotas,1.08429,2023-03
Stantler,1.05755,2023-03
Mareanie,1.00779,2023-03
Gothitelle,0.98733,2023-03
Pawniard,0.98729,2023-03
Dedenne,0.95786,2023-03
Morgrem,0.93235,2023-03
Pikachu,0.88865,2023-03
Krokorok,0.79574,2023-03
Pachirisu,0.75934,2023-03
Eelektrik,0.7528,2023-03
Corvisquire,0.70877,2023-03
Pupitar,0.70535,2023-03
Mudbray,0.67869,2023-03
Bronzor,0.61201,2023-03
Sinistea,0.59348,2023-03
Oinkologne,0.58965,2023-03
Glalie,0.5646,2023-03
Snover,0.50481,2023-03
Mankey,0.45675,2023-03
Flittle,0.40314,2023-03
Bramblin,0.40045,2023-03
Floragato,0.39749,2023-03
Sandygast,0.39436,2023-03
Zorua-Hisui,0.31594,2023-03
Foongus,0.30157,2023-03
Floette,0.2833,2023-03
Sunflora,0.26503,2023-03
Shelgon,0.25973,2023-03
Tarountula,0.24692,2023-03
Arctibax,0.22041,2023-03
Riolu,0.18148,2023-03
Numel,0.17301,2023-03
Greavard,0.13176,2023-03
Rufflet,0.12906,2023-03
Shellos,0.12839,2023-03
Marill,0.12615,2023-03
Pineco,0.11723,2023-03
Kricketot,0.10788,2023-03
Charmeleon,0.10659,2023-03
Happiny,0.10061,2023-03
Swablu,0.09518,2023-03
Surskit,0.08837,2023-03
Diglett,0.08749,2023-03
Fuecoco,0.07984,2023-03
