Pokemon,Usage,Snapshot
Haxorus,26.18623,2023-01
Lycanroc-Dusk,22.22976,2023-01
Espeon,20.91063,2023-01
Slowbro,17.44742,2023-01
Magnezone,16.84866,2023-01
Tauros-Paldea-Blaze,14.56758,2023-01
Toxtricity,14.06942,2023-01
Gardevoir,14.03593,2023-01
Tatsugiri,13.60831,2023-01
Krookodile,13.59131,2023-01
Flamigo,12.92237,2023-01
Weavile,12.53838,2023-01
Cloyster,12.28184,2023-01
Mudsdale,12.01761,2023-01
Heracross,11.31225,2023-01
Bellibolt,10.81572,2023-01
Altaria,10.71306,2023-01
Arcanine,10.71183,2023-01
Palossand,10.64003,2023-01
Sableye,10.57192,2023-01
Primeape,10.16279,2023-01
Rotom-Heat,9.13424,2023-01
Abomasnow,8.95775,2023-01
Revavroom,8.94076,2023-01
Bronzong,8.892,2023-01
Avalugg,8.86664,2023-01
Sylveon,8.80628,2023-01
Mismagius,8.59469,2023-01
Blissey,8.43537,2023-01
Hariyama,7.89747,2023-01
Arboliva,6.36254,2023-01
Florges,6.06485,2023-01
Drednaw,6.027,2023-01
Coalossal,5.91699,2023-01
Cetitan,5.69392,2023-01
Rotom-Mow,5.68352,2023-01
Dachsbun,5.37618,2023-01
Dragalge,5.36558,2023-01
Froslass,5.29663,2023-01
Naclstack,5.28569,2023-01
Salazzle,5.2076,2023-01
Komala,4.87213,2023-01
Cryogonal,4.73026,2023-01
Bombirdier,4.5413,2023-01
Zoroark,4.262,2023-01
Venomoth,4.20109,2023-01
Oricorio-Sensu,4.16879,2023-01
Frosmoth,4.05797,2023-01
Braviary,4.02726,2023-01
Goodra,3.98844,2023-01
Masquerain,3.85531,2023-01
Crocalor,3.82518,2023-01
Drifblim,3.70913,2023-01
Dudunsparce,3.70736,2023-01
Medicham,3.68112,2023-01
Veluza,3.51279,2023-01
Mabosstiff,3.50687,2023-01
Rabsca,3.47836,2023-01
Oricorio-Pom-Pom,3.2556,2023-01
Eelektross,3.24184,2023-01
Umbreon,3.18644,2023-01
Jolteon,3.16595,2023-01
Sandaconda,3.15991,2023-01
Copperajah,3.07702,2023-01
Spidops,3.07517,2023-01
Glimmet,3.04514,2023-01
Lycanroc,2.63412,2023-01
Farigiraf,2.55097,2023-01
Honchkrow,2.53772,2023-01
Clawitzer,2.377,2023-01
Indeedee-F,2.28667,2023-01
Bruxish,2.23838,2023-01
Passimian,2.201,2023-01
Chansey,2.19628,2023-01
Ursaring,2.14825,2023-01
Basculin,2.09792,2023-01
Vaporeon,2.06934,2023-01
Morgrem,2.00051,2023-01
Qwilfish,1.96438,2023-01
Oricorio,1.88922,2023-01
Squawkabilly,1.87544,2023-01
Klawf,1.82582,2023-01
Beartic,1.77142,2023-01
Whiscash,1.6307,2023-01
Muk,1.51101,2023-01
Zangoose,1.5035,2023-01
Scyther,1.47023,2023-01
Scovillain,1.41089,2023-01
Toxicroak,1.3882,2023-01
Vivillon,1.1996,2023-01
Skuntank,0.97798,2023-01
Lurantis,0.97713,2023-01
Flareon,0.92198,2023-01
Cacturne,0.87848,2023-01
Lilligant,0.79058,2023-01
Flapple,0.79004,2023-01
Appletun,0.75728,2023-01
Houndoom,0.74306,2023-01
Crabominable,0.72418,2023-01
Vespiquen,0.7199,2023-01
Gogoat,0.7046,2023-01
Wugtrio,0.66791,2023-01
Perrserker,0.60663,2023-01
Camerupt,0.53943,2023-01
Spiritomb,0.50389,2023-01
Jumpluff,0.49215,2023-01
Tinkatuff,0.48779,2023-01
Luxray,0.48169,2023-01
Gothitelle,0.42713,2023-01
Haunter,0.41373,2023-01
Rotom,0.4127,2023-01
Hattrem,0.41236,2023-01
Dugtrio,0.395,2023-01
Falinks,0.37065,2023-01
Slaking,0.35224,2023-01
Ampharos,0.34367,2023-01
Tauros-Paldea-Combat,0.33437,2023-01
Eiscue,0.33279,2023-01
Glaceon,0.26965,2023-01
Toedscool,0.26669,2023-01
Dunsparce,0.23629,2023-01
Banette,0.23283,2023-01
Rotom-Frost,0.22268,2023-01
Carkol,0.20147,2023-01
Dedenne,0.18485,2023-01
Persian,0.17947,2023-01
Raichu,0.17668,2023-01
Sawsbuck,0.16723,2023-01
Golduck,0.15191,2023-01
Electrode,0.14872,2023-01
Kricketune,0.12406,2023-01
Stonjourner,0.11679,2023-01
Drakloak,0.10343,2023-01
Quaxwell,0.09549,2023-01
Pyroar,0.09487,2023-01
Tropius,0.08225,2023-01
Grumpig,0.07901,2023-01
Leafeon,0.07624,2023-01
Delibird,0.0761,2023-01
Vigoroth,0.07031,2023-01
Oinkologne-F,0.06314,2023-01
Murkrow,0.05848,2023-01
Swalot,0.05681,2023-01
Gabite,0.05487,2023-01
Pikachu,0.05392,2023-01
Oricorio-Pa'u,0.0537,2023-01
Wigglytuff,0.05011,2023-01
Arctibax,0.04664,2023-01
Shroodle,0.04577,2023-01
Dragonair,0.03944,2023-01
Pachirisu,0.03603,2023-01
Sudowoodo,0.03444,2023-01
Gumshoos,0.03153,2023-01
Oinkologne,0.02974,2023-01
Pincurchin,0.02921,2023-01
Lycanroc-Midnight,0.02892,2023-01
Seviper,0.02548,2023-01
Rotom-Fan,0.02506,2023-01
Mareanie,0.02345,2023-01
Fletchinder,0.02218,2023-01
Misdreavus,0.02098,2023-01
Stantler,0.02097,2023-01
Greedent,0.01665,2023-01
Magneton,0.0105,2023-01
