Pokemon,Usage,Snapshot
Tinkaton,24.68857,2022-12
Hydreigon,23.00174,2022-12
Azumarill,18.46225,2022-12
Armarouge,17.07662,2022-12
Sandy Shocks,15.86444,2022-12
Slither Wing,15.69483,2022-12
Espathra,15.64562,2022-12
Grafaiai,15.35021,2022-12
Mimikyu,14.77028,2022-12
Gengar,14.5344,2022-12
Talonflame,14.37409,2022-12
Hatterene,13.63001,2022-12
Donphan,12.42775,2022-12
Bisharp,11.33277,2022-12
Iron Jugulis,11.29438,2022-12
Rotom-Wash,10.5566,2022-12
Salamence,9.99877,2022-12
Quagsire,9.89393,2022-12
Pelipper,9.81368,2022-12
Gallade,9.8018,2022-12
Forretress,9.37466,2022-12
Slowking,9.28853,2022-12
Pawmot,9.14274,2022-12
Kilowattrel,8.9722,2022-12
Lucario,8.83092,2022-12
Scream Tail,8.62607,2022-12
Wo-Chien,8.25232,2022-12
Staraptor,8.10469,2022-12
Brambleghast,7.65277,2022-12
Tsareena,7.49187,2022-12
Hawlucha,6.75092,2022-12
Gastrodon,6.14679,2022-12
Hippowdon,6.11515,2022-12
Floatzel,6.09331,2022-12
Toedscruel,5.84191,2022-12
Gyarados,5.81236,2022-12
Tauros-Paldea-Water,5.80978,2022-12
Polteageist,5.45205,2022-12
Alomomola,5.03683,2022-12
Iron Thorns,4.98602,2022-12
Brute Bonnet,4.96616,2022-12
Noivern,4.70294,2022-12
Indeedee,4.66574,2022-12
Klefki,4.53822,2022-12
Barraskewda,4.53097,2022-12
Blissey,4.41084,2022-12
Tatsugiri,4.19349,2022-12
Cloyster,4.03451,2022-12
Primeape,3.66971,2022-12
Tauros-Paldea-Fire,3.59892,2022-12
Magnezone,3.54593,2022-12
Revavroom,3.52436,2022-12
Bellibolt,3.46596,2022-12
Arboliva,3.29744,2022-12
Toxtricity,3.29537,2022-12
Flamigo,3.25549,2022-12
Lycanroc-Dusk,3.12003,2022-12
Cetitan,3.0753,2022-12
Golduck,3.07488,2022-12
Espeon,3.06937,2022-12
Haxorus,2.99546,2022-12
Gardevoir,2.98143,2022-12
Arcanine,2.92692,2022-12
Goodra,2.81258,2022-12
Bombirdier,2.61509,2022-12
Bronzong,2.48226,2022-12
Altaria,2.37028,2022-12
Coalossal,2.35913,2022-12
Avalugg,2.31409,2022-12
Krookodile,2.28525,2022-12
Mismagius,2.09336,2022-12
Abomasnow,2.06539,2022-12
Frosmoth,2.04166,2022-12
Morgrem,1.97632,2022-12
Dudunsparce,1.86907,2022-12
Sableye,1.6583,2022-12
Weavile,1.56631,2022-12
Slowbro,1.46571,2022-12
Cryogonal,1.41551,2022-12
Mabosstiff,1.39446,2022-12
Drifblim,1.34167,2022-12
Jolteon,1.33467,2022-12
Pincurchin,1.30947,2022-12
Sylveon,1.25912,2022-12
Veluza,1.25154,2022-12
Heracross,1.24853,2022-12
Vaporeon,1.24472,2022-12
Dragalge,1.23748,2022-12
Rotom-Heat,1.21949,2022-12
Masquerain,1.21256,2022-12
Indeedee-F,1.2012,2022-12
Naclstack,1.1874,2022-12
Drednaw,1.18712,2022-12
Copperajah,1.16048,2022-12
Dachsbun,1.15496,2022-12
Glimmet,1.13636,2022-12
Florges,1.09272,2022-12
Froslass,1.05935,2022-12
Salazzle,0.99682,2022-12
Palossand,0.94006,2022-12
Rotom-Mow,0.93591,2022-12
Umbreon,0.91484,2022-12
Venomoth,0.82998,2022-12
Hariyama,0.79752,2022-12
Toxicroak,0.78124,2022-12
Eelektross,0.76085,2022-12
Beartic,0.75257,2022-12
Lycanroc,0.70669,2022-12
Medicham,0.67871,2022-12
Crabominable,0.64728,2022-12
Rabsca,0.64628,2022-12
Mudsdale,0.63031,2022-12
Honchkrow,0.56476,2022-12
Muk,0.55286,2022-12
Klawf,0.54868,2022-12
Squawkabilly,0.51823,2022-12
Greedent,0.50966,2022-12
Ursaring,0.49739,2022-12
Skuntank,0.45155,2022-12
Zoroark,0.45115,2022-12
Spidops,0.44121,2022-12
Glaceon,0.43358,2022-12
Clawitzer,0.41285,2022-12
Spiritomb,0.40194,2022-12
Leafeon,0.37731,2022-12
Chansey,0.37694,2022-12
Farigiraf,0.37693,2022-12
Falinks,0.35583,2022-12
Ampharos,0.34792,2022-12
Flapple,0.32211,2022-12
Houndoom,0.32191,2022-12
Raichu,0.31782,2022-12
Dugtrio,0.31683,2022-12
Bruxish,0.28152,2022-12
Eiscue,0.26485,2022-12
Flareon,0.25512,2022-12
Cacturne,0.2523,2022-12
Qwilfish,0.24114,2022-12
Scyther,0.22754,2022-12
Gogoat,0.21852,2022-12
Oricorio-Pom-Pom,0.21042,2022-12
Oricorio-Sensu,0.20698,2022-12
Sawsbuck,0.20451,2022-12
Zangoose,0.20218,2022-12
Murkrow,0.20086,2022-12
Scovillain,0.18815,2022-12
Passimian,0.17148,2022-12
Braviary,0.16969,2022-12
Electrode,0.16833,2022-12
Lurantis,0.16256,2022-12
Slaking,0.16142,2022-12
Vivillon,0.15425,2022-12
Basculin,0.13917,2022-12
Appletun,0.13399,2022-12
Camerupt,0.13003,2022-12
Delibird,0.12478,2022-12
Lycanroc-Midnight,0.1171,2022-12
Lilligant,0.1139,2022-12
Jumpluff,0.11133,2022-12
Dedenne,0.11063,2022-12
Oinkologne,0.10904,2022-12
Sandaconda,0.10832,2022-12
Dunsparce,0.10814,2022-12
Girafarig,0.09313,2022-12
Luxray,0.0866,2022-12
Gumshoos,0.08008,2022-12
Pikachu,0.07785,2022-12
Kricketune,0.07711,2022-12
Tauros-Paldea,0.07059,2022-12
Oricorio,0.07002,2022-12
Komala,0.06801,2022-12
Banette,0.06535,2022-12
Pyroar,0.05875,2022-12
Crocalor,0.05107,2022-12
Swalot,0.04586,2022-12
Vespiquen,0.03666,2022-12
Rotom,0.03439,2022-12
Rotom-Frost,0.03362,2022-12
Wugtrio,0.03257,2022-12
Perrserker,0.03246,2022-12
Persian,0.03146,2022-12
Dragonair,0.03129,2022-12
Grumpig,0.027,2022-12
Misdreavus,0.02679,2022-12
Seviper,0.0267,2022-12
Sudowoodo,0.02143,2022-12
Arctibax,0.01607,2022-12
Hypno,0.01006,2022-12
Sunflora,0.00768,2022-12
Gabite,0.00755,2022-12
Whiscash,0.0064,2022-12
Haunter,0.00368,2022-12
Drowzee,0.00365,2022-12
Wigglytuff,0.00344,2022-12
Toedscool,0.00228,2022-12
Clauncher,0.00222,2022-12
Crabrawler,0.00222,2022-12
Stonjourner,0.00213,2022-12
Pachirisu,0.00189,2022-12
Magneton,0.00143,2022-12
Stantler,0.0013,2022-12
Lumineon,0.00124,2022-12
Quaxly,0.00115,2022-12
Tropius,0.00095,2022-12
Gothitelle,0.00081,2022-12
Tinkatuff,0.00074,2022-12
Hattrem,0.00045,2022-12
Swablu,0.00038,2022-12
Sneasel,0.0002,2022-12
Glalie,0.0002,2022-12
Oinkologne-F,0.00005,2022-12
Sprigatito,0.00004,2022-12
