Pokemon,Usage,Snapshot
Sudowoodo,41.46379,2023-04
Swalot,28.78075,2023-04
Luxray,26.68159,2023-04
Scovillain,25.48046,2023-04
Persian,21.52984,2023-04
Toedscool,19.43932,2023-04
Dunsparce,18.64474,2023-04
Gastly,17.93998,2023-04
Gothitelle,17.79034,2023-04
Leafeon,17.11358,2023-04
Fletchinder,17.11122,2023-04
Flareon,16.40074,2023-04
Sneasel,14.21157,2023-04
Fraxure,13.9513,2023-04
Dedenne,13.7188,2023-04
Lumineon,13.26448,2023-04
Jumpluff,13.23759,2023-04
Beartic,11.89299,2023-04
Slaking,11.66825,2023-04
Pawniard,11.2388,2023-04
Girafarig,11.17669,2023-04
Mareanie,9.3416,2023-04
Eiscue,9.29496,2023-04
Vigoroth,9.26536,2023-04
Kricketune,9.13245,2023-04
Glalie,8.74067,2023-04
Krokorok,8.6737,2023-04
Murkrow,8.43456,2023-04
Seviper,7.94946,2023-04
Sandygast,6.54371,2023-04
Delibird,6.47851,2023-04
Oranguru,6.33592,2023-04
Tropius,6.01148,2023-04
Stantler,5.84636,2023-04
Pikachu,5.66916,2023-04
Hypno,5.36611,2023-04
Shelgon,4.91652,2023-04
Wigglytuff,4.72937,2023-04
Snover,4.50656,2023-04
Shroodle,4.34872,2023-04
Pincurchin,4.10476,2023-04
Meditite,3.84428,2023-04
Hippopotas,3.71059,2023-04
Bramblin,3.66882,2023-04
Sliggoo,3.63621,2023-04
Corvisquire,3.29067,2023-04
Pupitar,3.08007,2023-04
Gumshoos,3.03949,2023-04
Mudbray,3.01727,2023-04
Dewott,2.89541,2023-04
Greedent,2.74521,2023-04
Zweilous,2.72327,2023-04
Morgrem,2.64877,2023-04
Eelektrik,2.57407,2023-04
Pachirisu,2.44782,2023-04
Cufant,2.43983,2023-04
Oinkologne-F,2.39901,2023-04
Greavard,2.22621,2023-04
Oinkologne,1.92959,2023-04
Sinistea,1.82141,2023-04
Floragato,1.51042,2023-04
Bronzor,1.47135,2023-04
Flittle,1.4698,2023-04
Hatenna,1.45981,2023-04
Floette,1.3468,2023-04
Buizel,1.33791,2023-04
Arctibax,1.27915,2023-04
Wooper-Paldea,1.02326,2023-04
Drifloon,1.01803,2023-04
Quilava,0.95918,2023-04
Pineco,0.93006,2023-04
Varoom,0.77134,2023-04
Charmeleon,0.74425,2023-04
Rowlet,0.72881,2023-04
Sunflora,0.72793,2023-04
Marill,0.72014,2023-04
Foongus,0.52215,2023-04
Quaxly,0.51984,2023-04
Magnemite,0.50304,2023-04
Staravia,0.49366,2023-04
Rufflet,0.48948,2023-04
Pawmo,0.48578,2023-04
Crabrawler,0.46763,2023-04
Tinkatink,0.44921,2023-04
Fuecoco,0.41763,2023-04
Steenee,0.37213,2023-04
Mankey,0.36697,2023-04
Slowpoke,0.35046,2023-04
Bergmite,0.34791,2023-04
Meowth-Galar,0.33631,2023-04
Wooper,0.29918,2023-04
Froakie,0.26629,2023-04
Tarountula,0.23339,2023-04
Psyduck,0.22729,2023-04
Zorua,0.21157,2023-04
Stunky,0.21107,2023-04
Gimmighoul,0.16327,2023-04
Skrelp,0.13017,2023-04
Rolycoly,0.12395,2023-04
Shellos,0.11103,2023-04
Swablu,0.11032,2023-04
Silicobra,0.0993,2023-04
Shuppet,0.09879,2023-04
Salandit,0.08106,2023-04
Tandemaus,0.08003,2023-04
Axew,0.07876,2023-04
Gothorita,0.07854,2023-04
Riolu,0.07824,2023-04
Chewtle,0.07625,2023-04
Grimer,0.06827,2023-04
Diglett,0.06669,2023-04
Kirlia,0.0662,2023-04
Sandile,0.05536,2023-04
Dolliv,0.05378,2023-04
Shellder,0.0505,2023-04
Scorbunny,0.04914,2023-04
Numel,0.04856,2023-04
Gible,0.04813,2023-04
Venonat,0.03927,2023-04
Larvesta,0.03412,2023-04
Croagunk,0.03353,2023-04
Skiploom,0.02944,2023-04
Shroomish,0.0276,2023-04
Surskit,0.02709,2023-04
Arrokuda,0.02569,2023-04
Cetoddle,0.02483,2023-04
Voltorb,0.0242,2023-04
Finizen,0.02273,2023-04
Maschiff,0.01978,2023-04
Growlithe,0.01961,2023-04
Nacli,0.01937,2023-04
Cacnea,0.01744,2023-04
Luvdisc,0.0169,2023-04
Flaaffy,0.01639,2023-04
Starly,0.01549,2023-04
Bonsly,0.01317,2023-04
Lechonk,0.0131,2023-04
Finneon,0.00714,2023-04
Makuhita,0.00699,2023-04
Drizzile,0.00629,2023-04
Wingull,0.00605,2023-04
Luxio,0.00563,2023-04
Cubchoo,0.00557,2023-04
Dratini,0.0054,2023-04
Drowzee,0.00529,2023-04
Skuntank,0.0045,2023-04
Meowth,0.00424,2023-04
Jigglypuff,0.00386,2023-04
Nymble,0.00335,2023-04
Noibat,0.00327,2023-04
Fomantis,0.00308,2023-04
Wiglett,0.00248,2023-04
Skiddo,0.00228,2023-04
Deerling,0.00181,2023-04
Pichu,0.00164,2023-04
Houndour,0.00154,2023-04
Dreepy,0.00108,2023-04
Barboach,0.00101,2023-04
Teddiursa,0.00073,2023-04
Bagon,0.00046,2023-04
Wattrel,0.00044,2023-04
Clauncher,0.00044,2023-04
Eevee,0.00042,2023-04
Phanpy,0.00027,2023-04
Capsakid,0.0001,2023-04
Combee,0.00008,2023-04
Sunkern,0.00007,2023-04
Spoink,0.00005,2023-04
Larvitar,0.00005,2023-04
Deino,0.00002,2023-04
Fidough,0,2023-04
Happiny,0,2023-04
Magikarp,0,2023-04
Azurill,0,2023-04
Igglybuff,0,2023-04
Oshawott,0,2023-04
Tadbulb,0,2023-04
Applin,0,2023-04
Tynamo,0,2023-04
Yungoos,0,2023-04
Charmander,0,2023-04
Petilil,0,2023-04
Sprigatito,0,2023-04
Fletchling,0,2023-04
Flabebe,0,2023-04
Bulbasaur,0,2023-04
Ivysaur,0,2023-04
Venusaur,0,2023-04
Venusaur-Mega,0,2023-04
Charizard,0,2023-04
Charizard-Mega-X,0,2023-04
Charizard-Mega-Y,0,2023-04
Squirtle,0,2023-04
Wartortle,0,2023-04
Blastoise,0,2023-04
Blastoise-Mega,0,2023-04
Caterpie,0,2023-04
Metapod,0,2023-04
Butterfree,0,2023-04
Weedle,0,2023-04
Kakuna,0,2023-04
Beedrill,0,2023-04
Beedrill-Mega,0,2023-04
Pidgey,0,2023-04
Pidgeotto,0,2023-04
Pidgeot,0,2023-04
Pidgeot-Mega,0,2023-04
Rattata,0,2023-04
Rattata-Alola,0,2023-04
Raticate,0,2023-04
Raticate-Alola,0,2023-04
Spearow,0,2023-04
Fearow,0,2023-04
Ekans,0,2023-04
Arbok,0,2023-04
Raichu,0,2023-04
Raichu-Alola,0,2023-04
Sandshrew,0,2023-04
Sandshrew-Alola,0,2023-04
Sandslash,0,2023-04
Sandslash-Alola,0,2023-04
Nidoran-F,0,2023-04
Nidorina,0,2023-04
Nidoqueen,0,2023-04
Nidoran-M,0,2023-04
Nidorino,0,2023-04
Nidoking,0,2023-04
Clefairy,0,2023-04
Clefable,0,2023-04
Vulpix,0,2023-04
Vulpix-Alola,0,2023-04
Ninetales,0,2023-04
Ninetales-Alola,0,2023-04
Zubat,0,2023-04
Golbat,0,2023-04
Oddish,0,2023-04
Gloom,0,2023-04
Vileplume,0,2023-04
Paras,0,2023-04
Parasect,0,2023-04
Venomoth,0,2023-04
Diglett-Alola,0,2023-04
Dugtrio,0,2023-04
Dugtrio-Alola,0,2023-04
Meowth-Alola,0,2023-04
Persian-Alola,0,2023-04
Golduck,0,2023-04
Primeape,0,2023-04
Growlithe-Hisui,0,2023-04
Arcanine,0,2023-04
Arcanine-Hisui,0,2023-04
Poliwag,0,2023-04
Poliwhirl,0,2023-04
Poliwrath,0,2023-04
Abra,0,2023-04
Kadabra,0,2023-04
Alakazam,0,2023-04
Alakazam-Mega,0,2023-04
Machop,0,2023-04
Machoke,0,2023-04
Machamp,0,2023-04
Bellsprout,0,2023-04
Weepinbell,0,2023-04
Victreebel,0,2023-04
Tentacool,0,2023-04
Tentacruel,0,2023-04
Geodude,0,2023-04
Geodude-Alola,0,2023-04
Graveler,0,2023-04
Graveler-Alola,0,2023-04
Golem,0,2023-04
Golem-Alola,0,2023-04
Ponyta,0,2023-04
Ponyta-Galar,0,2023-04
Rapidash,0,2023-04
Rapidash-Galar,0,2023-04
Slowpoke-Galar,0,2023-04
Slowbro,0,2023-04
Slowbro-Mega,0,2023-04
Slowbro-Galar,0,2023-04
Magneton,0,2023-04
Farfetch’d,0,2023-04
Farfetch’d-Galar,0,2023-04
Doduo,0,2023-04
Dodrio,0,2023-04
Seel,0,2023-04
Dewgong,0,2023-04
Grimer-Alola,0,2023-04
Muk,0,2023-04
Muk-Alola,0,2023-04
Cloyster,0,2023-04
Haunter,0,2023-04
Gengar,0,2023-04
Gengar-Mega,0,2023-04
Onix,0,2023-04
Krabby,0,2023-04
Kingler,0,2023-04
Voltorb-Hisui,0,2023-04
Electrode,0,2023-04
Electrode-Hisui,0,2023-04
