name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Tyranitar,2014-11,Choice Scarf,38.508,Chople Berry,17.352,Leftovers,12.749,Shed Shell,9.729,Eject Button,7.500,Lum Berry,6.123,Choice Band,5.051,Other,2.990,,,,,,,,,,,,,,,,,,,,,,,,,,
Heatran,2014-11,Leftovers,55.376,Choice Scarf,19.672,Air Balloon,15.922,Flame Plate,8.865,Other,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garchomp,2014-11,Choice Scarf,25.293,Focus Sash,21.007,Lum Berry,16.499,Life Orb,10.716,Rocky Helmet,9.994,Leftovers,6.473,Salac Berry,4.913,Haban Berry,2.636,Other,2.471,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,2014-11,Leftovers,58.104,Life Orb,39.196,Other,2.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skarmory,2014-11,Leftovers,50.214,Shed Shell,25.386,Rocky Helmet,22.898,Other,1.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landorus-Therian,2014-11,Leftovers,61.591,Expert Belt,19.837,Choice Scarf,18.572,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forretress,2014-11,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politoed,2014-11,Choice Specs,40.685,Choice Scarf,32.109,Leftovers,22.073,Wacan Berry,3.581,Other,1.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scizor,2014-11,Choice Band,36.192,Choice Scarf,19.175,Lum Berry,14.069,Iron Plate,11.426,Leftovers,9.607,Life Orb,5.572,Other,3.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latios,2014-11,Expert Belt,30.247,Life Orb,23.557,Fire Gem,16.286,Choice Specs,13.967,Choice Scarf,8.826,Lum Berry,7.116,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celebi,2014-11,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrakion,2014-11,Choice Scarf,46.218,Choice Band,31.938,Rock Gem,12.112,Focus Sash,5.083,Other,4.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippowdon,2014-11,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latias,2014-11,Leftovers,41.718,Life Orb,32.644,Choice Scarf,25.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrothorn,2014-11,Leftovers,88.143,Rocky Helmet,9.187,Other,2.670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jellicent,2014-11,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jirachi,2014-11,Leftovers,41.307,Choice Scarf,33.314,Shuca Berry,25.379,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothitelle,2014-11,Choice Specs,54.651,Choice Scarf,42.963,Other,2.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,2014-11,Fighting Gem,27.894,Fist Plate,23.676,Toxic Orb,17.159,Lum Berry,13.614,Life Orb,12.767,Other,4.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keldeo,2014-11,Choice Scarf,37.744,Leftovers,25.915,Wise Glasses,20.010,Life Orb,7.836,Choice Specs,6.066,Other,2.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoonguss,2014-11,Black Sludge,51.553,Leftovers,48.447,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus-Therian,2014-11,Choice Scarf,40.867,Leftovers,37.202,Life Orb,12.325,Yache Berry,8.072,Other,1.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,2014-11,Leftovers,48.770,Choice Specs,46.463,Other,4.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,2014-11,Leftovers,77.144,Normal Gem,22.567,Other,0.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentacruel,2014-11,Black Sludge,79.993,Leftovers,20.007,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,2014-11,Lum Berry,55.030,Choice Band,23.916,Leftovers,20.347,Other,0.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,2014-11,Life Orb,37.266,Lum Berry,35.879,Leftovers,15.545,Chesto Berry,6.716,Other,4.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales,2014-11,Leftovers,91.945,Air Balloon,5.714,Other,2.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugtrio,2014-11,Focus Sash,38.701,Choice Band,37.868,Life Orb,23.431,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornadus,2014-11,Sky Plate,35.151,Choice Specs,34.996,Life Orb,23.855,Sharp Beak,3.110,Other,2.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
