name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Roaring Moon,2022-11,Booster Energy,99.179,Other,0.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garganacl,2022-11,Leftovers,56.087,Sitrus Berry,41.583,Other,2.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi-Yu,2022-11,Choice Scarf,70.249,Custap Berry,10.414,Choice Specs,9.730,Assault Vest,3.209,Life Orb,2.345,Other,4.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Tusk,2022-11,Booster Energy,96.205,Other,3.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brute Bonnet,2022-11,Booster Energy,98.278,Other,1.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Hands,2022-11,Booster Energy,93.660,Assault Vest,4.240,Other,2.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gholdengo,2022-11,Metal Coat,45.427,Choice Scarf,16.500,Life Orb,12.074,Choice Specs,10.885,Kee Berry,4.836,Kasib Berry,4.685,Custap Berry,4.670,Other,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien-Pao,2022-11,Choice Band,42.402,Life Orb,35.594,Choice Scarf,7.400,Leftovers,6.056,Occa Berry,2.032,Mirror Herb,1.963,Other,4.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,2022-11,Custap Berry,69.312,Choice Specs,27.809,Other,2.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maushold,2022-11,Wide Lens,44.001,Choice Band,28.674,Chople Berry,7.485,King's Rock,7.451,Loaded Dice,3.422,Life Orb,3.073,Choice Scarf,2.933,Other,2.962,,,,,,,,,,,,,,,,,,,,,,,,,,
Flutter Mane,2022-11,Booster Energy,83.267,Choice Specs,14.900,Other,1.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,2022-11,Choice Band,42.294,Choice Specs,23.542,Life Orb,14.892,Choice Scarf,9.689,Leftovers,6.671,Other,2.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-11,Booster Energy,72.008,Choice Band,15.866,Rocky Helmet,8.962,Other,3.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Bundle,2022-11,Booster Energy,88.814,Choice Specs,6.440,Other,4.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimikyu,2022-11,Life Orb,43.265,Custap Berry,43.109,Lum Berry,4.799,Sitrus Berry,3.552,Leftovers,2.452,Other,2.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ting-Lu,2022-11,Assault Vest,72.381,Mental Herb,11.193,Leftovers,5.507,Life Orb,5.189,Rocky Helmet,3.937,Other,1.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxcalibur,2022-11,Life Orb,69.930,Choice Scarf,11.249,Choice Band,5.841,Mental Herb,5.473,Assault Vest,4.295,Other,3.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scream Tail,2022-11,Booster Energy,79.581,Choice Scarf,19.295,Other,1.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinkaton,2022-11,Choice Scarf,32.501,Mirror Herb,23.990,Life Orb,22.330,Assault Vest,9.949,Choice Band,6.849,Other,4.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeledirge,2022-11,Leftovers,49.375,Custap Berry,20.304,Assault Vest,15.174,Choice Specs,6.036,Life Orb,3.776,Weakness Policy,2.762,Other,2.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Moth,2022-11,Booster Energy,83.186,Choice Scarf,8.432,Air Balloon,3.405,Other,4.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garchomp,2022-11,Life Orb,64.532,Choice Band,15.128,Rocky Helmet,13.333,Assault Vest,3.842,Other,3.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sableye,2022-11,Choice Scarf,80.138,Leftovers,14.286,Sitrus Berry,3.095,Other,2.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,2022-11,Weakness Policy,48.870,Mago Berry,22.457,Choice Band,10.646,Air Balloon,6.244,Lum Berry,5.864,Leftovers,2.894,Other,3.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylveon,2022-11,Custap Berry,96.598,Other,3.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dondozo,2022-11,Leftovers,77.541,Choice Band,13.642,Custap Berry,6.433,Other,2.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,2022-11,Toxic Orb,49.044,Loaded Dice,32.452,Choice Band,8.177,Custap Berry,5.932,Other,4.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annihilape,2022-11,Custap Berry,33.394,Choice Band,32.845,Choice Scarf,16.050,Expert Belt,4.161,Leftovers,4.031,Assault Vest,3.954,Chesto Berry,2.048,Other,3.518,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudunsparce,2022-11,Leftovers,81.423,Sitrus Berry,10.022,Choice Specs,8.007,Other,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceruledge,2022-11,Air Balloon,30.029,Weakness Policy,25.686,Life Orb,14.529,Salac Berry,11.135,Shuca Berry,8.581,Assault Vest,4.251,Muscle Band,3.047,Other,2.742,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafaiai,2022-11,Leftovers,88.980,Mental Herb,5.772,Custap Berry,5.232,Other,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wo-Chien,2022-11,Leftovers,98.575,Other,1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowscarada,2022-11,Life Orb,42.708,Choice Band,25.493,Muscle Band,14.545,Liechi Berry,5.167,Expert Belt,4.400,Choice Scarf,3.580,Other,4.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corviknight,2022-11,Leftovers,62.692,Maranga Berry,25.346,Covert Cloak,4.814,Rocky Helmet,4.607,Other,2.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armarouge,2022-11,Air Balloon,36.893,Life Orb,20.552,Choice Scarf,19.341,Choice Specs,7.730,Scope Lens,6.715,Assault Vest,3.215,Choice Band,2.495,Other,3.059,,,,,,,,,,,,,,,,,,,,,,,,,,
Orthworm,2022-11,Chesto Berry,57.270,Chople Berry,35.073,Leftovers,7.657,Other -,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cetitan,2022-11,Life Orb,41.368,Sitrus Berry,36.950,Choice Band,16.367,Leftovers,2.405,Other,2.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallade,2022-11,Choice Scarf,73.584,Choice Band,26.245,Other,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombirdier,2022-11,Assault Vest,70.048,Wide Lens,28.624,Other,1.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingambit,2022-11,Choice Band,46.034,Life Orb,29.954,Leftovers,17.390,Sitrus Berry,6.302,Other,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espathra,2022-11,Leftovers,38.935,Choice Specs,38.442,Assault Vest,12.738,Odd Incense,5.159,Other,4.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,2022-11,White Herb,69.690,Leftovers,14.248,Figy Berry,7.157,Rindo Berry,5.427,Other,3.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Fire,2022-11,Leftovers,99.696,Other,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellibolt,2022-11,Rocky Helmet,51.158,Choice Specs,21.386,Leftovers,10.902,Custap Berry,7.911,Air Balloon,6.712,Other,1.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaquaval,2022-11,Life Orb,43.407,Choice Band,30.989,Choice Scarf,19.134,Liechi Berry,4.830,Other,1.640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiscue,2022-11,Maranga Berry,99.078,Other,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Treads,2022-11,Expert Belt,39.626,Booster Energy,33.776,Assault Vest,23.865,Other,2.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Jugulis,2022-11,Booster Energy,69.739,Life Orb,30.261,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboliva,2022-11,Custap Berry,40.887,Leftovers,18.607,Sitrus Berry,11.509,Choice Specs,7.807,Chople Berry,7.113,Life Orb,6.007,Aguav Berry,2.382,Coba Berry,2.150,Other,3.539,,,,,,,,,,,,,,,,,,,,,,,,
Appletun,2022-11,Sitrus Berry,84.143,Leftovers,14.568,Other,1.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Water,2022-11,Choice Band,59.128,Leftovers,30.484,Assault Vest,5.947,Other,4.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azumarill,2022-11,Assault Vest,41.084,Choice Band,29.977,Sitrus Berry,28.089,Other,0.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Shocks,2022-11,Booster Energy,96.120,Other,3.880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxapex,2022-11,Black Sludge,62.415,Life Orb,22.312,Leftovers,15.268,Other,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glimmora,2022-11,Leftovers,94.147,Air Balloon,2.962,Other,2.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaking,2022-11,Choice Band,86.743,Choice Scarf,7.087,Leftovers,6.091,Other,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noivern,2022-11,Choice Scarf,74.362,Choice Specs,19.367,Assault Vest,6.272,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gengar,2022-11,Choice Specs,83.659,Life Orb,16.341,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,2022-11,Choice Band,95.746,Other,4.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veluza,2022-11,Sitrus Berry,96.886,Other,3.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torkoal,2022-11,Choice Specs,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg,2022-11,Rocky Helmet,41.592,Heavy-Duty Boots,34.695,Custap Berry,15.350,Choice Band,8.232,Other,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragalge,2022-11,Assault Vest,94.359,Choice Specs,5.641,Other -,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditto,2022-11,Booster Energy,76.352,Choice Scarf,23.636,Other,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flareon,2022-11,Toxic Orb,89.456,Flame Orb,10.544,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bisharp,2022-11,Eviolite,95.047,Other,4.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haxorus,2022-11,Choice Scarf,75.790,Custap Berry,19.398,Other,4.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydreigon,2022-11,Choice Scarf,63.559,Choice Specs,33.411,Other,3.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoonguss,2022-11,Leftovers,66.480,Black Sludge,33.520,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
