name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Equilibra,2022-12,Leftovers,98.798,Other,1.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venomicon-Epilogue,2022-12,Vile Vial,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arghonaut,2022-12,Heavy-Duty Boots,65.669,Leftovers,27.251,Life Orb,6.488,Other,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snaelstrom,2022-12,Toxic Orb,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroak,2022-12,Heavy-Duty Boots,84.861,Leftovers,11.143,Other,3.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi-Yu,2022-12,Choice Scarf,91.695,Heavy-Duty Boots,4.442,Other,3.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glimmora,2022-12,Choice Specs,85.097,Air Balloon,14.481,Other,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenankh,2022-12,Life Orb,60.558,Leftovers,23.698,Focus Sash,12.863,Other,2.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatterene,2022-12,Leftovers,65.103,Focus Sash,34.897,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,2022-12,Life Orb,72.978,Choice Specs,27.022,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbao,2022-12,Heat Rock,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimmsnarl,2022-12,Light Clay,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Tusk,2022-12,Assault Vest,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-12,Choice Band,70.182,Choice Scarf,29.818,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dondozo,2022-12,Leftovers,78.274,Rocky Helmet,21.726,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venomicon,2022-12,Leftovers,50.269,Heavy-Duty Boots,45.161,Other,4.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomohawk,2022-12,Focus Sash,99.992,Other,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribolt,2022-12,Magnet,98.794,Other,1.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annihilape,2022-12,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-12,Choice Band,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garchomp,2022-12,Rocky Helmet,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,2022-12,Loaded Dice,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowking,2022-12,Heavy-Duty Boots,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromera,2022-12,Choice Specs,98.701,Other,1.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxcalibur,2022-12,Heavy-Duty Boots,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saharaja,2022-12,Leftovers,85.429,Luminous Moss,8.630,Big Root,5.941,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scovillain,2022-12,Life Orb,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syclant,2022-12,Loaded Dice,98.360,Other,1.640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gholdengo,2022-12,Choice Scarf,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratagem,2022-12,Life Orb,73.030,Choice Specs,25.032,Other,1.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeledirge,2022-12,Throat Spray,47.915,Heavy-Duty Boots,42.534,Leftovers,9.551,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mollux,2022-12,Heavy-Duty Boots,82.280,Black Sludge,16.361,Other,1.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerfluffle,2022-12,Choice Specs,61.532,Focus Sash,33.398,Figy Berry,5.070,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fidgit,2022-12,Mental Herb,92.477,Focus Sash,7.523,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingambit,2022-12,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Hands,2022-12,Booster Energy,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Shocks,2022-12,Heavy-Duty Boots,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krilowatt,2022-12,Life Orb,92.473,Choice Band,7.527,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cawmodore,2022-12,Sitrus Berry,97.005,Other,2.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurumoth,2022-12,Focus Sash,94.607,Choice Specs,5.393,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,2022-12,Heavy-Duty Boots,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclizar,2022-12,Aguav Berry,91.570,Sitrus Berry,6.533,Other,1.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torkoal,2022-12,Heat Rock,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaquaval,2022-12,Life Orb,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawmot,2022-12,Leppa Berry,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garganacl,2022-12,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrolotl,2022-12,Focus Sash,47.678,Shuca Berry,22.549,Choice Scarf,19.612,Heavy-Duty Boots,5.309,Other,4.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokomodo,2022-12,Choice Scarf,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haxorus,2022-12,Life Orb,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blissey,2022-12,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkraken,2022-12,Lum Berry,35.340,Choice Specs,31.687,Life Orb,14.369,Leftovers,12.852,Heavy-Duty Boots,2.929,Other,2.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colossoil,2022-12,Assault Vest,76.506,Flame Orb,23.494,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclohm,2022-12,Choice Specs,94.786,Zoom Lens,5.214,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucibelle,2022-12,Normal Gem,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasmanta,2022-12,Wise Glasses,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitsunoh,2022-12,Life Orb,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necturna,2022-12,Sitrus Berry,99.760,Other,0.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pajantom,2022-12,Choice Band,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naviathan,2022-12,Flame Orb,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaconda,2022-12,Sitrus Berry,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voodoom,2022-12,Weakness Policy,83.576,Choice Scarf,16.424,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miasmaw,2022-12,Rocky Helmet,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,2022-12,Focus Sash,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoonguss,2022-12,Black Sludge,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arghonaut,2023-01,Leftovers,56.219,Heavy-Duty Boots,17.306,Rocky Helmet,16.832,Assault Vest,5.816,Other,3.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Tusk,2023-01,Assault Vest,44.497,Rocky Helmet,21.250,Life Orb,10.337,Booster Energy,10.106,Heavy-Duty Boots,8.002,Focus Sash,4.800,Other,1.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilibra,2023-01,Leftovers,73.772,Assault Vest,24.241,Other,1.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2023-01,Choice Band,47.614,Booster Energy,33.791,Choice Scarf,18.595,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien-Pao,2023-01,Heavy-Duty Boots,43.646,Choice Band,39.361,Black Glasses,9.709,Life Orb,7.285,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gholdengo,2023-01,Choice Scarf,67.358,Covert Cloak,20.975,Colbur Berry,9.019,Other,2.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
