name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Dragonite,2022-12,Choice Band,37.092,Life Orb,28.118,Weakness Policy,16.575,Leftovers,6.665,Assault Vest,4.297,Lum Berry,2.820,Other,4.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annihilape,2022-12,Choice Scarf,44.405,Leftovers,36.911,Assault Vest,9.812,Chesto Berry,5.896,Other,2.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardevoir,2022-12,Choice Scarf,42.140,Lum Berry,24.163,Life Orb,18.947,Choice Specs,4.485,Mental Herb,3.551,Leftovers,2.013,Other,4.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowscarada,2022-12,Choice Band,47.092,Life Orb,25.877,Focus Sash,23.621,Other,3.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Jugulis,2022-12,Choice Specs,36.571,Life Orb,30.458,Booster Energy,19.294,Focus Sash,8.196,Assault Vest,3.205,Other,2.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-12,Choice Specs,37.553,Assault Vest,29.662,Clear Amulet,12.590,Booster Energy,10.388,Life Orb,8.357,Other,1.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pincurchin,2022-12,Terrain Extender,56.773,Iapapa Berry,33.588,Leftovers,5.080,Other,4.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,2022-12,Heavy-Duty Boots,40.962,Focus Sash,17.892,Leftovers,10.914,Life Orb,10.071,Choice Specs,8.893,Sitrus Berry,3.376,Wiki Berry,3.357,Other,4.535,,,,,,,,,,,,,,,,,,,,,,,,,,
Sableye,2022-12,Light Clay,49.034,Heat Rock,20.327,Leftovers,15.450,Iapapa Berry,13.151,Other,2.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaquaval,2022-12,Life Orb,78.312,Assault Vest,10.058,Mystic Water,4.712,Leftovers,3.181,Other,3.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
