name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Misdreavus,2022-11,Eviolite,82.307,Berry Juice,10.145,Life Orb,3.242,Other,4.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girafarig,2022-11,Eviolite,83.700,Life Orb,6.649,Berry Juice,4.544,Choice Specs,2.113,Other,2.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawniard,2022-11,Eviolite,48.955,Berry Juice,26.889,Choice Scarf,19.464,Other,4.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunsparce,2022-11,Eviolite,83.427,Berry Juice,15.780,Other,0.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toedscool,2022-11,Eviolite,90.496,Berry Juice,9.465,Other,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glimmet,2022-11,Eviolite,40.755,Focus Sash,25.582,Choice Scarf,14.282,Light Clay,7.467,Berry Juice,4.368,Choice Specs,3.942,Other,3.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diglett,2022-11,Focus Sash,50.060,Eviolite,26.119,Life Orb,20.355,Other,3.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cetoddle,2022-11,Berry Juice,52.827,Eviolite,40.863,Choice Band,3.207,Other,3.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flittle,2022-11,Eviolite,82.889,Berry Juice,11.437,Life Orb,4.477,Other,1.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufflet,2022-11,Choice Scarf,60.120,Eviolite,23.914,Choice Band,12.829,Other,3.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maschiff,2022-11,Eviolite,50.804,Choice Scarf,42.457,Life Orb,6.652,Other,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meditite,2022-11,Life Orb,63.573,Eviolite,31.267,Choice Scarf,5.160,Other -,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croagunk,2022-11,Life Orb,68.091,Eviolite,16.048,Focus Sash,15.861,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snover,2022-11,Icy Rock,92.221,Choice Scarf,5.128,Other,2.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surskit,2022-11,Focus Sash,99.084,Other,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
