name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Flutter Mane,2022-11,Booster Energy,52.924,Choice Specs,38.339,Choice Scarf,4.664,Other,4.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Bundle,2022-11,Booster Energy,68.480,Choice Specs,23.387,Heavy-Duty Boots,6.063,Other,2.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,2022-11,Leftovers,40.355,Dragon Fang,18.133,Choice Scarf,15.568,Choice Specs,7.892,Life Orb,7.382,Heavy-Duty Boots,3.086,Choice Band,2.310,Focus Sash,2.122,Other,3.150,,,,,,,,,,,,,,,,,,,,,,,,
Mimikyu,2022-11,Life Orb,88.824,Leftovers,8.089,Other,3.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-11,Booster Energy,80.231,Life Orb,11.499,Expert Belt,2.288,Choice Specs,2.024,Other,3.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froslass,2022-11,Focus Sash,97.245,Other,2.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelipper,2022-11,Damp Rock,77.228,Heavy-Duty Boots,15.721,Choice Specs,5.263,Other,1.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annihilape,2022-11,Choice Scarf,42.801,Leftovers,14.872,Life Orb,11.997,Focus Sash,10.754,Choice Band,7.972,Weakness Policy,4.607,Assault Vest,3.872,Other,3.126,,,,,,,,,,,,,,,,,,,,,,,,,,
Klefki,2022-11,Light Clay,88.285,Choice Band,5.423,Leftovers,4.392,Other,1.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gholdengo,2022-11,Choice Scarf,63.589,Choice Specs,17.825,Leftovers,9.469,Life Orb,4.479,Other,4.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceruledge,2022-11,Heavy-Duty Boots,53.391,Life Orb,9.981,Focus Sash,9.491,Air Balloon,7.595,Choice Band,5.689,Assault Vest,4.556,Weakness Policy,3.493,Leftovers,1.487,Other,4.316,,,,,,,,,,,,,,,,,,,,,,,,
Quaquaval,2022-11,Leftovers,36.334,Choice Scarf,25.269,Life Orb,15.315,Heavy-Duty Boots,10.848,Choice Band,3.524,Nothing,1.778,Expert Belt,1.649,Assault Vest,1.568,Other,3.715,,,,,,,,,,,,,,,,,,,,,,,,
Azumarill,2022-11,Sitrus Berry,76.568,Choice Band,18.920,Other,4.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barraskewda,2022-11,Choice Band,98.733,Other,1.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palafin,2022-11,Choice Band,79.835,Choice Scarf,10.094,Leftovers,7.387,Other,2.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien-Pao,2022-11,Choice Scarf,31.762,Life Orb,22.556,Expert Belt,16.146,Choice Band,10.593,Heavy-Duty Boots,9.750,Focus Sash,4.997,Other,4.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingambit,2022-11,Life Orb,51.765,Black Glasses,16.845,Choice Band,11.324,Expert Belt,4.896,Leftovers,4.028,Focus Sash,2.739,Chople Berry,2.322,Assault Vest,2.093,Other,3.989,,,,,,,,,,,,,,,,,,,,,,,,
Scizor,2022-11,Metal Coat,68.786,Life Orb,14.414,Choice Band,7.483,Leftovers,5.847,Other,3.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gengar,2022-11,Choice Scarf,92.842,Choice Specs,3.643,Other,3.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houndstone,2022-11,Choice Scarf,37.851,Leftovers,29.966,Assault Vest,15.428,Choice Band,11.514,Life Orb,3.840,Other,1.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forretress,2022-11,Focus Sash,41.749,Custap Berry,32.920,Leftovers,21.986,Other,3.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimmsnarl,2022-11,Light Clay,47.033,Leftovers,35.948,Black Glasses,13.120,Other,3.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
