name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Cyclizar,2022-11,Choice Scarf,33.035,Heavy-Duty Boots,22.178,Leftovers,19.585,Sitrus Berry,11.436,Aguav Berry,7.674,Focus Sash,2.224,Other,3.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shedinja,2022-11,Air Balloon,82.097,Heavy-Duty Boots,13.166,Other,4.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flutter Mane,2022-11,Booster Energy,66.083,Choice Scarf,10.517,Choice Specs,8.726,Life Orb,4.564,Ghostium Z,3.763,Focus Sash,2.220,Other,4.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyurem-Black,2022-11,Heavy-Duty Boots,31.732,Loaded Dice,23.172,Icium Z,20.952,Life Orb,12.791,Leftovers,4.835,Choice Scarf,1.999,Other,4.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien-Pao,2022-11,Life Orb,39.476,Heavy-Duty Boots,30.799,Focus Sash,10.504,Choice Band,10.318,Choice Scarf,3.906,Other,4.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-11,Booster Energy,72.884,Choice Band,7.529,Life Orb,4.822,Leftovers,3.855,Darkinium Z,3.701,Choice Scarf,2.117,Lum Berry,1.754,Other,3.338,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamazenta-Crowned,2022-11,Rusted Shield,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palafin,2022-11,Choice Band,48.367,Choice Scarf,14.613,Life Orb,14.339,Leftovers,12.890,Waterium Z,3.487,Punching Glove,2.963,Other,3.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landorus-Therian,2022-11,Leftovers,40.567,Rocky Helmet,24.715,Choice Scarf,11.663,Flyinium Z,8.535,Focus Sash,3.337,Yache Berry,2.502,Rockium Z,2.455,Choice Band,2.411,Other,3.816,,,,,,,,,,,,,,,,,,,,,,,,
Blaziken-Mega,2022-11,Blazikenite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxapex,2022-11,Black Sludge,49.131,Rocky Helmet,45.495,Heavy-Duty Boots,2.916,Other,2.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Tusk,2022-11,Choice Scarf,29.634,Booster Energy,29.371,Leftovers,17.932,Assault Vest,7.228,Focus Sash,4.724,Choice Band,3.329,Heat Rock,2.831,Other,4.951,,,,,,,,,,,,,,,,,,,,,,,,,,
Clodsire,2022-11,Leftovers,63.634,Heavy-Duty Boots,17.129,Black Sludge,13.464,Rocky Helmet,2.951,Other,2.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houndstone,2022-11,Choice Band,57.336,Choice Scarf,12.105,Spell Tag,11.173,Life Orb,11.167,Fightinium Z,2.462,Nothing,1.572,Other,4.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyranitar,2022-11,Smooth Rock,39.470,Choice Band,29.513,Assault Vest,12.687,Leftovers,10.065,Heavy-Duty Boots,2.776,Weakness Policy,1.934,Other,3.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesect,2022-11,Choice Scarf,41.989,Life Orb,18.215,Choice Band,12.800,Silk Scarf,8.320,Steelium Z,5.397,Douse Drive,5.173,Leftovers,3.464,Other,4.642,,,,,,,,,,,,,,,,,,,,,,,,,,
Corviknight,2022-11,Rocky Helmet,62.550,Leftovers,32.969,Other,4.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excadrill,2022-11,Focus Sash,25.656,Air Balloon,22.743,Steelium Z,19.515,Leftovers,13.481,Choice Scarf,6.273,Rockium Z,5.591,Life Orb,2.891,Other,3.851,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingambit,2022-11,Black Glasses,34.616,Life Orb,23.610,Leftovers,12.495,Assault Vest,8.623,Weakness Policy,7.523,Focus Sash,3.675,Choice Band,2.483,Muscle Band,1.578,Punching Glove,1.434,Other,3.962,,,,,,,,,,,,,,,,,,,,,,
Magearna,2022-11,Assault Vest,37.893,Weakness Policy,23.427,Leftovers,19.957,Fightinium Z,6.756,Fairium Z,6.336,Choice Specs,3.696,Other,1.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,2022-11,Ghostium Z,47.130,Choice Specs,14.653,Choice Scarf,12.582,Life Orb,11.122,Heavy-Duty Boots,3.674,Leftovers,3.101,Dragon Fang,1.911,Expert Belt,1.168,Other,4.660,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Koko,2022-11,Terrain Extender,39.022,Light Clay,25.344,Heavy-Duty Boots,11.125,Choice Specs,7.486,Electrium Z,5.735,Life Orb,3.622,Leftovers,3.467,Other,4.199,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimmsnarl,2022-11,Light Clay,60.326,Leftovers,38.082,Other,1.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glimmora,2022-11,Focus Sash,57.658,Rocky Helmet,11.758,Black Sludge,8.729,Leftovers,7.916,Air Balloon,6.664,Assault Vest,2.780,Other,4.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditto,2022-11,Choice Scarf,96.425,Other,3.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diancie-Mega,2022-11,Diancite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blissey,2022-11,Heavy-Duty Boots,61.961,Leftovers,37.679,Other,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys-Speed,2022-11,Focus Sash,75.277,Rocky Helmet,20.073,Other,4.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrothorn,2022-11,Leftovers,57.794,Rocky Helmet,38.176,Other,4.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heatran,2022-11,Leftovers,75.437,Choice Scarf,8.750,Air Balloon,5.509,Choice Specs,5.396,Other,4.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garchomp,2022-11,Rocky Helmet,47.062,Focus Sash,23.303,Rockium Z,12.397,Leftovers,7.018,Life Orb,3.907,Choice Scarf,3.259,Other,3.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scizor-Mega,2022-11,Scizorite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapdos,2022-11,Heavy-Duty Boots,44.360,Leftovers,36.898,Flyinium Z,10.544,Life Orb,6.095,Other,2.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopunny-Mega,2022-11,Lopunnite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gholdengo,2022-11,Leftovers,32.855,Choice Scarf,23.211,Ghostium Z,15.756,Air Balloon,11.936,Life Orb,5.077,Colbur Berry,3.286,Steelium Z,2.924,Other,4.953,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Treads,2022-11,Leftovers,38.213,Assault Vest,15.917,Focus Sash,14.333,Life Orb,9.664,Booster Energy,8.115,Choice Band,5.260,Rocky Helmet,4.349,Other,4.149,,,,,,,,,,,,,,,,,,,,,,,,,,
Gliscor,2022-11,Toxic Orb,98.991,Other,1.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chansey,2022-11,Eviolite,99.838,Other,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeledirge,2022-11,Heavy-Duty Boots,65.244,Leftovers,20.716,Assault Vest,3.761,Choice Scarf,2.539,Throat Spray,2.022,Shell Bell,1.967,Other,3.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regieleki,2022-11,Heavy-Duty Boots,29.774,Choice Specs,24.005,Life Orb,20.997,Magnet,9.233,Focus Sash,5.913,Expert Belt,3.531,Normalium Z,1.864,Other,4.683,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxcalibur,2022-11,Life Orb,24.106,Leftovers,22.666,Heavy-Duty Boots,19.131,Loaded Dice,7.209,Chople Berry,5.842,Weakness Policy,5.608,Choice Band,2.748,Blunder Policy,2.652,Rocky Helmet,2.208,Assault Vest,2.031,Focus Sash,1.718,Other,4.081,,,,,,,,,,,,,,,,,,
Hippowdon,2022-11,Smooth Rock,68.313,Leftovers,21.190,Rocky Helmet,6.318,Other,4.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelipper,2022-11,Damp Rock,81.788,Heavy-Duty Boots,9.351,Choice Specs,3.252,Leftovers,3.160,Other,2.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawile-Mega,2022-11,Mawilite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi-Yu,2022-11,Choice Specs,27.100,Heavy-Duty Boots,20.463,Life Orb,12.748,Choice Scarf,12.120,Leftovers,7.936,Assault Vest,6.620,Firium Z,3.990,Focus Sash,2.694,Clear Amulet,2.687,Other,3.643,,,,,,,,,,,,,,,,,,,,,,
Charizard-Mega-Y,2022-11,Charizardite Y,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Bundle,2022-11,Choice Specs,19.465,Heavy-Duty Boots,18.902,Booster Energy,17.554,Choice Scarf,16.814,Never-Melt Ice,11.923,Life Orb,10.661,Other,4.680,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clefable,2022-11,Leftovers,84.127,Life Orb,5.408,Covert Cloak,4.019,Choice Scarf,3.642,Other,2.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naganadel,2022-11,Dragonium Z,51.331,Choice Specs,18.845,Poisonium Z,10.911,Life Orb,10.907,Focus Sash,3.136,Other,4.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-11,Booster Energy,65.956,Life Orb,12.799,Fairium Z,7.638,Covert Cloak,5.005,Choice Band,3.331,Choice Scarf,1.590,Other,3.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornadus-Therian,2022-11,Heavy-Duty Boots,51.820,Flyinium Z,31.622,Assault Vest,5.993,Rocky Helmet,4.561,Damp Rock,3.293,Other,2.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sableye-Mega,2022-11,Sablenite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
