name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Cyclizar,2022-11,Heavy-Duty Boots,71.447,Leftovers,27.035,Other,1.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracovish,2022-11,Choice Scarf,90.353,Choice Band,8.166,Other,1.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flutter Mane,2022-11,Booster Energy,63.165,Choice Scarf,25.782,Ghostium Z,8.527,Other,2.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditto,2022-11,Choice Scarf,99.942,Other,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Bundle,2022-11,Life Orb,47.832,Choice Scarf,43.101,Booster Energy,9.038,Other,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopunny-Mega,2022-11,Lopunnite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,2022-11,Choice Specs,25.252,Light Clay,24.218,Focus Sash,21.734,Ghostium Z,11.020,Leftovers,8.378,Choice Scarf,6.685,Other,2.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chansey,2022-11,Eviolite,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewear,2022-11,Leftovers,97.877,Other,2.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meloetta,2022-11,Normalium Z,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise-Mega,2022-11,Blastoisinite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimikyu,2022-11,Life Orb,80.140,Mimikium Z,19.838,Other,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde,2022-11,Leftovers,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelipper,2022-11,Damp Rock,82.868,Focus Sash,14.830,Other,2.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamence-Mega,2022-11,Salamencite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araquanid,2022-11,Focus Sash,69.187,Choice Band,11.724,Heavy-Duty Boots,8.509,Leftovers,4.543,Sitrus Berry,3.072,Other,2.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien-Pao,2022-11,Focus Sash,62.412,Choice Band,25.997,Heavy-Duty Boots,8.867,Other,2.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palafin,2022-11,Psychium Z,73.977,Choice Band,13.099,Assault Vest,3.444,Leftovers,3.374,Punching Glove,2.524,Other,3.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-11,Booster Energy,48.475,Fightinium Z,30.067,Life Orb,7.378,Choice Scarf,6.113,Choice Band,3.052,Other,4.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,2022-11,Focus Sash,59.892,Heavy-Duty Boots,39.546,Other,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gengar-Mega,2022-11,Gengarite,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyurem-Black,2022-11,Loaded Dice,48.584,Heavy-Duty Boots,47.330,Other,4.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naganadel,2022-11,Choice Specs,49.984,Life Orb,29.242,Dragonium Z,20.040,Other,0.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urshifu-Rapid-Strike,2022-11,Punching Glove,86.314,Choice Band,13.686,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barraskewda,2022-11,Choice Band,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-11,Booster Energy,85.651,Choice Scarf,11.543,Other,2.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales-Alola,2022-11,Light Clay,98.686,Other,1.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Lele,2022-11,Choice Specs,73.987,Choice Scarf,14.804,Expert Belt,6.121,Rocky Helmet,5.088,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annihilape,2022-11,Assault Vest,28.773,Choice Scarf,20.628,Punching Glove,17.411,Leftovers,15.891,Choice Band,9.495,Focus Sash,3.294,Other,4.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
