name,snapshot,item1,usage1,item2,usage2,item3,usage3,item4,usage4,item5,usage5,item6,usage6,item7,usage7,item8,usage8,item9,usage9,item10,usage10,item11,usage11,item12,usage12,item13,usage13,item14,usage14,item15,usage15,item16,usage16,item17,usage17,item18,usage18,item19,usage19,item20,usage20,item21,usage21
Sandaconda,2023-02,Leftovers,51.569,Rocky Helmet,44.038,Other,4.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passimian,2023-02,Choice Scarf,90.162,Leftovers,5.227,Other,4.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodra,2023-02,Assault Vest,43.303,Choice Specs,30.429,Heavy-Duty Boots,8.448,Leftovers,7.826,Expert Belt,2.822,Eject Pack,1.702,Choice Scarf,1.489,Other,3.981,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,2023-02,Choice Specs,42.115,Heavy-Duty Boots,22.642,Leftovers,22.195,Life Orb,6.648,Magnet,3.079,Other,3.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braviary,2023-02,Heavy-Duty Boots,48.354,Choice Scarf,38.812,Leftovers,4.041,Life Orb,2.922,Sitrus Berry,2.542,Other,3.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copperajah,2023-02,Leftovers,71.125,Life Orb,14.892,Assault Vest,8.356,Choice Band,2.822,Other,2.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicham,2023-02,Choice Scarf,39.861,Life Orb,22.235,Choice Band,21.241,Leftovers,3.442,Focus Sash,3.371,Punching Glove,2.413,Assault Vest,1.631,Black Belt,1.565,Other,4.241,,,,,,,,,,,,,,,,,,,,,,,,
Bruxish,2023-02,Choice Band,34.689,Choice Scarf,28.813,Life Orb,17.482,Mystic Water,7.701,Leftovers,2.857,Lum Berry,2.694,Heavy-Duty Boots,2.117,Other,3.647,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Pom-Pom,2023-02,Heavy-Duty Boots,88.265,Leftovers,7.629,Other,4.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudunsparce,2023-02,Leftovers,87.070,Choice Specs,3.680,Heavy-Duty Boots,2.879,Throat Spray,2.428,Other,3.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc,2023-02,Focus Sash,73.387,Life Orb,11.178,Choice Band,10.199,Loaded Dice,1.914,Other,3.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frosmoth,2023-02,Heavy-Duty Boots,91.993,Leftovers,4.908,Other,3.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoroark,2023-02,Choice Specs,24.558,Choice Scarf,24.210,Black Glasses,17.456,Life Orb,12.687,Focus Sash,6.500,Heavy-Duty Boots,6.101,Choice Band,3.904,Other,4.583,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,2023-02,Leftovers,85.293,Heavy-Duty Boots,13.236,Other,1.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Sensu,2023-02,Heavy-Duty Boots,86.678,Leftovers,7.218,Life Orb,3.248,Other,2.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Combat,2023-02,Leftovers,37.552,Lum Berry,33.596,Choice Scarf,7.522,Choice Band,6.353,Liechi Berry,3.979,Life Orb,3.352,Assault Vest,1.824,Sitrus Berry,1.773,Other,4.049,,,,,,,,,,,,,,,,,,,,,,,,
Drifblim,2023-02,Heavy-Duty Boots,60.585,Sitrus Berry,10.295,Leftovers,4.532,Flame Orb,4.478,Rocky Helmet,4.094,Weakness Policy,3.566,Psychic Seed,2.686,Power Herb,1.746,Electric Seed,1.226,Liechi Berry,1.155,Focus Sash,1.030,Other,4.607,,,,,,,,,,,,,,,,,,
Mabosstiff,2023-02,Choice Band,70.081,Choice Scarf,24.347,Leftovers,1.476,Other,4.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veluza,2023-02,Sitrus Berry,83.516,Leftovers,3.726,Choice Band,2.781,Scope Lens,2.640,Heavy-Duty Boots,2.249,Aguav Berry,1.142,Other,3.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muk,2023-02,Leftovers,46.862,Black Sludge,29.871,Assault Vest,20.431,Other,2.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honchkrow,2023-02,Choice Scarf,37.089,Heavy-Duty Boots,17.446,Black Glasses,11.648,Mirror Herb,9.010,Life Orb,8.809,Nothing,6.601,Choice Band,2.481,Power Herb,1.483,Leftovers,1.331,Other,4.102,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,2023-02,Life Orb,62.953,Leftovers,21.956,Choice Scarf,4.109,Choice Band,2.764,Black Sludge,2.717,Focus Sash,1.626,Other,3.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbreon,2023-02,Leftovers,88.939,Heavy-Duty Boots,5.779,Light Clay,3.378,Other,1.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chansey,2023-02,Eviolite,99.571,Other,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
