name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Dragapult,2019-11,Shadow Ball,57.834,Draco Meteor,54.193,Fire Blast,44.479,U-turn,43.132,Dragon Darts,37.668,Thunderbolt,32.114,Phantom Force,31.100,Dragon Dance,23.236,Flamethrower,18.531,Substitute,13.294,Sucker Punch,10.413,Psychic Fangs,5.712,Will-O-Wisp,3.785,Hex,3.459,Thunder,3.240,Other,17.810,,,,
Darmanitan-Galar,2019-11,Icicle Crash,90.965,U-turn,89.817,Earthquake,89.090,Flare Blitz,88.692,Superpower,10.154,Ice Punch,8.596,Belly Drum,4.652,Other,18.034,,,,,,,,,,,,,,,,,,,,
Ditto,2019-11,Nothing,300.000,Transform,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excadrill,2019-11,Earthquake,99.839,Rapid Spin,89.586,Iron Head,76.249,Stealth Rock,56.536,Swords Dance,29.374,Rock Slide,24.227,Rock Tomb,18.393,Other,5.795,,,,,,,,,,,,,,,,,,,,
Corviknight,2019-11,Roost,97.640,Brave Bird,87.337,Bulk Up,55.710,Defog,54.468,U-turn,28.141,Substitute,20.154,Taunt,20.113,Body Press,14.509,Iron Head,9.013,Other,12.915,,,,,,,,,,,,,,,,
Ferrothorn,2019-11,Leech Seed,88.769,Power Whip,67.815,Stealth Rock,56.056,Gyro Ball,50.062,Spikes,49.920,Protect,39.742,Knock Off,22.412,Thunder Wave,10.448,Other,14.776,,,,,,,,,,,,,,,,,,
Rotom-Wash,2019-11,Hydro Pump,99.473,Volt Switch,97.227,Will-O-Wisp,75.360,Trick,39.213,Thunderbolt,24.092,Thunder Wave,20.951,Rest,11.408,Protect,6.265,Nasty Plot,5.787,Discharge,4.739,Other,15.484,,,,,,,,,,,,,,
Gyarados,2019-11,Waterfall,97.786,Dragon Dance,93.719,Bounce,89.769,Power Whip,63.455,Earthquake,32.780,Substitute,10.141,Other,12.349,,,,,,,,,,,,,,,,,,,,,,
Hydreigon,2019-11,Dark Pulse,97.896,Nasty Plot,63.443,Flash Cannon,57.235,Draco Meteor,45.067,Substitute,44.319,Fire Blast,25.275,U-turn,24.468,Flamethrower,18.240,Earth Power,11.874,Other,12.184,,,,,,,,,,,,,,,,
Toxapex,2019-11,Scald,97.664,Recover,96.155,Haze,80.837,Toxic,50.396,Toxic Spikes,45.986,Baneful Bunker,24.120,Other,4.842,,,,,,,,,,,,,,,,,,,,,,
Aegislash,2019-11,King's Shield,80.960,Shadow Ball,66.621,Shadow Sneak,58.419,Flash Cannon,41.798,Close Combat,37.482,Swords Dance,25.139,Substitute,22.128,Iron Head,16.624,Shadow Claw,13.718,Sacred Sword,13.364,Autotomize,6.997,Other,16.751,,,,,,,,,,,,
Hatterene,2019-11,Mystical Fire,88.012,Psychic,78.496,Dazzling Gleam,58.294,Trick Room,41.955,Calm Mind,40.711,Draining Kiss,35.803,Psyshock,14.547,Giga Drain,6.936,Nuzzle,6.547,Shadow Ball,6.400,Healing Wish,5.519,Other,16.780,,,,,,,,,,,,
Clefable,2019-11,Moonblast,99.217,Moonlight,60.216,Flamethrower,43.539,Thunderbolt,43.213,Wish,29.813,Stealth Rock,29.123,Protect,25.461,Fire Blast,18.898,Calm Mind,14.319,Thunder Wave,11.146,Aromatherapy,10.191,Other,14.865,,,,,,,,,,,,
Grimmsnarl,2019-11,Spirit Break,57.094,Darkest Lariat,45.812,Bulk Up,45.157,Sucker Punch,41.722,Thunder Wave,29.270,Reflect,28.405,Light Screen,28.323,Taunt,28.042,Play Rough,22.828,Drain Punch,15.697,Rest,15.012,Sleep Talk,14.114,Substitute,8.961,Other,19.563,,,,,,,,
Cinderace,2019-11,Pyro Ball,98.100,U-turn,89.636,Court Change,76.914,High Jump Kick,55.049,Sucker Punch,29.080,Zen Headbutt,15.571,Gunk Shot,14.933,Taunt,7.719,Other,12.997,,,,,,,,,,,,,,,,,,
Seismitoad,2019-11,Stealth Rock,91.454,Scald,70.912,Toxic,68.536,Earthquake,48.289,Protect,35.004,Earth Power,34.076,Hydro Pump,13.493,Focus Blast,12.557,Sludge Wave,4.722,Liquidation,3.501,Other,17.457,,,,,,,,,,,,,,
Corsola-Galar,2019-11,Strength Sap,99.299,Will-O-Wisp,95.960,Stealth Rock,82.598,Night Shade,76.726,Hex,16.474,Haze,11.169,Other,17.774,,,,,,,,,,,,,,,,,,,,,,
Dracovish,2019-11,Fishious Rend,99.365,Psychic Fangs,78.424,Crunch,72.985,Outrage,40.520,Low Kick,36.581,Ice Fang,24.312,Earthquake,18.211,Leech Life,5.005,Stone Edge,4.562,Iron Head,4.010,Other,16.026,,,,,,,,,,,,,,
Toxtricity,2019-11,Boomburst,96.141,Overdrive,92.814,Sludge Wave,73.915,Volt Switch,69.964,Shift Gear,23.584,Fire Punch,10.078,Sludge Bomb,9.266,Snarl,5.575,Other,18.663,,,,,,,,,,,,,,,,,,
Tyranitar,2019-11,Crunch,89.204,Stone Edge,74.033,Stealth Rock,45.559,Fire Punch,37.703,Earthquake,36.406,Dragon Dance,30.527,Fire Blast,20.211,Superpower,12.719,Rock Blast,12.187,Thunder Wave,6.885,Rock Slide,5.765,Ice Punch,4.854,Taunt,2.531,Ice Beam,2.317,Other,19.098,,,,,,
Mandibuzz,2019-11,Roost,99.458,Defog,88.342,Foul Play,76.465,U-turn,61.109,Knock Off,28.751,Taunt,22.260,Toxic,15.764,Other,7.850,,,,,,,,,,,,,,,,,,,,
Pelipper,2019-11,U-turn,96.423,Scald,87.676,Roost,86.118,Hurricane,64.822,Knock Off,37.616,Hydro Pump,10.570,Other,16.774,,,,,,,,,,,,,,,,,,,,,,
Barraskewda,2019-11,Close Combat,95.716,Liquidation,93.464,Psychic Fangs,71.409,Crunch,39.267,Aqua Jet,25.449,Poison Jab,22.360,Drill Run,19.700,Ice Fang,10.449,Bounce,8.815,Other,13.369,,,,,,,,,,,,,,,,
Conkeldurr,2019-11,Mach Punch,92.026,Drain Punch,84.446,Earthquake,55.571,Defog,43.139,Thunder Punch,36.396,Ice Punch,21.383,Facade,14.552,Poison Jab,12.083,Close Combat,11.336,Payback,10.758,Other,18.309,,,,,,,,,,,,,,
Hawlucha,2019-11,Swords Dance,90.960,Acrobatics,73.785,Close Combat,62.195,Thunder Punch,45.551,High Jump Kick,33.390,Brave Bird,25.397,Substitute,13.576,Taunt,12.216,Throat Chop,7.668,Roost,7.510,Drain Punch,4.645,Fire Punch,4.430,Other,18.678,,,,,,,,,,
Rotom-Heat,2019-11,Overheat,99.315,Volt Switch,90.228,Thunderbolt,44.937,Nasty Plot,38.031,Trick,37.372,Will-O-Wisp,33.374,Thunder Wave,18.044,Shadow Ball,11.005,Protect,8.404,Other,19.291,,,,,,,,,,,,,,,,
Dracozolt,2019-11,Bolt Beak,98.682,Earthquake,66.476,Dragon Claw,56.908,Fire Fang,47.885,Outrage,37.744,Aerial Ace,29.731,Low Kick,23.247,Substitute,19.033,Stone Edge,3.928,Other,16.365,,,,,,,,,,,,,,,,
Mimikyu,2019-11,Play Rough,96.674,Shadow Sneak,92.507,Swords Dance,89.117,Shadow Claw,83.198,Trick Room,9.357,Drain Punch,6.905,Will-O-Wisp,4.753,Other,17.489,,,,,,,,,,,,,,,,,,,,
Dugtrio,2019-11,Earthquake,99.752,Sucker Punch,71.787,Reversal,58.148,Stealth Rock,49.264,Stone Edge,46.793,Memento,33.517,Substitute,10.357,Screech,10.246,Rock Slide,5.120,Other,15.016,,,,,,,,,,,,,,,,
