name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Roaring Moon,2022-11,Earthquake,93.472,Acrobatics,67.230,Dragon Dance,57.055,Dragon Claw,35.018,Outrage,31.550,Crunch,28.760,Taunt,23.968,Tera Blast,16.297,Iron Head,15.227,Throat Chop,9.112,Protect,8.320,Other,13.991,,,,,,,,,,,,
Garganacl,2022-11,Recover,95.312,Salt Cure,74.408,Curse,68.135,Protect,51.936,Body Press,46.373,Iron Defense,25.897,Rock Blast,23.393,Other,14.545,,,,,,,,,,,,,,,,,,,,
Chi-Yu,2022-11,Dark Pulse,99.730,Overheat,94.075,Psychic,78.252,Flamethrower,46.568,Hyper Beam,19.315,Tera Blast,14.344,Nasty Plot,11.864,Endure,10.558,Heat Wave,6.046,Other,19.249,,,,,,,,,,,,,,,,
Great Tusk,2022-11,Close Combat,98.338,Headlong Rush,83.226,Bulk Up,63.236,Rapid Spin,49.465,Earthquake,17.481,Knock Off,17.347,Ice Spinner,14.257,Megahorn,10.305,Protect,9.837,Head Smash,8.821,Play Rough,7.612,Heavy Slam,7.531,Other,12.545,,,,,,,,,,
Brute Bonnet,2022-11,Spore,99.058,Tera Blast,90.736,Payback,56.103,Taunt,48.194,Seed Bomb,32.960,Crunch,21.062,Synthesis,14.584,Sucker Punch,13.144,Close Combat,6.483,Other,17.675,,,,,,,,,,,,,,,,
Iron Hands,2022-11,Close Combat,97.279,Fake Out,86.142,Wild Charge,80.003,Giga Impact,48.583,Earthquake,22.154,Ice Punch,15.520,Thunder Punch,12.392,Drain Punch,8.841,Tera Blast,7.257,Belly Drum,6.969,Other,14.860,,,,,,,,,,,,,,
Gholdengo,2022-11,Make It Rain,99.121,Shadow Ball,90.714,Focus Blast,65.583,Nasty Plot,57.372,Power Gem,20.843,Thunderbolt,14.737,Tera Blast,11.711,Recover,8.673,Trick,7.497,Reflect,4.836,Other,18.914,,,,,,,,,,,,,,
Chien-Pao,2022-11,Sacred Sword,86.888,Icicle Crash,59.818,Crunch,58.727,Ice Spinner,38.038,Psychic Fangs,33.402,Tera Blast,26.801,Sucker Punch,21.580,Throat Chop,20.132,Giga Impact,17.628,Ice Shard,16.111,Swords Dance,8.024,Other,12.850,,,,,,,,,,,,
Magnezone,2022-11,Thunderbolt,100.000,Electroweb,56.683,Flash Cannon,52.445,Metal Sound,50.901,Substitute,37.320,Tera Blast,36.044,Mirror Coat,28.117,Endure,12.013,Tri Attack,7.228,Other,19.248,,,,,,,,,,,,,,,,
Maushold,2022-11,Population Bomb,100.000,Bullet Seed,60.085,Tidy Up,39.225,Aerial Ace,36.107,Bite,26.562,Tera Blast,17.780,Shadow Claw,17.611,Play Rough,16.481,Crunch,13.825,Thunder Wave,13.536,Substitute,11.122,Encore,8.276,Protect,7.848,Low Kick,7.361,Agility,5.634,Other,18.547,,,,
