name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Equilibra,2022-12,Flash Cannon,100.000,Earth Power,98.798,Rapid Spin,98.798,Pain Split,51.016,Protect,47.782,Other,3.607,,,,,,,,,,,,,,,,,,,,,,,,
Venomicon-Epilogue,2022-12,U-turn,99.781,Brave Bird,99.781,Roost,75.408,Knock Off,53.024,Stealth Rock,46.976,Toxic Spikes,24.373,Other,0.657,,,,,,,,,,,,,,,,,,,,,,
Arghonaut,2022-12,Recover,92.860,Circle Throw,82.032,Knock Off,69.069,Spikes,69.069,Bulk Up,25.211,Aqua Jet,25.093,Drain Punch,16.608,Mach Punch,7.791,Other,12.268,,,,,,,,,,,,,,,,,,
Snaelstrom,2022-12,Spiky Shield,96.879,Trick,96.572,Liquidation,85.000,Swords Dance,85.000,Leech Life,18.118,Other,18.432,,,,,,,,,,,,,,,,,,,,,,,,
Pyroak,2022-12,Overheat,98.004,Earth Power,98.004,Stealth Rock,95.688,Synthesis,84.861,Giga Drain,13.143,Other,10.300,,,,,,,,,,,,,,,,,,,,,,,,
Chi-Yu,2022-12,Flamethrower,100.000,Dark Pulse,100.000,Overheat,91.695,Psychic,82.697,Tera Blast,17.303,Other,8.305,,,,,,,,,,,,,,,,,,,,,,,,
Glimmora,2022-12,Earth Power,100.000,Mortal Spin,100.000,Power Gem,99.578,Stealth Rock,85.097,Other,15.325,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenankh,2022-12,Drain Punch,100.000,Bulk Up,100.000,Shadow Sneak,97.119,Shadow Claw,76.302,Taunt,23.698,Other,2.881,,,,,,,,,,,,,,,,,,,,,,,,
Hatterene,2022-12,Mystical Fire,100.000,Psychic,100.000,Calm Mind,65.103,Draining Kiss,65.103,Trick Room,34.897,Healing Wish,34.897,Other,0.000,,,,,,,,,,,,,,,,,,,,,,
Dragapult,2022-12,Tera Blast,72.978,Dragon Dance,72.978,Dragon Darts,72.978,Disable,72.978,Flamethrower,27.022,Shadow Ball,27.022,Draco Meteor,27.022,U-turn,27.022,Other,0.000,,,,,,,,,,,,,,,,,,
Jumbao,2022-12,Moonblast,96.522,Healing Wish,96.522,Tera Blast,62.301,Solar Beam,62.301,Giga Drain,34.221,Focus Blast,34.221,Other,13.912,,,,,,,,,,,,,,,,,,,,,,
Grimmsnarl,2022-12,Parting Shot,100.000,Reflect,100.000,Light Screen,100.000,Spirit Break,73.407,Thunder Wave,26.593,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,
Great Tusk,2022-12,Close Combat,100.000,Knock Off,100.000,Rapid Spin,100.000,Headlong Rush,64.546,Earthquake,35.454,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-12,Crunch,100.000,U-turn,100.000,Outrage,70.182,Iron Head,70.182,Dragon Claw,29.818,Earthquake,29.818,Other,0.000,,,,,,,,,,,,,,,,,,,,,,
Dondozo,2022-12,Liquidation,100.000,Rest,100.000,Curse,100.000,Sleep Talk,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Venomicon,2022-12,Roost,97.922,Hurricane,97.718,Nasty Plot,50.529,Skill Swap,47.987,Sludge Bomb,47.442,U-turn,45.161,Other,13.241,,,,,,,,,,,,,,,,,,,,,,
Tomohawk,2022-12,Stealth Rock,99.999,Rapid Spin,98.787,Taunt,98.786,Memento,98.786,Other,3.642,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribolt,2022-12,Swords Dance,98.794,Body Slam,98.794,Rapid Spin,98.794,Horn Leech,98.794,Other,4.825,,,,,,,,,,,,,,,,,,,,,,,,,,
Annihilape,2022-12,Bulk Up,100.000,Rage Fist,100.000,Taunt,100.000,Drain Punch,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-12,Close Combat,100.000,Spirit Break,100.000,Zen Headbutt,100.000,Knock Off,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Garchomp,2022-12,Dragon Tail,100.000,Earthquake,100.000,Spikes,100.000,Stealth Rock,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,2022-12,Bulldoze,100.000,Spore,100.000,Mach Punch,100.000,Bullet Seed,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowking,2022-12,Surf,100.000,Future Sight,100.000,Slack Off,100.000,Chilly Reception,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromera,2022-12,Thunderbolt,100.000,Boomburst,100.000,Dark Pulse,100.000,Foul Play,98.701,Other,1.299,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxcalibur,2022-12,Ice Shard,100.000,Dragon Dance,100.000,Glaive Rush,100.000,Earthquake,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Saharaja,2022-12,Earthquake,100.000,Diamond Storm,94.059,Rapid Spin,85.429,Stealth Rock,52.525,Taunt,47.475,Swords Dance,14.571,Other,5.941,,,,,,,,,,,,,,,,,,,,,,
Scovillain,2022-12,Tera Blast,100.000,Substitute,100.000,Flamethrower,100.000,Solar Beam,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Syclant,2022-12,Earthquake,100.000,Icicle Spear,98.360,Ice Shard,98.360,U-turn,49.730,Fell Stinger,48.630,Other,4.920,,,,,,,,,,,,,,,,,,,,,,,,
Gholdengo,2022-12,Shadow Ball,100.000,Focus Blast,100.000,Make It Rain,100.000,Trick,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratagem,2022-12,Earth Power,83.591,Flamethrower,55.887,Weather Ball,42.674,Energy Ball,42.674,Shadow Ball,42.674,Paleo Wave,40.418,Vacuum Wave,30.356,Giga Drain,25.531,Ancient Power,16.409,Other,19.786,,,,,,,,,,,,,,,,
Skeledirge,2022-12,Shadow Ball,100.000,Slack Off,100.000,Torch Song,100.000,Will-O-Wisp,96.173,Other,3.827,,,,,,,,,,,,,,,,,,,,,,,,,,
Mollux,2022-12,Thunderbolt,100.000,Recover,82.280,Toxic,82.280,Lava Plume,82.280,Trick,16.361,Clear Smog,16.361,Stealth Rock,16.361,Other,4.076,,,,,,,,,,,,,,,,,,,,
Kerfluffle,2022-12,Moonblast,94.930,Sludge Bomb,61.532,Parting Shot,61.532,Focus Blast,61.532,Aura Sphere,38.468,Tera Blast,33.398,Giga Drain,33.398,Other,15.211,,,,,,,,,,,,,,,,,,,,
Fidgit,2022-12,Stealth Rock,100.000,U-turn,92.477,Trick Room,78.660,Rapid Spin,78.660,Tailwind,21.340,Taunt,13.816,Other,15.047,,,,,,,,,,,,,,,,,,,,,,
Kingambit,2022-12,Substitute,100.000,Swords Dance,100.000,Sucker Punch,100.000,Iron Head,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Hands,2022-12,Ice Punch,100.000,Belly Drum,100.000,Drain Punch,100.000,Thunder Punch,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Shocks,2022-12,Tera Blast,100.000,Volt Switch,100.000,Stealth Rock,100.000,Earth Power,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Krilowatt,2022-12,Volt Switch,93.967,Earth Power,92.473,Surf,92.473,Discharge,86.439,Liquidation,7.527,Wild Charge,7.527,Other,19.594,,,,,,,,,,,,,,,,,,,,,,
Cawmodore,2022-12,Drain Punch,100.000,Belly Drum,97.005,Acrobatics,95.164,Bullet Punch,90.667,Other,17.164,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurumoth,2022-12,Blizzard,98.120,Thunder,98.120,Focus Blast,98.120,Overheat,92.727,Other,12.912,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,2022-12,Dragon Dance,100.000,Extreme Speed,100.000,Earthquake,100.000,Ice Spinner,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclizar,2022-12,Rapid Spin,100.000,Shed Tail,100.000,Knock Off,93.467,U-turn,91.570,Other,14.962,,,,,,,,,,,,,,,,,,,,,,,,,,
