name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Dragonite,2022-12,Extreme Speed,99.703,Dragon Claw,89.492,Dragon Dance,29.429,Protect,28.530,Iron Head,25.062,Ice Spinner,23.093,Brick Break,22.348,Earthquake,20.975,Outrage,18.178,Waterfall,16.691,Fire Punch,9.368,Other,17.129,,,,,,,,,,,,
Annihilape,2022-12,Rage Fist,99.028,Drain Punch,57.153,Close Combat,43.466,Bulk Up,41.794,Final Gambit,41.417,Protect,33.757,U-turn,25.322,Ice Punch,19.676,Earthquake,8.239,Rest,7.814,Thunder Punch,6.285,Other,16.050,,,,,,,,,,,,
Gardevoir,2022-12,Moonblast,63.486,Psychic,62.849,Aura Sphere,60.700,Icy Wind,40.745,Dazzling Gleam,37.909,Psyshock,29.035,Taunt,24.163,Protect,18.947,Life Dew,18.947,Thunderbolt,8.694,Trick,6.853,Trick Room,4.941,Sunny Day,3.551,Other,19.182,,,,,,,,
Meowscarada,2022-12,Flower Trick,99.100,Knock Off,94.057,U-turn,48.353,Protect,42.594,Trick,34.158,Pollen Puff,24.896,Sucker Punch,24.251,Play Rough,12.765,Other,19.825,,,,,,,,,,,,,,,,,,
Iron Jugulis,2022-12,Dark Pulse,65.395,Air Slash,53.602,Protect,38.025,Snarl,34.646,Air Cutter,34.580,Earth Power,32.225,Flamethrower,29.683,Dragon Pulse,29.104,Tailwind,24.569,Heat Wave,19.695,Hurricane,17.250,Fire Blast,12.575,Other,8.650,,,,,,,,,,
Iron Valiant,2022-12,Spirit Break,51.714,Close Combat,50.664,Dazzling Gleam,46.571,Thunderbolt,44.040,Aura Sphere,41.719,Energy Ball,39.962,Liquidation,29.119,Leaf Blade,29.119,Protect,19.351,Knock Off,17.993,Swords Dance,6.315,Drain Punch,5.624,Other,17.810,,,,,,,,,,
Pincurchin,2022-12,Sucker Punch,86.542,Zing Zap,47.982,Memento,46.444,Spikes,45.578,Recover,44.135,Wild Charge,43.054,Liquidation,38.824,Thunder Wave,13.454,Protect,10.655,Nothing,8.733,Other,14.598,,,,,,,,,,,,,,
Volcarona,2022-12,Quiver Dance,79.569,Fiery Dance,63.278,Giga Drain,41.618,Bug Buzz,40.622,Heat Wave,36.192,Protect,30.027,Struggle Bug,21.985,Morning Sun,17.968,Psychic,16.209,Rage Powder,14.379,Whirlwind,11.540,Flamethrower,11.074,Other,15.539,,,,,,,,,,
Sableye,2022-12,Taunt,76.668,Sunny Day,64.653,Reflect,49.034,Light Screen,49.034,Fake Out,38.904,Thunder Wave,34.680,Knock Off,28.891,Skill Swap,13.151,Helping Hand,9.679,Night Shade,7.626,Rain Dance,7.220,Recover,5.777,Other,14.683,,,,,,,,,,
Quaquaval,2022-12,Aqua Step,99.623,Close Combat,84.358,Ice Spinner,64.486,Surf,51.325,Detect,19.288,Aqua Jet,16.659,Swords Dance,16.141,Protect,12.313,U-turn,10.058,Brave Bird,6.508,Other,19.241,,,,,,,,,,,,,,
