name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Misdreavus,2022-11,Shadow Ball,89.210,Nasty Plot,61.252,Tera Blast,50.079,Dark Pulse,43.577,Dazzling Gleam,37.177,Thunderbolt,24.175,Substitute,17.688,Taunt,16.479,Calm Mind,13.719,Will-O-Wisp,12.558,Energy Ball,11.670,Hex,10.758,Other,11.658,,,,,,,,,,
Girafarig,2022-11,Tera Blast,62.318,Nasty Plot,58.586,Psychic,43.851,Twin Beam,34.213,Thunderbolt,30.762,Shadow Ball,30.637,Dazzling Gleam,16.599,Reflect,15.918,Hyper Voice,15.341,Psychic Fangs,13.939,Calm Mind,13.063,Crunch,11.042,Rest,6.144,Agility,5.992,Psyshock,4.861,Low Kick,4.773,Double Kick,4.091,Body Slam,4.017
Pawniard,2022-11,Sucker Punch,98.025,Iron Head,91.960,Brick Break,58.206,Night Slash,52.365,Stealth Rock,36.554,Swords Dance,18.986,Low Sweep,15.109,Tera Blast,7.837,Substitute,7.053,Other,13.905,,,,,,,,,,,,,,,,
Dunsparce,2022-11,Roost,73.855,Coil,65.285,Body Slam,56.015,Headbutt,49.156,Bite,39.392,Zen Headbutt,23.561,Glare,22.048,Earthquake,21.636,Aqua Tail,9.115,Rock Slide,7.606,Stealth Rock,4.818,Tera Blast,4.747,Air Slash,4.275,Other,18.491,,,,,,,,
Toedscool,2022-11,Rapid Spin,98.759,Spore,94.341,Knock Off,69.270,Giga Drain,46.079,Earth Power,40.775,Foul Play,21.643,Spikes,12.140,Other,16.993,,,,,,,,,,,,,,,,,,,,
Glimmet,2022-11,Power Gem,71.995,Stealth Rock,64.772,Sludge Bomb,52.239,Spikes,38.655,Tera Blast,33.969,Dazzling Gleam,27.607,Sludge Wave,24.432,Explosion,14.916,Ancient Power,13.489,Memento,10.895,Reflect,9.034,Light Screen,8.243,Mud Shot,8.051,Venoshock,7.285,Other,14.417,,,,,,
Diglett,2022-11,Earthquake,100.000,Stealth Rock,47.300,Memento,44.227,Sucker Punch,35.575,Rock Blast,31.229,Final Gambit,30.574,Rock Slide,19.426,Rock Tomb,17.405,Substitute,13.541,Swords Dance,13.318,Tera Blast,10.868,Stone Edge,10.063,Sunny Day,7.520,Other,18.954,,,,,,,,
Cetoddle,2022-11,Earthquake,92.085,Ice Shard,88.560,Icicle Crash,62.732,Play Rough,48.076,Belly Drum,46.746,Ice Spinner,29.402,Liquidation,15.114,Other,17.286,,,,,,,,,,,,,,,,,,,,
Flittle,2022-11,Calm Mind,97.929,Tera Blast,96.606,Stored Power,95.586,Roost,79.744,Protect,20.592,Other,9.543,,,,,,,,,,,,,,,,,,,,,,,,
Rufflet,2022-11,Close Combat,98.710,Brave Bird,85.770,Aerial Ace,71.277,U-turn,58.551,Roost,26.037,Bulk Up,14.488,Body Slam,14.250,Shadow Claw,6.757,Agility,6.563,Other,17.599,,,,,,,,,,,,,,,,
Maschiff,2022-11,Crunch,100.000,Fire Fang,75.073,Psychic Fangs,65.643,Trailblaze,63.579,Play Rough,49.601,Double-Edge,27.139,Other,18.966,,,,,,,,,,,,,,,,,,,,,,
Meditite,2022-11,Zen Headbutt,94.302,Fake Out,92.786,Bullet Punch,91.623,Close Combat,68.723,High Jump Kick,30.679,Thunder Punch,6.761,Other,15.127,,,,,,,,,,,,,,,,,,,,,,
Croagunk,2022-11,Sucker Punch,91.768,Drain Punch,79.263,Fake Out,79.095,Gunk Shot,63.621,Sludge Bomb,20.331,Vacuum Wave,20.331,Poison Jab,15.643,Earthquake,15.643,Other,14.307,,,,,,,,,,,,,,,,,,
Snover,2022-11,Blizzard,92.609,Ice Shard,92.205,Giga Drain,53.910,Wood Hammer,41.238,Trailblaze,34.157,Leech Seed,33.209,Protect,22.245,Chilling Water,9.023,Tera Blast,7.172,Other,14.231,,,,,,,,,,,,,,,,
Surskit,2022-11,Sticky Web,100.000,Hydro Pump,79.502,Bug Buzz,74.039,Giga Drain,71.838,Shadow Ball,22.063,Ice Beam,19.899,Icy Wind,16.653,Other,16.005,,,,,,,,,,,,,,,,,,,,
Quaxly,2022-11,Liquidation,99.372,Rapid Spin,89.074,Brave Bird,68.016,Aqua Jet,54.467,Acrobatics,29.185,Roost,24.492,Facade,15.942,Other,19.453,,,,,,,,,,,,,,,,,,,,
Gastly,2022-11,Shadow Ball,97.420,Sludge Bomb,94.030,Thunderbolt,46.870,Tera Blast,32.516,Destiny Bond,24.536,Psychic,23.730,Dazzling Gleam,21.983,Energy Ball,19.912,Dark Pulse,10.889,Substitute,7.679,Nasty Plot,6.475,Other,13.961,,,,,,,,,,,,
Shroodle,2022-11,Knock Off,98.813,Parting Shot,86.244,U-turn,83.085,Encore,53.987,Sunny Day,23.122,Swords Dance,13.488,Taunt,9.617,Gunk Shot,7.892,Tera Blast,7.316,Other,16.436,,,,,,,,,,,,,,,,
Impidimp,2022-11,Parting Shot,99.321,Reflect,95.453,Light Screen,95.280,Drain Punch,50.747,Thunder Wave,19.030,Fake Out,14.037,Taunt,12.189,Other,13.943,,,,,,,,,,,,,,,,,,,,
Murkrow,2022-11,Heat Wave,75.409,Dark Pulse,73.395,U-turn,71.280,Hurricane,54.591,Brave Bird,32.710,Sucker Punch,23.879,Taunt,14.525,Air Slash,12.220,Nasty Plot,10.008,Thunder Wave,8.497,Thief,6.476,Other,17.010,,,,,,,,,,,,
Magnemite,2022-11,Volt Switch,99.991,Thunderbolt,97.269,Flash Cannon,93.743,Tera Blast,65.228,Endure,26.652,Other,17.117,,,,,,,,,,,,,,,,,,,,,,,,
Mankey,2022-11,Close Combat,95.981,U-turn,87.740,Night Slash,74.520,Earthquake,52.338,Taunt,39.683,Tera Blast,15.693,Poison Jab,10.710,Ice Punch,10.347,Other,12.988,,,,,,,,,,,,,,,,,,
Tinkatink,2022-11,Knock Off,100.000,Play Rough,97.631,Thunder Wave,42.049,Reflect,37.642,Light Screen,37.642,Stealth Rock,37.425,Foul Play,11.676,Swords Dance,11.676,Ice Hammer,6.524,Other,17.734,,,,,,,,,,,,,,,,
Larvesta,2022-11,Flare Blitz,95.528,U-turn,67.862,Leech Life,53.622,Morning Sun,50.615,Will-O-Wisp,48.053,Wild Charge,43.366,Tera Blast,36.451,Other,4.503,,,,,,,,,,,,,,,,,,,,
Mudbray,2022-11,Earthquake,99.723,Close Combat,73.223,Rock Slide,53.821,Heavy Slam,46.885,Smack Down,36.019,Iron Head,34.393,Stealth Rock,31.605,Low Sweep,11.757,Other,12.573,,,,,,,,,,,,,,,,,,
Greavard,2022-11,Tera Blast,99.983,Rest,99.933,Sleep Talk,99.933,Shadow Ball,71.531,Psychic Fangs,28.452,Other,0.169,,,,,,,,,,,,,,,,,,,,,,,,
Crabrawler,2022-11,Crabhammer,81.966,Close Combat,81.121,Ice Punch,59.570,Drain Punch,56.544,Substitute,43.524,Zen Headbutt,30.160,Thunder Punch,16.046,Bulk Up,11.257,Other,19.813,,,,,,,,,,,,,,,,,,
Bramblin,2022-11,Strength Sap,98.222,Rapid Spin,70.957,Power Whip,57.979,Spikes,40.617,Shadow Sneak,38.901,Phantom Force,35.065,Seed Bomb,21.836,Giga Drain,9.464,Shadow Ball,9.464,Other,17.495,,,,,,,,,,,,,,,,
Houndour,2022-11,Dark Pulse,99.999,Nasty Plot,99.882,Flamethrower,53.357,Tera Blast,53.246,Flame Charge,46.748,Fire Blast,46.642,Other,0.126,,,,,,,,,,,,,,,,,,,,,,
Foongus,2022-11,Spore,99.619,Synthesis,85.807,Foul Play,50.865,Clear Smog,44.247,Sludge Bomb,43.972,Giga Drain,42.080,Toxic,14.172,Other,19.239,,,,,,,,,,,,,,,,,,,,
Shellder,2022-11,Liquidation,100.000,Shell Smash,99.533,Rock Blast,99.533,Ice Shard,51.550,Ice Spinner,48.918,Other,0.467,,,,,,,,,,,,,,,,,,,,,,,,
Azurill,2022-11,Aqua Jet,100.000,Belly Drum,100.000,Body Slam,89.935,Substitute,59.783,Waterfall,30.330,Other,19.953,,,,,,,,,,,,,,,,,,,,,,,,
Tarountula,2022-11,Sticky Web,100.000,Memento,99.884,String Shot,82.461,Spikes,82.461,Toxic Spikes,17.423,Other,17.770,,,,,,,,,,,,,,,,,,,,,,,,
Mareanie,2022-11,Recover,93.426,Liquidation,61.940,Haze,41.163,Poison Jab,38.199,Toxic,37.679,Ice Spinner,35.307,Surf,26.115,Sludge Bomb,21.995,Chilling Water,10.155,Bite,7.157,Rest,6.502,Sleep Talk,6.502,Other,13.861,,,,,,,,,,
Zorua,2022-11,Extrasensory,99.991,Sucker Punch,79.945,Knock Off,73.204,U-turn,73.201,Nasty Plot,26.796,Sludge Bomb,20.055,Night Daze,20.055,Other,6.753,,,,,,,,,,,,,,,,,,,,
Nymble,2022-11,First Impression,100.000,Sucker Punch,100.000,U-turn,99.911,Leech Life,98.218,Other,1.871,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandile,2022-11,Crunch,100.000,Earthquake,100.000,Stealth Rock,74.013,Rock Slide,70.313,Aqua Tail,25.041,Brick Break,25.041,Other,5.592,,,,,,,,,,,,,,,,,,,,,,
Wingull,2022-11,Surf,99.182,U-turn,97.028,Knock Off,90.775,Air Slash,57.566,Hurricane,41.725,Other,13.724,,,,,,,,,,,,,,,,,,,,,,,,
Axew,2022-11,Dragon Dance,77.555,Brick Break,67.015,Outrage,58.019,Dragon Claw,42.004,First Impression,39.833,Iron Head,31.673,Crunch,25.128,Poison Jab,16.573,Aqua Tail,14.008,Substitute,11.845,Other,16.347,,,,,,,,,,,,,,
Yungoos,2022-11,Tera Blast,100.000,Zen Headbutt,100.000,U-turn,100.000,Fire Fang,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothita,2022-11,Psychic,94.780,Thunderbolt,71.099,Trick,39.278,Dark Pulse,36.289,Tera Blast,32.778,Calm Mind,25.714,Shadow Ball,23.442,Rest,22.725,Sleep Talk,22.725,Thunder Wave,9.335,Energy Ball,6.176,Other,15.659,,,,,,,,,,,,
Varoom,2022-11,Parting Shot,100.000,Spin Out,100.000,Gunk Shot,99.332,Bulldoze,67.443,Tera Blast,25.262,Other,7.963,,,,,,,,,,,,,,,,,,,,,,,,
Deerling,2022-11,Tera Blast,98.724,Seed Bomb,97.818,Sunny Day,96.542,Double Kick,96.542,Other,10.374,,,,,,,,,,,,,,,,,,,,,,,,,,
Numel,2022-11,Growth,99.249,Trailblaze,99.110,Flamethrower,99.103,Tera Blast,99.098,Other,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoliv,2022-11,Growth,100.000,Weather Ball,100.000,Energy Ball,100.000,Trailblaze,100.000,Other,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowpoke,2022-11,Slack Off,100.000,Thunder Wave,92.083,Liquidation,74.574,Foul Play,74.574,Flamethrower,14.565,Surf,14.565,Psychic,8.762,Curse,5.818,Other,15.058,,,,,,,,,,,,,,,,,,
