name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Flutter Mane,2022-11,Moonblast,96.153,Shadow Ball,96.096,Thunderbolt,54.017,Mystical Fire,51.164,Calm Mind,36.629,Substitute,20.276,Psyshock,13.364,Energy Ball,7.834,Power Gem,7.707,Other,16.759,,,,,,,,,,,,,,,,
Iron Bundle,2022-11,Freeze-Dry,98.673,Hydro Pump,97.023,Ice Beam,86.202,Flip Turn,32.534,Agility,17.622,Blizzard,17.243,U-turn,13.360,Encore,9.714,Substitute,9.644,Other,17.984,,,,,,,,,,,,,,,,
Dragapult,2022-11,Dragon Darts,87.508,Dragon Dance,66.826,Substitute,49.203,Phantom Force,39.406,Disable,36.831,U-turn,29.833,Sucker Punch,17.300,Shadow Ball,12.399,Draco Meteor,12.248,Psychic Fangs,10.492,Fire Blast,9.903,Thunder Wave,7.888,Tera Blast,6.357,Other,13.807,,,,,,,,
Mimikyu,2022-11,Play Rough,99.782,Shadow Sneak,98.977,Swords Dance,95.142,Shadow Claw,47.623,Drain Punch,43.501,Other,14.975,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-11,Spirit Break,58.245,Swords Dance,55.046,Drain Punch,41.585,Shadow Sneak,38.942,Moonblast,34.361,Close Combat,26.487,Aura Sphere,19.553,Thunderbolt,17.832,Energy Ball,15.703,Calm Mind,14.713,Focus Blast,13.462,Zen Headbutt,12.444,Knock Off,9.034,Psyshock,7.035,Poison Jab,6.954,Ice Punch,6.148,Charge Beam,4.249,Other,18.206
Froslass,2022-11,Spikes,98.368,Taunt,95.199,Icy Wind,83.301,Will-O-Wisp,48.387,Destiny Bond,34.198,Snowscape,19.504,Thunder Wave,12.791,Other,8.252,,,,,,,,,,,,,,,,,,,,
Pelipper,2022-11,Hurricane,99.932,U-turn,98.262,Roost,78.195,Knock Off,26.396,Hydro Pump,25.577,Surf,21.226,Chilling Water,20.052,Ice Beam,17.938,Other,12.422,,,,,,,,,,,,,,,,,,
Annihilape,2022-11,Close Combat,72.576,Rage Fist,59.490,U-turn,50.409,Earthquake,39.171,Drain Punch,29.074,Stealth Rock,25.228,Gunk Shot,21.706,Bulk Up,21.369,Shadow Claw,18.572,Taunt,16.468,Poison Jab,7.489,Stone Edge,6.882,Ice Punch,6.128,Phantom Force,5.590,Other,19.849,,,,,,
Klefki,2022-11,Spikes,92.920,Reflect,88.801,Light Screen,88.497,Foul Play,56.282,Play Rough,36.421,Thunder Wave,19.860,Other,17.219,,,,,,,,,,,,,,,,,,,,,,
Gholdengo,2022-11,Make It Rain,95.257,Shadow Ball,85.682,Focus Blast,58.833,Thunderbolt,50.204,Dazzling Gleam,23.351,Trick,21.691,Flash Cannon,13.092,Nasty Plot,9.826,Psyshock,9.520,Memento,8.523,Power Gem,7.550,Other,16.471,,,,,,,,,,,,
Ceruledge,2022-11,Bitter Blade,99.788,Shadow Sneak,89.030,Close Combat,81.179,Swords Dance,74.091,Shadow Claw,13.964,Bulk Up,8.086,Phantom Force,8.001,Substitute,6.375,Other,19.486,,,,,,,,,,,,,,,,,,
Quaquaval,2022-11,Close Combat,98.739,Aqua Step,84.427,Rapid Spin,49.428,Bulk Up,31.389,Ice Spinner,23.853,U-turn,23.192,Swords Dance,17.478,Brave Bird,16.928,Substitute,14.776,Wave Crash,14.404,Aqua Jet,10.974,Other,14.411,,,,,,,,,,,,
Azumarill,2022-11,Aqua Jet,97.831,Belly Drum,79.010,Play Rough,70.298,Liquidation,42.895,Ice Spinner,32.249,Brick Break,31.606,Superpower,16.128,Substitute,15.311,Other,14.674,,,,,,,,,,,,,,,,,,
Barraskewda,2022-11,Close Combat,93.809,Liquidation,86.675,Crunch,58.999,Poison Jab,51.558,Ice Fang,41.583,Psychic Fangs,38.500,Waterfall,13.325,Other,15.552,,,,,,,,,,,,,,,,,,,,
Palafin,2022-11,Flip Turn,96.503,Jet Punch,94.552,Close Combat,58.909,Wave Crash,58.253,Ice Punch,39.996,Zen Headbutt,14.461,Drain Punch,12.975,Liquidation,8.692,Other,15.658,,,,,,,,,,,,,,,,,,
Chien-Pao,2022-11,Sacred Sword,76.568,Ice Spinner,70.261,Sucker Punch,42.368,Ice Shard,40.367,Swords Dance,40.112,Crunch,35.720,Throat Chop,30.560,Psychic Fangs,29.410,Icicle Crash,27.410,Other,7.224,,,,,,,,,,,,,,,,
Kingambit,2022-11,Iron Head,97.394,Sucker Punch,96.574,Kowtow Cleave,80.110,Low Kick,39.217,Swords Dance,38.714,Brick Break,19.622,Zen Headbutt,12.144,Other,16.225,,,,,,,,,,,,,,,,,,,,
Scizor,2022-11,Bullet Punch,100.000,Close Combat,95.156,Swords Dance,92.423,Quick Attack,51.311,Trailblaze,15.858,U-turn,14.275,Night Slash,11.885,Other,19.092,,,,,,,,,,,,,,,,,,,,
Gengar,2022-11,Shadow Ball,98.307,Sludge Bomb,97.751,Focus Blast,79.719,Trick,77.976,Thunderbolt,11.844,Dark Pulse,11.618,Dazzling Gleam,6.207,Other,16.579,,,,,,,,,,,,,,,,,,,,
Houndstone,2022-11,Last Respects,98.953,Body Press,64.468,Play Rough,60.106,Shadow Sneak,58.414,Crunch,23.441,Will-O-Wisp,20.838,Trick,16.752,Stomping Tantrum,13.985,Yawn,8.513,Psychic Fangs,7.107,Memento,6.276,Rest,3.320,Other,17.827,,,,,,,,,,
Forretress,2022-11,Rapid Spin,96.819,Stealth Rock,93.386,Gyro Ball,46.346,Explosion,46.033,Spikes,37.320,Earthquake,26.856,Volt Switch,26.132,Toxic Spikes,22.844,Other,4.264,,,,,,,,,,,,,,,,,,
Grimmsnarl,2022-11,Spirit Break,67.600,Thunder Wave,54.917,Sucker Punch,51.630,Bulk Up,49.065,Reflect,47.609,Light Screen,47.609,Parting Shot,31.938,Taunt,24.622,False Surrender,15.996,Other,9.014,,,,,,,,,,,,,,,,
Volcarona,2022-11,Quiver Dance,99.539,Giga Drain,81.535,Psychic,74.288,Fiery Dance,44.867,Fire Blast,39.854,Bug Buzz,29.443,Flamethrower,13.714,Other,16.761,,,,,,,,,,,,,,,,,,,,
Baxcalibur,2022-11,Dragon Dance,75.406,Earthquake,74.615,Glaive Rush,60.767,Icicle Spear,60.225,Ice Shard,51.121,Icicle Crash,28.180,Iron Head,13.010,Outrage,11.283,Swords Dance,8.125,Other,17.268,,,,,,,,,,,,,,,,
Great Tusk,2022-11,Close Combat,66.306,Rapid Spin,65.822,Headlong Rush,56.725,Earthquake,38.697,Ice Spinner,38.402,Knock Off,35.242,Stealth Rock,29.542,Bulk Up,15.800,Stone Edge,13.959,Body Press,12.776,Iron Head,8.226,Other,18.502,,,,,,,,,,,,
Toxapex,2022-11,Recover,98.243,Haze,86.213,Toxic Spikes,50.804,Toxic,45.061,Poison Jab,40.552,Chilling Water,26.868,Baneful Bunker,17.326,Liquidation,12.761,Surf,11.757,Other,10.414,,,,,,,,,,,,,,,,
Corviknight,2022-11,Roost,99.774,Body Press,82.064,Bulk Up,75.246,Brave Bird,66.241,U-turn,23.134,Defog,18.948,Iron Head,13.408,Tailwind,5.929,Other,15.255,,,,,,,,,,,,,,,,,,
Skeledirge,2022-11,Torch Song,98.973,Shadow Ball,72.752,Slack Off,72.453,Earth Power,54.138,Will-O-Wisp,29.722,Substitute,13.537,Hex,12.829,Yawn,10.243,Tera Blast,9.125,Belch,8.413,Other,17.814,,,,,,,,,,,,,,
Gastrodon,2022-11,Recover,85.871,Spikes,60.964,Stealth Rock,50.344,Chilling Water,45.013,Clear Smog,29.071,Earth Power,27.567,Earthquake,26.972,Surf,21.054,Ice Beam,15.660,Yawn,13.368,Liquidation,8.544,Other,15.572,,,,,,,,,,,,
Tinkaton,2022-11,Gigaton Hammer,100.000,Knock Off,58.727,Stealth Rock,52.865,Thunder Wave,42.041,Swords Dance,35.782,Play Rough,33.882,Ice Hammer,21.261,Substitute,17.729,Protect,15.921,Stone Edge,8.248,Other,13.544,,,,,,,,,,,,,,
Slither Wing,2022-11,Close Combat,85.108,Earthquake,78.506,Wild Charge,59.665,U-turn,50.694,Leech Life,46.410,Flare Blitz,29.698,First Impression,20.885,Dual Wingbeat,7.730,Flame Charge,7.212,Other,14.093,,,,,,,,,,,,,,,,
Chi-Yu,2022-11,Dark Pulse,95.024,Psychic,75.175,Flamethrower,54.621,Fire Blast,50.901,Nasty Plot,28.086,Memento,21.229,Overheat,20.257,Ruination,16.528,Taunt,12.033,Will-O-Wisp,6.658,Other,19.488,,,,,,,,,,,,,,
Meowscarada,2022-11,Flower Trick,80.353,Knock Off,79.818,Play Rough,75.123,U-turn,69.375,Sucker Punch,24.373,Low Kick,18.476,Thunder Punch,11.575,Spikes,10.119,Petal Blizzard,6.950,Taunt,5.566,Other,18.271,,,,,,,,,,,,,,
Iron Treads,2022-11,Earthquake,97.249,Rapid Spin,67.686,Iron Head,51.745,Knock Off,47.080,Ice Spinner,29.501,Stone Edge,25.472,Heavy Slam,19.464,Megahorn,13.925,Stealth Rock,12.800,Volt Switch,12.498,Tera Blast,5.443,Other,17.136,,,,,,,,,,,,
Abomasnow,2022-11,Aurora Veil,90.837,Blizzard,83.999,Giga Drain,65.926,Snowscape,42.347,Earth Power,30.464,Energy Ball,24.393,Focus Blast,16.025,Weather Ball,7.321,Ice Beam,6.700,Leech Seed,6.000,Wood Hammer,5.373,Earthquake,4.765,Other,15.849,,,,,,,,,,
Clodsire,2022-11,Recover,89.023,Earthquake,85.144,Gunk Shot,39.030,Toxic Spikes,38.700,Toxic,30.030,Curse,27.678,Stealth Rock,27.308,Poison Jab,20.513,Spikes,11.528,Haze,10.468,Yawn,9.995,Other,10.583,,,,,,,,,,,,
Breloom,2022-11,Bullet Seed,96.223,Mach Punch,95.511,Spore,74.304,Rock Tomb,50.179,Swords Dance,45.729,Close Combat,24.057,Other,13.996,,,,,,,,,,,,,,,,,,,,,,
Lokix,2022-11,Sucker Punch,95.548,First Impression,91.601,U-turn,87.078,Leech Life,45.014,Axe Kick,33.899,Throat Chop,27.312,Other,19.549,,,,,,,,,,,,,,,,,,,,,,
Avalugg,2022-11,Body Press,99.116,Recover,92.961,Rapid Spin,92.439,Heavy Slam,44.874,Mirror Coat,25.123,Avalanche,19.820,Earthquake,7.041,Other,18.626,,,,,,,,,,,,,,,,,,,,
Amoonguss,2022-11,Foul Play,89.003,Spore,80.283,Synthesis,71.101,Giga Drain,58.886,Clear Smog,35.718,Toxic,32.504,Sludge Bomb,13.988,Other,18.517,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-11,Dragon Dance,75.911,Crunch,70.938,Iron Head,54.501,Earthquake,52.988,Outrage,40.595,Dragon Claw,32.444,U-turn,20.826,Acrobatics,18.016,Throat Chop,9.609,Jaw Lock,5.371,Other,18.801,,,,,,,,,,,,,,
Sandy Shocks,2022-11,Earth Power,97.726,Thunderbolt,93.622,Power Gem,58.343,Volt Switch,54.654,Flash Cannon,25.352,Gravity,22.678,Spikes,13.575,Stealth Rock,12.496,Electric Terrain,5.118,Other,16.438,,,,,,,,,,,,,,,,
Garchomp,2022-11,Earthquake,84.094,Outrage,61.940,Swords Dance,33.916,Poison Jab,25.869,Iron Head,25.559,Stealth Rock,23.787,Dragon Tail,20.096,Fire Blast,19.153,Fire Fang,17.601,Crunch,15.678,Liquidation,11.799,Spikes,11.292,Dragon Claw,10.800,Flamethrower,7.962,Rock Slide,7.568,Earth Power,7.158,Other,15.728,,
Scovillain,2022-11,Flamethrower,62.770,Substitute,55.513,Protect,54.044,Leech Seed,45.066,Solar Beam,37.822,Growth,30.201,Fire Blast,29.610,Giga Drain,23.397,Stomping Tantrum,17.497,Energy Ball,10.709,Will-O-Wisp,10.282,Sunny Day,5.689,Other,17.400,,,,,,,,,,
Glimmora,2022-11,Mortal Spin,77.136,Spikes,67.726,Stealth Rock,51.853,Memento,36.948,Sludge Wave,36.411,Earth Power,34.984,Power Gem,28.263,Light Screen,12.425,Energy Ball,11.432,Venoshock,11.144,Tera Blast,8.283,Protect,7.511,Other,15.884,,,,,,,,,,
Iron Moth,2022-11,Sludge Wave,96.760,Energy Ball,77.411,Fiery Dance,76.430,Agility,45.101,Psychic,32.453,Fire Blast,22.146,Discharge,17.830,Dazzling Gleam,13.312,Other,18.557,,,,,,,,,,,,,,,,,,
Pawmot,2022-11,Mach Punch,79.797,Ice Punch,79.530,Close Combat,62.019,Thunder Punch,60.535,Fire Punch,28.072,Double Shock,27.898,Volt Switch,20.277,Seed Bomb,10.381,Crunch,9.286,Bulk Up,9.192,Other,13.012,,,,,,,,,,,,,,
Hatterene,2022-11,Mystical Fire,98.729,Calm Mind,87.449,Draining Kiss,86.149,Psyshock,72.615,Psychic,16.153,Trick Room,15.891,Dazzling Gleam,12.173,Other,10.841,,,,,,,,,,,,,,,,,,,,
Quagsire,2022-11,Recover,99.691,Earthquake,92.035,Toxic,46.253,Stealth Rock,42.268,Yawn,38.751,Spikes,30.100,Counter,17.142,Encore,15.739,Other,18.021,,,,,,,,,,,,,,,,,,
Ting-Lu,2022-11,Earthquake,59.213,Spikes,57.296,Stealth Rock,53.966,Whirlwind,49.862,Body Press,46.423,Ruination,37.233,Heavy Slam,28.028,Protect,22.354,Taunt,19.643,Throat Chop,14.675,Other,11.307,,,,,,,,,,,,,,
Iron Hands,2022-11,Drain Punch,83.749,Ice Punch,72.386,Thunder Punch,67.027,Earthquake,49.825,Wild Charge,28.647,Fake Out,28.499,Heavy Slam,15.968,Close Combat,15.967,Swords Dance,12.125,Volt Switch,11.517,Other,14.290,,,,,,,,,,,,,,
