name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Cyclizar,2022-11,Shed Tail,99.878,Rapid Spin,71.060,Knock Off,59.657,U-turn,46.113,Taunt,29.042,Ice Spinner,13.143,Nothing,12.800,Dragon Claw,10.492,Draco Meteor,8.924,Substitute,8.133,Protect,6.081,Overheat,5.557,Dragon Tail,4.363,Body Slam,4.294,Shift Gear,3.999,Other,16.464,,,,
Shedinja,2022-11,Swords Dance,90.197,Poltergeist,67.546,Shadow Sneak,50.880,X-Scissor,38.616,Toxic,37.392,Will-O-Wisp,22.424,Shadow Claw,13.055,Night Slash,12.425,Leech Life,11.559,Protect,9.701,Secret Power,8.813,Sucker Punch,5.795,Hex,5.540,Bug Buzz,3.989,Shadow Ball,3.481,Other,18.586,,,,
Flutter Mane,2022-11,Shadow Ball,95.166,Moonblast,94.447,Calm Mind,54.722,Mystical Fire,38.716,Substitute,28.698,Psyshock,18.977,Thunderbolt,17.046,Taunt,9.042,Energy Ball,8.586,Nothing,7.037,Memento,5.736,Power Gem,5.212,Other,16.615,,,,,,,,,,
Kyurem-Black,2022-11,Fusion Bolt,99.065,Dragon Dance,97.129,Icicle Spear,96.504,Dragon Claw,25.022,Roost,24.641,Substitute,13.779,Freeze Shock,11.134,Scale Shot,11.004,Outrage,9.388,Other,12.334,,,,,,,,,,,,,,,,
Chien-Pao,2022-11,Sacred Sword,67.993,Swords Dance,63.760,Ice Spinner,63.542,Sucker Punch,57.952,Crunch,46.574,Ice Shard,38.803,Icicle Crash,25.761,Throat Chop,10.616,Psychic Fangs,8.854,Other,16.146,,,,,,,,,,,,,,,,
Roaring Moon,2022-11,Dragon Dance,86.732,Crunch,59.480,Earthquake,44.557,Dragon Claw,43.822,Iron Head,34.435,Acrobatics,32.518,Outrage,27.307,Jaw Lock,19.639,U-turn,10.984,Tera Blast,10.761,Throat Chop,9.593,Roost,7.138,Other,13.036,,,,,,,,,,
Zamazenta-Crowned,2022-11,Body Press,96.157,Iron Defense,91.692,Iron Head,79.713,Rest,48.625,Play Rough,16.602,Substitute,9.572,Wild Charge,9.002,Agility,7.592,Crunch,6.159,Heavy Slam,5.792,Stone Edge,5.044,Close Combat,3.879,Sleep Talk,3.479,Other,16.692,,,,,,,,
Palafin,2022-11,Jet Punch,81.820,Flip Turn,75.538,Close Combat,74.693,Ice Punch,45.451,Wave Crash,43.750,Drain Punch,19.533,Bulk Up,18.287,Zen Headbutt,14.719,Taunt,10.379,Other,15.831,,,,,,,,,,,,,,,,
Landorus-Therian,2022-11,Earthquake,92.942,U-turn,72.921,Stealth Rock,50.033,Defog,45.885,Knock Off,26.049,Stone Edge,24.188,Toxic,17.445,Swords Dance,15.316,Fly,9.014,Hidden Power Ice,8.608,Smack Down,8.245,Explosion,6.860,Earth Power,4.450,Other,18.044,,,,,,,,
Blaziken-Mega,2022-11,Close Combat,94.333,Swords Dance,85.958,Flare Blitz,77.646,Protect,42.543,Thunder Punch,39.086,Earthquake,25.947,Blaze Kick,16.217,Other,18.271,,,,,,,,,,,,,,,,,,,,
Toxapex,2022-11,Scald,90.701,Recover,89.597,Toxic Spikes,72.740,Haze,48.978,Baneful Bunker,36.845,Toxic,34.830,Knock Off,19.988,Other,6.320,,,,,,,,,,,,,,,,,,,,
Great Tusk,2022-11,Headlong Rush,78.874,Close Combat,77.177,Rapid Spin,63.279,Ice Spinner,51.053,Knock Off,49.657,Earthquake,21.700,Stealth Rock,17.112,Body Press,12.971,Stone Edge,9.060,Other,19.116,,,,,,,,,,,,,,,,
Clodsire,2022-11,Recover,95.376,Earthquake,90.060,Toxic,53.647,Stealth Rock,47.357,Toxic Spikes,38.144,Spikes,26.057,Poison Jab,8.532,Yawn,6.914,Haze,6.115,Curse,5.394,Gunk Shot,4.525,Other,17.880,,,,,,,,,,,,
Houndstone,2022-11,Last Respects,99.970,Shadow Sneak,67.037,Play Rough,66.608,Psychic Fangs,31.223,Body Press,25.352,Trick,20.532,Tera Blast,14.143,Substitute,12.704,Will-O-Wisp,12.414,Crunch,10.500,Destiny Bond,9.125,Nothing,5.481,Stomping Tantrum,4.646,Ice Fang,4.256,Other,16.011,,,,,,
Tyranitar,2022-11,Stone Edge,75.298,Crunch,73.198,Pursuit,47.883,Earthquake,36.086,Thunder Wave,30.126,Fire Blast,28.663,Stealth Rock,24.664,Ice Punch,19.750,Rock Blast,8.573,Rock Slide,7.126,Rest,5.211,Superpower,5.121,Fire Punch,3.676,Dragon Dance,3.635,Toxic,3.364,Brick Break,3.187,Avalanche,3.182,Dragon Claw,2.594
Genesect,2022-11,Iron Head,73.750,U-turn,57.595,Extreme Speed,53.822,Ice Beam,39.344,Blaze Kick,36.335,Shift Gear,35.384,Flamethrower,29.155,Thunderbolt,23.980,Shadow Claw,12.713,Flash Cannon,11.490,Bug Buzz,8.896,Other,17.536,,,,,,,,,,,,
Corviknight,2022-11,Roost,94.361,Defog,90.059,U-turn,71.617,Brave Bird,57.127,Body Press,38.576,Iron Head,16.765,Bulk Up,11.255,Iron Defense,8.330,Other,11.909,,,,,,,,,,,,,,,,,,
Excadrill,2022-11,Earthquake,97.640,Iron Head,88.222,Rapid Spin,61.826,Swords Dance,61.782,Rock Slide,38.088,Stealth Rock,21.142,Toxic,9.367,Brick Break,5.115,Other,16.817,,,,,,,,,,,,,,,,,,
Kingambit,2022-11,Iron Head,97.627,Sucker Punch,96.099,Swords Dance,63.814,Knock Off,51.451,Kowtow Cleave,33.004,Stone Edge,8.436,Brick Break,7.356,Tera Blast,7.289,Low Kick,6.692,Pursuit,5.583,Rock Polish,4.275,Other,18.373,,,,,,,,,,,,
Magearna,2022-11,Fleur Cannon,62.176,Volt Switch,48.825,Ice Beam,48.147,Shift Gear,46.351,Calm Mind,31.017,Stored Power,30.471,Draining Kiss,24.337,Aura Sphere,19.500,Iron Head,15.982,Focus Blast,12.289,Thunderbolt,11.961,Flash Cannon,11.760,Spikes,10.198,Hidden Power Ground,9.934,Other,17.053,,,,,,
Dragapult,2022-11,Dragon Darts,64.109,Dragon Dance,61.544,Phantom Force,55.977,Substitute,35.863,Draco Meteor,34.653,U-turn,33.732,Shadow Ball,32.389,Sucker Punch,18.147,Fire Blast,15.455,Flamethrower,13.997,Thunderbolt,9.172,Will-O-Wisp,7.881,Other,17.083,,,,,,,,,,
Tapu Koko,2022-11,U-turn,70.799,Dazzling Gleam,47.319,Taunt,46.063,Thunderbolt,45.329,Reflect,35.725,Light Screen,35.523,Roost,30.500,Volt Switch,27.391,Hidden Power Ice,20.521,Grass Knot,12.439,Defog,10.179,Other,18.214,,,,,,,,,,,,
Grimmsnarl,2022-11,Parting Shot,95.525,Taunt,74.463,Reflect,60.690,Light Screen,60.050,Spirit Break,57.261,Thunder Wave,34.038,Other,17.972,,,,,,,,,,,,,,,,,,,,,,
Glimmora,2022-11,Mortal Spin,79.087,Stealth Rock,77.156,Power Gem,42.568,Spikes,42.406,Earth Power,26.671,Memento,24.284,Spiky Shield,21.902,Toxic Spikes,19.931,Toxic,15.554,Sludge Bomb,12.142,Sludge Wave,11.242,Energy Ball,7.182,Other,19.874,,,,,,,,,,
Ditto,2022-11,Nothing,300.000,Transform,100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diancie-Mega,2022-11,Diamond Storm,91.470,Moonblast,85.929,Earth Power,73.283,Stealth Rock,67.428,Mystical Fire,34.169,Body Press,14.156,Spikes,5.934,Endeavor,5.691,Power Gem,3.779,Other,18.160,,,,,,,,,,,,,,,,
Blissey,2022-11,Soft-Boiled,95.358,Seismic Toss,82.452,Teleport,66.990,Toxic,63.856,Thunder Wave,25.905,Stealth Rock,19.922,Aromatherapy,16.541,Heal Bell,8.801,Wish,5.229,Other,14.946,,,,,,,,,,,,,,,,
