name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Sandaconda,2023-02,Earthquake,97.609,Glare,76.790,Stealth Rock,71.700,Rest,68.887,Stone Edge,31.728,Coil,20.448,Rock Slide,11.480,Body Press,10.957,Other,10.401,,,,,,,,,,,,,,,,,,
Passimian,2023-02,Knock Off,96.571,Close Combat,94.386,U-turn,92.247,Rock Slide,41.518,Earthquake,25.325,Gunk Shot,23.982,Drain Punch,6.247,Other,19.724,,,,,,,,,,,,,,,,,,,,
Goodra,2023-02,Draco Meteor,80.618,Thunderbolt,49.237,Fire Blast,41.848,Sludge Bomb,35.643,Flamethrower,35.440,Ice Beam,24.835,Dragon Tail,21.942,Dragon Pulse,19.936,Acid Spray,12.978,Hydro Pump,11.657,Earthquake,10.417,Rest,7.450,Acid Armor,6.771,Body Press,6.367,Power Whip,5.997,Surf,5.279,Focus Blast,3.882,Other,19.703
Jolteon,2023-02,Thunderbolt,96.427,Tera Blast,84.702,Volt Switch,77.083,Shadow Ball,72.646,Calm Mind,42.898,Hyper Voice,8.502,Other,17.743,,,,,,,,,,,,,,,,,,,,,,
Braviary,2023-02,Brave Bird,91.560,U-turn,70.430,Close Combat,62.619,Roost,47.198,Defog,46.554,Body Slam,19.687,Thrash,19.593,Bulk Up,10.763,Iron Head,4.796,Agility,4.586,Rock Slide,3.570,Other,18.645,,,,,,,,,,,,
Copperajah,2023-02,Stealth Rock,82.333,Earthquake,59.934,Heavy Slam,51.097,Iron Head,48.761,Whirlwind,42.548,Play Rough,33.811,Rock Slide,33.609,Protect,18.286,Superpower,8.366,Stone Edge,7.589,Other,13.665,,,,,,,,,,,,,,
Medicham,2023-02,Close Combat,80.784,Zen Headbutt,70.679,Bullet Punch,51.625,Ice Punch,48.952,Psycho Cut,23.363,Thunder Punch,17.960,Fake Out,16.996,Trick,15.989,Drain Punch,13.647,Trailblaze,12.345,Tera Blast,10.362,Poison Jab,9.923,High Jump Kick,8.330,Other,19.044,,,,,,,,
Bruxish,2023-02,Psychic Fangs,99.920,Wave Crash,75.770,Aqua Jet,72.387,Crunch,63.966,Swords Dance,28.279,Ice Fang,26.806,Liquidation,11.261,Tera Blast,7.529,Other,14.082,,,,,,,,,,,,,,,,,,
Oricorio-Pom-Pom,2023-02,Roost,92.934,Revelation Dance,83.660,Quiver Dance,60.419,Hurricane,54.193,Defog,49.563,U-turn,25.331,Air Slash,24.544,Other,9.356,,,,,,,,,,,,,,,,,,,,
Dudunsparce,2023-02,Roost,86.485,Boomburst,58.926,Calm Mind,53.622,Shadow Ball,39.890,Body Slam,26.400,Coil,24.578,Glare,16.499,Stealth Rock,12.793,Headbutt,9.790,Tera Blast,8.759,Hex,7.218,Earthquake,6.905,Rock Slide,6.095,Dragon Tail,5.535,Earth Power,5.070,Flamethrower,3.969,Ice Beam,3.861,Bite,3.063
Lycanroc,2023-02,Accelerock,93.208,Stealth Rock,71.570,Endeavor,61.278,Taunt,59.088,Close Combat,37.910,Stone Edge,31.458,Swords Dance,15.607,Play Rough,5.989,Drill Run,5.873,Other,18.018,,,,,,,,,,,,,,,,
Frosmoth,2023-02,Ice Beam,98.385,Quiver Dance,76.997,Giga Drain,60.081,Tera Blast,46.749,Bug Buzz,41.318,Defog,33.446,U-turn,22.471,Stun Spore,5.048,Other,15.503,,,,,,,,,,,,,,,,,,
Zoroark,2023-02,Dark Pulse,58.306,Flamethrower,50.020,U-turn,49.568,Knock Off,36.331,Sludge Bomb,30.497,Sucker Punch,30.291,Trick,28.404,Swords Dance,20.016,Psychic,17.108,Nasty Plot,16.522,Focus Blast,14.937,Low Kick,13.919,Night Daze,9.307,Shadow Ball,4.143,Tera Blast,3.766,Other,16.865,,,,
Vaporeon,2023-02,Wish,95.722,Protect,89.064,Surf,87.351,Calm Mind,30.599,Haze,29.016,Ice Beam,25.155,Yawn,19.604,Chilling Water,5.380,Other,18.109,,,,,,,,,,,,,,,,,,
Oricorio-Sensu,2023-02,Revelation Dance,93.320,Roost,85.568,Quiver Dance,72.176,Defog,51.961,Hurricane,48.676,Air Slash,18.905,U-turn,17.970,Other,11.424,,,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Combat,2023-02,Bulk Up,77.478,Close Combat,68.003,Trailblaze,62.324,Tera Blast,37.457,Earthquake,29.881,Stone Edge,28.579,Body Press,17.918,Raging Bull,14.072,Iron Head,12.506,Substitute,8.933,Wild Charge,8.609,Rock Slide,7.994,Protect,5.155,Zen Headbutt,4.568,Other,16.522,,,,,,
Drifblim,2023-02,Strength Sap,83.213,Defog,75.112,Will-O-Wisp,65.450,Hex,53.628,Shadow Ball,28.955,Calm Mind,16.498,Air Slash,15.583,Destiny Bond,7.475,Thunder Wave,7.317,Thunderbolt,6.233,Acrobatics,5.637,Tera Blast,4.194,Night Shade,3.843,Haze,3.603,Stored Power,3.098,Trick Room,2.881,Other,17.282,,
Mabosstiff,2023-02,Play Rough,98.055,Crunch,96.353,Psychic Fangs,70.842,Wild Charge,32.036,Facade,15.652,Destiny Bond,13.929,Outrage,12.151,Ice Fang,11.933,Jaw Lock,9.333,Fire Fang,8.398,Retaliate,5.019,Tera Blast,4.732,Sleep Talk,4.193,Other,17.374,,,,,,,,
Veluza,2023-02,Fillet Away,95.370,Aqua Cutter,93.932,Psycho Cut,89.978,Aqua Jet,57.420,Night Slash,24.280,Stored Power,8.165,Recover,7.368,Surf,4.333,Other,19.154,,,,,,,,,,,,,,,,,,
Muk,2023-02,Poison Jab,79.949,Drain Punch,74.363,Shadow Sneak,51.671,Toxic Spikes,39.541,Curse,30.866,Haze,30.122,Toxic,18.121,Ice Punch,17.989,Gunk Shot,15.027,Fire Punch,14.107,Protect,6.098,Rock Slide,4.559,Other,17.586,,,,,,,,,,
Honchkrow,2023-02,Sucker Punch,83.838,Brave Bird,81.922,U-turn,77.094,Night Slash,62.247,Taunt,23.805,Acrobatics,15.648,Drill Peck,13.738,Tera Blast,8.824,Swagger,8.818,Heat Wave,5.590,Other,18.477,,,,,,,,,,,,,,
Toxicroak,2023-02,Sucker Punch,79.863,Gunk Shot,79.668,Swords Dance,79.529,Close Combat,56.049,Drain Punch,35.964,Poison Jab,10.026,Earthquake,8.966,Sludge Bomb,7.460,Substitute,6.729,Nasty Plot,6.681,Dark Pulse,4.352,Ice Punch,3.997,Focus Blast,3.905,Other,16.811,,,,,,,,
Umbreon,2023-02,Wish,93.563,Foul Play,91.990,Protect,89.144,Yawn,50.271,Thunder Wave,20.849,Curse,12.423,Taunt,9.544,Calm Mind,7.252,Dark Pulse,4.517,Moonlight,4.450,Other,15.997,,,,,,,,,,,,,,
Chansey,2023-02,Soft-Boiled,99.275,Seismic Toss,93.725,Stealth Rock,73.447,Thunder Wave,65.801,Calm Mind,15.009,Stored Power,13.549,Healing Wish,8.840,Shadow Ball,6.642,Dazzling Gleam,5.965,Other,17.747,,,,,,,,,,,,,,,,
Qwilfish,2023-02,Liquidation,62.571,Spikes,60.383,Toxic Spikes,51.351,Taunt,39.348,Poison Jab,25.868,Thunder Wave,23.698,Toxic,22.279,Aqua Jet,21.259,Gunk Shot,17.681,Destiny Bond,14.999,Waterfall,13.285,Protect,12.999,Swords Dance,8.333,Rest,6.361,Other,19.584,,,,,,
