name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Quaxwell,2023-03,Rapid Spin,99.909,Roost,91.083,Liquidation,89.426,Brave Bird,57.327,Encore,29.760,Aqua Jet,19.776,Other,12.719,,,,,,,,,,,,,,,,,,,,,,
Magneton,2023-03,Flash Cannon,99.055,Volt Switch,87.953,Thunderbolt,84.135,Tera Blast,81.056,Thunder Wave,19.307,Sleep Talk,5.070,Rest,4.329,Other,19.097,,,,,,,,,,,,,,,,,,,,
Skuntank,2023-03,Sucker Punch,73.453,Crunch,65.668,Toxic Spikes,59.033,Gunk Shot,53.715,Toxic,27.795,Poison Jab,24.255,Taunt,21.621,Protect,16.548,Dark Pulse,9.004,Sludge Bomb,7.863,Fire Blast,6.241,Nasty Plot,6.178,Flamethrower,5.722,Explosion,5.208,Other,17.694,,,,,,
Houndoom,2023-03,Dark Pulse,99.002,Flamethrower,69.727,Nasty Plot,45.657,Sucker Punch,36.461,Fire Blast,35.244,Overheat,34.281,Sludge Bomb,25.977,Tera Blast,13.042,Destiny Bond,10.007,Trailblaze,9.133,Will-O-Wisp,2.970,Other,18.499,,,,,,,,,,,,
Gabite,2023-03,Earthquake,99.448,Stealth Rock,86.314,Dragon Tail,80.515,Swords Dance,36.666,Stone Edge,25.886,Rest,19.103,Sleep Talk,11.393,Dragon Claw,10.324,Rock Slide,7.644,Rock Tomb,6.542,Other,16.164,,,,,,,,,,,,,,
Lycanroc-Midnight,2023-03,Stone Edge,96.760,Close Combat,93.447,Stomping Tantrum,35.630,Play Rough,35.519,Stealth Rock,33.661,Rock Blast,16.197,Crunch,15.058,Taunt,11.386,Trailblaze,10.894,Iron Head,8.926,Swords Dance,8.259,Psychic Fangs,7.748,Fire Punch,4.315,Endeavor,4.192,Other,18.008,,,,,,
Perrserker,2023-03,Iron Head,99.117,Close Combat,82.841,U-turn,79.786,Stealth Rock,49.474,Fake Out,32.051,Swords Dance,9.927,Crunch,9.875,Play Rough,8.694,Seed Bomb,7.797,Taunt,3.765,Other,16.672,,,,,,,,,,,,,,
Crabominable,2023-03,Drain Punch,89.761,Ice Hammer,79.010,Thunder Punch,57.654,Earthquake,39.328,Close Combat,26.504,Bulk Up,23.500,Ice Punch,20.007,Crabhammer,14.522,Substitute,8.124,Protect,7.055,Rest,6.094,Gunk Shot,5.896,Sleep Talk,5.758,Other,16.788,,,,,,,,
Misdreavus,2023-03,Will-O-Wisp,63.867,Draining Kiss,49.126,Pain Split,48.163,Shadow Ball,46.269,Hex,45.983,Calm Mind,31.457,Taunt,28.541,Nasty Plot,26.292,Thunder Wave,14.736,Thunderbolt,12.777,Foul Play,6.013,Substitute,5.764,Power Gem,5.327,Other,15.684,,,,,,,,
Haunter,2023-03,Sludge Bomb,89.842,Shadow Ball,87.054,Trick,38.520,Focus Blast,35.832,Dazzling Gleam,24.510,Substitute,21.393,Nasty Plot,19.479,Thunderbolt,14.906,Hex,14.617,Destiny Bond,12.710,Will-O-Wisp,6.623,Toxic Spikes,6.562,Energy Ball,5.608,Tera Blast,5.245,Other,17.098,,,,,,
