name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Haxorus,2023-01,Earthquake,80.898,Dragon Dance,66.854,Iron Head,59.476,Outrage,55.000,Dragon Claw,42.678,Close Combat,29.894,First Impression,25.363,Poison Jab,17.106,Swords Dance,10.601,Other,12.130,,,,,,,,,,,,,,,,
Lycanroc-Dusk,2023-01,Accelerock,95.091,Close Combat,77.637,Stone Edge,41.691,Crunch,41.226,Swords Dance,29.808,Stealth Rock,27.963,Taunt,23.077,Endeavor,17.883,Psychic Fangs,13.384,Play Rough,13.234,Other,19.004,,,,,,,,,,,,,,
Espeon,2023-01,Dazzling Gleam,71.289,Shadow Ball,58.142,Psyshock,55.869,Psychic,51.256,Calm Mind,40.922,Trick,25.252,Morning Sun,17.479,Draining Kiss,15.170,Reflect,13.241,Light Screen,13.000,Yawn,11.691,Grass Knot,7.057,Other,19.632,,,,,,,,,,
Slowbro,2023-01,Slack Off,77.437,Future Sight,59.652,Surf,57.829,Thunder Wave,30.217,Body Press,29.174,Ice Beam,21.926,Psyshock,19.263,Flamethrower,14.762,Psychic,14.683,Yawn,13.418,Hydro Pump,11.883,Calm Mind,11.589,Chilling Water,10.402,Iron Defense,7.992,Other,19.771,,,,,,
Magnezone,2023-01,Flash Cannon,95.863,Volt Switch,95.213,Thunderbolt,82.915,Tera Blast,51.897,Body Press,36.054,Discharge,9.838,Iron Defense,6.237,Steel Beam,4.399,Other,17.585,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Blaze,2023-01,Raging Bull,93.604,Close Combat,59.807,Bulk Up,53.866,Will-O-Wisp,40.011,Body Press,33.854,Earthquake,24.695,Trailblaze,22.214,Wild Charge,11.214,Flare Blitz,10.920,Flame Charge,10.745,Protect,9.585,Endure,5.426,Reversal,5.262,Other,18.797,,,,,,,,
Toxtricity,2023-01,Boomburst,99.155,Overdrive,95.440,Sludge Bomb,58.960,Volt Switch,57.701,Shift Gear,41.156,Snarl,14.469,Drain Punch,13.708,Other,19.411,,,,,,,,,,,,,,,,,,,,
Gardevoir,2023-01,Moonblast,99.216,Trick,72.362,Psyshock,48.784,Psychic,47.587,Mystical Fire,39.056,Healing Wish,31.319,Focus Blast,13.630,Aura Sphere,8.903,Energy Ball,7.696,Thunderbolt,6.700,Shadow Ball,4.717,Destiny Bond,3.523,Other,16.507,,,,,,,,,,
Tatsugiri,2023-01,Rapid Spin,97.090,Surf,79.842,Nasty Plot,78.428,Draco Meteor,69.629,Dragon Pulse,34.742,Hydro Pump,20.527,Other,19.742,,,,,,,,,,,,,,,,,,,,,,
Krookodile,2023-01,Earthquake,99.919,Crunch,87.772,Close Combat,59.126,Stealth Rock,46.885,Taunt,30.585,Stone Edge,26.710,Gunk Shot,19.129,Bulk Up,4.955,Fire Fang,3.508,Hone Claws,3.068,Other,18.343,,,,,,,,,,,,,,
Flamigo,2023-01,Close Combat,99.985,Brave Bird,99.358,U-turn,98.623,Throat Chop,46.695,Liquidation,18.055,Copycat,7.842,Facade,7.697,Tailwind,5.733,Other,16.012,,,,,,,,,,,,,,,,,,
Weavile,2023-01,Night Slash,85.163,Ice Shard,82.565,Ice Spinner,59.195,Swords Dance,57.771,Icicle Crash,37.089,Low Kick,25.526,Poison Jab,15.814,Beat Up,15.675,Brick Break,15.310,Other,5.893,,,,,,,,,,,,,,,,
Cloyster,2023-01,Icicle Spear,97.534,Shell Smash,96.416,Rock Blast,83.937,Liquidation,35.391,Hydro Pump,23.729,Ice Shard,19.552,Tera Blast,14.366,Drill Run,8.739,Waterfall,6.789,Other,13.549,,,,,,,,,,,,,,,,
Mudsdale,2023-01,Earthquake,94.812,Stealth Rock,93.117,Body Press,89.874,Roar,47.331,Protect,27.568,Heavy Slam,12.235,Rock Tomb,9.442,Stone Edge,8.393,Other,17.228,,,,,,,,,,,,,,,,,,
Heracross,2023-01,Close Combat,97.411,Megahorn,57.148,Trailblaze,43.752,Facade,34.209,Stone Edge,28.426,Earthquake,28.412,Throat Chop,25.172,Rock Blast,18.532,Pin Missile,12.835,Spikes,12.667,Swords Dance,10.721,Night Slash,8.886,Bullet Seed,8.482,Other,13.347,,,,,,,,
Bellibolt,2023-01,Parabolic Charge,81.986,Slack Off,74.026,Volt Switch,70.826,Muddy Water,45.698,Soak,36.276,Acid Spray,19.071,Chilling Water,14.151,Charge Beam,13.972,Thunder Wave,9.798,Thunderbolt,9.356,Discharge,6.742,Other,18.098,,,,,,,,,,,,
Altaria,2023-01,Roost,97.701,Defog,95.219,Will-O-Wisp,57.010,Hurricane,24.258,Fire Spin,23.675,Haze,20.119,Perish Song,18.598,Brave Bird,16.825,Draco Meteor,8.464,Dragon Breath,7.619,Flamethrower,6.965,Earthquake,4.105,Other,19.443,,,,,,,,,,
Arcanine,2023-01,Flare Blitz,82.000,Extreme Speed,77.354,Close Combat,57.733,Morning Sun,49.375,Will-O-Wisp,37.663,Wild Charge,36.082,Roar,16.676,Flamethrower,11.799,Play Rough,9.834,Psychic Fangs,5.381,Other,16.103,,,,,,,,,,,,,,
Palossand,2023-01,Earth Power,98.952,Shore Up,96.871,Stealth Rock,93.293,Shadow Ball,80.245,Chilling Water,9.162,Night Shade,4.695,Other,16.782,,,,,,,,,,,,,,,,,,,,,,
Sableye,2023-01,Knock Off,78.712,Encore,73.162,Will-O-Wisp,66.002,Recover,64.036,Reflect,33.070,Light Screen,33.070,Taunt,23.396,Foul Play,12.029,Other,16.522,,,,,,,,,,,,,,,,,,
