name,snapshot,move1,usage1,move2,usage2,move3,usage3,move4,usage4,move5,usage5,move6,usage6,move7,usage7,move8,usage8,move9,usage9,move10,usage10,move11,usage11,move12,usage12,move13,usage13,move14,usage14,move15,usage15,move16,usage16,move17,usage17,move18,usage18
Tinkaton,2022-12,Gigaton Hammer,98.597,Knock Off,89.380,Stealth Rock,70.623,Encore,43.450,Swords Dance,40.091,Thunder Wave,20.850,Play Rough,18.289,Other,18.721,,,,,,,,,,,,,,,,,,,,
Hydreigon,2022-12,Dark Pulse,97.739,Draco Meteor,49.486,Earth Power,36.641,Nasty Plot,32.013,Stealth Rock,30.424,Flash Cannon,29.136,Flamethrower,28.581,Taunt,28.078,U-turn,25.249,Substitute,20.776,Fire Blast,12.392,Other,9.485,,,,,,,,,,,,
Azumarill,2022-12,Aqua Jet,99.972,Play Rough,99.782,Belly Drum,64.909,Liquidation,44.450,Trailblaze,36.643,Ice Spinner,28.302,Superpower,12.366,Other,13.576,,,,,,,,,,,,,,,,,,,,
Armarouge,2022-12,Armor Cannon,94.428,Calm Mind,55.340,Endure,51.634,Energy Ball,50.548,Expanding Force,22.381,Psychic,18.559,Aura Sphere,18.310,Psyshock,14.447,Trick,12.631,Focus Blast,12.406,Stored Power,10.410,Iron Defense,6.500,Shadow Ball,5.314,Dark Pulse,4.969,Tera Blast,4.719,Other,17.403,,,,
Sandy Shocks,2022-12,Earth Power,99.297,Volt Switch,81.359,Thunderbolt,61.110,Tera Blast,51.967,Stealth Rock,46.200,Spikes,25.226,Power Gem,14.849,Other,19.992,,,,,,,,,,,,,,,,,,,,
Slither Wing,2022-12,Close Combat,97.791,First Impression,93.758,U-turn,88.618,Wild Charge,42.970,Flare Blitz,31.590,Earthquake,14.220,Leech Life,10.947,Flame Charge,4.222,Other,15.882,,,,,,,,,,,,,,,,,,
Espathra,2022-12,Calm Mind,97.207,Stored Power,95.732,Dazzling Gleam,72.426,Protect,43.897,Roost,39.614,Tera Blast,26.363,Substitute,15.334,Other,9.428,,,,,,,,,,,,,,,,,,,,
Grafaiai,2022-12,Knock Off,93.073,Gunk Shot,76.287,Encore,49.134,Parting Shot,46.749,Tera Blast,46.414,Swagger,43.431,Toxic,14.991,Taunt,5.374,U-turn,5.023,Other,19.524,,,,,,,,,,,,,,,,
Mimikyu,2022-12,Play Rough,98.384,Shadow Sneak,97.813,Swords Dance,96.880,Wood Hammer,62.957,Shadow Claw,23.626,Drain Punch,13.629,Other,6.711,,,,,,,,,,,,,,,,,,,,,,
Gengar,2022-12,Shadow Ball,95.343,Sludge Bomb,92.112,Focus Blast,49.905,Trick,49.283,Nasty Plot,20.636,Thunderbolt,13.639,Dazzling Gleam,12.863,Substitute,11.535,Energy Ball,10.204,Destiny Bond,8.927,Toxic Spikes,7.795,Hex,5.509,Giga Drain,4.377,Other,17.874,,,,,,,,
Talonflame,2022-12,Roost,87.824,Will-O-Wisp,72.877,Defog,71.084,Brave Bird,66.790,U-turn,35.525,Flare Blitz,28.668,Flamethrower,16.377,Swords Dance,6.009,Other,14.845,,,,,,,,,,,,,,,,,,
Hatterene,2022-12,Draining Kiss,83.818,Calm Mind,79.070,Mystical Fire,60.110,Psyshock,58.265,Trick Room,22.687,Psychic,19.249,Nuzzle,18.008,Dazzling Gleam,14.931,Healing Wish,13.326,Stored Power,12.350,Other,18.185,,,,,,,,,,,,,,
Donphan,2022-12,Earthquake,99.183,Rapid Spin,96.749,Knock Off,74.531,Stealth Rock,73.151,Ice Shard,34.998,Ice Spinner,9.125,Other,12.263,,,,,,,,,,,,,,,,,,,,,,
Bisharp,2022-12,Sucker Punch,99.998,Iron Head,98.629,Swords Dance,91.885,Night Slash,63.675,Stealth Rock,15.829,Brick Break,9.469,Low Kick,7.153,Other,13.362,,,,,,,,,,,,,,,,,,,,
Iron Jugulis,2022-12,Dark Pulse,97.828,Hurricane,87.402,Flash Cannon,56.221,Charge Beam,50.321,U-turn,27.389,Flamethrower,23.712,Earth Power,16.808,Fire Blast,15.960,Air Slash,10.313,Other,14.045,,,,,,,,,,,,,,,,
Rotom-Wash,2022-12,Hydro Pump,99.936,Volt Switch,97.559,Will-O-Wisp,88.525,Trick,45.195,Protect,21.537,Nasty Plot,16.564,Thunderbolt,8.869,Discharge,5.500,Other,16.315,,,,,,,,,,,,,,,,,,
Salamence,2022-12,Earthquake,82.723,Dragon Dance,68.744,Dual Wingbeat,66.024,Outrage,36.754,Iron Head,36.464,Dragon Claw,29.191,Roost,26.966,Draco Meteor,12.081,Hurricane,10.695,Fire Blast,6.439,Flamethrower,5.749,Other,18.169,,,,,,,,,,,,
Quagsire,2022-12,Recover,99.956,Earthquake,90.014,Toxic,82.519,Stealth Rock,40.997,Spikes,21.560,Toxic Spikes,17.730,Haze,14.107,Protect,8.811,Liquidation,6.248,Other,18.058,,,,,,,,,,,,,,,,
Pelipper,2022-12,U-turn,98.944,Hurricane,91.197,Roost,82.150,Surf,53.784,Hydro Pump,19.650,Knock Off,18.470,Tailwind,18.461,Other,17.344,,,,,,,,,,,,,,,,,,,,
Gallade,2022-12,Sacred Sword,97.464,Psycho Cut,95.674,Leaf Blade,72.020,Night Slash,28.264,Agility,26.069,Shadow Sneak,18.752,Knock Off,18.029,Aqua Cutter,9.842,Trick,9.081,Swords Dance,8.915,Other,15.889,,,,,,,,,,,,,,
Forretress,2022-12,Rapid Spin,92.911,Stealth Rock,73.121,Volt Switch,59.856,Gyro Ball,39.173,Spikes,36.882,Body Press,25.430,Toxic Spikes,19.721,Explosion,16.287,Iron Head,14.437,Thunder Wave,7.639,Other,14.543,,,,,,,,,,,,,,
Slowking,2022-12,Chilly Reception,94.757,Slack Off,80.495,Future Sight,76.932,Surf,65.026,Ice Beam,17.836,Thunder Wave,13.948,Yawn,13.518,Chilling Water,9.717,Psychic,7.194,Flamethrower,6.948,Other,13.630,,,,,,,,,,,,,,
Pawmot,2022-12,Revival Blessing,78.497,Close Combat,74.340,Double Shock,68.520,Mach Punch,47.569,Ice Punch,36.540,Thunder Punch,32.710,Volt Switch,15.979,Seed Bomb,12.211,Encore,7.300,Nuzzle,6.853,Other,19.480,,,,,,,,,,,,,,
Kilowattrel,2022-12,Hurricane,95.830,Volt Switch,83.111,Weather Ball,63.125,Thunder,62.861,Thunderbolt,30.957,U-turn,16.078,Tera Blast,10.563,Thunder Wave,9.428,Tailwind,5.808,Protect,5.613,Other,16.625,,,,,,,,,,,,,,
