name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Roaring Moon,2022-11,Adamant,34.945,0,252,0,0,4,252,Adamant,19.332,4,252,0,0,0,252,Jolly,15.888,0,252,0,0,4,252,Jolly,6.355,32,220,0,0,4,252,Lonely,5.198,0,252,0,4,0,252,Jolly,4.468,0,220,0,0,36,252
Garganacl,2022-11,Careful,44.02,252,0,252,0,4,0,Impish,23.432,252,4,252,0,0,0,Careful,17.264,252,4,0,0,252,0,Impish,2.749,252,4,160,0,92,0,Careful,2.725,252,0,4,0,252,0,Impish,2.089,252,0,252,0,0,4
Chi-Yu,2022-11,Timid,46.816,0,0,0,252,4,252,Modest,19.553,0,0,0,252,4,252,Timid,17.393,4,0,0,252,0,252,Modest,6.017,4,0,0,252,0,252,Modest,3.473,252,0,0,252,4,0,Mild,2.908,60,20,52,200,0,176
Great Tusk,2022-11,Adamant,47.929,252,4,0,0,0,252,Jolly,17.909,0,252,0,0,4,252,Adamant,12.553,4,252,0,0,252,0,Adamant,9.236,252,252,0,0,4,0,Jolly,3.743,4,0,0,0,252,252,Adamant,3.399,252,252,0,0,0,4
Brute Bonnet,2022-11,Adamant,48.195,252,252,4,0,0,0,Adamant,20.228,252,252,0,0,0,4,Adamant,11.593,252,252,0,0,4,0,Relaxed,6.405,252,4,252,0,0,0,Impish,4.479,252,4,236,0,16,0,Brave,4.181,252,252,0,4,0,0
Iron Hands,2022-11,Adamant,80.615,248,252,0,0,8,0,Adamant,4.586,252,252,0,0,4,0,Adamant,3.622,252,232,0,0,24,0,Brave,3.166,248,252,0,0,8,0,Adamant,2.136,128,112,132,0,92,44,Jolly,1.552,248,252,0,0,8,0
Gholdengo,2022-11,Timid,74.544,0,0,0,252,4,252,Modest,7.951,0,0,0,252,4,252,Bold,4.836,252,0,252,0,4,0,Modest,4.384,252,0,0,252,4,0,Timid,3.483,0,0,4,252,0,252,,,,,,,,
Chien-Pao,2022-11,Jolly,54.283,0,252,0,0,4,252,Naive,22.785,0,252,0,4,0,252,Jolly,9.272,4,252,0,0,0,252,Adamant,6.578,4,252,0,0,0,252,Adamant,3.571,0,252,0,0,4,252,,,,,,,,
Magnezone,2022-11,Modest,56.676,0,0,0,252,4,252,Modest,15.96,200,0,0,252,0,56,Modest,8.508,252,0,4,252,0,0,Modest,7.349,4,0,0,252,0,252,Modest,4.997,0,0,4,252,0,252,Modest,3.367,0,0,0,252,0,252
Maushold,2022-11,Jolly,49.725,0,252,0,0,4,252,Adamant,22.762,0,252,0,0,4,252,Hasty,7.801,0,252,0,4,0,252,Jolly,3.48,0,252,4,0,0,252,Jolly,3.112,4,252,0,0,0,252,Adamant,2.92,0,252,0,0,0,252
Flutter Mane,2022-11,Timid,68.73,0,0,0,252,4,252,Modest,20.382,0,0,0,252,4,252,Modest,3.019,4,0,0,252,0,252,Timid,1.771,4,0,0,252,0,252,Modest,1.729,0,0,4,252,0,252,,,,,,,,
Dragapult,2022-11,Timid,30.596,0,0,0,252,4,252,Jolly,21.897,4,252,0,0,0,252,Timid,16.011,0,0,4,252,0,252,Lonely,7.668,0,252,0,4,0,252,Adamant,7.229,0,252,0,0,0,252,Jolly,4.56,0,252,0,0,4,252
Iron Valiant,2022-11,Jolly,21.387,0,252,0,0,4,252,Jolly,21.28,24,252,0,0,0,232,Adamant,9.281,0,252,4,0,0,252,Jolly,9.111,248,8,0,0,0,252,Jolly,8.578,0,252,0,0,0,252,Jolly,7.471,40,252,0,0,0,216
Iron Bundle,2022-11,Timid,71.504,0,0,0,252,4,252,Modest,10.128,0,0,0,252,4,252,Modest,7.516,4,0,0,252,0,252,Modest,3.734,0,0,112,252,0,144,Timid,1.646,4,0,0,252,0,252,Modest,1.521,0,0,4,252,0,252
Mimikyu,2022-11,Brave,30.569,248,252,8,0,0,0,Adamant,18.663,4,252,0,0,0,252,Jolly,10.978,244,12,0,0,0,252,Adamant,9.757,252,252,0,0,0,4,Jolly,8.755,0,252,0,0,4,252,Jolly,5.871,0,252,0,4,0,252
Ting-Lu,2022-11,Hardy,57.462,252,56,200,0,0,0,Adamant,23.984,252,252,0,0,4,0,Adamant,7.144,252,252,4,0,0,0,Impish,4.236,252,0,124,0,130,0,Brave,3.057,252,252,4,0,0,0,,,,,,,,
Baxcalibur,2022-11,Jolly,51.274,4,252,0,0,0,252,Adamant,15.652,0,252,0,0,4,252,Hardy,9.144,4,252,0,0,0,252,Adamant,6.891,4,252,0,0,0,252,Naive,5.31,0,252,0,4,0,252,Jolly,5.303,0,252,0,0,4,252
Scream Tail,2022-11,Bold,50.001,20,0,252,0,236,0,Timid,14.298,0,0,0,252,4,252,Impish,9.607,0,0,252,0,100,156,Timid,7.818,252,0,192,0,64,0,Timid,6.974,252,0,0,4,0,252,Timid,4.45,252,0,0,0,4,252
Tinkaton,2022-11,Jolly,48.321,0,252,0,0,4,252,Timid,23.99,0,0,0,252,4,252,Modest,13.49,0,252,0,0,0,252,Adamant,3.495,252,252,0,0,0,4,Adamant,3.453,0,252,252,0,4,0,Adamant,2.929,252,252,4,0,0,0
Skeledirge,2022-11,Modest,35.93,248,0,0,252,8,0,Bold,20.893,248,0,252,0,8,0,Modest,8.841,252,0,4,252,0,0,Quiet,5.473,252,4,0,252,0,0,Modest,5.166,248,0,152,108,0,0,Modest,4.068,4,0,252,252,0,0
Iron Moth,2022-11,Timid,48.672,0,0,0,252,4,252,Modest,27.904,0,0,0,252,4,252,Timid,9.625,0,0,124,132,0,252,Timid,3.388,0,0,0,132,124,252,Timid,2.952,4,0,0,252,0,252,Modest,2.648,0,0,0,252,0,252
Garchomp,2022-11,Adamant,62.437,16,112,244,0,0,136,Impish,12.317,252,4,252,0,0,0,Jolly,7.63,0,252,0,0,0,252,Adamant,6.019,16,252,0,0,0,240,Jolly,4.479,0,252,0,0,4,252,Adamant,3.842,40,252,80,0,80,56
Sableye,2022-11,Calm,56.816,252,0,40,0,216,0,Bold,13.588,244,0,200,0,56,8,Bold,13.435,252,0,252,0,4,0,Careful,8.775,252,0,4,0,252,0,Adamant,1.971,248,252,0,0,8,0,Bold,1.89,252,0,120,0,136,0
Dragonite,2022-11,Jolly,39.958,44,252,0,0,0,212,Adamant,29.216,0,252,0,0,4,252,Adamant,9.751,252,252,4,0,0,0,Jolly,6.244,252,24,0,0,0,232,Jolly,6.062,252,0,0,0,4,252,Jolly,2.866,252,0,0,0,40,216
Sylveon,2022-11,Modest,73.244,204,0,224,80,0,0,Modest,16.326,0,0,232,252,0,24,Modest,5.321,0,0,0,252,4,252,Modest,4.151,252,0,0,252,4,0,,,,,,,,,,,,,,,,
Dondozo,2022-11,Impish,73.864,252,4,252,0,0,0,Adamant,13.642,248,252,4,0,4,0,Impish,6.433,4,0,252,0,252,0,Impish,2.543,248,8,252,0,0,0,,,,,,,,,,,,,,,,
Breloom,2022-11,Jolly,36.025,0,252,0,0,4,252,Jolly,32.983,252,4,0,0,0,252,Jolly,8.199,0,252,4,0,0,252,Adamant,5.15,4,252,252,0,0,0,Impish,4.736,248,8,252,0,0,0,Jolly,3.136,0,252,0,0,0,25
Annihilape,2022-11,Jolly,43.384,0,252,0,0,4,252,Adamant,10.603,4,252,0,0,0,252,Adamant,8.066,252,252,0,0,0,4,Adamant,7.968,252,252,0,0,4,0,Adamant,6.905,248,252,0,0,8,0,Adamant,5.958,0,252,0,0,4,252
Dudunsparce,2022-11,Careful,37.773,252,4,0,0,252,0,Adamant,25.762,252,252,0,0,4,0,Adamant,23.112,4,252,252,0,0,0,Modest,8.007,252,0,0,252,4,0,Jolly,1.664,252,252,0,0,0,4,,,,,,,,
Ceruledge,2022-11,Jolly,70.98,0,252,0,0,4,252,Jolly,11.135,52,252,0,0,0,204,Jolly,10.031,4,252,0,0,0,252,Adamant,4.222,252,252,0,0,4,0,,,,,,,,,,,,,,,,
Grafaiai,2022-11,Calm,88.98,252,0,4,0,252,0,Jolly,5.772,204,52,0,0,0,252,Jolly,5.232,56,252,116,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,
Wo-Chien,2022-11,Calm,86.333,252,0,0,4,252,0,Bold,6.805,252,0,252,0,4,0,Impish,4.158,252,4,252,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Meowscarada,2022-11,Hasty,42.231,0,252,0,4,0,252,Jolly,32.202,0,252,0,0,4,252,Jolly,14.413,4,252,0,0,0,252,Adamant,7.342,4,252,0,0,0,252,,,,,,,,,,,,,,,,
Corviknight,2022-11,Bold,42.221,248,0,252,0,8,0,Impish,25.346,116,0,0,0,184,208,Careful,20.46,56,0,200,0,252,0,Hardy,6.552,252,0,0,0,4,252,Calm,4.224,248,0,8,0,252,0,,,,,,,,
Armarouge,2022-11,Modest,47.16,252,0,0,252,4,0,Hardy,24.052,4,0,0,252,0,252,Calm,14.593,92,0,0,0,252,164,Hardy,6.715,0,0,56,0,216,236,Modest,2.998,4,0,0,252,0,252,,,,,,,,
Orthworm,2022-11,Impish,57.27,248,8,252,0,0,0,Impish,35.035,252,4,252,0,0,0,Relaxed,5.162,252,0,252,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,
Cetitan,2022-11,Adamant,51.006,248,252,0,0,8,0,Naughty,35.968,248,252,0,8,0,0,Adamant,5.423,0,252,0,0,20,236,Adamant,2.405,252,252,0,0,4,0,Adamant,1.311,6,252,0,0,0,252,,,,,,,,
Gallade,2022-11,Jolly,73.927,0,252,0,0,4,252,Impish,20.15,0,252,252,0,4,0,Adamant,5.751,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,
Bombirdier,2022-11,Jolly,69.258,0,252,0,0,4,252,Jolly,28.624,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingambit,2022-11,Adamant,83.977,252,252,0,0,4,0,Careful,8.54,252,0,4,0,252,0,Adamant,6.302,252,252,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,
Espathra,2022-11,Modest,38.897,4,0,0,252,0,252,Timid,38.442,0,0,0,252,0,252,Timid,12.738,0,0,0,252,4,252,Modest,9.918,0,0,0,252,4,252,,,,,,,,,,,,,,,,
Cloyster,2022-11,Adamant,49.387,0,252,0,0,4,252,Hardy,25.796,20,116,0,120,0,252,Bold,14.18,248,0,252,8,0,0,Hardy,5.736,168,88,0,0,0,252,,,,,,,,,,,,,,,,
Tauros-Paldea-Fire,2022-11,Impish,99.696,252,4,252,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
