name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Equilibra,2022-12,Modest,51.016,252,0,96,0,160,0,Modest,47.782,252,0,100,12,132,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venomicon-Epilogue,2022-12,Jolly,75.408,0,252,0,0,4,252,Jolly,24.373,0,252,4,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arghonaut,2022-12,Careful,55.491,252,0,48,0,208,0,Sassy,13.673,252,4,0,0,252,0,Bold,12.867,248,0,252,0,8,0,Careful,10.178,252,4,0,0,252,0,Adamant,7.14,252,252,0,0,4,0,,,,,,,,
Snaelstrom,2022-12,Careful,81.879,252,0,56,0,200,0,Impish,14.693,132,0,176,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroak,2022-12,Modest,84.861,0,0,8,252,248,0,Modest,10.827,248,0,0,252,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi-Yu,2022-12,Timid,58.454,0,0,0,252,4,252,Modest,41.546,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glimmora,2022-12,Naive,99.578,0,4,0,252,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenankh,2022-12,Brave,60.558,248,252,0,8,0,0,Careful,23.698,248,8,0,0,252,0,Adamant,15.744,248,252,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,
Hatterene,2022-12,Modest,65.103,252,0,0,252,4,0,Quiet,34.897,252,0,0,252,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,2022-12,Lonely,72.978,0,252,0,4,0,252,Timid,27.022,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbao,2022-12,Timid,96.522,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimmsnarl,2022-12,Careful,73.407,252,4,0,0,252,0,Impish,26.593,252,0,160,0,88,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Tusk,2022-12,Jolly,64.546,0,252,0,0,4,252,Careful,35.454,252,4,0,0,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-12,Jolly,70.182,32,220,4,0,0,252,Adamant,29.818,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dondozo,2022-12,Careful,78.274,252,0,4,0,252,0,Impish,21.726,248,8,252,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venomicon,2022-12,Quiet,47.987,252,0,0,252,4,0,Calm,45.161,252,0,0,4,252,0,Bold,2.493,252,0,252,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Tomohawk,2022-12,Bold,98.786,252,0,252,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribolt,2022-12,Jolly,98.794,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annihilape,2022-12,Adamant,100,252,252,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-12,Naive,100,0,252,0,4,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garchomp,2022-12,Jolly,100,252,0,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,2022-12,Adamant,100,0,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowking,2022-12,Calm,100,252,0,0,4,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromera,2022-12,Timid,100,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxcalibur,2022-12,Jolly,100,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saharaja,2022-12,Adamant,58.466,248,252,0,0,8,0,Careful,41.534,248,0,0,0,252,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scovillain,2022-12,Modest,100,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syclant,2022-12,Jolly,100,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gholdengo,2022-12,Timid,100,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratagem,2022-12,Timid,99.501,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeledirge,2022-12,Calm,53.639,84,0,168,0,248,8,Calm,42.534,248,0,0,8,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mollux,2022-12,Calm,98.641,252,0,0,4,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerfluffle,2022-12,Timid,100,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fidgit,2022-12,Serious,78.66,252,0,0,0,4,252,Jolly,13.816,252,0,120,0,0,136,Timid,7.523,252,0,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,
Kingambit,2022-12,Brave,100,252,252,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Hands,2022-12,Brave,100,248,252,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Shocks,2022-12,Timid,100,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krilowatt,2022-12,Timid,92.473,0,0,0,252,4,252,Jolly,7.527,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cawmodore,2022-12,Jolly,88.826,4,252,0,0,0,252,Naive,6.338,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurumoth,2022-12,Timid,92.727,0,0,4,252,0,252,Timid,5.393,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,2022-12,Jolly,100,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclizar,2022-12,Jolly,91.57,252,4,0,0,0,252,Jolly,6.533,248,8,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torkoal,2022-12,Bold,100,248,0,252,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaquaval,2022-12,Adamant,100,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawmot,2022-12,Jolly,100,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garganacl,2022-12,Careful,100,252,4,0,0,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrolotl,2022-12,Naive,47.678,0,252,0,4,0,252,Adamant,22.549,0,252,0,0,4,252,Naive,19.612,0,228,0,88,0,192,Jolly,5.309,28,0,112,0,116,252,,,,,,,,,,,,,,,,
Smokomodo,2022-12,Adamant,56.628,0,252,0,0,4,252,Timid,43.372,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haxorus,2022-12,Jolly,100,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blissey,2022-12,Bold,100,252,0,252,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkraken,2022-12,Modest,35.34,252,0,0,252,4,0,Modest,31.687,36,0,0,252,4,216,Timid,14.369,0,0,0,252,4,252,Quiet,12.852,64,0,100,252,92,0,Timid,2.929,4,0,0,252,0,252,,,,,,,,
Colossoil,2022-12,Adamant,76.506,252,252,0,0,4,0,Jolly,23.494,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclohm,2022-12,Timid,94.786,0,0,0,252,4,252,Modest,5.214,4,0,252,252,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucibelle,2022-12,Adamant,100,248,252,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasmanta,2022-12,Timid,100,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitsunoh,2022-12,Jolly,88.398,0,252,0,0,4,252,Adamant,11.602,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necturna,2022-12,Careful,100,252,4,0,0,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pajantom,2022-12,Jolly,100,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naviathan,2022-12,Adamant,100,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaconda,2022-12,Adamant,73.927,4,252,0,0,252,0,Careful,26.073,252,4,0,0,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voodoom,2022-12,Timid,83.576,0,0,0,252,4,252,Timid,16.424,4,0,0,252,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
