name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Flutter Mane,2022-11,Timid,31.206,0,0,0,252,4,252,Timid,17.619,4,0,0,252,0,252,Modest,12.329,0,0,0,252,4,252,Timid,11.348,0,0,4,252,0,252,Modest,9.09,4,0,0,252,0,252,Timid,3.656,0,0,0,252,0,252
Torkoal,2022-11,Quiet,33.13,252,0,0,252,4,0,Quiet,7.841,252,0,4,252,0,0,Modest,5.427,248,0,0,252,8,0,Relaxed,5.409,248,0,252,8,0,0,Bold,4.661,244,0,156,0,108,0,Modest,4.394,248,0,4,252,0,4
Roaring Moon,2022-11,Jolly,30.22,0,252,0,0,4,252,Jolly,13.337,4,252,0,0,0,252,Adamant,9.453,4,252,0,0,0,252,Adamant,6.906,0,252,0,0,4,252,Adamant,5.318,188,4,156,0,28,132,Jolly,5.055,36,220,0,0,0,252
Chi-Yu,2022-11,Timid,34.129,0,0,0,252,4,252,Timid,30.454,4,0,0,252,0,252,Modest,6.945,0,0,4,252,0,252,Modest,4.983,0,0,0,252,4,252,Timid,4.429,0,0,0,252,0,252,Modest,4.292,4,0,0,252,0,252
Amoonguss,2022-11,Sassy,8.998,252,0,100,0,156,0,Calm,7.78,252,0,160,0,96,0,Calm,7.192,252,0,0,4,252,0,Sassy,5.293,252,0,0,4,252,0,Sassy,4.866,252,0,108,0,148,0,Sassy,4.596,252,0,116,0,140,0
Grimmsnarl,2022-11,Careful,21.979,252,4,0,0,252,0,Impish,4.343,252,0,252,0,4,0,Careful,4.329,220,4,116,0,156,12,Careful,3.982,252,0,4,0,252,0,Relaxed,2.925,252,0,136,0,120,0,Impish,2.586,252,252,0,0,4,0
Iron Hands,2022-11,Brave,10.85,248,252,0,0,8,0,Adamant,10.748,248,252,0,0,8,0,Brave,10.394,252,252,0,0,4,0,Adamant,7.184,0,252,0,0,252,4,Adamant,7.095,56,252,0,0,200,0,Brave,4.328,4,252,0,0,252,0
Tatsugiri,2022-11,Timid,27.549,0,0,0,252,4,252,Hasty,9.719,0,0,0,252,4,252,Hasty,8.088,0,1,0,0,0,252,Timid,7.368,4,0,0,252,0,252,Timid,6.569,0,0,0,252,0,252,Timid,4.833,0,0,4,252,0,252
Arcanine,2022-11,Jolly,8.703,252,0,24,0,52,180,Jolly,6.474,244,4,4,0,4,252,Jolly,5.198,0,252,0,0,4,252,Calm,4.921,248,0,188,0,72,0,Careful,4.601,244,68,4,0,148,44,Timid,3.256,252,0,0,4,0,252
Chien-Pao,2022-11,Jolly,57.763,0,252,0,0,4,252,Jolly,15.008,4,252,0,0,0,252,Adamant,5.346,4,252,0,0,0,252,Adamant,5.245,0,252,0,0,4,252,Naive,5.207,0,252,0,4,0,252,Jolly,3.653,0,252,0,0,0,252
