name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Dragonite,2022-12,Adamant,25.062,92,252,0,0,0,164,Adamant,20.343,4,252,0,0,0,252,Adamant,17.215,252,252,0,0,4,0,Adamant,13.952,116,252,96,0,44,0,Adamant,8.834,0,252,0,0,4,252,Adamant,4.912,0,252,128,0,128,0
Annihilape,2022-12,Adamant,25.098,252,252,0,0,4,0,Jolly,15.687,252,4,0,0,0,252,Jolly,13.919,172,84,0,0,0,252,Jolly,7.705,0,252,0,0,4,252,Jolly,6.959,156,100,0,0,0,252,Adamant,6.285,252,100,56,0,100,0
Gardevoir,2022-12,Timid,36.536,0,0,4,252,0,252,Timid,33.831,0,0,0,252,4,252,Timid,19.169,252,0,0,4,0,252,Sassy,3.551,4,0,252,0,252,0,Hardy,1.533,4,0,0,252,0,252,Modest,1.42,168,0,0,180,160,0
Meowscarada,2022-12,Jolly,77.315,0,252,0,0,4,252,Jolly,12.345,4,252,0,0,0,252,Adamant,4.589,4,252,0,0,0,252,Adamant,3.742,0,252,0,0,4,252,,,,,,,,,,,,,,,,
Iron Jugulis,2022-12,Timid,88.034,0,0,0,252,4,252,Timid,8.196,0,0,4,252,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-12,Timid,38.086,0,0,0,252,4,252,Adamant,29.119,0,252,0,0,4,252,Jolly,13.075,0,252,0,0,4,252,Timid,6.303,0,0,4,252,0,252,Naive,4.381,24,252,0,0,0,232,Naughty,3.953,0,252,0,0,0,252
Pincurchin,2022-12,Adamant,37.374,252,252,0,0,4,0,Brave,36.307,252,252,4,0,0,0,Impish,9.466,252,0,112,0,144,0,Impish,4.972,252,4,252,0,0,0,Jolly,4.559,252,252,0,0,0,4,Sassy,2.911,252,0,4,0,252,0
Volcarona,2022-12,Timid,15.382,252,0,0,0,4,252,Modest,14.305,0,0,0,252,4,252,Timid,13.698,0,0,0,252,4,252,Timid,12.198,4,0,0,252,0,252,Timid,11.074,156,0,252,100,0,0,Modest,9.687,4,0,252,252,0,0
Sableye,2022-12,Bold,44.36,248,0,252,0,8,0,Jolly,20.327,252,4,0,0,0,252,Impish,13.151,248,0,252,0,8,0,Impish,9.679,252,4,252,0,0,0,Bold,4.674,144,0,252,0,112,0,Careful,3.98,248,8,0,0,252,0
Quaquaval,2022-12,Naive,51.325,0,36,0,220,0,252,Jolly,18.387,4,252,0,0,0,252,Adamant,10.058,252,252,0,0,0,4,Jolly,8.115,0,252,0,0,4,252,Adamant,5.749,0,252,0,0,4,252,Jolly,3.181,104,252,0,0,0,152
Iron Thorns,2022-12,Adamant,36.438,0,252,0,0,4,252,Jolly,30.294,0,252,0,0,4,252,Adamant,10.889,0,252,4,0,0,252,Adamant,5.719,252,252,0,0,4,0,Jolly,5.245,4,252,0,0,0,252,Adamant,3.968,252,244,0,0,0,12
Ceruledge,2022-12,Jolly,55.023,0,252,0,0,4,252,Adamant,25.319,164,124,36,0,0,184,Adamant,8.354,4,252,0,0,0,252,Adamant,3.394,0,252,0,0,4,252,Adamant,3.232,252,252,0,0,4,0,,,,,,,,
Skeledirge,2022-12,Modest,19.542,168,0,0,252,0,88,Calm,17.648,252,0,0,4,252,0,Modest,10.595,252,0,0,252,0,4,Bold,9.593,248,0,252,8,0,0,Modest,9.53,204,0,0,176,0,128,Bold,7.778,252,0,204,0,0,52
Vivillon,2022-12,Timid,59.309,0,0,0,252,4,252,Timid,22.737,248,0,0,8,0,252,Timid,15.255,4,0,0,252,0,252,,,,,,,,,,,,,,,,,,,,,,,,
Grafaiai,2022-12,Calm,52.032,252,0,4,0,252,0,Jolly,13.561,0,252,0,0,4,252,Impish,7.889,252,4,252,0,0,0,Timid,7.443,252,0,0,0,4,252,Jolly,5.456,252,0,0,0,4,252,Timid,3.932,252,0,4,0,0,252
Sylveon,2022-12,Modest,40.297,56,0,200,252,0,0,Modest,24.072,124,0,0,252,0,132,Modest,8.897,64,0,104,252,0,88,Modest,8.817,220,0,0,252,0,36,Quiet,6.265,252,0,0,252,4,0,Modest,5.801,252,0,0,252,0,4
Ampharos,2022-12,Modest,90.902,168,0,0,184,0,156,Modest,6.407,4,0,0,252,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oranguru,2022-12,Calm,34.554,248,0,8,0,252,0,Quiet,17.412,248,0,136,124,0,0,Sassy,12.47,248,8,0,0,252,0,Sassy,9.904,252,0,140,24,92,0,Sassy,8.928,252,0,252,0,4,0,Quiet,8.898,4,0,252,252,0,0
Krookodile,2022-12,Jolly,95.007,80,124,4,0,60,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Treads,2022-12,Adamant,79.373,0,252,0,0,4,252,Jolly,13.742,0,252,0,0,4,252,Jolly,4.234,116,252,0,0,4,136,,,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,2022-12,Adamant,98.687,104,172,48,0,0,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimikyu,2022-12,Adamant,61.947,216,252,40,0,0,0,Careful,24.929,252,252,0,0,4,0,Careful,7.656,252,4,0,0,252,0,Jolly,3.964,0,252,0,0,4,252,,,,,,,,,,,,,,,,
Corviknight,2022-12,Careful,89.821,252,0,0,0,120,136,Adamant,3.882,252,252,0,0,4,0,Adamant,2.639,248,8,252,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Pom-Pom,2022-12,Timid,35.668,196,0,4,56,0,252,Timid,32.684,0,0,0,252,4,252,Bold,22.464,0,0,252,4,252,0,Serious,4.662,252,0,0,252,4,0,,,,,,,,,,,,,,,,
Hariyama,2022-12,Adamant,28.462,252,252,0,0,4,0,Brave,18.648,0,252,136,0,120,0,Brave,18.552,252,252,0,0,4,0,Adamant,18.263,168,252,0,0,0,88,Adamant,4.42,0,252,120,0,136,0,Brave,3.613,0,252,100,0,156,0
Slaking,2022-12,Adamant,43.454,248,252,0,0,8,0,Adamant,13.562,252,252,0,0,4,0,Adamant,11.004,252,60,0,0,0,196,Jolly,6.346,0,252,0,0,0,252,Jolly,5.433,0,252,0,0,4,252,Jolly,5.085,60,252,0,0,4,192
Gallade,2022-12,Adamant,24.504,232,156,96,0,4,20,Jolly,18.265,0,252,0,0,4,252,Adamant,16.853,176,208,124,0,0,0,Adamant,12.187,232,152,96,0,0,28,Adamant,10.269,0,252,0,0,4,252,Jolly,6.845,4,252,0,0,0,252
Hawlucha,2022-12,Adamant,77.304,0,252,0,0,4,252,Adamant,22.696,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclizar,2022-12,Naive,44.852,4,252,0,0,0,252,Naive,28.058,0,252,4,0,0,252,Jolly,8.895,248,8,0,0,0,252,Jolly,7.163,228,28,0,0,0,252,Timid,3.688,252,0,252,0,4,0,Adamant,2.647,0,252,0,0,4,252
Dudunsparce,2022-12,Bold,15.396,252,0,252,4,0,0,Jolly,15.098,148,4,52,0,116,188,Quiet,13.115,0,0,108,252,148,0,Modest,12.635,136,0,0,252,4,116,Impish,10.983,252,4,252,0,0,0,Jolly,8.098,148,4,48,0,116,192
Orthworm,2022-12,Jolly,50.266,80,32,0,0,144,252,Adamant,19.17,252,252,0,0,4,0,Impish,8.43,252,0,48,0,204,4,Calm,6.728,248,0,8,0,252,0,Impish,2.992,252,4,156,0,96,0,Careful,2.407,252,0,4,0,252,0
Salamence,2022-12,Naive,53.809,128,48,0,80,0,252,Adamant,24.56,0,252,0,0,4,252,Timid,7.117,0,0,4,252,0,252,Jolly,6.488,0,0,40,0,228,240,Jolly,2.58,4,252,0,0,0,252,Jolly,2.227,24,0,116,0,116,252
Clawitzer,2022-12,Modest,50.566,252,0,0,252,0,4,Quiet,26.871,248,0,0,252,8,0,Calm,7.912,252,0,4,0,252,0,Modest,7.902,252,0,0,252,4,0,Quiet,4.981,252,0,0,252,0,0,,,,,,,,
Houndstone,2022-12,Adamant,80.636,0,252,0,0,4,252,Careful,8.551,252,0,124,0,128,0,Adamant,5.629,4,252,0,0,0,252,Adamant,4.079,100,252,0,0,0,156,,,,,,,,,,,,,,,,
Hippowdon,2022-12,Impish,81.211,44,0,232,0,232,0,Careful,5.669,252,0,64,0,192,0,Careful,3.821,0,4,252,0,252,0,Impish,3.721,252,40,124,0,92,0,Impish,2.061,252,4,252,0,0,0,,,,,,,,
Scizor,2022-12,Impish,85.405,248,8,252,0,0,0,Adamant,7.601,248,252,0,0,8,0,Brave,6.218,248,252,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,
Azumarill,2022-12,Adamant,82.3,252,252,0,0,4,0,Adamant,10.057,116,252,0,0,0,140,Adamant,4.755,4,252,0,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,
Pawmot,2022-12,Jolly,98.117,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pachirisu,2022-12,Jolly,44.964,252,4,0,0,0,252,Calm,32.302,252,0,4,0,252,0,Impish,6.295,252,0,152,0,104,0,Timid,5.541,252,0,0,0,4,252,Impish,5.478,252,0,252,0,4,0,Impish,1.771,252,0,252,0,0,0
Hydreigon,2022-12,Timid,92.866,0,0,0,252,4,252,Hardy,3.177,0,0,88,252,88,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalossal,2022-12,Bashful,55.292,252,4,0,0,252,0,Modest,22.496,248,0,0,252,8,0,Adamant,8.652,0,252,4,0,0,252,Modest,5.296,252,0,0,252,4,0,Lonely,4.607,112,252,0,0,8,136,,,,,,,,
Arboliva,2022-12,Modest,45.93,248,0,0,252,8,0,Quiet,25.833,248,0,8,252,0,0,Calm,7.943,248,0,0,24,236,0,Calm,4.389,248,0,0,8,252,0,Calm,4.016,248,0,0,140,120,0,Calm,3.305,252,0,0,4,252,0
Vaporeon,2022-12,Calm,55.738,236,0,0,8,252,12,Calm,44.24,248,0,0,8,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellibolt,2022-12,Quiet,66.713,252,4,0,252,0,0,Relaxed,17.135,252,4,252,0,0,0,Modest,11.833,252,0,0,252,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Clodsire,2022-12,Careful,21.985,248,8,0,0,252,0,Adamant,20.63,248,252,0,0,8,0,Brave,17.572,4,252,252,0,0,0,Quiet,12.775,48,0,208,252,0,0,Hardy,7.708,252,0,72,0,184,0,Calm,6.772,252,0,4,0,252,0
Slither Wing,2022-12,Jolly,71.417,4,252,0,0,0,252,Adamant,13.93,4,252,0,0,0,252,Adamant,7.887,252,252,0,0,4,0,Adamant,5.762,252,252,4,0,0,0,,,,,,,,,,,,,,,,
Forretress,2022-12,Relaxed,99.874,252,0,4,0,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cetitan,2022-12,Adamant,57.155,4,252,0,0,0,252,Hardy,15.692,0,252,0,0,0,252,Adamant,12.276,248,252,0,0,8,0,Adamant,6.61,0,252,248,0,8,0,Brave,3.526,248,252,0,0,8,0,,,,,,,,
Tauros-Paldea-Water,2022-12,Careful,44.099,252,4,0,0,252,0,Adamant,34.548,108,252,0,0,148,0,Jolly,13.736,0,252,0,0,4,252,Jolly,5.337,0,252,0,0,0,252,,,,,,,,,,,,,,,,
Lucario,2022-12,Brave,80.809,252,252,4,0,0,0,Adamant,9.44,252,252,0,0,4,0,Jolly,7.328,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,2022-12,Jolly,41.172,0,252,4,0,0,252,Adamant,23.327,4,252,0,0,0,252,Impish,12.082,248,8,252,0,0,0,Hardy,9.507,0,252,4,0,0,252,Jolly,4.785,0,252,0,0,4,252,Adamant,4.533,0,252,4,0,0,252
Bisharp,2022-12,Impish,49.981,252,252,4,0,0,0,Adamant,26.647,252,252,0,0,0,4,Impish,11.528,128,0,240,0,120,20,Impish,3.957,128,68,172,0,120,20,Adamant,3.564,32,252,0,0,224,0,,,,,,,,
Pelipper,2022-12,Quiet,24.953,248,8,0,252,0,0,Bold,15.564,120,0,252,68,68,0,Timid,13.364,208,0,0,96,0,204,Modest,10.618,188,0,0,252,0,68,Modest,9.296,248,0,0,252,8,0,Modest,6.808,252,0,0,4,252,0
Goodra,2022-12,Modest,71.85,248,0,0,252,8,0,Bold,20.299,248,0,144,116,0,0,Calm,6.26,248,0,140,0,122,0,,,,,,,,,,,,,,,,,,,,,,,,
Weavile,2022-12,Jolly,82.199,0,252,4,0,0,252,Jolly,5.963,76,44,0,0,252,136,Jolly,5.291,0,252,80,0,0,176,Jolly,4.693,24,16,0,0,216,252,,,,,,,,,,,,,,,,
Slowking,2022-12,Modest,57.838,252,0,0,252,4,0,Quiet,17.585,252,0,4,252,0,0,Relaxed,10.138,252,0,252,0,4,0,Modest,4.981,252,0,128,128,0,0,Bold,4.633,4,0,252,0,252,0,,,,,,,,
Spiritomb,2022-12,Relaxed,41.683,248,0,252,0,8,0,Brave,21.3,252,252,0,0,0,0,Modest,12.76,252,0,4,0,252,0,Sassy,7.513,252,0,0,4,252,0,Serious,6.329,248,0,104,0,156,0,Sassy,4.163,148,224,0,0,136,0
Jolteon,2022-12,Timid,46.846,4,0,0,252,0,252,Timid,36.66,252,0,4,0,0,252,Timid,14.051,252,0,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,
Gengar,2022-12,Timid,49.482,0,0,0,252,4,252,Timid,14.357,0,4,0,252,0,252,Modest,14.344,0,4,0,252,0,252,Timid,11.397,0,0,8,252,0,248,Timid,7.678,252,0,0,4,0,252,,,,,,,,
Raichu,2022-12,Hasty,66.631,0,4,0,252,0,252,Timid,16.883,40,0,216,0,0,252,Jolly,8.317,4,76,176,0,0,252,Modest,4.865,4,0,0,252,0,252,,,,,,,,,,,,,,,,
Scream Tail,2022-12,Careful,74.264,252,104,84,0,68,0,Careful,14.851,252,104,68,0,64,20,Calm,4.195,252,0,0,4,252,0,Modest,2.289,0,0,4,252,0,252,,,,,,,,,,,,,,,,
Medicham,2022-12,Careful,79.093,252,4,0,0,88,164,Jolly,17.062,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scovillain,2022-12,Modest,97.049,4,0,0,252,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frosmoth,2022-12,Timid,44.67,4,0,0,252,0,252,Bold,34.744,0,0,252,0,252,0,Modest,17.502,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,
Tauros-Paldea-Fire,2022-12,Jolly,56.419,0,252,0,0,4,252,Jolly,16.665,252,4,0,0,0,252,Jolly,15.631,72,184,0,0,0,252,Lax,7.582,252,40,108,0,0,108,,,,,,,,,,,,,,,,
Bombirdier,2022-12,Jolly,49.603,4,252,0,0,0,252,Jolly,32.567,0,252,0,0,4,252,Calm,17.246,248,0,8,0,252,0,,,,,,,,,,,,,,,,,,,,,,,,
Toxtricity,2022-12,Modest,50.413,252,0,0,252,4,0,Modest,30.591,68,0,4,252,4,180,Modest,7.965,4,0,0,252,0,252,Quiet,5.461,252,0,4,252,0,0,Quiet,1.901,252,0,0,252,4,0,,,,,,,,
Gothitelle,2022-12,Modest,80.88,252,0,0,128,0,128,Modest,12.17,252,0,0,252,4,0,Modest,4.117,248,0,0,252,8,0,,,,,,,,,,,,,,,,,,,,,,,,
Jumpluff,2022-12,Impish,71.663,252,0,152,0,104,0,Jolly,13.866,252,0,52,0,0,204,Timid,6.845,252,0,0,4,0,252,Timid,3.96,252,0,0,0,0,252,,,,,,,,,,,,,,,,
Florges,2022-12,Calm,60.977,0,0,4,252,252,0,Modest,23.336,144,0,100,44,0,220,Timid,8.723,248,0,0,8,0,252,Calm,3.921,248,0,0,8,252,0,,,,,,,,,,,,,,,,
Eelektross,2022-12,Modest,31.799,252,0,0,252,4,0,Quiet,18.944,0,0,108,252,148,0,Modest,16.683,168,0,0,252,0,88,Quiet,13.748,0,0,212,252,44,0,Brave,8.581,120,252,0,92,0,44,Modest,6.904,144,0,60,252,52,0
