name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Misdreavus,2022-11,Timid,39.993,36,0,0,236,0,236,Timid,33.821,0,0,36,236,0,236,Timid,7.247,0,0,0,236,0,236,Timid,5.637,0,0,116,76,76,236,Calm,4.018,116,0,0,76,156,156,Bold,2.794,0,0,116,156,236,0
Girafarig,2022-11,Timid,42.075,0,0,0,196,76,236,Timid,16.296,36,0,0,196,0,236,Hasty,9.86,0,36,0,196,0,236,Adamant,5.683,0,196,236,0,76,0,Timid,5.558,0,0,76,196,0,236,Jolly,3.972,0,196,0,0,76,236
Pawniard,2022-11,Jolly,25.46,0,236,36,0,36,196,Adamant,14.791,0,236,0,0,36,196,Careful,12.001,0,156,36,0,196,116,Adamant,11.11,0,236,36,0,196,36,Careful,8.018,76,156,36,0,196,36,Adamant,6.934,0,236,36,0,116,116
Dunsparce,2022-11,Adamant,34.152,0,196,36,0,236,0,Adamant,11.427,0,196,0,0,76,236,Careful,9.115,36,36,196,0,236,0,Impish,7.62,116,36,116,0,236,0,Careful,6.047,0,196,0,0,76,236,Jolly,2.862,0,36,196,0,0,236
Toedscool,2022-11,Jolly,21.643,0,36,36,0,196,196,Sassy,11.687,36,0,196,36,196,0,Timid,9.68,36,0,116,116,0,196,Timid,8.657,0,0,196,36,36,196,Modest,7.702,0,0,36,196,196,36,Impish,6.733,196,36,36,0,116,36
Glimmet,2022-11,Timid,24.586,0,0,0,236,36,196,Bold,11.143,132,0,116,0,116,36,Modest,10.217,52,0,0,236,0,196,Bold,8.102,52,0,0,236,0,196,Timid,7.737,132,0,116,0,0,196,Calm,7.467,132,0,116,0,196,0
Diglett,2022-11,Jolly,45.53,36,236,0,0,0,236,Jolly,23.984,0,236,0,0,0,236,Jolly,10.144,36,156,0,0,76,236,Hasty,8.725,0,236,0,0,0,236,Jolly,4.113,116,156,0,0,0,236,Hasty,3.631,36,236,0,0,0,236
Cetoddle,2022-11,Adamant,57.463,0,212,36,0,196,12,Adamant,17.956,52,132,0,0,36,252,Jolly,5.141,52,212,0,0,0,244,Adamant,2.689,52,212,36,0,76,92,Serious,2.682,0,212,0,0,36,252,Adamant,2.656,52,212,0,0,36,172
Flittle,2022-11,Bold,40.31,0,0,196,76,196,0,Bold,20.655,36,0,196,156,116,0,Bold,10.831,36,0,116,76,116,156,Bold,10.434,116,0,196,0,196,0,Modest,6.532,0,0,0,236,36,236,Bold,4.266,36,0,196,76,196,0
Rufflet,2022-11,Adamant,29.445,0,252,0,0,36,196,Jolly,15.995,0,252,0,0,36,196,Adamant,12.195,0,252,36,0,0,196,Jolly,9.463,60,252,0,0,0,196,Jolly,6.757,36,252,0,0,0,196,Jolly,5.84,36,12,36,0,196,196
Maschiff,2022-11,Adamant,42.261,36,212,36,0,188,28,Jolly,28.532,0,212,0,0,108,188,Adamant,20.269,36,212,36,0,28,188,Adamant,5.425,36,212,196,0,28,28,,,,,,,,,,,,,,,,
