name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Flutter Mane,2022-11,Timid,87.72,0,0,0,252,4,252,Modest,5.742,0,0,0,252,4,252,Timid,2.277,4,0,0,252,0,252,,,,,,,,,,,,,,,,,,,,,,,,
Iron Bundle,2022-11,Timid,54.18,0,0,0,252,4,252,Modest,17.578,4,0,0,252,0,252,Modest,16.796,0,0,0,252,4,252,Timid,4.038,4,0,0,252,0,252,Timid,3.061,0,0,4,252,0,252,,,,,,,,
Dragapult,2022-11,Jolly,46.163,0,252,0,0,4,252,Adamant,18.163,0,252,0,0,4,252,Timid,9.55,0,0,0,252,4,252,Adamant,7.591,4,252,0,0,0,252,Adamant,5.641,0,252,4,0,0,252,Lonely,5.032,0,252,0,4,0,252
Mimikyu,2022-11,Jolly,84.608,0,252,0,0,4,252,Adamant,8.675,0,252,0,0,4,252,Jolly,6.034,0,252,4,0,0,252,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-11,Jolly,38.444,0,252,0,0,4,252,Timid,27.649,0,0,0,252,4,252,Adamant,21.098,0,252,0,0,4,252,Timid,4.637,4,0,0,252,0,252,Jolly,2.565,4,252,0,0,0,252,Naive,2.283,0,252,4,0,0,252
Froslass,2022-11,Timid,45.945,0,0,0,252,0,252,Timid,28.294,248,0,0,0,8,252,Timid,18.708,248,0,0,8,0,252,Timid,4.136,0,0,0,252,4,252,,,,,,,,,,,,,,,,
Pelipper,2022-11,Bold,25.799,248,0,252,8,0,0,Bold,23.635,248,0,252,0,8,0,Relaxed,19.377,248,8,252,0,0,0,Modest,13.718,4,0,0,252,0,252,Relaxed,6.521,248,0,252,0,8,0,Modest,3.872,248,0,0,252,8,0
Annihilape,2022-11,Jolly,61.088,0,252,0,0,4,252,Adamant,8.485,252,252,0,0,4,0,Jolly,5.26,4,252,0,0,0,252,Jolly,4.251,140,116,0,0,0,252,Adamant,4.238,4,252,0,0,0,252,Jolly,3.738,252,0,0,0,4,252
Klefki,2022-11,Bold,55.761,252,0,252,0,4,0,Impish,30.409,252,4,252,0,0,0,Bold,5.842,252,0,252,4,0,0,Impish,5.423,248,8,252,0,0,0,,,,,,,,,,,,,,,,
Gholdengo,2022-11,Timid,82.605,0,0,0,252,4,252,Timid,5.21,4,0,0,252,0,252,Modest,2.804,0,0,4,252,0,252,Modest,2.745,0,0,0,252,4,252,Modest,1.633,252,0,80,172,4,0,Modest,1.516,252,0,0,252,4,0
