name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Cyclizar,2022-11,Jolly,25.833,252,0,0,0,4,252,Jolly,21.298,252,4,0,0,0,252,Jolly,13.027,0,252,0,0,4,252,Jolly,5.535,4,252,0,0,0,252,Jolly,4.604,248,8,0,0,0,252,Timid,2.589,0,0,4,252,0,252
Shedinja,2022-11,Jolly,34.2,0,252,4,0,0,252,Adamant,11.71,0,252,4,0,0,252,Adamant,10.365,0,252,0,0,0,252,Adamant,9.322,0,252,0,0,4,252,Adamant,5.83,0,252,0,4,0,252,Naive,4.71,0,252,0,4,0,252
Flutter Mane,2022-11,Timid,69.13,0,0,0,252,4,252,Timid,8.379,4,0,0,252,0,252,Modest,5.863,0,0,0,252,4,252,Timid,5.451,0,0,0,252,0,252,Timid,2.315,0,0,4,252,0,252,Hardy,1.569,8,0,0,248,0,252
Kyurem-Black,2022-11,Jolly,43.451,0,252,0,0,4,252,Adamant,22.544,0,252,0,0,4,252,Jolly,10.039,0,252,0,0,0,252,Naive,4.665,0,252,0,0,4,252,Jolly,3.822,56,200,0,0,0,252,Jolly,2.972,4,252,0,0,0,252
Chien-Pao,2022-11,Jolly,76.303,0,252,0,0,4,252,Jolly,7.998,0,252,4,0,0,252,Jolly,7.137,4,252,0,0,0,252,Adamant,4.145,4,252,0,0,0,252,,,,,,,,,,,,,,,,
Roaring Moon,2022-11,Jolly,30.991,0,252,0,0,4,252,Adamant,22.001,0,252,0,0,4,252,Jolly,17.201,4,252,0,0,0,252,Jolly,6.846,0,220,0,0,36,252,Jolly,5.111,0,252,0,0,0,252,Adamant,4.816,120,252,0,0,0,136
Zamazenta-Crowned,2022-11,Jolly,16.223,252,0,0,0,4,252,Jolly,12.091,252,0,4,0,0,252,Careful,11.277,220,36,0,0,252,0,Jolly,7.415,0,252,4,0,0,252,Jolly,6.207,0,4,252,0,0,252,Jolly,5.042,0,252,0,0,4,252
Palafin,2022-11,Jolly,61.249,0,252,0,0,4,252,Adamant,7.085,0,252,0,0,4,252,Adamant,6.143,4,252,0,0,0,252,Jolly,5.021,4,252,0,0,0,252,Adamant,4.846,240,252,0,0,0,16,Jolly,3.545,0,252,0,0,0,252
Landorus-Therian,2022-11,Jolly,22.509,0,252,0,0,4,252,Adamant,6.002,0,252,0,0,4,252,Careful,4.996,252,0,4,0,252,0,Impish,4.12,252,0,240,0,0,16,Impish,3.628,252,4,252,0,0,0,Impish,3.592,252,0,252,0,0,4
Blaziken-Mega,2022-11,Adamant,50.051,0,252,0,0,4,252,Jolly,17.218,0,252,0,0,4,252,Adamant,11.754,0,252,4,0,0,252,Jolly,10.979,4,252,0,0,0,252,Adamant,3.847,4,252,0,0,0,252,Jolly,2.728,0,252,4,0,0,252
Toxapex,2022-11,Bold,50.373,252,0,252,0,4,0,Calm,10.253,252,0,104,0,152,0,Bold,8.76,248,0,252,0,8,0,Bold,5.954,252,0,4,0,252,0,Calm,4.967,252,0,4,0,252,0,Bold,4.002,252,0,36,0,220,0
Great Tusk,2022-11,Jolly,58.985,0,252,0,0,4,252,Adamant,8.167,0,252,0,0,4,252,Impish,3.366,216,0,252,0,0,36,Impish,2.854,252,4,252,0,0,0,Adamant,2.512,4,252,0,0,0,252,Impish,2.426,184,84,228,0,0,12
Clodsire,2022-11,Careful,14.935,252,0,0,0,252,4,Careful,13.607,252,0,0,0,252,0,Impish,12.159,252,0,252,0,4,0,Careful,11.965,252,4,0,0,252,0,Impish,10.168,160,0,252,0,96,0,Careful,6.89,252,0,4,0,252,0
Houndstone,2022-11,Jolly,47.179,0,252,0,0,4,252,Adamant,15.592,0,252,0,0,4,252,Jolly,12.949,0,252,4,0,0,252,Jolly,5.029,4,252,0,0,0,252,Naughty,4.91,0,252,0,4,0,252,Adamant,4.195,0,252,4,0,0,252
Tyranitar,2022-11,Sassy,25.24,252,0,4,0,252,0,Adamant,13.946,252,252,0,0,4,0,Adamant,11.743,40,252,0,0,48,168,Adamant,10.089,0,252,4,0,0,252,Adamant,7.052,0,252,0,0,4,252,Careful,3.794,252,4,0,0,252,0
Genesect,2022-11,Jolly,15.324,0,252,0,0,4,252,Hasty,15.32,0,4,0,252,0,252,Adamant,12.713,0,252,4,0,0,252,Jolly,11.95,0,252,4,0,0,252,Timid,9.819,0,0,0,252,4,252,Naive,7.881,0,252,0,4,0,252
Corviknight,2022-11,Impish,24.127,252,0,252,0,4,0,Impish,13.547,248,8,252,0,0,0,Impish,7.792,252,4,252,0,0,0,Impish,7.388,252,0,252,0,0,0,Impish,6.835,248,0,252,0,8,0,Careful,5.422,248,0,92,0,164,4
Excadrill,2022-11,Jolly,63.895,0,252,0,0,4,252,Jolly,11.333,4,252,0,0,0,252,Adamant,8.776,0,252,0,0,4,252,Jolly,7.598,0,252,4,0,0,252,Jolly,4.659,252,4,0,0,0,252,,,,,,,,
Kingambit,2022-11,Adamant,32.757,252,252,0,0,4,0,Adamant,15.129,4,252,0,0,0,252,Serious,6.194,252,252,0,0,4,0,Adamant,4.529,252,252,0,0,0,0,Adamant,4.305,0,252,0,0,4,252,Adamant,4.198,240,252,0,0,0,16
Magearna,2022-11,Modest,11.943,252,0,0,252,4,0,Calm,11.841,252,0,4,0,252,0,Calm,9.934,248,0,0,40,216,4,Modest,8.727,0,0,0,252,4,252,Sassy,8.072,252,0,4,0,252,0,Timid,7.781,0,0,0,252,4,252
Dragapult,2022-11,Jolly,17.254,0,252,4,0,0,252,Timid,15.706,0,0,0,252,4,252,Adamant,13.706,0,252,0,0,4,252,Jolly,12.201,0,252,0,0,4,252,Jolly,7.742,4,252,0,0,0,252,Naive,4.182,0,44,0,240,0,224
Tapu Koko,2022-11,Timid,39.265,0,0,0,252,4,252,Jolly,21.451,252,4,0,0,0,252,Jolly,6.809,248,0,0,0,8,252,Timid,6.749,252,0,0,0,4,252,Timid,6.139,0,0,4,252,0,252,Timid,3.585,4,0,0,252,0,252
Grimmsnarl,2022-11,Calm,27.001,252,0,4,0,252,0,Bold,17.763,252,0,212,0,44,0,Impish,14.273,252,0,240,0,16,0,Careful,13.619,252,4,0,0,252,0,Relaxed,6.715,252,0,252,0,4,0,Jolly,3.354,0,252,4,0,0,252
Glimmora,2022-11,Jolly,15.522,252,4,0,0,0,252,Timid,13.336,0,0,0,252,4,252,Bold,11.991,252,0,252,0,4,0,Timid,9.368,252,0,0,4,0,252,Timid,9.103,160,0,0,96,0,252,Impish,7.693,252,4,252,0,0,0
Ditto,2022-11,Relaxed,29.818,252,4,252,0,0,0,Impish,21.959,248,8,252,0,0,0,Impish,12.355,252,4,252,0,0,0,Relaxed,9.35,248,8,252,0,0,0,Sassy,5.6,252,0,0,0,4,252,Bold,5.16,252,0,252,0,0,4
Diancie-Mega,2022-11,Timid,29.126,252,0,0,0,4,252,Hasty,11.37,0,4,0,252,0,252,Timid,8.366,0,0,0,252,4,252,Hasty,6.853,0,128,0,128,0,252,Naive,6.081,0,24,0,232,0,252,Timid,5.956,252,4,0,0,0,252
Blissey,2022-11,Bold,45.163,252,0,252,0,4,0,Calm,25.774,252,0,252,0,0,4,Calm,10.572,252,0,4,0,252,0,Bold,3.906,252,0,252,0,0,0,Calm,3.218,4,0,252,0,252,0,Sassy,3.004,252,0,0,4,252,0
Deoxys-Speed,2022-11,Timid,22.408,248,0,0,8,0,252,Timid,18.753,248,0,8,0,0,252,Jolly,12.04,248,0,0,0,8,252,Hasty,11.943,248,8,0,0,0,252,Timid,9.352,0,0,0,252,4,252,Timid,6.513,248,0,0,0,8,252
Ferrothorn,2022-11,Impish,19.618,252,4,252,0,0,0,Relaxed,13.828,248,8,252,0,0,0,Relaxed,9.383,252,0,252,0,4,0,Careful,9.021,252,0,24,0,232,0,Careful,6.302,252,0,4,0,252,0,Impish,5.994,252,0,252,0,4,0
Heatran,2022-11,Calm,17.66,252,0,64,0,192,0,Calm,16.398,252,0,60,0,196,0,Timid,10.506,0,0,0,252,4,252,Calm,9.298,252,0,0,4,252,0,Bashful,5.645,248,0,0,40,88,132,Modest,5.261,252,0,4,252,0,0
Garchomp,2022-11,Impish,24.779,252,0,188,0,68,0,Jolly,19.595,252,0,4,0,0,252,Jolly,16.781,0,252,0,0,4,252,Impish,8.874,248,0,204,0,0,56,Impish,4.477,216,0,152,0,0,140,Impish,3.187,252,0,200,0,56,0
Scizor-Mega,2022-11,Adamant,21.203,252,252,0,0,4,0,Adamant,15.479,248,252,0,0,8,0,Impish,11.236,248,0,16,0,244,0,Impish,7.869,252,4,252,0,0,0,Impish,7.269,248,8,252,0,0,0,Adamant,6.92,0,252,0,0,8,248
