name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Cyclizar,2022-11,Jolly,68.446,252,0,4,0,0,252,Jolly,24.31,252,4,0,0,0,252,Jolly,3.456,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,
Dracovish,2022-11,Jolly,92.141,0,252,0,0,4,252,Adamant,5.436,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flutter Mane,2022-11,Modest,26.158,0,0,0,252,4,252,Timid,22.429,4,0,0,252,0,252,Modest,18.282,0,0,4,252,0,252,Modest,14.345,4,0,0,252,0,252,Timid,14.114,0,0,0,252,4,252,,,,,,,,
Ditto,2022-11,Jolly,85.986,252,0,4,0,0,252,Impish,7.468,248,8,252,0,0,0,Impish,3.326,252,4,252,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Iron Bundle,2022-11,Timid,57.532,0,0,0,252,4,252,Timid,27.691,0,0,8,252,0,248,Modest,9.135,0,0,0,252,0,252,Modest,3.928,4,0,0,252,0,252,,,,,,,,,,,,,,,,
Lopunny-Mega,2022-11,Jolly,91.431,4,252,0,0,0,252,Jolly,8.569,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,2022-11,Timid,23.863,252,0,0,4,0,252,Jolly,23.436,4,252,0,0,0,252,Timid,22.932,0,0,4,252,0,252,Adamant,7.938,0,252,0,0,4,252,Jolly,5.606,252,0,188,0,0,68,Hasty,4.874,0,252,0,4,0,252
Chansey,2022-11,Calm,96.109,252,0,0,0,252,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewear,2022-11,Impish,97.877,252,4,252,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meloetta,2022-11,Timid,100,4,0,0,252,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise-Mega,2022-11,Modest,97.132,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimikyu,2022-11,Jolly,82.284,4,252,0,0,0,252,Jolly,17.216,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde,2022-11,Careful,45.706,248,8,0,0,252,0,Adamant,22.405,12,252,0,0,8,236,Adamant,8.742,12,252,0,0,0,244,Impish,8.155,16,224,36,0,0,232,Adamant,7.044,0,252,0,0,4,252,Impish,6.295,252,128,0,0,128,0
Pelipper,2022-11,Bold,46.414,248,0,252,0,8,0,Modest,25.361,252,0,4,252,0,0,Modest,18.947,248,0,0,252,8,0,Bold,3.724,248,0,252,8,0,0,Bold,3.078,252,0,252,4,0,0,,,,,,,,
Salamence-Mega,2022-11,Adamant,53.719,0,252,0,0,4,252,Jolly,33.308,0,252,0,0,4,252,Adamant,8.72,44,252,0,0,0,212,,,,,,,,,,,,,,,,,,,,,,,,
Araquanid,2022-11,Careful,67.347,248,8,0,0,252,0,Adamant,11.818,248,252,0,0,8,0,Calm,6.413,248,0,0,8,252,0,Bold,4.109,252,0,252,0,4,0,Careful,3.072,0,136,120,0,252,0,Adamant,2.966,0,252,4,0,252,0
Chien-Pao,2022-11,Jolly,51.749,0,252,4,0,0,252,Jolly,47.21,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palafin,2022-11,Jolly,96.626,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Valiant,2022-11,Jolly,46.013,0,252,0,0,4,252,Timid,21.008,0,0,0,252,4,252,Jolly,20.117,24,252,0,0,0,232,Jolly,6.113,0,252,4,0,0,252,Naive,2.73,0,4,0,252,0,252,,,,,,,,
Cloyster,2022-11,Naive,55.127,0,252,4,0,0,252,Adamant,39.939,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gengar-Mega,2022-11,Timid,34.328,0,0,4,252,0,252,Timid,24.027,0,0,0,252,4,252,Timid,23.256,4,0,0,252,0,252,Modest,12.945,0,0,0,252,4,252,Timid,5.443,252,0,0,4,0,252,,,,,,,,
Kyurem-Black,2022-11,Adamant,52.83,0,252,0,0,4,252,Jolly,46.622,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naganadel,2022-11,Timid,99.297,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urshifu-Rapid-Strike,2022-11,Jolly,100,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barraskewda,2022-11,Adamant,67.248,0,252,0,0,4,252,Jolly,32.752,0,252,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Moon,2022-11,Adamant,80.456,0,252,0,0,4,252,Jolly,14.064,0,252,0,0,4,252,Jolly,4.589,30,222,0,0,4,252,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales-Alola,2022-11,Timid,69.179,0,0,4,252,0,252,Timid,26.614,0,0,0,252,4,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Lele,2022-11,Timid,79.779,4,0,0,252,0,252,Timid,15.133,0,0,0,252,4,252,Timid,5.088,80,0,88,252,88,0,,,,,,,,,,,,,,,,,,,,,,,,
