name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Sandaconda,2023-02,Impish,35.23,252,4,252,0,0,0,Impish,20.86,252,0,252,0,4,0,Impish,8.986,252,0,252,0,0,4,Adamant,4.3,252,252,0,0,4,0,Impish,3.194,248,0,252,0,8,0,Impish,2.115,252,0,248,0,0,8
Passimian,2023-02,Jolly,79.284,0,252,0,0,4,252,Jolly,8.89,0,252,4,0,0,252,Jolly,2.074,4,252,0,0,0,252,Jolly,1.304,0,252,0,0,0,252,Jolly,1.267,252,0,0,0,160,96,Adamant,1.048,0,252,4,0,0,252
Goodra,2023-02,Timid,22.131,0,0,0,252,4,252,Modest,10.779,248,0,0,252,8,0,Modest,8.822,0,0,0,252,4,252,Timid,5.786,0,0,4,252,0,252,Mild,3.431,248,8,0,252,0,0,Modest,2.953,0,0,4,252,0,252
Jolteon,2023-02,Timid,78.512,0,0,0,252,4,252,Modest,7.311,0,0,0,252,4,252,Timid,3.978,0,0,4,252,0,252,Timid,3.738,0,0,0,252,0,252,Timid,1.449,4,0,0,252,0,252,Hasty,1,0,4,0,252,0,252
Braviary,2023-02,Jolly,39.905,0,252,0,0,4,252,Jolly,7.936,0,252,4,0,0,252,Adamant,4.4,248,252,0,0,8,0,Jolly,3.21,4,252,0,0,0,252,Jolly,2.737,0,252,0,0,0,252,Jolly,2.52,248,0,0,0,8,252
Copperajah,2023-02,Adamant,9.799,248,252,0,0,8,0,Careful,9.413,252,0,4,0,252,0,Careful,6.685,252,4,0,0,252,0,Adamant,5.204,176,56,0,0,252,24,Careful,4.658,160,16,80,0,252,0,Careful,4.651,252,0,0,0,252,4
Medicham,2023-02,Jolly,64.843,0,252,0,0,4,252,Adamant,14.98,0,252,0,0,4,252,Jolly,5.974,0,252,4,0,0,252,Jolly,2.686,4,252,0,0,0,252,Adamant,2.528,0,252,4,0,0,252,Hasty,2.136,0,252,0,4,0,252
Bruxish,2023-02,Jolly,74.431,0,252,0,0,4,252,Adamant,7.722,0,252,0,0,4,252,Jolly,5.204,0,252,4,0,0,252,Jolly,4.908,4,252,0,0,0,252,Adamant,1.838,0,252,4,0,0,252,Jolly,1.583,0,252,0,0,0,252
Oricorio-Pom-Pom,2023-02,Bold,12.409,252,0,252,4,0,0,Timid,10.192,0,0,0,252,4,252,Bold,9.759,252,0,252,0,4,0,Modest,7.211,0,0,0,252,4,252,Bold,5.191,252,0,252,0,0,4,Timid,5.061,0,0,4,252,0,252
Dudunsparce,2023-02,Bold,21.876,252,0,252,4,0,0,Careful,14.406,252,4,0,0,252,0,Modest,7.348,252,0,0,252,4,0,Bold,6.113,248,0,204,0,0,56,Bold,2.72,252,0,252,0,4,0,Careful,2.64,252,0,0,0,252,4
Lycanroc,2023-02,Jolly,58.15,0,252,0,0,4,252,Jolly,8.552,0,252,4,0,0,252,Jolly,8.381,4,252,0,0,0,252,Adamant,7.744,0,252,0,0,4,252,Jolly,7.132,252,4,0,0,0,252,Jolly,5.775,0,252,0,0,0,252
Frosmoth,2023-02,Modest,32.414,0,0,0,252,4,252,Timid,16.169,0,0,0,252,4,252,Calm,8.635,248,0,0,0,208,52,Modest,3.361,148,0,0,96,0,184,Calm,3.063,252,0,0,4,252,0,Calm,2.868,248,0,0,8,252,0
Zoroark,2023-02,Timid,49.501,0,0,0,252,4,252,Jolly,26.566,0,252,0,0,4,252,Mild,3.246,0,4,0,252,0,252,Hasty,2.817,0,4,0,252,0,252,Modest,2.674,0,0,0,252,4,252,Adamant,2.414,4,252,0,0,0,252
Vaporeon,2023-02,Bold,22.95,252,0,252,0,4,0,Bold,17.112,252,0,252,4,0,0,Calm,8.18,252,0,0,4,252,0,Bold,7.959,248,0,252,0,8,0,Calm,7.367,252,0,240,0,16,0,Bold,6.416,252,0,252,0,0,4
Oricorio-Sensu,2023-02,Timid,20.927,0,0,0,252,4,252,Bold,11.533,252,0,252,4,0,0,Bold,7.709,252,0,204,0,0,52,Timid,7.222,248,0,108,0,0,152,Modest,6.271,0,0,0,252,4,252,Bold,4.309,252,0,252,0,0,4
Tauros-Paldea-Combat,2023-02,Jolly,66.186,0,252,0,0,4,252,Naive,6.57,0,252,0,4,0,252,Jolly,4.637,56,0,252,0,0,200,Impish,2.779,252,0,252,0,4,0,Impish,2.773,252,0,252,0,0,4,Impish,1.735,252,112,144,0,0,0
Drifblim,2023-02,Bold,11.091,252,0,252,0,4,0,Bold,6.889,248,0,252,0,8,0,Bold,5.545,252,0,252,4,0,0,Calm,5.038,248,0,0,8,252,0,Modest,4.563,0,0,0,252,4,252,Timid,4.363,0,0,0,252,4,252
Mabosstiff,2023-02,Jolly,62.638,0,252,0,0,4,252,Jolly,10.225,0,252,4,0,0,252,Adamant,9.695,0,252,0,0,4,252,Jolly,6.228,4,252,0,0,0,252,Adamant,4.868,0,252,4,0,0,252,Adamant,1.055,252,252,0,0,4,0
Veluza,2023-02,Adamant,45.854,4,252,0,0,0,252,Jolly,11.378,4,252,0,0,0,252,Adamant,5.122,0,252,0,0,4,252,Jolly,3.712,0,252,0,0,4,252,Jolly,3.572,0,252,0,0,0,252,Bold,2.591,252,0,168,0,0,88
Muk,2023-02,Careful,29.149,252,4,0,0,252,0,Adamant,16.859,252,252,0,0,4,0,Careful,12.418,252,0,4,0,252,0,Careful,3.654,252,0,0,0,252,4,Careful,2.446,252,0,0,0,252,0,Adamant,1.788,216,108,48,0,136,0
Honchkrow,2023-02,Jolly,28.744,0,252,0,0,4,252,Adamant,18.739,0,252,0,0,4,252,Adamant,13.33,4,252,0,0,0,252,Adamant,7.018,0,252,4,0,0,252,Adamant,6.438,248,252,0,0,8,0,Hasty,4,0,252,0,4,0,252
Toxicroak,2023-02,Jolly,76.126,0,252,0,0,4,252,Jolly,7.901,4,252,0,0,0,252,Timid,4.947,0,0,0,252,4,252,Jolly,2.568,0,252,4,0,0,252,Adamant,1.833,0,252,4,0,0,252,Adamant,1.136,4,252,0,0,0,252
Umbreon,2023-02,Calm,49.6,252,0,4,0,252,0,Bold,10.966,252,0,252,0,4,0,Bold,5.082,252,0,252,0,0,4,Calm,3.965,252,0,252,0,0,4,Bold,2.634,248,0,252,0,8,0,Impish,2.427,252,0,252,0,4,0
Chansey,2023-02,Bold,40.006,248,0,252,0,8,0,Bold,6.94,248,0,252,8,0,0,Bold,6.4,252,0,252,0,4,0,Calm,5.056,252,0,4,0,252,0,Bold,4.749,252,0,248,0,8,0,Bold,4.612,4,0,252,0,252,0
Qwilfish,2023-02,Impish,16.508,252,0,252,0,4,0,Jolly,12.654,252,4,0,0,0,252,Jolly,11.443,0,252,0,0,4,252,Impish,8.484,252,4,252,0,0,0,Impish,7.004,252,0,252,0,0,4,Adamant,6.633,0,252,0,0,4,252
Venomoth,2023-02,Timid,58.525,0,0,0,252,4,252,Modest,23.162,0,0,0,252,4,252,Timid,6.25,0,0,0,252,0,252,Timid,3.866,0,0,4,252,0,252,Timid,3.268,252,0,0,0,4,252,,,,,,,,
Ursaring,2023-02,Adamant,18.022,248,252,0,0,8,0,Adamant,8.498,0,252,0,0,4,252,Brave,7.26,248,252,0,0,8,0,Jolly,5.418,0,252,0,0,4,252,Careful,3.962,252,0,4,0,252,0,Careful,3.663,252,0,8,0,248,0
Eelektross,2023-02,Modest,29.527,252,0,0,252,4,0,Adamant,8.765,252,252,0,0,4,0,Quiet,4.154,252,4,0,252,0,0,Sassy,3.073,252,0,0,4,252,0,Bold,2.983,252,0,252,4,0,0,Careful,2.552,228,0,0,0,152,128
Clawitzer,2023-02,Modest,28.11,0,0,0,252,4,252,Modest,20.805,252,0,0,252,4,0,Timid,11.385,0,0,0,252,4,252,Quiet,9.566,252,0,0,252,4,0,Modest,2.67,0,0,0,252,0,252,Modest,2.346,252,0,0,252,0,4
Rotom,2023-02,Timid,76.757,0,0,0,252,4,252,Timid,9.68,0,0,4,252,0,252,Bold,3.083,252,0,252,0,0,4,Timid,1.778,4,0,0,252,0,252,Hasty,1.365,0,4,0,252,0,252,Timid,1.331,248,0,0,0,8,252
