name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Quaxwell,2023-03,Impish,22.617,248,8,252,0,0,0,Jolly,6.457,0,252,0,0,4,252,Impish,4.928,248,0,252,0,0,8,Impish,4.344,248,0,252,0,8,0,Impish,3.464,252,0,136,0,112,8,Impish,3.415,252,0,252,0,4,0
Magneton,2023-03,Timid,25.027,0,0,0,252,4,252,Timid,11.124,0,4,0,252,0,252,Modest,10.893,248,0,0,252,8,0,Modest,10.859,0,0,0,252,4,252,Modest,4.166,252,0,0,252,0,4,Modest,3.832,136,0,0,252,4,116
Skuntank,2023-03,Jolly,17.939,0,252,0,0,4,252,Timid,5.335,0,0,0,252,4,252,Careful,5.295,252,0,0,0,192,64,Careful,3.679,248,0,4,0,252,4,Careful,3.523,212,44,0,0,252,0,Careful,3.48,252,0,0,0,252,4
Houndoom,2023-03,Timid,51.716,0,0,0,252,4,252,Hasty,32.71,0,4,0,252,0,252,Timid,3.364,0,4,0,252,0,252,Timid,3.178,0,0,4,252,0,252,Modest,2.579,0,0,0,252,4,252,Timid,1.468,4,0,0,252,0,252
Gabite,2023-03,Jolly,18.437,0,252,0,0,4,252,Jolly,7.646,252,0,0,0,4,252,Careful,7.143,248,0,0,0,244,16,Impish,6.225,252,0,252,0,0,4,Careful,6.181,252,0,0,0,252,4,Impish,5.105,248,0,248,0,8,4
Lycanroc-Midnight,2023-03,Jolly,47.339,0,252,0,0,4,252,Adamant,18.464,0,252,0,0,4,252,Jolly,15.634,4,252,0,0,0,252,Adamant,4.021,4,252,0,0,0,252,Jolly,3.924,0,252,4,0,0,252,Adamant,3.657,0,252,4,0,0,252
Perrserker,2023-03,Adamant,17.228,248,252,0,0,8,0,Adamant,10,252,252,0,0,4,0,Adamant,4.536,0,252,0,0,4,252,Jolly,4.319,0,252,0,0,4,252,Adamant,3.343,248,252,0,0,0,8,Brave,3.228,248,252,0,0,8,0
Crabominable,2023-03,Adamant,18.505,252,252,0,0,4,0,Brave,12.925,252,252,0,0,4,0,Careful,5.799,252,4,0,0,252,0,Careful,4.402,248,0,0,0,180,80,Adamant,3.935,252,184,0,0,0,72,Adamant,3.638,248,252,0,0,0,8
Misdreavus,2023-03,Timid,12.175,0,0,0,252,4,252,Timid,7.272,252,0,0,0,0,252,Bold,6.743,252,0,252,0,4,0,Timid,6.17,252,0,0,0,4,252,Bold,5.646,72,0,252,0,0,184,Timid,5.207,248,0,0,8,0,252
Haunter,2023-03,Timid,84.986,0,0,0,252,4,252,Timid,3.954,0,0,4,252,0,252,Modest,3.325,0,0,0,252,4,252,Timid,2.233,4,0,0,252,0,252,Timid,1.481,0,0,0,252,0,252,,,,,,,,
Pyroar,2023-03,Timid,81.119,0,0,0,252,4,252,Timid,4.906,4,0,0,252,0,252,Naive,2.736,0,4,0,252,0,252,Timid,2.616,0,0,4,252,0,252,Timid,2.075,0,0,0,252,0,252,Modest,1.308,0,0,4,252,0,252
Dugtrio,2023-03,Jolly,55.875,0,252,0,0,4,252,Hasty,25.025,0,252,0,4,0,252,Jolly,4.803,0,252,0,0,0,252,Jolly,4.059,4,252,0,0,0,252,Adamant,3.191,0,252,0,0,4,252,Jolly,2.122,0,252,4,0,0,252
Cacturne,2023-03,Timid,18.251,0,0,0,252,4,252,Adamant,12.789,0,252,0,0,4,252,Adamant,9.184,248,252,0,0,8,0,Naive,7.587,0,4,0,252,0,252,Rash,6.591,0,64,0,252,0,192,Modest,4.592,0,0,0,252,4,252
Camerupt,2023-03,Calm,9.92,252,0,0,4,252,0,Modest,7.831,248,0,0,252,8,0,Calm,5.714,248,0,8,0,252,0,Sassy,5.398,252,4,0,0,252,0,Calm,4.346,252,0,0,0,252,4,Quiet,3.813,252,0,0,252,4,0
Squawkabilly,2023-03,Jolly,78.4,0,252,0,0,4,252,Jolly,5.562,0,252,4,0,0,252,Jolly,3.501,4,252,0,0,0,252,Jolly,2.997,252,4,0,0,0,252,Adamant,2.179,0,252,0,0,4,252,Adamant,1.455,0,252,4,0,0,252
Vivillon,2023-03,Timid,44.822,0,0,0,252,4,252,Modest,37.568,0,0,0,252,4,252,Timid,6.73,0,0,4,252,0,252,Timid,3.784,4,0,0,252,0,252,Modest,1.041,0,0,4,252,0,252,Timid,0.977,0,0,0,252,0,252
Oricorio-Pa'u,2023-03,Timid,26.026,0,0,0,252,4,252,Bold,13.888,252,0,252,4,0,0,Modest,7.97,0,0,0,252,4,252,Timid,4.411,252,0,4,0,0,252,Calm,3.924,4,0,252,0,252,0,Timid,3.841,0,0,4,252,0,252
Falinks,2023-03,Jolly,33.164,0,252,0,0,4,252,Adamant,18.352,0,252,0,0,4,252,Jolly,11.118,0,252,4,0,0,252,Jolly,8.851,4,252,0,0,0,252,Adamant,6.882,252,252,0,0,4,0,Adamant,6.248,4,252,0,0,0,252
Gogoat,2023-03,Careful,27.572,252,4,0,0,252,0,Adamant,9.31,252,252,0,0,4,0,Careful,5.354,252,0,4,0,252,0,Careful,5.276,252,0,0,0,248,8,Careful,3.412,252,0,96,0,128,32,Careful,2.694,252,0,40,0,216,0
Raichu,2023-03,Timid,84.089,0,0,0,252,4,252,Modest,3.707,0,0,0,252,4,252,Timid,3.168,4,0,0,252,0,252,Hasty,2.727,0,4,0,252,0,252,Timid,2.467,0,0,4,252,0,252,,,,,,,,
