name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Haxorus,2023-01,Jolly,49.989,0,252,0,0,4,252,Adamant,32.174,0,252,0,0,4,252,Adamant,3.656,0,252,4,0,0,252,Jolly,3.23,0,252,4,0,0,252,Jolly,2.786,4,252,0,0,0,252,Adamant,1.779,4,252,0,0,0,252
Lycanroc-Dusk,2023-01,Jolly,78.736,0,252,0,0,4,252,Jolly,4.81,0,252,0,0,0,252,Jolly,4.563,0,252,4,0,0,252,Adamant,3.527,0,252,0,0,4,252,Jolly,3.377,4,252,0,0,0,252,,,,,,,,
Espeon,2023-01,Timid,55.878,0,0,0,252,4,252,Timid,8.158,252,0,0,4,0,252,Timid,7.466,4,0,0,252,0,252,Timid,6.074,252,0,80,0,0,176,Modest,4.819,4,0,0,252,0,252,Bold,3.935,252,0,228,0,0,28
Slowbro,2023-01,Bold,40.682,252,0,252,4,0,0,Bold,10.589,252,0,252,0,4,0,Bold,6.459,252,0,252,0,0,4,Modest,5.63,208,0,0,252,0,48,Modest,4.842,252,0,0,252,4,0,Bold,3.893,248,0,252,0,0,8
Magnezone,2023-01,Modest,18.869,248,0,0,252,8,0,Modest,10.523,0,0,4,252,0,252,Timid,8.796,0,0,0,252,4,252,Modest,6.203,4,0,0,252,0,252,Modest,5.338,0,0,0,252,4,252,Sassy,4.664,248,0,0,8,252,0
Tauros-Paldea-Blaze,2023-01,Jolly,35.914,0,252,0,0,4,252,Impish,9.69,252,4,252,0,0,0,Jolly,7.373,0,252,4,0,0,252,Jolly,7.003,4,252,0,0,0,252,Adamant,3.717,252,252,0,0,4,0,Impish,2.987,252,0,252,0,0,4
Toxtricity,2023-01,Modest,31.835,0,0,0,252,4,252,Timid,15.253,0,0,0,252,4,252,Modest,12.21,4,0,0,252,0,252,Mild,6.981,0,4,0,252,0,252,Modest,5.82,0,0,4,252,0,252,Timid,4.065,4,0,0,252,0,252
Gardevoir,2023-01,Timid,85.442,0,0,0,252,4,252,Timid,4.456,4,0,0,252,0,252,Modest,3.378,0,0,0,252,4,252,Timid,2.447,0,0,4,252,0,252,,,,,,,,,,,,,,,,
Tatsugiri,2023-01,Timid,74.533,0,0,0,252,4,252,Timid,8.059,4,0,0,252,0,252,Timid,3.358,0,0,4,252,0,252,Calm,2.394,120,0,0,0,252,136,Timid,1.138,252,0,0,4,0,252,Timid,1.075,0,0,0,252,0,252
Krookodile,2023-01,Jolly,70.462,0,252,0,0,4,252,Jolly,4.611,4,252,0,0,0,252,Jolly,2.392,0,252,4,0,0,252,Jolly,2.387,80,0,204,0,0,224,Jolly,2.386,252,0,96,0,0,160,Jolly,2.313,96,252,0,0,0,160
Flamigo,2023-01,Jolly,65.268,0,252,0,0,4,252,Jolly,17.826,4,252,0,0,0,252,Adamant,6.583,0,252,0,0,4,252,Jolly,3.667,0,252,4,0,0,252,Jolly,2.017,0,252,0,0,0,252,,,,,,,,
Weavile,2023-01,Jolly,86.629,0,252,0,0,4,252,Adamant,2.975,0,252,0,0,4,252,Adamant,2.638,0,252,4,0,0,252,Jolly,2.295,0,252,4,0,0,252,Jolly,1.994,0,252,0,0,0,252,,,,,,,,
Cloyster,2023-01,Adamant,37.374,0,252,0,0,4,252,Naughty,21.007,0,252,0,4,0,252,Jolly,13.514,0,252,0,0,4,252,Adamant,7.8,4,252,0,0,0,252,Jolly,4.017,0,252,4,0,0,252,Adamant,3.727,0,252,4,0,0,252
Mudsdale,2023-01,Impish,30.951,252,4,252,0,0,0,Impish,14.808,252,0,252,0,4,0,Impish,10.635,252,0,216,0,40,0,Impish,10.364,248,0,252,0,8,0,Bold,4.289,252,0,252,0,4,0,Impish,4.182,248,0,252,0,0,8
Heracross,2023-01,Jolly,63.025,0,252,0,0,4,252,Jolly,12.559,4,252,0,0,0,252,Jolly,9.765,0,252,4,0,0,252,Adamant,5.145,0,252,0,0,4,252,Jolly,2.588,0,252,0,0,0,252,Adamant,2.254,4,252,0,0,0,252
Bellibolt,2023-01,Bold,23.443,252,0,252,4,0,0,Modest,11.476,252,0,0,252,4,0,Bold,4.487,252,0,252,0,0,4,Calm,4.476,252,0,0,4,252,0,Bold,4.345,252,0,248,8,0,0,Bold,3.567,252,0,252,0,4,0
Altaria,2023-01,Calm,26.478,252,0,0,4,252,0,Bold,10.102,252,0,252,0,4,0,Calm,9.369,252,0,4,0,252,0,Calm,7.202,240,0,56,12,180,20,Impish,6.715,248,0,252,0,0,8,Impish,4.981,252,0,252,0,0,0
Arcanine,2023-01,Adamant,30.498,0,252,0,0,4,252,Jolly,16.503,0,252,0,0,4,252,Impish,7.454,252,0,252,0,0,4,Adamant,5.202,0,252,4,0,0,252,Bold,4.768,252,0,156,96,4,0,Adamant,4.515,4,252,0,0,0,252
Palossand,2023-01,Bold,26.783,252,0,252,0,4,0,Bold,19.129,252,0,252,4,0,0,Calm,4.868,252,0,0,0,252,0,Calm,4.831,252,0,0,4,252,0,Calm,4.412,252,0,36,4,216,0,Modest,4.299,252,0,0,252,4,0
