name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Miraidon,2022-11,Timid,68.098,0,0,0,252,4,252,Timid,8.227,4,0,0,252,0,252,Timid,5.309,0,0,4,252,0,252,Timid,3.355,0,0,0,252,0,252,Modest,3.039,4,0,0,252,0,252,Modest,2.813,0,0,0,252,4,252
Koraidon,2022-11,Jolly,66.371,0,252,0,0,4,252,Jolly,9.288,4,252,0,0,0,252,Jolly,4.215,0,252,4,0,0,252,Adamant,4.203,0,252,0,0,4,252,Naive,2.494,0,252,0,4,0,252,Adamant,2.472,4,252,0,0,0,252
Flutter Mane,2022-11,Timid,69.066,0,0,0,252,4,252,Timid,8.315,4,0,0,252,0,252,Modest,6.165,0,0,0,252,4,252,Timid,4.771,0,0,4,252,0,252,Timid,3.684,0,0,0,252,0,252,Bold,2.163,8,0,0,248,0,252
Great Tusk,2022-11,Jolly,30.255,0,252,0,0,4,252,Impish,8.501,252,0,252,0,0,4,Jolly,7.39,244,0,92,0,0,172,Jolly,5.889,0,252,4,0,0,252,Impish,4.91,252,4,252,0,0,0,Jolly,4.536,252,0,0,0,4,252
Iron Treads,2022-11,Careful,15.956,252,4,0,0,252,0,Jolly,15.425,0,252,0,0,4,252,Careful,10.946,252,0,0,0,252,4,Careful,8.054,208,0,0,0,252,48,Adamant,5.448,0,252,4,0,0,252,Jolly,4.636,100,252,0,0,0,132
Chien-Pao,2022-11,Jolly,68.751,0,252,0,0,4,252,Jolly,7.66,0,252,4,0,0,252,Adamant,3.677,0,252,4,0,0,252,Hasty,3.608,0,252,0,0,4,252,Jolly,3.467,4,252,0,0,0,252,Jolly,3.041,0,252,0,0,0,252
Iron Bundle,2022-11,Timid,75.527,0,0,0,252,4,252,Timid,9.587,4,0,0,252,0,252,Timid,4.034,0,0,4,252,0,252,Timid,2.894,0,0,0,252,0,252,Naive,1.889,0,4,0,252,0,252,Modest,1.614,0,0,0,252,4,252
Corviknight,2022-11,Impish,25.789,252,0,252,0,4,0,Impish,14.071,248,0,252,0,8,0,Sassy,11.519,252,0,4,0,252,0,Impish,6.118,248,8,252,0,0,0,Impish,5.81,252,4,252,0,0,0,Careful,4.441,252,0,0,0,252,0
Clodsire,2022-11,Careful,30.173,252,4,0,0,252,0,Careful,12.122,252,0,4,0,252,0,Careful,6.62,252,0,40,0,216,0,Careful,3.968,240,16,0,0,252,0,Careful,3.729,252,0,80,0,176,0,Impish,3.31,252,0,252,0,4,0
Roaring Moon,2022-11,Adamant,33.485,0,252,0,0,4,252,Jolly,24.631,0,252,0,0,4,252,Jolly,7.015,248,0,160,0,76,24,Hardy,6.601,0,252,0,0,0,252,Jolly,4.703,0,252,4,0,0,252,Adamant,4.253,4,252,0,0,0,252
