name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Tinkaton,2022-12,Jolly,13.036,0,252,0,0,4,252,Careful,7.004,252,80,0,0,176,0,Careful,6.648,252,4,0,0,252,0,Careful,6.025,252,168,0,0,88,0,Careful,3.853,252,0,4,0,252,0,Jolly,3.734,248,136,0,0,60,64
Hydreigon,2022-12,Timid,76.467,0,0,0,252,4,252,Timid,5.706,4,0,0,252,0,252,Timid,4.186,0,0,4,252,0,252,Modest,2.194,0,0,0,252,4,252,Timid,1.891,128,0,0,124,4,252,Timid,1.217,136,0,4,116,0,252
Azumarill,2022-12,Jolly,29.973,4,252,0,0,0,252,Adamant,25.114,252,252,0,0,4,0,Adamant,12.396,4,252,0,0,0,252,Adamant,4.235,0,252,0,0,4,252,Adamant,4.099,252,252,0,0,0,4,Adamant,3.901,252,252,0,0,0,0
Armarouge,2022-12,Modest,36.97,0,0,0,252,4,252,Timid,16.945,0,0,0,252,4,252,Modest,8.639,252,0,0,252,4,0,Modest,8.152,0,0,0,252,0,252,Modest,2.931,252,0,4,252,0,0,Timid,2.829,0,0,4,252,0,252
Sandy Shocks,2022-12,Timid,66.407,0,0,0,252,4,252,Timid,11.013,4,0,0,252,0,252,Timid,5.189,0,0,4,252,0,252,Timid,4.323,0,0,0,156,100,252,Timid,4.094,48,0,0,208,0,252,Timid,2.613,0,0,0,252,0,252
Slither Wing,2022-12,Adamant,44.732,0,252,0,0,4,252,Jolly,30.443,0,252,0,0,4,252,Jolly,6.068,0,252,0,0,0,252,Jolly,3.674,0,252,4,0,0,252,Adamant,2.119,252,252,0,0,4,0,Adamant,2.002,4,252,0,0,0,252
Espathra,2022-12,Modest,23.712,0,0,0,252,4,252,Bold,16.99,252,0,252,4,0,0,Bold,8.904,252,0,248,0,0,8,Bold,5.692,252,0,252,0,0,4,Bold,4.823,248,0,252,0,0,8,Bold,3.543,252,0,252,0,4,0
Grafaiai,2022-12,Adamant,39.688,252,252,4,0,0,0,Jolly,17.307,0,252,0,0,4,252,Jolly,7.033,252,0,0,0,192,64,Careful,3.805,252,4,0,0,252,0,Jolly,3.503,252,0,0,0,120,136,Jolly,2.712,252,0,0,0,4,252
Mimikyu,2022-12,Jolly,46.235,0,252,0,0,4,252,Adamant,41.255,0,252,4,0,0,252,Timid,3.571,0,252,4,0,0,252,Jolly,3.056,4,252,0,0,0,252,Jolly,1.785,0,252,4,0,0,252,,,,,,,,
Gengar,2022-12,Timid,78.562,0,0,0,252,4,252,Timid,5.89,0,0,0,252,0,252,Timid,4.355,0,0,4,252,0,252,Timid,3.112,4,0,0,252,0,252,Modest,3.107,0,0,0,252,4,252,,,,,,,,
