name,snapshot,nature1,usage1,hp1,attack1,defense1,sp attack1,sp defense1,speed1,nature2,usage2,hp2,attack2,defense2,sp attack2,sp defense2,speed2,nature3,usage3,hp3,attack3,defense3,sp attack3,sp defense3,speed3,nature4,usage4,hp4,attack4,defense4,sp attack4,sp defense4,speed4,nature5,usage5,hp5,attack5,defense5,sp attack5,sp defense5,speed5,nature6,usage6,hp6,attack6,defense6,sp attack6,sp defense6,speed6
Sudowoodo,2023-04,Adamant,10.479,248,252,0,0,8,0,Adamant,9.98,248,252,0,0,0,8,Adamant,9.642,240,252,0,0,0,16,Adamant,5.849,252,252,0,0,4,0,Impish,5.164,252,4,252,0,0,0,Adamant,4.998,0,252,0,0,4,252
Swalot,2023-04,Bold,7.083,252,0,252,4,0,0,Bold,6.495,252,0,252,0,0,4,Bold,5.579,252,0,252,0,4,0,Impish,5.515,252,0,252,0,4,0,Careful,4.651,252,4,0,0,252,0,Calm,3.852,252,0,0,4,252,0
Luxray,2023-04,Jolly,55.984,0,252,0,0,4,252,Adamant,13.665,0,252,0,0,4,252,Jolly,4.996,0,252,4,0,0,252,Adamant,3.978,0,252,4,0,0,252,Impish,3.017,252,0,208,0,0,48,Impish,2.312,252,0,252,0,0,4
Scovillain,2023-04,Timid,41.152,0,0,0,252,4,252,Modest,25.683,0,0,0,252,4,252,Timid,5.094,0,0,4,252,0,252,Mild,4.473,0,4,0,252,0,252,Modest,2.827,4,0,0,252,0,252,Rash,2.48,0,4,0,252,0,252
Persian,2023-04,Jolly,58.668,0,252,0,0,4,252,Adamant,17.149,0,252,0,0,4,252,Jolly,9.141,0,252,4,0,0,252,Timid,4.254,0,0,0,252,4,252,Adamant,2.334,4,252,0,0,0,252,Jolly,1.743,4,252,0,0,0,252
Toedscool,2023-04,Careful,9.387,252,4,0,0,252,0,Impish,8.512,252,0,252,0,4,0,Bold,8.176,252,0,252,0,4,0,Bold,6.906,252,0,252,0,0,4,Impish,5.301,252,0,252,0,0,4,Careful,4.56,252,0,4,0,252,0
Dunsparce,2023-04,Careful,25.02,252,4,0,0,252,0,Impish,14.019,252,4,252,0,0,0,Impish,5.635,252,0,252,0,4,0,Bold,4.764,252,0,252,4,0,0,Bold,4.344,252,0,252,0,4,0,Adamant,3.711,252,252,0,0,4,0
Gastly,2023-04,Timid,61.045,0,0,0,252,4,252,Modest,26.772,0,0,0,252,4,252,Timid,3.54,0,0,4,252,0,252,Timid,1.718,4,0,0,252,0,252,Timid,1.462,248,0,0,8,0,252,Timid,1.397,40,0,0,252,0,216
Gothitelle,2023-04,Timid,24.639,0,0,0,252,4,252,Modest,10.551,0,0,0,252,4,252,Bold,10.047,252,0,252,0,0,4,Modest,8.585,248,0,0,252,8,0,Bold,4.617,252,0,252,0,4,0,Timid,3.952,0,0,4,252,0,252
Leafeon,2023-04,Jolly,32.648,0,252,0,0,4,252,Adamant,12.939,0,252,0,0,4,252,Naughty,6.711,0,252,0,4,0,252,Jolly,6.368,0,252,4,0,0,252,Naive,4.965,0,252,0,4,0,252,Jolly,2.616,0,252,0,4,0,252
Fletchinder,2023-04,Jolly,15.309,252,72,0,0,0,184,Jolly,7.931,248,0,0,0,0,252,Jolly,7.832,0,252,0,0,4,252,Impish,6.36,252,0,252,0,4,0,Jolly,4.132,252,0,0,0,4,252,Jolly,3.903,252,0,8,0,0,248
Flareon,2023-04,Jolly,14.093,0,252,0,0,4,252,Adamant,11.879,0,252,0,0,4,252,Calm,8.803,252,0,0,4,252,0,Jolly,8.259,0,252,4,0,0,252,Bold,5.913,252,0,252,0,4,0,Careful,4.207,252,4,0,0,252,0
Sneasel,2023-04,Jolly,43.994,0,252,0,0,4,252,Adamant,40.43,0,252,0,0,4,252,Jolly,4.05,0,252,4,0,0,252,Jolly,2.629,0,252,0,0,0,252,Jolly,2.46,4,252,0,0,0,252,Adamant,2.45,0,252,0,0,0,252
Fraxure,2023-04,Adamant,45.594,0,252,0,0,4,252,Jolly,25.682,0,252,0,0,4,252,Jolly,11.617,0,252,4,0,0,252,Jolly,4.518,4,252,0,0,0,252,Adamant,4.48,0,252,4,0,0,252,Adamant,1.251,4,252,0,0,0,252
Dedenne,2023-04,Timid,64.376,0,0,0,252,4,252,Timid,8.615,0,0,4,252,0,252,Hasty,7.773,0,4,0,252,0,252,Modest,5.702,0,0,0,252,4,252,Timid,4.052,4,0,0,252,0,252,Timid,1.951,0,0,0,252,0,252
Lumineon,2023-04,Timid,38.369,0,0,0,252,4,252,Modest,10.152,0,0,0,252,4,252,Timid,9.984,252,0,0,4,0,252,Timid,6.27,4,0,0,252,0,252,Modest,5.113,4,0,0,252,0,252,Timid,4.012,252,0,0,0,4,252
Jumpluff,2023-04,Jolly,33.941,0,252,0,0,4,252,Adamant,10.829,0,252,0,0,4,252,Careful,8.12,252,0,0,0,252,4,Jolly,6.836,0,252,4,0,0,252,Jolly,5.235,252,0,0,0,4,252,Impish,4.657,252,0,252,0,0,4
Beartic,2023-04,Adamant,45.496,0,252,0,0,4,252,Jolly,10.491,0,252,0,0,4,252,Adamant,8.289,0,252,4,0,0,252,Jolly,5.236,0,252,4,0,0,252,Adamant,4.804,252,252,0,0,4,0,Jolly,2.85,4,252,0,0,0,252
Slaking,2023-04,Jolly,69.706,0,252,0,0,4,252,Adamant,12.207,4,252,0,0,0,252,Adamant,5.308,0,252,0,0,4,252,Jolly,1.932,0,252,4,0,0,252,Jolly,1.451,4,252,0,0,0,252,Adamant,1.248,248,252,0,0,8,0
