Name,Gen,HP,Attack,Defense,Sp_attack,Sp_defense,Speed
Bulbasaur,6,45,49,49,65,65,45
Ivysaur,6,60,62,63,80,80,60
Venusaur,6,80,82,83,100,100,80
Venusaur-Mega,6,80,100,123,122,120,80
Charmander,6,39,52,43,60,50,65
Charmeleon,6,58,64,58,80,65,80
Charizard,6,78,84,78,109,85,100
Charizard-Mega-X,6,78,130,111,130,85,100
Charizard-Mega-Y,6,78,104,78,159,115,100
Squirtle,6,44,48,65,50,64,43
Wartortle,6,59,63,80,65,80,58
Blastoise,6,79,83,100,85,105,78
Blastoise-Mega,6,79,103,120,135,115,78
Caterpie,6,45,30,35,20,20,45
Metapod,6,50,20,55,25,25,30
Butterfree,6,60,45,50,90,80,70
Weedle,6,40,35,30,20,20,50
Kakuna,6,45,25,50,25,25,35
Beedrill,6,65,90,40,45,80,75
Beedrill-Mega,6,65,150,40,15,80,145
Pidgey,6,40,45,40,35,35,56
Pidgeotto,6,63,60,55,50,50,71
Pidgeot,6,83,80,75,70,70,101
Pidgeot-Mega,6,83,80,80,135,80,121
Rattata,6,30,56,35,25,35,72
Raticate,6,55,81,60,50,70,97
Spearow,6,40,60,30,31,31,70
Fearow,6,65,90,65,61,61,100
Ekans,6,35,60,44,40,54,55
Arbok,6,60,85,69,65,79,80
Pikachu,6,35,55,40,50,50,90
Raichu,6,60,90,55,90,80,110
Sandshrew,6,50,75,85,20,30,40
Sandslash,6,75,100,110,45,55,65
Nidoran-F,6,55,47,52,40,40,41
Nidorina,6,70,62,67,55,55,56
Nidoqueen,6,90,92,87,75,85,76
Nidoran-M,6,46,57,40,40,40,50
Nidorino,6,61,72,57,55,55,65
Nidoking,6,81,102,77,85,75,85
Clefairy,6,70,45,48,60,65,35
Clefable,6,95,70,73,95,90,60
Vulpix,6,38,41,40,50,65,65
Ninetales,6,73,76,75,81,100,100
Jigglypuff,6,115,45,20,45,25,20
Wigglytuff,6,140,70,45,85,50,45
Zubat,6,40,45,35,30,40,55
Golbat,6,75,80,70,65,75,90
Oddish,6,45,50,55,75,65,30
Gloom,6,60,65,70,85,75,40
Vileplume,6,75,80,85,110,90,50
Paras,6,35,70,55,45,55,25
Parasect,6,60,95,80,60,80,30
Venonat,6,60,55,50,40,55,45
Venomoth,6,70,65,60,90,75,90
Diglett,6,10,55,25,35,45,95
Dugtrio,6,35,80,50,50,70,120
Meowth,6,40,45,35,40,40,90
Persian,6,65,70,60,65,65,115
Psyduck,6,50,52,48,65,50,55
Golduck,6,80,82,78,95,80,85
Mankey,6,40,80,35,35,45,70
Primeape,6,65,105,60,60,70,95
Growlithe,6,55,70,45,70,50,60
Arcanine,6,90,110,80,100,80,95
Poliwag,6,40,50,40,40,40,90
Poliwhirl,6,65,65,65,50,50,90
Poliwrath,6,90,95,95,70,90,70
Abra,6,25,20,15,105,55,90
Kadabra,6,40,35,30,120,70,105
Alakazam,6,55,50,45,135,95,120
Alakazam-Mega,6,55,50,65,175,95,150
Machop,6,70,80,50,35,35,35
Machoke,6,80,100,70,50,60,45
Machamp,6,90,130,80,65,85,55
Bellsprout,6,50,75,35,70,30,40
Weepinbell,6,65,90,50,85,45,55
Victreebel,6,80,105,65,100,70,70
Tentacool,6,40,40,35,50,100,70
Tentacruel,6,80,70,65,80,120,100
Geodude,6,40,80,100,30,30,20
Graveler,6,55,95,115,45,45,35
Golem,6,80,120,130,55,65,45
Ponyta,6,50,85,55,65,65,90
Rapidash,6,65,100,70,80,80,105
Slowpoke,6,90,65,65,40,40,15
Slowbro,6,95,75,110,100,80,30
Slowbro-Mega,6,95,75,180,130,80,30
Magnemite,6,25,35,70,95,55,45
Magneton,6,50,60,95,120,70,70
Farfetch’d,6,52,65,55,58,62,60
Doduo,6,35,85,45,35,35,75
Dodrio,6,60,110,70,60,60,100
Seel,6,65,45,55,45,70,45
Dewgong,6,90,70,80,70,95,70
Grimer,6,80,80,50,40,50,25
Muk,6,105,105,75,65,100,50
Shellder,6,30,65,100,45,25,40
Cloyster,6,50,95,180,85,45,70
Gastly,6,30,35,30,100,35,80
Haunter,6,45,50,45,115,55,95
Gengar,6,60,65,60,130,75,110
Gengar-Mega,6,60,65,80,170,95,130
Onix,6,35,45,160,30,45,70
Drowzee,6,60,48,45,43,90,42
Hypno,6,85,73,70,73,115,67
Krabby,6,30,105,90,25,25,50
Kingler,6,55,130,115,50,50,75
Voltorb,6,40,30,50,55,55,100
Electrode,6,60,50,70,80,80,140
Exeggcute,6,60,40,80,60,45,40
Exeggutor,6,95,95,85,125,65,55
Cubone,6,50,50,95,40,50,35
Marowak,6,60,80,110,50,80,45
Hitmonlee,6,50,120,53,35,110,87
Hitmonchan,6,50,105,79,35,110,76
Lickitung,6,90,55,75,60,75,30
Koffing,6,40,65,95,60,45,35
Weezing,6,65,90,120,85,70,60
Rhyhorn,6,80,85,95,30,30,25
Rhydon,6,105,130,120,45,45,40
Chansey,6,250,5,5,35,105,50
Tangela,6,65,55,115,100,40,60
Kangaskhan,6,105,95,80,40,80,90
Kangaskhan-Mega,6,105,125,100,60,100,100
Horsea,6,30,40,70,70,25,60
Seadra,6,55,65,95,95,45,85
Goldeen,6,45,67,60,35,50,63
Seaking,6,80,92,65,65,80,68
Staryu,6,30,45,55,70,55,85
Starmie,6,60,75,85,100,85,115
Mr. Mime,6,40,45,65,100,120,90
Scyther,6,70,110,80,55,80,105
Jynx,6,65,50,35,115,95,95
Electabuzz,6,65,83,57,95,85,105
Magmar,6,65,95,57,100,85,93
Pinsir,6,65,125,100,55,70,85
Pinsir-Mega,6,65,155,120,65,90,105
Tauros,6,75,100,95,40,70,110
Magikarp,6,20,10,55,15,20,80
Gyarados,6,95,125,79,60,100,81
Gyarados-Mega,6,95,155,109,70,130,81
Lapras,6,130,85,80,85,95,60
Ditto,6,48,48,48,48,48,48
Eevee,6,55,55,50,45,65,55
Vaporeon,6,130,65,60,110,95,65
Jolteon,6,65,65,60,110,95,130
Flareon,6,65,130,60,95,110,65
Porygon,6,65,60,70,85,75,40
Omanyte,6,35,40,100,90,55,35
Omastar,6,70,60,125,115,70,55
Kabuto,6,30,80,90,55,45,55
Kabutops,6,60,115,105,65,70,80
Aerodactyl,6,80,105,65,60,75,130
Aerodactyl-Mega,6,80,135,85,70,95,150
Snorlax,6,160,110,65,65,110,30
Articuno,6,90,85,100,95,125,85
Zapdos,6,90,90,85,125,90,100
Moltres,6,90,100,90,125,85,90
Dratini,6,41,64,45,50,50,50
Dragonair,6,61,84,65,70,70,70
Dragonite,6,91,134,95,100,100,80
